AGE,GR
2540.717124,35.276
2542.646206,38.81
2543.610748,41.638
2544.575289,45.879
2545.53983,41.061
2546.504372,35.862
2547.468913,34.569
2548.433454,35.731
2549.397995,29.751
2550.362537,30.923
2551.327078,37.75
2552.291619,37.043
2553.25616,38.103
2554.220702,39.517
2556.149784,37.75
2558.078867,34.216
2560.007949,34.922
2561.937032,37.043
2563.866114,36.336
2565.795197,36.336
2567.72428,35.983
2569.653362,38.457
2571.582445,41.284
2573.511527,40.931
2575.44061,40.224
2577.369692,42.345
2578.334234,41.638
2579.298775,39.164
2580.263316,36.336
2581.227857,37.75
2583.15694,38.457
2585.086022,36.69
2587.015105,33.974
2588.944188,32.095
2590.87327,33.044
2592.802353,35.629
2594.731435,38.81
2596.660518,37.285
2598.5896,40.224
2600.518683,38.103
2602.447765,35.983
2604.376848,37.043
2606.30593,36.913
2608.235013,33.509
2610.164096,31.741
2612.093178,33.155
2614.022261,37.396
2615.951343,43.628
2617.880426,40.224
2619.809508,36.69
2621.738591,36.69
2623.667673,40.689
2625.596756,39.164
2627.525839,35.983
2629.454921,36.559
2631.384004,38.457
2633.313086,38.103
2635.242169,36.913
2637.171251,29.761
2639.100334,34.569
2641.029416,39.508
2642.958499,41.619
2644.887581,39.629
2646.816664,39.164
2648.745747,39.517
2650.674829,39.164
2654.532994,39.164
2658.391159,38.103
2662.249324,34.922
2664.178407,36.69
2666.107489,41.275
2668.036572,40.577
2669.965655,41.991
2671.894737,44.819
2673.82382,47.758
2675.752902,45.879
2677.681985,44.112
2679.611067,39.87
2681.54015,36.336
2683.469232,35.034
2685.398315,33.155
2687.327397,34.095
2689.25648,37.266
2691.185563,37.62
2693.114645,37.396
2694.079186,36.336
2695.043728,34.569
2696.008269,33.862
2696.97281,34.216
2698.901893,34.569
2700.830975,34.922
2701.795517,34.216
2702.760058,33.509
2703.724599,34.69
2704.68914,40.094
2705.653682,40.224
2706.618223,39.75
2707.582764,40.335
2708.547305,40.224
2709.511847,37.638
2710.476388,35.053
2711.440929,32.458
2712.405471,34.327
2713.370012,36.327
2714.334553,36.559
2715.299094,34.922
2716.263636,30.923
2717.228177,30.226
2718.192718,35.862
2719.15726,39.145
2720.14776,36.225
2721.317876,34.922
2722.487992,35.983
2723.658108,38.457
2724.828224,37.75
2725.99834,35.518
2727.168455,35.164
2728.338571,37.043
2729.508687,37.043
2730.678803,35.983
2731.848919,36.69
2733.019034,35.276
2734.18915,35.983
2735.359266,38.103
2736.529382,34.922
2737.699498,32.448
2738.869614,36.68
2740.039729,37.034
2741.209845,33.862
2742.379961,31.741
2743.550077,30.681
2744.720193,31.388
2745.890309,33.862
2748.23054,37.043
2750.570772,39.164
2752.911004,40.931
2755.251235,40.577
2757.591467,37.75
2759.931698,36.336
2762.27193,37.75
2764.612162,40.224
2766.952393,41.284
2769.292625,39.517
2771.632857,38.103
2773.973088,39.87
2776.31332,41.638
2778.653552,39.517
2780.993783,36.336
2783.334015,36.69
2785.674247,38.457
2788.014478,38.103
2790.35471,38.457
2792.694942,38.457
2795.035173,38.103
2797.375405,37.043
2799.715637,36.69
2800.885752,35.629
2802.055868,35.629
2803.225984,34.922
2804.3961,34.922
2805.566216,34.216
2806.736332,32.802
2809.076563,35.387
2811.416795,37.034
2812.586911,37.387
2813.757026,35.508
2816.097258,32.095
2818.43749,31.741
2820.777721,35.973
2823.117953,38.81
2825.458185,37.285
2827.798416,34.811
2830.138648,38.103
2832.47888,43.275
2834.819111,38.82
2837.159343,36.587
2839.499575,38.466
2841.839806,43.628
2844.180038,38.447
2846.52027,34.569
