DEPT,GR
250.09,19.47
250.24,20.28
250.39,21.03
250.55,21.28
250.70,21.79
250.85,21.97
251.00,21.03
251.16,19.69
251.31,18.89
251.46,18.79
251.61,19.33
251.76,19.84
251.92,19.93
252.07,20.20
252.22,20.72
252.37,20.80
252.53,20.44
252.68,20.05
252.83,19.92
252.98,19.79
253.14,19.40
253.29,18.94
253.44,18.50
253.59,18.15
253.75,18.34
253.90,19.03
254.05,19.42
254.20,19.32
254.36,19.20
254.51,18.93
254.66,18.26
254.81,17.69
254.97,18.00
255.12,18.64
255.27,18.88
255.42,18.93
255.57,19.19
255.73,19.24
255.88,18.91
256.03,18.69
256.18,18.71
256.34,19.14
256.49,19.92
256.64,20.47
256.79,20.01
256.95,18.86
257.10,17.92
257.25,17.65
257.40,17.88
257.56,18.53
257.71,19.43
257.86,20.13
258.01,20.52
258.17,20.69
258.32,20.32
258.47,19.45
258.62,19.04
258.78,19.58
258.93,20.07
259.08,19.59
259.23,18.93
259.38,18.60
259.54,18.17
259.69,17.88
259.84,18.36
259.99,18.86
260.15,18.51
260.30,18.21
260.45,18.73
260.60,19.16
260.76,18.93
260.91,18.49
261.06,17.85
261.21,17.29
261.37,17.49
261.52,18.21
261.67,18.92
261.82,19.32
261.98,19.36
262.13,19.25
262.28,19.38
262.43,19.59
262.59,19.65
262.74,19.56
262.89,19.55
263.04,19.76
263.19,20.08
263.35,20.36
263.50,20.27
263.65,19.71
263.80,18.86
263.96,18.30
264.11,18.70
264.26,19.80
264.41,20.62
264.57,20.54
264.72,19.99
264.87,19.68
265.02,19.85
265.18,19.97
265.33,20.15
265.48,20.72
265.63,20.96
265.79,20.44
265.94,20.20
266.09,20.70
266.24,21.06
266.40,20.86
266.55,20.80
266.70,21.09
266.85,20.86
267.00,20.22
267.16,19.78
267.31,19.51
267.46,19.16
267.61,18.99
267.77,19.25
267.92,19.67
268.07,19.74
268.22,19.90
268.38,20.88
268.53,22.06
268.68,22.80
268.83,22.75
268.99,21.62
269.14,20.79
269.29,21.27
269.44,21.88
269.60,21.56
269.75,21.08
269.90,20.78
270.05,20.79
270.21,20.80
270.36,20.95
270.51,21.15
270.66,21.15
270.81,21.14
270.97,21.48
271.12,21.72
271.27,21.60
271.42,21.70
271.58,21.92
271.73,21.84
271.88,21.79
272.03,21.92
272.19,21.49
272.34,20.91
272.49,21.29
272.64,22.02
272.80,21.85
272.95,21.53
273.10,22.01
273.25,22.29
273.41,21.49
273.56,20.65
273.71,21.05
273.86,22.14
274.02,22.75
274.17,22.50
274.32,21.74
274.47,20.80
274.62,19.84
274.78,19.47
274.93,20.12
275.08,21.13
275.23,21.88
275.39,22.14
275.54,21.91
275.69,21.65
275.84,22.01
276.00,22.91
276.15,23.20
276.30,22.64
276.45,21.73
276.61,21.16
276.76,21.52
276.91,22.07
277.06,21.62
277.22,20.60
277.37,20.07
277.52,19.74
277.67,19.71
277.83,20.52
277.98,21.84
278.13,22.69
278.28,22.83
278.43,22.57
278.59,21.87
278.74,21.12
278.89,20.66
279.04,20.52
279.20,20.82
279.35,20.92
279.50,20.36
279.65,20.41
279.81,21.49
279.96,22.47
280.11,22.66
280.26,22.40
280.42,22.31
280.57,22.28
280.72,22.46
280.87,22.87
281.03,22.90
281.18,22.88
281.33,23.84
281.48,24.02
281.64,22.59
281.79,22.03
281.94,22.65
282.09,22.41
282.24,21.72
282.40,22.03
282.55,22.18
282.70,20.92
282.85,20.50
283.01,21.69
283.16,22.35
283.31,21.94
283.46,22.52
283.62,23.41
283.77,22.45
283.92,20.20
284.07,19.12
284.23,20.14
284.38,21.90
284.53,23.47
284.68,24.31
284.84,24.43
284.99,23.79
285.14,22.20
285.29,20.74
285.45,20.55
285.60,20.66
285.75,20.13
285.90,20.00
286.05,20.85
286.21,21.92
286.36,22.67
286.51,22.73
286.66,22.33
286.82,21.56
286.97,21.39
287.12,22.25
287.27,22.44
287.43,20.84
287.58,19.39
287.73,20.02
287.88,21.99
288.04,23.49
288.19,23.94
288.34,23.72
288.49,23.60
288.65,23.49
288.80,23.11
288.95,22.55
289.10,22.51
289.26,22.80
289.41,22.94
289.56,22.41
289.71,21.27
289.86,20.46
290.02,20.87
290.17,21.74
290.32,21.88
290.47,21.47
290.63,21.20
290.78,20.59
290.93,19.72
291.08,19.72
291.24,20.77
291.39,22.03
291.54,22.34
291.69,21.23
291.85,19.83
292.00,19.69
292.15,19.78
292.30,19.47
292.46,19.60
292.61,20.71
292.76,21.98
292.91,22.24
293.07,21.63
293.22,21.47
293.37,22.28
293.52,22.91
293.67,22.93
293.83,22.54
293.98,22.81
294.13,23.43
294.28,23.08
294.44,22.27
294.59,21.86
294.74,21.49
294.89,21.52
295.05,21.98
295.20,21.32
295.35,19.96
295.50,19.79
295.66,20.57
295.81,21.38
295.96,22.69
296.11,24.03
296.27,24.14
296.42,23.24
296.57,22.61
296.72,21.99
296.88,20.87
297.03,20.39
297.18,21.45
297.33,22.61
297.48,22.38
297.64,21.50
297.79,21.09
297.94,20.70
298.09,20.05
298.25,19.82
298.40,19.82
298.55,19.52
298.70,19.06
298.86,19.13
299.01,19.79
299.16,20.29
299.31,20.79
299.47,21.94
299.62,23.04
299.77,22.58
299.92,20.59
300.08,18.83
300.23,18.85
300.38,20.60
300.53,22.11
300.69,22.05
300.84,20.86
300.99,19.67
301.14,19.27
301.29,19.94
301.45,20.97
301.60,22.25
301.75,23.27
301.90,22.84
302.06,21.56
302.21,21.88
302.36,23.53
302.51,24.02
302.67,22.46
302.82,20.81
302.97,20.80
303.12,21.41
303.28,21.68
303.43,21.69
303.58,21.69
303.73,21.48
303.89,21.05
304.04,20.38
304.19,20.08
304.34,20.98
304.50,22.43
304.65,23.02
304.80,22.55
304.95,21.59
305.10,20.46
305.26,19.73
305.41,20.08
305.56,21.18
