DEPT,GR
450,15.349
450.2,15.349
450.4,15.868
450.6,17.424
450.8,17.943
451,18.202
451.2,18.202
451.4,17.683
451.6,17.165
451.8,16.905
452,17.165
452.2,17.683
452.4,17.943
452.6,17.683
452.8,17.683
453,17.683
453.2,17.683
453.4,17.943
453.6,19.239
453.8,19.758
454,19.499
454.2,18.98
454.4,18.98
454.6,19.758
454.8,19.499
455,18.461
455.2,18.202
455.4,17.683
455.6,16.127
455.8,16.127
456,16.646
456.2,17.165
456.4,17.424
456.6,17.424
456.8,17.424
457,17.683
457.2,17.683
457.4,17.424
457.6,17.424
457.8,17.943
458,18.461
458.2,18.721
458.4,17.424
458.6,17.165
458.8,17.165
459,17.165
459.2,17.165
459.4,17.683
459.6,18.461
459.8,19.239
460,20.017
460.2,20.017
460.4,19.239
460.6,17.943
460.8,17.943
461,18.461
461.2,18.461
461.4,18.98
461.6,18.98
461.8,18.721
462,18.202
462.2,18.461
462.4,19.239
462.6,19.758
462.8,19.239
463,19.239
463.2,19.758
463.4,19.758
463.6,19.239
463.8,19.758
464,21.573
464.2,23.389
464.4,24.685
464.6,25.204
464.8,25.204
465,24.426
465.2,22.87
465.4,22.351
465.6,22.351
465.8,22.351
466,23.389
466.2,24.685
466.4,25.204
466.6,26.241
466.8,27.279
467,28.576
467.2,28.835
467.4,29.094
467.6,32.206
467.8,34.281
468,37.393
468.2,39.727
468.4,41.543
468.6,41.802
468.8,42.061
469,42.061
469.2,42.061
469.4,42.321
469.6,42.58
469.8,42.321
470,40.765
470.2,40.765
470.4,39.987
470.6,39.209
470.8,39.209
471,39.468
471.2,41.024
471.4,41.543
471.6,42.321
471.8,42.321
472,43.099
472.2,43.877
472.4,43.358
472.6,42.839
472.8,42.58
473,42.58
473.2,42.58
473.4,42.58
473.6,40.505
473.8,38.43
474,35.578
474.2,33.503
474.4,33.244
474.6,33.762
474.8,34.281
475,36.356
475.2,37.134
475.4,37.652
475.6,39.468
475.8,41.024
476,43.617
476.2,44.136
476.4,43.617
476.6,41.543
476.8,39.987
477,38.43
477.2,37.393
477.4,37.652
477.6,38.43
477.8,40.246
478,44.655
478.2,44.914
478.4,43.877
478.6,39.468
478.8,37.912
479,37.393
479.2,39.727
479.4,42.58
479.6,46.211
479.8,46.211
480,47.767
480.2,45.859
480.4,45.396
480.6,44.618
480.8,43.433
481,43.099
481.2,43.877
481.4,43.358
481.6,42.061
481.8,41.802
482,41.024
482.2,40.505
482.4,39.987
482.6,39.468
482.8,39.468
483,38.949
483.2,37.912
483.4,36.874
483.6,35.578
483.8,35.318
484,35.318
484.2,34.8
484.4,34.022
484.6,33.503
484.8,35.318
485,36.615
485.2,37.912
485.4,37.393
485.6,35.578
485.8,34.022
486,33.762
486.2,34.54
486.4,34.281
486.6,35.059
486.8,36.874
487,38.43
487.2,40.765
487.4,41.543
487.6,42.321
487.8,41.283
488,39.727
488.2,37.134
488.4,35.318
488.6,33.503
488.8,32.206
489,31.428
489.2,31.688
489.4,32.206
489.6,32.725
489.8,32.206
490,31.947
490.2,31.947
490.4,32.206
490.6,32.984
490.8,34.8
491,35.318
491.2,34.8
491.4,34.54
491.6,35.578
491.8,37.652
492,39.727
492.2,43.358
492.4,43.617
492.6,43.099
492.8,42.58
493,42.839
493.2,43.877
493.4,43.877
493.6,41.395
493.8,38.171
494,37.393
494.2,37.652
494.4,37.393
494.6,35.318
494.8,34.281
495,34.54
495.2,34.8
495.4,35.059
495.6,37.134
495.8,39.209
496,39.468
496.2,38.171
496.4,37.393
496.6,36.615
496.8,35.837
497,35.837
497.2,36.096
497.4,36.874
497.6,37.393
497.8,38.171
498,41.024
498.2,45.433
498.4,45.433
498.6,42.061
498.8,40.246
499,39.727
499.2,39.468
499.4,38.171
499.6,37.912
499.8,39.468
500,42.228
500.2,44.655
500.4,46.989
500.6,49.063
500.8,48.804
501,47.767
501.2,45.544
501.4,43.84
501.6,42.396
501.8,41.802
502,41.802
502.2,41.802
502.4,40.765
502.6,40.505
502.8,41.543
503,42.839
503.2,43.877
503.4,43.099
503.6,42.061
503.8,41.802
504,42.061
504.2,42.58
504.4,45.285
504.6,47.507
504.8,49.063
505,51.138
505.2,53.768
505.4,55.268
505.6,55.547
505.8,55.288
506,55.028
506.2,56.325
506.4,59.696
506.6,66.309
506.8,71.476
507,72.664
507.2,71.107
507.4,64.92
507.6,58.14
507.8,50.879
508,48.545
508.2,47.248
508.4,44.766
508.6,42.58
508.8,41.543
509,40.765
509.2,39.987
509.4,39.468
509.6,39.468
509.8,40.246
510,41.024
510.2,42.321
510.4,43.099
510.6,43.877
510.8,44.655
511,43.877
511.2,43.358
511.4,42.58
511.6,42.321
511.8,42.321
512,42.321
512.2,42.839
512.4,45.081
512.6,47.248
512.8,49.582
513,49.841
513.2,49.063
513.4,47.767
513.6,45.859
513.8,44.878
514,44.878
514.2,47.304
514.4,52.527
514.6,53.972
514.8,54.694
515,54.694
515.2,53.472
515.4,53.954
515.6,55.176
515.8,57.51
516,60.307
516.2,62.809
516.4,65.402
516.6,65.661
516.8,65.921
517,65.921
517.2,67.477
517.4,70.329
517.6,72.923
517.8,73.182
518,72.923
518.2,73.96
518.4,74.479
518.6,73.701
518.8,71.626
519,69.811
519.2,65.402
519.4,62.53
519.6,60.567
519.8,58.14
520,53.121
520.2,49.916
520.4,48.285
520.6,47.248
520.8,47.248
521,48.285
521.2,51.953
521.4,54.231
521.6,55.416
521.8,54.953
522,53.249
522.2,49.841
522.4,48.804
522.6,48.026
522.8,44.914
523,38.949
523.2,36.874
523.4,37.134
523.6,37.912
523.8,39.727
524,44.914
524.2,47.507
524.4,50.36
524.6,50.36
524.8,49.323
525,48.545
525.2,48.545
525.4,48.026
525.6,48.545
525.8,48.804
526,50.101
526.2,50.879
526.4,50.879
526.6,50.36
526.8,50.101
527,50.36
527.2,50.898
527.4,52.602
527.6,56.769
527.8,57.75
528,57.881
528.2,58.4
528.4,58.4
528.6,58.918
528.8,59.956
529,59.917
529.2,58.269
529.4,56.565
529.6,53.732
529.8,50.879
530,48.804
530.2,48.285
530.4,46.841
530.6,45.6
530.8,44.655
531,43.877
531.2,43.099
531.4,41.802
531.6,41.024
531.8,39.987
532,38.949
532.2,38.43
532.4,36.874
532.6,35.837
532.8,35.837
533,35.837
533.2,35.318
533.4,34.281
533.6,34.54
533.8,35.578
534,37.912
534.2,40.377
534.4,44.044
534.6,51.398
534.8,53.732
535,56.917
535.2,56.992
535.4,55.806
535.6,53.732
535.8,50.879
536,48.026
536.2,44.415
536.4,42.914
536.6,42.321
536.8,42.321
537,44.562
537.2,47.248
537.4,48.804
537.6,48.285
537.8,46.211
538,41.155
538.2,38.728
538.4,36.874
538.6,36.096
538.8,36.356
539,37.912
539.2,39.209
539.4,44.247
539.6,48.285
539.8,51.138
540,53.472
540.2,55.436
540.4,57.547
540.6,58.14
540.8,58.659
541,59.437
541.2,60.993
541.4,60.993
541.6,61.512
541.8,60.474
542,58.918
542.2,58.659
542.4,58.4
542.6,57.362
542.8,56.844
543,56.325
543.2,54.769
543.4,53.991
543.6,51.657
543.8,49.841
544,49.063
544.2,49.601
544.4,50.268
544.6,50.583
544.8,50.583
545,52.435
545.2,53.472
545.4,55.806
545.6,55.547
545.8,55.288
546,55.806
546.2,56.844
546.4,57.362
546.6,57.362
546.8,57.362
547,57.362
547.2,57.362
547.4,56.844
547.6,56.325
547.8,56.584
548,56.584
548.2,56.844
548.4,56.844
548.6,56.584
548.8,56.066
549,56.325
549.2,56.584
549.4,56.844
549.6,57.881
549.8,58.4
550,58.187
550.2,58.187
550.4,58.187
550.6,59.122
550.8,59.847
551,60.512
551.2,60.512
551.4,60.512
551.6,60.512
551.8,60.254
552,62.221
552.2,64.387
552.4,65.162
552.6,64.903
552.8,65.678
553,66.195
553.2,66.453
553.4,66.453
553.6,65.936
553.8,64.128
554,63.87
554.2,64.128
554.4,64.128
554.6,63.353
554.8,62.837
555,62.837
555.2,64.387
555.4,65.162
555.6,65.42
555.8,65.162
556,64.645
556.2,64.387
556.4,64.866
556.6,63.327
556.8,60.117
557,54.571
557.2,49.393
557.4,46.023
557.6,46.073
557.8,50.168
558,54.263
558.2,58.199
558.4,55.604
558.6,52.246
558.8,50.954
559,50.438
559.2,50.696
559.4,53.697
559.6,56.132
559.8,57.067
560,57.412
560.2,57.929
560.4,58.445
560.6,58.704
560.8,58.704
561,58.445
561.2,58.187
561.4,57.929
561.6,57.154
561.8,55.862
562,52.763
562.2,49.811
562.4,51.201
562.6,52.911
562.8,56.907
563,59.072
563.2,60.991
563.4,61.508
563.6,62.062
563.8,62.32
564,62.837
564.2,63.353
564.4,64.645
564.6,64.645
564.8,63.87
