DEPT,GR
78.3336,5.1345
78.486,5.1017
78.6384,5.2296
78.7908,5.4652
78.9432,5.7333
79.0956,5.9557
79.248,5.9302
79.4004,5.9738
79.5528,6.0595
79.7052,6.0582
79.8576,5.7574
80.01,5.2999
80.1624,5.1625
80.3148,5.3529
80.4672,5.6809
80.6196,6.0229
80.772,6.3967
80.9244,6.7033
81.0768,6.817
81.2292,6.7019
81.3816,6.4963
81.534,6.3464
81.6864,6.2206
81.8388,6.2625
81.9912,6.2276
82.1436,6.1932
82.296,6.2385
82.4484,6.4906
82.6008,6.635
82.7532,6.8654
82.9056,7.1094
83.058,7.3059
83.2104,7.672
83.3628,8.1794
83.5152,8.4847
83.6676,8.7766
83.82,8.8458
83.9724,8.5744
84.1248,8.3474
84.2772,8.074
84.4296,7.7413
84.582,7.4802
84.7344,7.3263
84.8868,7.1834
85.0392,7.0171
85.1916,6.9429
85.344,6.8809
85.4964,6.7776
85.6488,6.5927
85.8012,6.4093
85.9536,6.331
86.106,6.264
86.2584,6.3959
86.4108,6.7766
86.5632,6.9819
86.7156,7.1957
86.868,7.4407
87.0204,7.6322
87.1728,7.7124
87.3252,7.8591
87.4776,7.9294
87.63,7.8701
87.7824,7.7703
87.9348,7.6459
88.0872,7.6869
88.2396,7.6123
88.392,7.6181
88.5444,7.6384
88.6968,7.5492
88.8492,7.6461
89.0016,7.8812
89.154,8.0001
89.3064,8.1329
89.4588,7.9073
89.6112,7.6706
89.7636,7.5267
89.916,7.3933
90.0684,7.2871
90.2208,7.2446
90.3732,7.3675
90.5256,7.368
90.678,7.273
90.8304,7.1536
90.9828,7.3956
91.1352,7.7781
91.2876,8.3546
91.44,8.8194
91.5924,9.0265
91.7448,9.1403
91.8972,9.1519
92.0496,9.0169
92.202,8.9584
92.3544,9.1827
92.5068,9.2858
92.6592,9.3241
92.8116,9.4086
92.964,9.3569
93.1164,9.0897
93.2688,8.8084
93.4212,8.5589
93.5736,8.2776
93.726,8.0961
93.8784,7.9244
94.0308,7.6401
94.1832,7.3097
94.3356,7.0405
94.488,6.9088
94.6404,6.8186
94.7928,6.8331
94.9452,7.0761
95.0976,7.3725
95.25,7.7799
95.4024,8.3692
95.5548,8.7345
95.7072,8.7086
95.8596,8.17
96.012,8.0218
96.1644,8.4763
96.3168,8.8784
96.4692,8.9491
96.6216,9.0583
96.774,9.1752
96.9264,9.3076
97.0788,9.4101
97.2312,9.4855
97.3836,9.7402
97.536,9.7873
97.6884,9.7927
97.8408,9.7801
97.9932,9.6559
98.1456,9.5212
98.298,9.4225
98.4504,9.1533
98.6028,8.8365
98.7552,8.4659
98.9076,8.1548
99.06,8.0929
99.2124,7.9404
99.3648,7.9353
99.5172,8.1188
99.6696,8.394
99.822,8.671
99.9744,8.5757
100.1268,8.3356
100.2792,8.2081
100.4316,8.0477
100.584,7.9796
100.7364,7.945
100.8888,7.8918
101.0412,7.8036
101.1936,7.8016
101.346,7.887
101.4984,8.1551
101.6508,8.3799
101.8032,8.6667
101.9556,8.991
102.108,9.3014
102.2604,9.8025
102.4128,10.2825
102.5652,10.5374
102.7176,10.3742
102.87,10.7852
103.0224,11.1049
103.1748,11.1694
103.3272,11.3457
103.4796,11.592
103.632,11.6479
103.7844,11.8735
103.9368,12.137
104.0892,11.6503
104.2416,11.1893
104.394,11.5576
104.5464,11.5427
104.6988,11.1589
104.8512,10.6908
105.0036,10.1718
105.156,9.8623
105.3084,9.7655
105.4608,9.7143
105.6132,9.8073
105.7656,10.0859
105.918,10.1938
106.0704,10.1361
106.2228,9.9014
106.3752,9.2755
106.5276,9.0063
106.68,9.2941
106.8324,10.1367
106.9848,10.6723
107.1372,10.8237
107.2896,10.9305
107.442,10.8648
107.5944,10.9681
107.7468,11.0881
107.8992,11.4699
108.0516,11.981
108.204,12.893
108.3564,13.617
108.5088,13.8207
108.6612,13.3522
108.8136,12.6994
108.966,11.9587
109.1184,11.3146
109.2708,10.6558
109.4232,10.2466
109.5756,10.2627
109.728,10.3483
109.8804,10.3138
110.0328,10.4568
110.1852,10.6491
110.3376,11.0714
110.49,11.9326
110.6424,13.3986
110.7948,13.9262
110.9472,13.4578
111.0996,13.0133
111.252,12.8014
111.4044,12.8866
111.5568,12.972
111.7092,13.014
111.8616,12.7264
112.014,12.03
112.1664,11.2856
112.3188,10.559
112.4712,9.8509
112.6236,9.4579
112.776,9.7043
112.9284,10.0318
113.0808,10.247
113.2332,10.2749
113.3856,10.4402
113.538,10.8336
113.6904,11.1351
113.8428,11.4019
113.9952,11.7038
114.1476,12.0226
114.3,11.5034
114.4524,10.3854
114.6048,9.1804
114.7572,8.9717
114.9096,9.2262
115.062,9.3659
115.2144,9.538
115.3668,9.7534
115.5192,10.1198
115.6716,10.8207
115.824,11.3936
115.9764,12.5755
116.1288,14.6683
116.2812,16.2502
116.4336,16.3402
116.586,15.6428
116.7384,14.9921
116.8908,14.3739
117.0432,13.4502
117.1956,12.6684
117.348,12.2683
117.5004,11.9258
117.6528,11.5093
117.8052,11.2774
117.9576,11.1075
118.11,10.9801
118.2624,10.8483
118.4148,10.7426
118.5672,10.6697
118.7196,10.7937
118.872,10.8121
