DEPT,GR
135.1788,6.1992
135.3312,5.8398
135.4836,4.75
135.636,5.457
135.7884,5.0703
135.9408,6.8789
136.0932,5.7891
136.2456,6.1641
136.398,6.8906
136.5504,7.9766
136.7028,7.9688
136.8552,7.6055
137.0076,6.8828
137.16,7.9883
137.3124,7.6445
137.4648,7.293
137.6172,6.5625
137.7696,6.5234
137.922,6.1523
138.0744,6.875
138.2268,6.1523
138.3792,6.8789
138.5316,5.7891
138.684,5.4336
138.8364,5.0859
138.9888,4.7148
139.1412,5.4258
139.2936,4.6758
139.446,5.0273
139.5984,5.7383
139.7508,7.1836
139.9032,8.2578
140.0556,10.3984
140.97,10.0859
141.1224,7.9492
141.2748,7.5977
141.4272,6.5
141.5796,5.7734
141.732,5.4023
141.8844,5.0352
142.0368,5.0547
142.1892,5.8242
142.3416,6.1953
142.494,6.9453
142.6464,6.1992
142.7988,6.5664
142.9512,5.4375
143.1036,6.1367
143.256,5.7578
143.4084,6.8203
143.5608,5.3711
143.7132,5.7383
143.8656,4.6836
144.018,4.3359
144.1704,4.3477
144.3228,4.7109
144.4752,6.1641
144.6276,6.5469
144.78,7.2852
144.9324,6.9297
145.0848,5.8281
145.2372,5.0859
145.3896,6.8828
145.542,7.6094
145.6944,7.9805
145.8468,6.5508
145.9992,6.918
146.1516,6.5742
146.304,6.582
146.4564,5.5039
146.6088,6.207
146.7612,5.8359
146.9136,6.9375
147.066,5.8438
147.2184,5.4727
147.3708,5.4453
147.5232,5.4453
147.6756,6.5195
147.828,6.1562
147.9804,7.2227
148.1328,6.1367
148.2852,5.0586
148.4376,4.7109
148.59,6.1914
148.7424,5.8242
148.8948,6.5508
149.0472,7.2461
149.1996,8.3281
149.352,7.5977
149.5044,6.8789
149.6568,7.9648
149.8092,7.9805
149.9616,7.9883
150.114,7.2578
150.2664,6.5078
150.4188,5.7539
150.5712,5.7422
150.7236,6.8359
150.876,7.2109
151.0284,6.8633
151.1808,6.4922
151.3332,7.2227
151.4856,6.1367
151.638,6.1406
151.7904,5.4023
151.9428,7.5664
152.0952,7.2148
152.2476,6.8594
152.4,6.4883
152.5524,6.4688
152.7048,6.4609
152.8572,6.457
153.0096,8.2734
153.162,9.0312
153.3144,9.7891
153.4668,8.3594
153.6192,7.2695
153.7716,5.4453
153.924,6.8594
154.0764,7.1953
154.2288,8.9688
154.3812,7.8906
154.5336,7.1758
154.686,5.7461
154.8384,5.0352
154.9908,6.4766
155.1432,7.1953
155.2956,9.0312
155.448,9.4297
155.6004,9.8672
155.7528,8.4297
155.9052,8.0703
156.0576,6.2148
156.21,5.8242
156.3624,6.1641
156.5148,7.2383
156.6672,7.957
156.8196,7.9805
156.972,7.2695
157.1244,7.6758
157.2768,7.3242
157.4292,8.0469
157.5816,7.2812
157.734,6.5234
157.8864,6.5156
158.0388,7.6055
158.1912,9.0547
158.3436,8.6953
158.496,9.4062
158.6484,8.3203
158.8008,7.9609
158.9532,6.5234
159.1056,7.9766
159.258,9.0938
159.4104,9.4766
159.5628,8.4141
159.7152,8.7734
159.8676,7.3125
160.02,6.5742
