DEPT,GR
67.9704,6.2422
68.1228,5.5039
68.2752,4.8047
68.4276,5.8828
68.58,6.3867
68.7324,6.2617
68.8848,4.7227
69.0372,4.7227
69.1896,5.543
69.342,7.3867
69.4944,7.5
69.6468,7.7305
69.7992,6.8086
69.9516,7.4141
70.104,6.957
70.2564,7.9844
70.4088,6.1133
70.5612,7.4922
70.7136,6.2578
70.866,6.7227
71.0184,7.0156
71.1708,6.9883
71.3232,6.1406
71.4756,4.2383
71.628,5.0859
71.7804,7.3164
71.9328,9.6328
72.0852,9.0156
72.2376,7.1953
72.39,6.7227
72.5424,5.9023
72.6948,6.5703
72.8472,7.4414
72.9996,9.8906
73.152,10.4531
73.3044,9.1172
73.4568,8.3125
73.6092,7.5234
73.7616,6.8047
73.914,7.1406
74.0664,8.3359
74.2188,8.3594
74.3712,7.0039
74.5236,7.4141
74.676,8.2188
74.8284,9.5781
74.9808,8.9609
75.1332,8.6172
75.2856,7.0586
75.438,7.2148
75.5904,6.7266
75.7428,7.5938
75.8952,8.0625
76.0476,8.0938
76.2,8.0391
76.3524,7.3477
76.5048,7.3242
76.6572,7.8359
76.8096,8.3125
76.962,7.8828
77.1144,8.3906
77.2668,6.9844
77.4192,9.0547
77.5716,8.7734
77.724,10.1953
77.8764,8.1172
78.0288,7.8867
78.1812,7.6719
78.3336,8.3594
78.486,8.0547
78.6384,6.1562
78.7908,6.1055
78.9432,6.1836
79.0956,8.7109
79.248,10.6094
79.4004,11.1484
79.5528,10.9297
79.7052,9.8516
79.8576,10.25
80.01,9.8359
80.1624,11.625
80.3148,10.2031
80.4672,9.4609
80.6196,6.0273
80.772,5.8242
80.9244,5.9609
81.0768,6.6016
81.2292,8.2422
81.3816,9.0312
81.534,10.2344
81.6864,10.2109
81.8388,10.4531
81.9912,11.5547
82.1436,12.1953
82.296,11.0312
82.4484,9.5156
82.6008,9.1016
82.7532,10.8906
82.9056,11.0156
83.058,10.6094
83.2104,9.2969
83.3628,8.5547
83.5152,7.1172
83.6676,6.875
83.82,8.5312
83.9724,9.9688
84.1248,9.5
84.2772,9.2812
84.4296,8.3125
84.582,8.6797
84.7344,8.9062
84.8868,9.0625
85.0392,9.1562
85.1916,8.2422
85.344,7.4258
85.4964,7.8867
85.6488,7.1328
85.8012,8.5703
85.9536,8.1172
86.106,7.5
86.2584,6.2695
86.4108,5.3359
86.5632,6.2422
86.7156,7.6797
86.868,8.1406
87.0204,7.8516
87.1728,8.9531
87.3252,9.6562
87.4776,9.6562
87.63,8.7344
87.7824,8.6016
87.9348,8.1953
88.0872,7.2031
88.2396,6.3945
88.392,6.8086
88.5444,6.6523
88.6968,7.4492
88.8492,6.5781
89.0016,7.1328
89.154,7.0391
89.3064,7.2969
89.4588,6.9648
