DEPT,GR
460,14.262
460.2,12.733
460.4,11.255
460.6,10.808
460.8,12.372
461,12.818
461.2,13.935
461.4,13.935
461.6,13.042
461.8,13.042
462.2,13.712
462.4,12.372
462.6,12.372
462.8,14.382
463,15.052
463.2,14.605
463.4,14.605
463.6,13.935
463.8,13.042
464,13.489
464.2,13.712
464.4,12.372
464.6,11.255
464.8,12.372
465,13.489
465.2,12.818
465.4,11.255
465.6,10.808
465.8,12.372
466,12.818
466.2,12.818
466.4,12.818
466.6,12.372
466.8,12.595
467,12.818
467.2,13.042
467.4,13.042
467.6,15.052
467.8,15.276
468,14.382
468.2,12.595
468.4,11.478
468.6,10.808
468.8,11.032
469,12.148
469.2,13.265
469.4,13.712
469.6,14.674
469.8,15.946
470,14.605
470.2,14.159
470.4,12.595
470.6,12.148
470.8,13.935
471,14.382
471.2,15.499
471.4,15.722
471.6,15.722
471.8,17.526
472,19.519
472.2,18.403
472.4,17.733
472.6,17.956
472.8,18.403
472.95,16.632
473,14.915
473.2,14.124
473.4,13.953
473.6,15.052
473.8,15.052
474,15.276
474.2,15.052
474.4,14.605
474.6,13.935
474.8,14.829
475,15.499
475.2,14.605
475.4,13.935
475.6,14.829
475.8,15.722
476,15.361
476.2,14.159
476.4,13.935
476.6,13.712
476.8,14.159
477,15.499
477.2,15.946
477.4,15.946
477.6,16.169
477.8,16.392
478,17.286
478.2,18.179
478.4,17.509
478.6,15.722
478.8,15.499
479,15.722
479.2,17.286
479.4,18.179
479.6,17.509
479.8,16.392
480,14.829
480.2,14.382
480.4,15.276
480.8,16.392
481,16.169
481.2,15.499
481.4,16.392
481.6,17.062
481.8,15.946
482,13.935
482.2,13.265
482.4,13.935
482.69,14.651
483,14.829
483.2,13.712
483.42,14.835
483.6,16.169
483.8,16.169
484,14.829
484.2,15.276
484.4,15.722
484.6,16.616
484.8,16.839
485,16.392
485.2,14.605
485.4,14.605
485.6,16.169
485.77,15.734
485.93,15.222
486.16,14.538
486.4,13.265
486.6,13.265
486.77,15.064
487,16.169
487.2,15.722
487.4,15.276
487.6,14.829
487.78,15.597
487.95,16.803
488.2,17.956
488.4,18.179
488.6,18.626
488.8,17.664
489,15.86
489.17,14.656
489.4,16.169
489.6,15.946
489.8,14.898
490,14.571
490.29,14.266
490.6,13.781
490.8,13.712
491,14.159
491.4,13.557
491.55,14.975
491.66,16.179
491.8,17.213
492,15.533
492.2,16.306
492.4,18.334
492.6,19.073
493,18.179
493.14,20.157
493.31,18.269
493.42,16.897
493.56,15.525
493.8,15.052
494,18.179
494.2,19.073
494.4,19.519
494.6,18.849
494.8,19.073
495,18.849
495.2,17.956
495.4,15.396
495.6,16.753
496,17.303
496.2,17.303
496.4,17.956
496.6,18.007
496.8,16.513
497,15.946
497.2,17.062
497.4,17.062
497.6,16.616
497.8,15.052
498,14.159
498.2,14.159
498.4,15.052
498.6,15.276
498.8,14.159
499,16.066
499.2,17.973
499.4,16.616
499.6,17.062
499.8,18.179
500,18.242
500.2,18.242
500.4,19.584
500.6,20.031
500.8,19.807
501,19.087
501.2,18.019
501.4,17.348
501.6,16.677
501.8,15.783
502,14.442
502.2,14.889
502.4,16.677
502.52,18.647
502.6,20.925
502.8,22.49
503,20.701
503.2,17.124
503.4,15.783
503.6,16.007
503.8,15.783
504,17.124
504.2,17.795
504.4,20.031
504.6,22.685
504.8,21.156
505,18.913
505.2,16.677
505.4,16.454
505.6,16.007
505.8,17.348
506,18.242
506.2,16.901
506.4,17.124
506.6,18.242
506.8,18.913
507,20.031
507.2,20.925
507.4,19.584
507.6,15.559
507.8,15.559
508,15.559
508.2,15.783
508.4,15.783
508.6,17.572
508.8,17.795
509,16.454
509.2,14.442
509.4,15.112
509.6,15.783
509.8,15.336
510,15.783
510.2,15.783
510.4,15.336
510.6,16.23
510.8,17.572
511,16.677
511.2,16.901
511.4,19.136
511.6,20.701
511.8,22.266
512,22.49
512.2,18.242
512.4,15.112
512.6,15.336
512.8,15.112
513,14.442
513.2,13.995
513.4,14.889
513.6,15.783
513.8,17.124
514,18.466
514.2,18.466
514.4,18.466
514.6,19.584
514.8,20.478
515,20.478
515.2,20.701
