DEPT,GR
154.0764,6.3008
154.2288,7.0312
154.3812,6.6523
154.5336,8.1406
154.686,8.8672
154.8384,9.6016
154.9908,8.8516
155.1432,6.6406
155.2956,7.3867
155.448,7.7773
155.6004,8.5703
155.7528,8.2188
155.9052,9.3359
156.0576,10.4219
156.21,11.5703
156.3624,10.0938
156.5148,8.9766
156.6672,6.6992
156.8196,7.0391
156.972,7.7344
157.1244,8.4531
157.2768,9.9375
157.4292,9.9688
157.5816,10
157.734,9.6406
157.8864,9.625
158.0388,9.9844
158.1912,9.9453
158.3436,9.2266
158.496,10.3516
158.6484,8.9141
158.8008,9.2734
158.9532,8.1328
159.1056,9.6094
159.258,11.8906
159.4104,12.3203
159.5628,10.8516
159.7152,8.2422
159.8676,7.4844
160.02,7.0859
160.1724,9.2734
160.3248,10.7109
160.4772,12.1797
160.6296,11.8047
160.782,11.4453
160.9344,11.4609
161.0868,9.9844
161.2392,9.6406
161.3916,9.2891
161.544,10.0547
161.6964,8.5547
161.8488,8.5156
162.0012,7.7266
162.1536,8.7891
162.306,8.4297
162.4584,9.1719
162.6108,9.6172
162.7632,9.6641
162.9156,9.7344
163.068,9.3594
163.2204,8.2266
163.3728,8.2344
163.5252,8.2266
163.6776,10.3906
163.83,10.3125
163.9824,10.2812
164.1348,11.0312
164.2872,10.3125
164.4396,9.9453
164.592,8.5
164.7444,9.2578
164.8968,9.625
165.0492,9.2422
165.2016,9.6016
165.354,7.7578
165.5064,10
165.6588,8.8984
165.8112,10.3672
165.9636,9.9688
166.116,10.3516
166.2684,11.5391
166.4208,11.2266
166.5732,11.25
166.7256,9.7188
166.878,7.8359
167.0304,8.1797
167.1828,8.5312
167.3352,8.5
167.4876,6.2734
167.64,9.5781
167.7924,12.5469
167.9448,11.8125
168.0972,10.0234
168.2496,8.1562
168.402,10.0234
168.5544,9.9766
168.7068,11.4297
168.8592,10.3047
169.0116,10.6719
169.164,11.4609
169.3164,10.7344
169.4688,10
169.6212,7.4023
169.7736,7.4414
169.926,8.9453
170.0784,9.3438
170.2308,8.2188
170.3832,7.4961
170.5356,8.5625
170.688,10.0156
170.8404,9.5703
170.9928,9.2031
171.1452,8.8516
171.2976,8.8906
171.45,8.5391
171.6024,10.0078
171.7548,10.3594
171.9072,10.3438
172.0596,9.6094
172.212,8.875
172.3644,9.9766
172.5168,9.2266
172.6692,9.5781
172.8216,9.9453
172.974,9.5938
173.1264,10.3906
173.2788,10.0938
173.4312,9.7578
173.5836,8.6406
173.736,8.6172
173.8884,10.4766
174.0408,10.0859
174.1932,9.6719
174.3456,7.0391
174.498,7.0117
174.6504,5.9023
174.8028,5.9062
174.9552,7.0547
175.1076,7.8203
175.26,8.9375
175.4124,7.8164
175.5648,7.7852
175.7172,7.4062
175.8696,9.9688
176.022,9.6016
176.1744,11.4609
176.3268,9.625
176.4792,10.7188
176.6316,9.2266
176.784,9.6094
176.9364,8.8984
177.0888,8.9453
177.2412,9.7188
177.3936,10.1172
177.546,9.3594
177.6984,9.3047
177.8508,9.9609
178.0032,11.4375
178.1556,11.0859
178.308,10.375
178.4604,10.7344
178.6128,9.25
178.7652,9.6172
178.9176,8.1562
179.07,8.1641
179.2224,8.5469
179.3748,8.8906
179.5272,9.6094
179.6796,7.7422
179.832,8.875
179.9844,8.1484
180.1368,8.5391
180.2892,8.5625
180.4416,8.5938
180.594,8.9531
180.7464,7.8281
180.8988,9.3281
181.0512,8.9844
181.2036,10.125
181.356,10.0859
181.5084,10.3984
181.6608,9.6016
181.8132,9.5625
181.9656,8.4609
182.118,8.8516
182.2704,8.1562
182.4228,9.625
182.5752,9.6016
182.7276,9.9688
182.88,10.3359
183.0324,12.1953
183.1848,11.0781
183.3372,12.2031
183.4896,9.2422
183.642,9.2422
183.7944,7.3867
183.9468,8.9141
184.0992,8.9453
184.2516,9.3672
184.404,8.6406
184.5564,10.8672
184.7088,9.7344
184.8612,10.4062
185.0136,8.1484
185.166,10.7266
185.3184,9.2578
185.4708,9.2422
185.6232,7.3672
185.7756,8.8516
185.928,11.1016
186.0804,11.1328
186.2328,10.7578
186.3852,8.8828
186.5376,8.4844
186.69,8.1094
