DEPT,GR
361.6,21.29257721
361.8,32.72592649
362,35.75769265
362.2,41.25311386
362.4,50.96510394
362.6,55.9841848
362.8,53.28775
363,47.8804786
363.2,40.12657038
363.4,28.81714288
363.6,27.64348049
363.8,27.866538
364,31.62533838
364.2,32.37081545
364.4,32.49285139
364.6,33.55399239
364.8,36.91385765
365,41.2380818
365.2,41.26492113
365.4,40.64195535
365.6,41.4358488
365.8,40.43097933
366,38.72605191
366.2,33.66949777
366.4,30.65131243
366.6,30.2460151
366.8,30.40983791
367,30.83715954
367.2,31.73956044
367.4,34.65018467
367.6,34.97054634
367.8,34.75104668
368,35.00750958
368.2,36.47121676
368.4,37.00483319
368.6,35.05448828
368.8,31.27314516
369,28.27756681
369.2,25.64009671
369.4,26.83959209
369.6,31.01295042
369.8,31.88644451
370,30.53858288
370.2,29.8381361
370.4,30.80954623
370.6,34.14611522
370.8,34.39276418
371,31.13745293
371.2,29.67088558
371.4,28.00212831
371.6,26.9565067
371.8,24.05205381
372,21.25480584
372.2,21.91320211
372.4,22.08455182
372.6,21.27061175
372.8,21.04062442
373,20.76555087
373.2,20.7563233
373.4,20.73643945
373.6,21.23569187
373.8,23.05497208
374,24.50831937
374.2,23.0160416
374.4,21.62581705
374.6,22.02310293
374.8,23.03999133
375,21.64299648
375.2,23.41509318
375.4,25.65461343
375.6,26.23009991
375.8,26.46933784
376,29.30654941
376.2,27.89945097
376.4,26.45800671
376.6,24.55144986
376.8,23.19324146
377,23.10923347
377.2,25.02529108
377.4,28.50229963
377.6,33.84716222
377.8,38.0568477
378,36.4181319
378.2,30.01067587
378.4,28.28669933
378.6,29.50855246
378.8,25.5934179
379,25.49348776
379.2,28.28057371
379.4,30.24802646
379.6,30.21879018
379.8,30.12796132
380,29.33649765
380.2,29.37774181
380.4,28.71512122
380.6,28.42831407
380.8,28.19283495
381,27.49692016
381.2,27.53124965
381.4,27.52460618
381.6,27.49020969
381.8,28.33634943
382,29.06066583
382.2,30.31660911
382.4,30.17218492
382.6,31.36525624
382.8,33.25404818
383,35.55745513
383.2,35.21499806
383.4,34.76623723
383.6,34.74838297
383.8,34.75109984
384,34.75224601
384.2,34.72995733
384.4,34.42869526
384.6,33.37018542
384.8,32.95714579
385,32.30523783
385.2,31.57359032
385.4,30.31424942
385.6,30.24913363
385.8,30.23659903
386,29.65987816
386.2,28.64821777
386.4,27.53785924
386.6,27.57860237
386.8,26.09951671
387,22.69519299
387.2,20.92829113
387.4,22.08749927
387.6,27.30027587
387.8,30.01417237
388,28.77113891
388.2,27.17950912
388.4,26.33547511
388.6,26.71183212
388.8,27.46858887
389,27.38606114
389.2,26.08439067
389.4,25.70675828
389.6,25.66367817
389.8,29.58413655
390,31.89975448
390.2,32.04732583
390.4,31.55079085
390.6,30.19482251
390.8,32.10958097
391,34.31823471
391.2,33.11919106
391.4,30.65153696
391.6,27.10243509
391.8,26.99144801
392,30.99246801
392.2,34.21723574
392.4,36.18749953
392.6,36.53317056
392.8,31.50003934
393,26.19194967
393.2,24.09341299
393.4,24.58890219
393.6,29.63765965
393.8,31.65232758
394,30.85103047
394.2,29.375775
394.4,27.3129349
394.6,25.09581821
394.8,24.53112141
395,31.18729761
395.2,34.68310429
395.4,34.76938203
395.6,34.24577123
395.8,32.30775253
396,32.08701106
396.2,31.53871282
396.4,29.63881993
