DEPT,GR
321.0668,7
321.2192,6.8
321.3716,6.6
321.524,6.8
321.6764,7.1
321.8288,7.2
321.9812,7.1
322.1336,6.7
322.286,7
322.4384,7.3
322.5908,7.5
322.7432,7.9
322.8956,8
323.048,7.8
323.2004,7.9
323.3528,8.2
323.5052,8.2
323.6576,7.9
323.81,8.2
323.9624,7.8
324.1148,7.4994
324.2672,7.0995
324.4196,6.8003
324.572,6.9997
324.7244,6.8
324.8768,6.8003
325.0292,7.0002
325.1816,7.1003
325.334,7.3008
325.4864,7.7994
325.6388,7.4008
325.7912,7.9008
325.9436,8.4003
326.096,8.5998
326.2484,8.5002
326.4008,8.5997
326.5532,8.4002
326.7056,8.4994
326.858,8.1
327.0104,8.1002
327.1628,8.199
327.3152,7.5992
327.4676,7.1
327.62,7.1002
327.7724,7.1995
327.9248,6.8992
328.0772,6.399
328.2296,5.8003
328.382,6.0016
328.5344,7.0006
328.6868,7.3997
328.8392,7.2002
328.9916,7.2998
329.144,7.201
329.2964,7.8006
329.4488,8.2006
329.6012,8.5997
329.7536,8.3992
329.906,7.9003
330.0584,8.0998
330.2108,8
330.3632,8.0002
330.5156,8.0997
330.668,7.9
330.8204,7.9
330.9728,7.9003
331.1252,8.1006
331.2776,8.5002
331.43,8.5997
331.5824,8.4
331.7348,8.3998
331.8872,8.3003
332.0396,8.5002
332.192,8.5994
332.3444,8.2003
332.4968,8.401
332.6492,9.0003
332.8016,9.199
332.954,8.5989
333.1064,7.901
333.2588,8.2026
333.4112,9.0003
333.5636,9.0984
333.716,8.6
333.8684,8.5987
334.0208,8.2
334.1732,8.2006
334.3256,8.3984
334.478,7.899
334.6304,7.6013
334.7828,8.0006
334.9352,8.2019
335.0876,8.8
335.24,8.7997
335.3924,8.7026
335.5448,9.5019
335.6972,10.099
335.8496,9.7974
336.002,8.9984
336.1544,8.5003
336.3068,8.6
336.4592,8.6016
336.6116,9.1013
336.764,9.4994
336.9164,9.2994
337.0688,9.0997
337.2212,8.9981
337.3736,8.4
337.526,8.4
337.6784,8.399
337.8308,8.1006
337.9832,8.3003
338.1356,8.3984
338.288,7.901
338.4404,8.2006
338.5928,8.4006
338.7452,8.5987
338.8976,8.2022
339.05,8.9019
339.2024,9.5016
339.3548,10.001
339.5072,10.3022
339.6596,10.999
339.812,10.6978
339.9644,9.9984
340.1168,9.4997
340.2692,9.3994
340.4216,9.1981
340.574,8.6
340.7264,8.5994
340.8788,8.3997
341.0312,8.3013
341.1836,8.7006
341.336,8.9003
341.4884,9
341.6408,8.9962
341.7932,7.7987
341.9456,7.3981
342.098,7
342.2504,6.9995
342.4028,6.901
342.5552,7.1024
342.7076,7.6038
342.86,8.4051
343.0124,9.5024
343.1648,9.9971
343.3172,9.3981
343.4696,9.0029
343.622,9.599
343.7744,9.3986
