DEPT,GR
145.43532,0.54348
145.502376,1.087
145.57248,1.6304
145.70964,2.3551
145.8468,2.5362
145.98396,2.8986
146.188176,2.8986
146.39544,2.5362
146.529552,1.9928
146.599656,1.4493
146.666712,0.18116
146.666712,0.9058
147.559776,0.36232
147.626832,1.087
147.696936,1.4493
147.763992,1.9928
147.901152,2.5362
148.108416,2.5362
148.312632,2.5362
148.586952,2.5362
148.791168,2.5362
149.065488,2.5362
149.29104,2.8405
149.352,2.8405
149.41296,2.7348
149.47392,2.7348
149.751288,2.7174
149.958552,2.7174
150.20544,2.9462
150.2664,2.9462
150.32736,2.9462
150.38832,2.9462
150.44928,2.9462
150.51024,2.9462
150.5712,2.9462
150.63216,2.9462
150.69312,3.0519
150.75408,3.0519
150.81504,2.9462
150.876,2.9462
150.93696,2.9462
150.99792,2.8405
151.189944,2.3551
151.260048,1.8116
151.327104,1.2681
151.397208,0.72464
151.464264,0.18116
152.012904,0.54348
152.012904,1.2681
152.083008,1.9928
152.287224,2.3551
152.561544,2.5362
152.76576,2.7348
152.82672,2.7348
153.110184,2.7174
153.384504,2.7174
153.658824,2.7174
153.933144,2.7174
154.207464,2.5362
154.478736,2.5362
154.77744,2.8405
154.8384,3.0519
154.89936,3.0519
154.96032,3.0519
155.02128,3.1577
155.08224,3.1577
155.1432,3.1577
155.20416,3.1577
155.26512,2.9462
155.32608,3.1577
155.38704,3.1577
155.448,2.9462
155.50896,2.9462
155.64612,2.7174
155.78328,2.3551
156.0576,2.3551
156.261816,2.5362
156.60624,2.8405
156.6672,2.8405
156.72816,2.9462
156.78912,2.9462
156.85008,2.9462
156.91104,2.9462
156.972,2.9462
157.03296,2.9462
157.09392,2.9462
157.15488,2.9462
157.21584,2.9462
157.2768,2.9462
157.33776,2.9462
157.39872,2.9462
157.45968,3.0519
157.52064,3.0519
157.5816,3.0519
157.64256,3.0519
157.70352,3.1577
157.76448,3.1577
157.82544,3.2634
157.8864,3.2634
157.94736,3.3691
158.00832,3.3691
158.06928,3.3691
158.13024,3.5806
158.1912,3.6863
158.25216,3.8977
158.31312,3.8977
158.37408,3.8977
158.43504,4.3355
158.496,3.6863
158.55696,3.6863
158.61792,3.5806
158.67888,3.0519
158.73984,2.5536
158.8008,2.3725
159.072072,2.3551
159.346392,2.3551
159.620712,2.5362
159.89808,2.8405
159.95904,2.8405
160.02,2.9462
160.08096,2.9462
160.14192,2.9462
160.20288,2.9462
160.26384,2.9462
160.3248,2.9462
160.38576,2.9462
160.44672,3.0519
160.50768,3.1577
160.56864,3.3691
160.6296,3.3691
160.69056,3.3691
160.75152,3.4748
160.81248,3.4748
160.87344,3.4748
160.9344,3.3691
160.99536,3.2634
161.05632,3.4748
161.11728,3.4748
161.17824,3.4748
161.2392,3.5806
161.30016,3.4748
161.36112,3.4748
161.42208,3.4748
161.48304,3.2634
161.544,3.1577
161.60496,3.0519
161.66592,3.0519
161.72688,2.7348
161.949384,2.5362
162.223704,2.5362
162.58032,2.8405
162.64128,2.8405
162.70224,2.8405
162.7632,2.9462
162.82416,3.0519
162.88512,3.1577
162.94608,3.1577
163.00704,3.1577
163.068,3.2634
163.12896,3.1577
163.18992,3.1577
163.25088,3.1577
163.31184,3.1577
163.3728,3.1577
163.43376,3.1577
163.49472,3.3691
163.55568,3.3691
163.61664,3.4748
163.6776,3.4748
163.73856,3.4748
163.79952,3.4748
163.86048,3.4748
163.92144,3.4748
163.9824,3.2634
164.04336,3.0519
164.10432,2.8405
164.40912,2.8405
164.47008,2.8405
164.53104,2.9462
164.592,2.9462
164.65296,2.9462
164.71392,2.9462
164.77488,2.9462
164.83584,2.8405
164.8968,2.8405
164.95776,2.8405
165.14064,2.8405
165.2016,2.8405
165.26256,2.8405
165.32352,3.0519
165.38448,3.3691
165.44544,3.5806
165.5064,3.5806
165.56736,3.792
165.62832,3.8977
165.68928,3.8977
165.75024,3.8977
165.8112,3.8977
165.87216,3.8977
165.93312,3.8977
165.99408,3.8977
166.05504,3.8977
166.116,3.792
166.17696,3.792
166.23792,3.792
166.29888,3.6863
166.35984,3.6863
166.4208,3.6863
166.48176,3.6863
166.54272,3.6863
166.60368,3.6863
166.66464,3.6863
166.7256,3.6863
166.78656,3.6863
166.84752,3.3691
166.90848,3.1577
