DEPT,GR
353.4,3.063473448
353.6,3.352085716
353.8,3.55172132
354,3.376887655
354.2,3.387263613
354.4,3.618720128
354.6,3.892243875
354.8,3.88359713
355,3.890648872
355.2,3.992254202
355.4,3.852731601
355.6,3.885942258
355.8,3.411281515
356,2.777557121
356.2,3.347238859
356.4,3.937123531
356.6,3.875012532
356.8,3.798896613
357,3.3543148
357.2,2.834043276
357.4,2.840507656
357.6,2.790313931
357.8,3.415172224
358,3.334728577
358.2,3.918403846
358.4,3.881464996
358.6,3.883844366
358.8,3.935031938
359,3.315256744
359.2,3.353800982
359.4,3.304190951
359.6,3.101045431
359.8,3.597094594
360,4.13509572
360.2,3.482664942
360.4,2.589280844
360.6,2.283759677
360.8,2.654547719
361,2.831999398
361.2,2.572493763
361.4,2.832350038
361.6,3.099340643
361.8,3.391933394
362,3.359772962
362.2,3.315682017
362.4,3.370862051
362.6,3.362001228
362.8,3.363672734
363,3.365005088
363.2,3.377037259
363.4,3.502501836
363.6,3.887045461
363.8,3.364615547
364,3.36829416
364.2,3.364978589
364.4,3.369241503
364.6,3.44065129
364.8,3.886424087
365,4.158965054
365.2,4.126408021
365.4,4.612542994
365.6,5.482247321
365.8,5.223430495
366,4.351691323
366.2,4.336719496
366.4,4.412048479
366.6,4.397749042
366.8,4.398713546
367,4.398901714
367.2,4.397998339
367.4,4.388662266
367.6,4.319318724
367.8,3.877124905
368,3.840275688
368.2,4.316999854
368.4,4.5200731
368.6,4.42536701
368.8,4.046110463
369,3.883510622
369.2,3.88185168
369.4,3.396971604
369.6,3.752866912
369.8,4.01234824
370,4.109474423
370.2,4.423843451
370.4,4.399968213
370.6,4.399282707
370.8,4.413695519
371,3.922551861
371.2,4.303834627
371.4,4.383376896
371.6,4.306883021
371.8,3.883108943
372,3.928849549
372.2,3.978358546
372.4,4.028057466
372.6,4.074367841
372.8,4.113711204
373,4.158412846
373.2,4.14068928
373.4,4.135753675
373.6,3.933575212
373.8,3.725516189
374,3.541500719
374.2,3.069802341
374.4,3.380851125
374.6,3.364002911
374.8,3.401410888
375,3.817408343
375.2,4.394497781
375.4,4.386869269
375.6,4.285063448
375.8,3.891771298
376,3.870196976
376.2,4.63245027
376.4,4.478594075
376.6,4.42508578
376.8,4.025356323
377,3.896580368
377.2,3.606780332
377.4,2.873063702
377.6,2.864382066
377.8,3.166799195
378,3.104834853
378.2,2.857374275
378.4,2.8271344
378.6,3.372674105
378.8,3.590481505
379,4.303740791
379.2,4.700287063
379.4,4.900911787
379.6,4.915519301
379.8,4.916892115
380,4.916392662
380.2,4.707665637
380.4,4.384604034
380.6,4.368654787
380.8,4.664485613
381,4.954007542
381.2,4.624200223
381.4,4.397524541
381.6,4.398377878
381.8,4.397464003
382,4.379322308
382.2,4.770128737
382.4,4.876317887
382.6,4.389568484
382.8,4.425253281
383,4.059832263
383.2,3.977013865
383.4,4.099285442
383.6,4.587067023
383.8,4.357623557
384,4.404116201
384.2,4.622455268
384.4,5.144451188
384.6,4.729213799
384.8,4.616393262
385,4.716391634
385.2,6.098543321
