DEPT,GR
139.9032,8.3359
140.0556,8.5938
140.208,8.9844
140.3604,8.6094
140.5128,7.3438
140.6652,7.5898
140.8176,7.2109
140.97,7.9648
141.1224,7.5898
141.2748,7.9648
141.4272,7.457
141.5796,7.5781
141.732,7.0781
141.8844,6.1914
142.0368,5.8125
142.1892,6.4453
142.3416,6.8242
142.494,8.4688
142.6464,8.2266
142.7988,8.4766
142.9512,7.4648
143.1036,7.4063
143.256,7.7891
143.4084,8.0391
143.5608,6.9531
143.7132,7.3242
143.8656,7.332
144.018,7.1953
144.1704,6.9453
144.3228,6.4336
144.4752,6.9727
144.6276,7.3516
144.78,6.8477
144.9324,6.3125
145.0848,5.8359
145.2372,5.957
145.3896,5.8359
145.542,5.3047
145.6944,5.0352
145.8468,4.9102
145.9992,4.5625
146.1516,4.9688
146.304,5.3438
146.4564,6.625
146.6088,6.7383
146.7612,7.2813
146.9136,6.9844
147.066,7.4961
147.2184,6.9453
147.3708,7.3242
147.5232,7.4453
147.6756,7.7109
147.828,8.0313
147.9804,7.6602
148.1328,8.5391
148.2852,7.7344
148.4376,7.6055
148.59,6.9766
148.7424,7.5117
148.8948,6.5
149.0472,6.5352
149.1996,5.3438
149.352,6.0938
149.5044,5.5508
149.6568,5.7969
149.8092,5.2734
149.9616,5.0078
150.114,5.0078
150.2664,6.3633
150.4188,6.8828
150.5712,6.8867
150.7236,7.0703
150.876,7.7109
151.0284,8.3828
151.1808,8.1328
151.3332,7.6523
151.4856,6.6992
151.638,5.0039
151.7904,4.5898
151.9428,3.7441
152.0952,3.8809
152.2476,3.8535
152.4,4.9805
152.5524,5.2461
152.7048,4.2773
152.8572,4.1289
153.0096,3.9941
153.162,5.2656
153.3144,4.9297
153.4668,4.9297
153.6192,5.543
153.7716,7.2383
153.924,10.6875
154.0764,11.5547
154.2288,11.8359
154.3812,9.1719
154.5336,8.2813
154.686,7.0586
154.8384,6.8125
154.9908,6.6211
155.1432,5.4023
155.2956,4.1914
155.448,2.7031
155.6004,3.4395
155.7528,3.8105
155.9052,2.8672
156.0576,1.9824
156.21,1.3125
156.3624,2.3926
156.5148,1.8682
156.6672,2.0293
156.8196,0.9453
156.972,1.2148
157.1244,1.4346
157.2768,1.4365
157.4292,1.5732
157.5816,2.0293
157.734,2.2969
157.8864,2.1621
158.0388,1.8135
158.1912,1.5654
158.3436,1.708
158.496,1.4785
158.6484,3.2148
158.8008,2.7676
158.9532,3.3789
159.1056,2.123
159.258,2.5957
159.4104,1.8203
159.5628,2.2246
159.7152,2.3633
159.8676,3.3203
160.02,3.9375
160.1724,5.0508
160.3248,4.5664
160.4772,4.5898
160.6296,5.1289
160.782,5.0547
160.9344,5.75
161.0868,3.4746
161.2392,3.6973
161.3916,2.375
161.544,3.8125
161.6964,6.082
161.8488,6.9219
162.0012,8.1094
162.1536,7.0547
162.306,7.293
162.4584,5.4688
162.6108,3.8672
162.7632,3.4648
162.9156,3.3848
163.068,4.7891
163.2204,5.4297
163.3728,6.1719
163.5252,5
163.6776,3.8477
163.83,4.1563
163.9824,5.3398
164.1348,5.5664
164.2872,4.9883
164.4396,5.6641
164.592,4.9375
164.7444,7.2188
164.8968,5.3555
165.0492,6.1563
165.2016,4.8242
165.354,5.0938
165.5064,4.0586
165.6588,2.9297
165.8112,3.1836
165.9636,4.8477
166.116,5.7109
166.2684,6.7773
166.4208,6.582
166.5732,5.4258
166.7256,4.9141
166.878,3.4668
167.0304,4.8398
167.1828,6.6055
167.3352,8.2188
167.4876,9.4453
167.64,7.7695
167.7924,7.5508
167.9448,4.9492
168.0972,5.3281
168.2496,5.5352
168.402,6.3242
168.5544,5.4883
168.7068,5.0039
168.8592,7.2617
169.0116,7.9258
169.164,10.1016
169.3164,10.7344
169.4688,9.9609
169.6212,8.7188
169.7736,5.7813
169.926,5.8906
170.0784,5.1563
170.2308,5.6641
170.3832,6.1133
170.5356,5.7227
170.688,5.8398
170.8404,6.8164
170.9928,6.0664
171.1452,6.1875
171.2976,5.375
171.45,5.5781
171.6024,6.6797
171.7548,7.3672
171.9072,10.75
172.0596,8.6797
172.212,7.832
172.3644,4.2109
172.5168,6.0547
172.6692,6.2734
172.8216,6.5195
172.974,4.9805
173.1264,4.7695
173.2788,6.0117
173.4312,4.6523
173.5836,4.9727
173.736,4.5234
173.8884,5.2969
174.0408,4.5586
174.1932,5.1406
174.3456,5.3789
174.498,5.2227
174.6504,5.2773
174.8028,6.1094
174.9552,6.5547
175.1076,6.1289
175.26,5.7617
175.4124,6.625
175.5648,6.4141
175.7172,6.1797
175.8696,6.6523
176.022,7.0742
176.1744,7.0742
176.3268,6.4922
176.4792,7.2305
176.6316,5.8086
176.784,4.9688
176.9364,3.0254
177.0888,5.2227
177.2412,5.9336
177.3936,6.7227
177.546,6.4219
177.6984,7.4023
177.8508,7.6094
178.0032,8.0781
178.1556,7.0117
178.308,7.0117
178.4604,6.3125
178.6128,4.9805
178.7652,4.5586
178.9176,5.2656
179.07,5.2188
179.2224,5.4961
179.3748,4.582
179.5272,6.7578
179.6796,6.2773
179.832,6.5859
179.9844,4.5391
180.1368,6.0039
180.2892,7.3203
180.4416,8.3672
180.594,7.7617
180.7464,7.1992
180.8988,7.4922
181.0512,8.5234
181.2036,7.9063
181.356,7.6133
181.5084,6.3438
181.6608,6.3203
181.8132,8.9766
181.9656,9.6875
182.118,10.6094
182.2704,9.0078
182.4228,7.5898
182.5752,7.3008
182.7276,7.9609
182.88,8.6719
183.0324,8.9844
183.1848,6.9648
183.3372,7.3867
183.4896,7.0117
183.642,7.9141
183.7944,9.1406
183.9468,8.3594
184.0992,7.8203
184.2516,6.5938
184.404,7.7813
184.5564,8.7813
184.7088,9.0703
184.8612,8.7188
185.0136,7.4922
185.166,7.4805
185.3184,7.3359
185.4708,5.4531
185.6232,5.3789
185.7756,3.9785
185.928,6.6797
186.0804,6.4141
186.2328,7.2031
186.3852,7.5625
186.5376,7.8281
186.69,7.9883
186.8424,6.0273
186.9948,6.9922
187.1472,8.6797
187.2996,10.2891
187.452,9.6406
187.6044,9.8281
187.7568,9.7266
187.9092,9.625
188.0616,8.4688
188.214,8.7734
188.3664,9.8203
188.5188,9.2891
188.6712,8.2656
188.8236,7.207
188.976,8.6875
189.1284,9.5078
189.2808,8.5938
189.4332,7.4141
189.5856,6.8242
189.738,8.3438
189.8904,7.0898
190.0428,6.1367
190.1952,5.4492
190.3476,6.6992
190.5,6.75
190.6524,6.9375
190.8048,8.5391
190.9572,8.4922
191.1096,9.2266
191.262,9.9922
191.4144,11.3047
191.5668,11.7656
191.7192,11
191.8716,12.0625
192.024,11.8203
192.1764,12.5938
192.3288,10.3906
192.4812,11.1719
192.6336,11.0391
192.786,12.7656
192.9384,11.7734
193.0908,11.1953
193.2432,12.8359
193.3956,11.9688
193.548,10.7891
193.7004,7.5117
193.8528,8.1016
194.0052,9.6484
194.1576,14.375
194.31,15.0547
194.4624,13.2656
194.6148,11.0703
194.7672,11.5703
194.9196,12.9375
195.072,12.5078
195.2244,13.7109
195.3768,13.6953
195.5292,13.4609
195.6816,9.8672
195.834,11.8203
195.9864,13.5469
196.1388,14.9844
196.2912,15.3516
196.4436,13.2734
196.596,12.5703
196.7484,9.3359
196.9008,10.4141
197.0532,13.0469
197.2056,17.6094
197.358,16.6875
197.5104,16.6719
197.6628,15.0703
197.8152,16.2188
197.9676,17.0781
198.12,16.0625
198.2724,16.7969
198.4248,13.6563
198.5772,13.6563
198.7296,12.8906
198.882,14.1563
199.0344,14.8516
199.1868,17.4688
199.3392,17.5781
199.4916,16.2813
199.644,12.4844
199.7964,12.375
199.9488,13.4297
200.1012,13.4375
200.2536,15.3516
200.406,14.8828
200.5584,16.7969
200.7108,13.6563
200.8632,12.1797
201.0156,12.3906
201.168,14.8984
201.3204,17.3438
201.4728,19.0469
201.6252,19.7656
201.7776,20.125
201.93,17.2344
202.0824,17.7813
202.2348,18.6094
202.3872,20.9531
202.5396,18.6406
202.692,16.9688
202.8444,13.5156
202.9968,14.0938
203.1492,13.25
203.3016,15.6016
203.454,14.4922
203.6064,15.1016
203.7588,16.3281
203.9112,15.7813
204.0636,14.9609
204.216,12.9609
204.3684,10.8203
204.5208,12.0859
204.6732,12.3438
204.8256,15.3359
204.978,15.6016
205.1304,15.2422
205.2828,16.5156
205.4352,12.0391
205.5876,9.7656
205.74,8.9219
205.8924,10.7813
206.0448,11.5703
206.1972,10.5234
206.3496,10.7656
206.502,11.1641
206.6544,12.6406
206.8068,11.6953
206.9592,12.1406
207.1116,9.2422
207.264,11.6172
207.4164,10.9844
207.5688,13.3594
207.7212,11.7188
207.8736,10.2422
208.026,8.6563
208.1784,9.8047
208.3308,13.4063
208.4832,16.8594
208.6356,15.0859
208.788,14.8125
208.9404,13.8828
209.0928,15.4219
209.2452,13.8125
209.3976,10.9844
209.55,9.7578
209.7024,10.4219
209.8548,13.4922
210.0072,14.6484
210.1596,13.2266
210.312,11.5078
210.4644,12.9922
210.6168,13.7266
210.7692,14.5
210.9216,13.2188
211.074,12.9609
211.2264,13.8828
211.3788,13.9922
211.5312,14.0313
211.6836,13.1094
211.836,11.6875
211.9884,12.5391
212.1408,12.0625
212.2932,12.5391
212.4456,11.6406
212.598,11.9844
212.7504,12.6953
212.9028,15.0703
213.0552,14.25
213.2076,13.1016
213.36,9.3047
213.5124,8.8594
213.6648,10.2422
213.8172,12.3672
213.9696,11.3906
214.122,10.8594
214.2744,10.875
214.4268,11.2188
214.5792,11.75
214.7316,11.0859
214.884,10.7422
215.0364,8.3672
215.1888,8.7813
215.3412,10.2031
215.4936,11.625
215.646,10.4453
215.7984,10.2031
215.9508,11.6094
216.1032,12.5938
216.2556,12.3594
216.408,11.3594
216.5604,13
216.7128,14.5
216.8652,13.3828
217.0176,11.9453
217.17,10.4688
217.3224,12.3672
217.4748,13.4141
217.6272,14.1094
217.7796,13.3203
217.932,11.5625
218.0844,11.5078
218.2368,12.2891
218.3892,15.3672
218.5416,14.3125
218.694,12.6484
218.8464,10.2891
218.9988,10.6797
219.1512,12.8359
219.3036,13.5547
219.456,14.875
219.6084,13.1719
219.7608,11.4063
219.9132,11.0469
