DEPT,GR
167,2.3726
167.2,1.8661
167.4,2.3919
167.6,2.3738
167.8,2.3334
168,2.6001
168.2,3.0248
168.4,2.9588
168.6,2.9399
168.8,3.2907
169,4.378
169.2,3.0689
169.4,3.5314
169.6,3.5422
169.8,3.6814
170,4.1167
170.2,3.1982
170.4,4.2813
170.6,3.398
170.8,3.7006
171,3.1287
171.2,6.4337
171.4,8.4849
171.6,7.3061
171.8,6.5075
172,7.1173
172.2,6.546
172.4,7.9481
172.6,9.1382
172.8,9.3242
173,8.9964
173.2,9.8839
173.4,9.9029
173.6,8.6354
173.8,8.2641
174,7.944
174.2,6.5375
174.4,8.2215
174.6,10.091
174.8,9.0861
175,8.5645
175.2,9.4027
175.4,11.334
175.6,10.568
175.8,10.517
176,9.2763
176.2,8.846
176.4,8.8571
176.6,9.4129
176.8,9.5104
177,9.4985
177.2,10.747
177.4,10.553
177.6,10.146
177.8,10.839
178,10.147
178.2,7.6091
178.4,6.1517
178.6,7.9747
178.8,10.407
179,10.668
179.2,11.23
179.4,11.258
179.6,11.834
179.8,10.636
180,11.434
180.2,12.06
180.4,12.48
180.6,12.632
180.8,13.507
181,13.106
181.2,11.117
181.4,10.21
181.6,9.4743
181.8,10.604
182,11.282
182.2,11.8
182.4,10.618
182.6,10.422
182.8,9.5023
183,10.387
183.2,10.935
183.4,11.824
183.6,13.757
183.8,14.059
184,11.702
184.2,10.074
184.4,11.244
184.6,11.888
184.8,11.688
185,9.7977
185.2,9.5791
185.4,10.488
185.6,11.876
185.8,12.786
186,13.535
186.2,12.99
186.4,10.951
186.6,10.615
186.8,10.721
187,9.476
187.2,9.4985
187.4,9.5484
187.6,10.28
187.8,10.722
188,10.667
188.2,10.671
188.4,10.713
188.6,10.54
188.8,11.633
189,11.472
189.2,10.202
189.4,8.9143
189.6,8.3074
189.8,9.0489
190,10.367
190.2,11.557
190.4,11.735
190.6,10.919
190.8,10.667
191,10.573
191.2,11.493
191.4,12.387
191.6,12.512
191.8,11.367
192,9.4634
192.2,9.5756
192.4,10.991
192.6,12.878
192.8,13.722
193,11.944
193.2,10.691
193.4,11.779
193.6,11.526
193.8,10.797
194,10.579
194.2,11.762
194.4,12.452
194.6,12.384
194.8,10.397
195,9.5218
195.2,10.272
195.4,11.03
195.6,10.799
195.8,9.8385
196,10.874
196.2,11.381
196.4,10.825
196.6,10.898
196.8,15.515
197,13.883
197.2,11.665
197.4,11.749
197.6,15.924
197.8,13.998
198,10.769
198.2,13.411
198.4,13.419
198.6,12.242
198.8,11.31
199,11.471
199.2,11.003
199.4,12.14
199.6,15.401
199.8,12.045
200,11.204
200.2,11.56
200.4,12.869
200.6,12.766
200.8,13.288
201,13.025
201.2,12.911
201.4,12.505
201.6,10.699
201.8,12.362
202,14.308
202.2,16.083
202.4,15.109
202.6,14.35
202.8,14.563
203,13.265
203.2,12.923
203.4,13.723
203.6,14.73
203.8,14.605
204,12.476
204.2,14.218
204.4,12.456
204.6,13.857
204.8,12.611
205,17.908
205.2,13.087
205.4,14.744
205.6,14.688
205.8,15.595
206,15.464
206.2,13.779
206.4,14.123
206.6,14.372
206.8,15.983
207,14.923
207.2,12.265
207.4,12.893
207.6,15.723
207.8,14.659
208,13.578
208.2,15.541
208.4,15.094
208.6,14.355
208.8,14.798
209,18.424
209.2,16.204
209.4,16.02
209.6,17.318
209.8,17.524
210,15.1
210.2,15.973
210.4,17.08
210.6,16.058
210.8,14.71
211,13.767
211.2,13.624
211.4,14.265
211.6,18.727
211.8,17.626
212,17.936
212.2,19.862
212.4,15.51
212.6,16.871
212.8,16.266
213,14.585
213.2,13.364
213.4,16.939
213.6,17.125
213.8,17.502
214,17.314
214.2,17.691
214.4,18.368
214.6,15.396
214.8,18.923
215,19.141
215.2,14.062
215.4,14.287
215.6,14.479
215.8,15.09
216,16.489
216.2,18.581
216.4,19.701
216.6,19.225
216.8,16.06
217,15.995
217.2,14.727
217.4,15.989
217.6,19.556
217.8,19.268
218,16.447
218.2,15.373
218.4,14.615
218.6,15.791
