DEPT,GR
305.8,8.973147927
306,8.829414985
306.2,8.796446577
306.4,8.626190376
306.6,7.709810653
306.8,8.262431573
307,8.642870398
307.2,8.774167563
307.4,8.748295421
307.6,7.286526823
307.8,6.707548671
308,6.70075826
308.2,7.471666589
308.4,8.768248701
308.6,9.077699632
308.8,8.366650192
309,7.996034111
309.2,8.798827349
309.4,8.840325492
309.6,8.0073726
309.8,7.082457175
310,6.724990231
310.2,6.555332446
310.4,7.527472218
310.6,7.598933664
310.8,7.771171017
311,7.719568435
311.2,7.875703431
311.4,6.638446569
311.6,6.753330998
311.8,7.807425009
312,7.768308272
312.2,7.75713118
312.4,7.749873087
312.6,6.414715461
312.8,6.275635541
313,6.809865193
313.2,7.774520522
313.4,7.801972942
313.6,7.252906443
313.8,6.662208849
314,6.70652216
314.2,7.637418337
314.4,7.74114766
314.6,7.788502714
314.8,7.171967529
315,6.725149158
315.2,7.039973
315.4,7.047140035
315.6,6.731937636
315.8,6.754147202
316,7.818080538
316.2,7.841914637
316.4,8.210220143
316.6,7.730812607
316.8,8.624981714
317,9.55182726
317.2,9.774557837
317.4,8.819807532
317.6,8.786189628
317.8,8.547772841
318,8.904869201
318.2,9.812157384
318.4,9.853030544
318.6,8.860636997
318.8,7.738856034
319,7.760333505
319.2,7.655394058
319.4,8.908933664
319.6,8.829647981
319.8,8.285645722
320,9.210012129
320.2,9.94922156
320.4,9.109093847
320.6,7.754250465
320.8,8.795995293
321,9.147830833
321.2,8.054809106
321.4,6.726678343
321.6,6.624080062
321.8,7.759881295
322,8.907832585
322.2,8.798235088
322.4,8.734247847
322.6,9.078692801
322.8,8.722708198
323,7.762601084
323.2,6.812757824
323.4,7.77667195
323.6,8.903081972
323.8,8.775920604
324,8.388907588
324.2,9.099719464
324.4,9.879624438
324.6,9.841204652
324.8,9.353926547
325,8.933933961
325.2,7.565492087
325.4,8.332843766
325.6,8.789351679
325.8,8.165617523
326,7.808689597
326.2,7.827617514
326.4,7.335617372
326.6,7.831002797
326.8,7.77274173
327,7.781414875
327.2,7.228773471
327.4,8.387309665
327.6,8.274079684
336.2,8.725314257
336.4,8.785604789
336.6,8.796378014
336.8,8.790699386
337,8.96042785
337.2,9.673545085
337.4,9.813133152
337.6,9.802719741
337.8,8.838877155
338,8.790185783
338.2,8.620138105
338.4,8.285248668
338.6,8.302930717
338.8,7.395975576
339,7.409594536
339.2,8.351657227
339.4,9.231134643
339.6,10.7998293
339.8,9.976474786
340,8.207750707
340.2,8.746968488
340.4,9.699039688
340.6,9.816751038
340.8,9.814051534
341,10.31571091
341.2,9.973176205
341.4,8.447775653
341.6,6.731861622
341.8,6.713691396
342,7.625011235
342.2,8.724273628
342.4,9.801946693
342.6,8.324170454
