DEPT,GR
121.7676,8.0701
121.92,7.8956
122.0724,7.6651
122.2248,7.4488
122.3772,5.6955
122.5296,4.8463
122.682,5.2237
122.8344,5.9624
122.9868,6.9977
123.1392,7.6134
123.2916,7.6857
123.444,8.1956
123.5964,8.4256
123.7488,7.8777
123.9012,8.2883
124.0536,9.3773
124.206,9.8209
124.3584,9.4037
124.5108,9.3816
124.6632,8.6631
124.8156,7.2813
124.968,6.471
125.1204,7.2826
125.2728,8.5981
125.4252,10.327
125.5776,11.2256
125.73,11.2972
125.8824,10.181
126.0348,9.8678
126.1872,9.4351
126.3396,8.7761
126.492,8.8408
126.6444,9.2286
126.7968,8.8324
126.9492,8.5539
127.1016,8.6776
127.254,9.2528
127.4064,10.3498
127.5588,10.8274
127.7112,11.3862
127.8636,11.1162
128.016,10.1905
128.1684,8.9906
128.3208,8.3721
128.4732,9.2581
128.6256,9.6638
128.778,9.1246
128.9304,8.7497
129.0828,8.6837
129.2352,8.4035
129.3876,9.2434
129.54,9.5091
129.6924,9.3384
129.8448,9.3324
129.9972,9.3511
130.1496,10.0089
130.302,10.1491
130.4544,10.4126
130.6068,10.472
130.7592,10.3678
130.9116,10.5236
131.064,10.3652
131.2164,10.6534
131.3688,11.6078
131.5212,13.2077
131.6736,14.7942
131.826,16.0045
131.9784,15.8855
132.1308,15.639
132.2832,15.7427
132.4356,15.0378
132.588,14.4226
132.7404,13.6234
132.8928,14.0183
133.0452,15.1108
133.1976,13.7277
133.35,12.1023
133.5024,12.0322
133.6548,13.6256
133.8072,13.5835
133.9596,13.5485
134.112,14.4002
134.2644,15.0369
134.4168,14.5927
134.5692,13.8745
134.7216,14.6225
134.874,13.988
135.0264,13.5837
135.1788,14.1091
135.3312,15.0307
135.4836,14.7489
135.636,15.368
135.7884,15.98
135.9408,16.0615
136.0932,15.8732
136.2456,14.9215
136.398,14.1594
136.5504,13.5323
136.7028,13.792
136.8552,13.6632
137.0076,13.1666
137.16,13.489
137.3124,12.0502
137.4648,11.5981
137.6172,12.5534
137.7696,14.1328
137.922,15.465
138.0744,15.8789
138.2268,16.077
138.3792,15.0999
138.5316,15.6994
138.684,16.1644
138.8364,15.7411
138.9888,15.4196
139.1412,14.1803
139.2936,13.3974
139.446,14.0415
139.5984,14.233
139.7508,15.655
139.9032,17.237
140.0556,17.5448
140.208,16.7389
140.3604,16.7948
140.5128,17.5205
140.6652,16.1906
140.8176,15.6439
140.97,14.8249
141.1224,14.1887
141.2748,14.3342
141.4272,15.0272
141.5796,15.6043
141.732,15.76
141.8844,15.0888
142.0368,15.2753
142.1892,14.7023
142.3416,12.8335
142.494,13.4407
142.6464,15.1924
142.7988,13.9106
142.9512,12.5159
143.1036,12.3785
143.256,13.2564
143.4084,14.2586
143.5608,15.4692
143.7132,17.1207
143.8656,17.3627
144.018,16.0652
144.1704,14.7053
144.3228,14.6509
