DEPT,GR
894.1308,6.102551
894.2832,4.601799
894.4356,4.901951
894.588,5.502251
894.7404,5.902451
894.8928,5.802399
895.0452,4.901951
895.1976,5.102051
895.35,5.902451
895.5024,6.90295
895.6548,6.602798
895.8072,6.102551
895.9596,5.902451
896.112,5.802399
896.2644,5.802399
896.4168,5.802399
896.5692,5.502251
896.7216,4.901951
896.874,5.302151
897.0264,5.302151
897.1788,5.702351
897.3312,6.002499
897.4836,7.002998
897.636,7.803398
897.7884,8.503746
897.9408,8.30365
898.0932,9.304146
898.2456,8.603798
898.398,7.603298
898.5504,7.203098
898.7028,7.50325
898.8552,7.70335
899.0076,7.30315
899.16,7.70335
899.3124,8.30365
899.4648,7.603298
899.6172,7.803398
899.7696,9.003998
899.922,7.70335
900.0744,7.30315
900.2268,8.503746
900.3792,9.10405
900.5316,8.30365
900.684,9.10405
900.8364,9.704346
900.9888,8.70385
901.1412,7.203098
901.2936,6.102551
901.446,6.202599
901.5984,7.10305
901.7508,7.30315
901.9032,7.30315
902.0556,8.30365
902.208,8.103546
902.3604,7.002998
902.5128,7.002998
902.6652,7.803398
902.8176,8.603798
902.97,8.30365
903.1224,9.10405
903.2748,9.804398
903.4272,9.50425
903.5796,7.90345
903.732,6.90295
903.8844,6.70285
904.0368,6.002499
904.1892,6.30265
904.3416,6.90295
904.494,7.30315
904.6464,7.50325
904.7988,8.203598
904.9512,8.103546
905.1036,7.002998
905.256,6.50275
905.4084,7.002998
905.5608,7.30315
905.7132,8.30365
905.8656,8.30365
906.018,7.803398
906.1704,6.70285
906.3228,6.102551
906.4752,5.702351
906.6276,6.30265
906.78,6.202599
906.9324,6.50275
907.0848,5.902451
907.2372,5.702351
907.3896,5.802399
907.542,5.302151
907.6944,6.102551
907.8468,6.30265
907.9992,5.702351
908.1516,6.202599
908.304,6.50275
908.4564,6.70285
908.6088,7.002998
908.7612,7.002998
908.9136,7.203098
909.066,6.70285
909.2184,7.10305
909.3708,7.002998
909.5232,6.102551
909.6756,6.70285
909.828,6.90295
909.9804,6.90295
910.1328,6.202599
910.2852,7.002998
910.4376,7.603298
910.59,8.003502
910.7424,8.103546
910.8948,7.603298
911.0472,5.802399
911.1996,5.602299
911.352,5.802399
911.5044,6.602798
911.6568,6.90295
911.8092,7.70335
911.9616,7.403198
912.114,7.002998
912.2664,7.70335
912.4188,8.30365
912.5712,8.30365
912.7236,9.404198
912.876,9.604301
913.0284,9.304146
913.1808,9.804398
913.3332,10.2046
913.4856,8.903946
913.638,6.70285
913.7904,6.102551
913.9428,7.30315
914.0952,7.70335
914.2476,7.90345
914.4,8.403702
914.5524,8.603798
914.7048,8.503746
914.8572,8.103546
915.0096,7.90345
915.162,7.90345
915.3144,7.803398
915.4668,8.403702
915.6192,8.603798
915.7716,8.903946
915.924,8.30365
916.0764,7.603298
916.2288,8.30365
916.3812,8.30365
916.5336,7.803398
916.686,7.603298
916.8384,7.203098
916.9908,7.203098
917.1432,7.803398
917.2956,8.70385
917.448,10.0045
917.6004,10.4047
917.7528,9.804398
917.9052,8.903946
918.0576,9.10405
918.21,9.804398
918.3624,9.904449
918.5148,8.70385
918.6672,9.804398
918.8196,11.70535
918.972,12.2056
919.1244,12.30565
919.2768,11.10505
919.4292,11.10505
919.5816,10.10455
919.734,8.903946
919.8864,9.003998
920.0388,9.204102
920.1912,8.803902
920.3436,7.803398
920.496,7.90345
920.6484,8.903946
920.8008,11.005
920.9532,12.10555
921.1056,12.2056
921.258,11.30515
921.4104,9.304146
921.5628,8.803902
921.7152,8.30365
921.8676,9.204102
922.02,10.2046
922.1724,9.304146
922.3248,9.304146
922.4772,9.404198
922.6296,9.304146
922.782,9.704346
922.9344,10.50475
923.0868,10.90495
923.2392,11.005
923.3916,11.005
923.544,12.30565
923.6964,13.10605
923.8488,12.50575
924.0012,13.10605
924.1536,13.30615
924.306,13.10605
924.4584,11.70535
924.6108,10.4047
924.7632,9.304146
924.9156,8.903946
925.068,10.10455
925.2204,10.30465
925.3728,9.304146
925.5252,10.10455
925.6776,10.4047
925.83,10.90495
925.9824,11.4052
926.1348,10.4047
926.2872,11.2051
926.4396,11.90545
926.592,13.30615
926.7444,14.4067
926.8968,13.6063
927.0492,13.2061
927.2016,13.90645
927.354,13.8064
927.5064,12.90595
927.6588,12.70585
927.8112,11.70535
927.9636,11.50525
928.116,12.10555
928.2684,11.50525
928.4208,12.2056
928.5732,12.90595
928.7256,11.30515
928.878,10.10455
929.0304,10.4047
929.1828,9.604301
929.3352,9.304146
929.4876,8.603798
929.64,10.10455
929.7924,11.50525
929.9448,11.005
930.0972,10.90495
930.2496,11.8054
930.402,11.4052
930.5544,10.70485
930.7068,9.50425
930.8592,8.503746
931.0116,9.304146
931.164,10.70485
931.3164,10.90495
931.4688,10.2046
931.6212,10.6048
931.7736,11.10505
931.926,11.10505
932.0784,11.2051
932.2308,11.4052
932.3832,12.6058
932.5356,12.6058
932.688,11.10505
932.8404,10.70485
932.9928,11.2051
933.1452,12.30565
933.2976,12.6058
933.45,11.8054
933.6024,11.6053
933.7548,10.90495
933.9072,11.30515
934.0596,11.4052
934.212,11.90545
934.3644,13.2061
934.5168,13.10605
934.6692,13.4062
934.8216,12.90595
934.974,13.10605
935.1264,12.6058
935.2788,11.6053
935.4312,11.005
935.5836,11.90545
935.736,11.90545
935.8884,10.30465
936.0408,10.30465
936.1932,10.90495
936.3456,11.70535
936.498,12.50575
936.6504,12.70585
936.8028,11.50525
936.9552,9.604301
937.1076,9.10405
937.26,10.10455
937.4124,11.50525
937.5648,10.8049
937.7172,9.304146
937.8696,10.50475
938.022,12.0055
938.1744,13.30615
938.3268,13.006
938.4792,11.10505
938.6316,9.904449
938.784,10.10455
938.9364,10.10455
939.0888,9.404198
939.2412,9.404198
939.3936,10.6048
939.546,10.4047
939.6984,10.70485
