DEPT,GR
240.4,7.1702
240.6,7.9264
240.8,8.1155
241,7.7374
241.2,7.3592
241.4,6.9811
241.6,6.4139
241.8,6.2249
242,6.4139
242.2,6.603
242.4,6.7921
242.6,7.3592
242.8,6.9811
243,6.9811
243.2,6.9811
243.4,8.3046
243.6,7.5483
243.8,6.2249
244,6.0358
244.2,6.603
244.4,6.603
244.6,7.1702
244.8,7.9264
245,7.9264
245.2,6.7921
245.4,6.9811
245.6,7.3592
245.8,7.3592
246,7.3592
246.2,8.1155
246.4,8.3046
246.6,7.9264
246.8,8.1155
247,7.9264
247.2,6.2249
247.4,4.1452
247.6,3.9561
247.8,4.9014
248,6.2249
248.2,6.603
248.4,7.3592
248.6,6.9811
248.8,6.603
249,6.2249
249.2,5.6577
249.4,5.8467
249.6,6.4139
249.8,6.9811
250,7.5483
250.2,7.1702
250.4,7.1702
250.6,7.9264
250.8,7.9264
251,7.7374
251.2,6.9811
251.4,6.603
251.6,6.603
251.81,7.8297
252,8.8717
252.2,9.8171
252.4,9.0608
252.6,7.9264
252.8,6.4139
253,7.3592
253.2,8.6827
253.4,8.6827
253.6,8.8717
253.8,7.9264
254,7.9264
254.2,8.6827
254.4,8.8717
254.68,7.7922
254.92,7.0036
255.33,6.4747
255.6,7.3592
255.8,7.9264
256,7.7374
256.2,7.9264
256.4,8.4936
256.6,8.1155
256.8,7.3592
257,6.9811
257.2,6.9811
257.4,7.7374
257.6,7.7374
257.8,7.5483
258,7.3592
258.2,7.9264
258.4,7.9264
258.6,7.7374
258.8,7.7374
259,8.4936
259.2,8.4936
259.4,7.3592
259.6,5.8467
259.8,5.2796
260,5.2796
260.17,6.4114
260.4,7.5483
260.6,7.9264
260.8,8.6827
261,8.8717
261.2,8.6827
261.4,8.1155
261.6,8.1155
261.8,8.1155
262,7.9264
262.2,6.603
262.4,5.8467
262.6,4.9014
262.8,5.6577
263,6.4139
263.2,8.6827
263.4,8.6827
263.6,8.3046
263.8,7.9264
264,6.4139
264.2,6.0358
264.4,6.7921
264.6,8.1155
264.8,8.4936
265.25,8.4391
265.5,8.6977
265.83,8.9551
266,7.5483
266.2,7.3592
266.4,7.5483
266.6,8.4936
266.8,8.4936
267,7.5483
267.2,6.7921
267.4,6.7921
267.6,6.9811
267.8,6.9811
268,6.4139
268.2,6.4139
268.4,6.603
268.6,6.603
268.8,6.9811
269,7.9264
269.2,7.9264
269.4,7.1702
269.6,6.0358
269.8,6.7921
270,7.3592
270.2,7.5483
270.4,7.1702
270.6,6.9811
270.8,7.3592
271,7.3592
271.2,6.603
271.4,6.603
271.6,7.3592
271.8,8.8717
272,9.0608
272.2,9.0608
272.4,8.1155
272.6,7.3592
272.8,6.2249
273,7.3592
273.2,8.4936
273.4,9.0608
273.6,9.8171
273.8,10.195
274,10.195
274.2,10.006
274.4,9.0608
274.6,8.3046
274.8,8.8717
275,8.8717
275.2,8.3046
275.4,9.0608
275.6,9.4389
275.8,9.628
276,9.8171
276.2,9.8171
276.4,9.4389
276.6,9.0608
276.8,9.2499
277,9.8171
277.2,9.8171
277.39,10.636
277.55,11.158
277.8,10.369
277.96,9.5817
278.2,8.7931
278.45,9.5753
278.6,10.384
278.8,10.195
279,8.8717
279.2,8.6827
279.4,7.9264
279.6,7.3592
279.8,7.1702
280,7.7374
280.2,9.4389
280.4,9.4389
280.6,9.628
280.8,9.4389
281,9.0608
281.2,8.3046
281.4,6.7921
281.6,5.0905
281.8,4.9014
282,5.6577
282.2,6.603
282.4,6.9811
282.6,9.2499
282.8,9.628
283,9.2499
283.2,7.5483
283.4,7.1702
283.6,7.3592
283.8,8.6827
284,8.8717
284.2,8.6827
284.4,9.4389
284.6,9.628
284.8,8.3046
285.01,7.657
285.2,8.3046
285.4,8.6827
285.6,8.4936
285.8,7.1702
286,6.4139
286.2,6.4139
286.4,7.5483
286.6,8.4936
286.8,8.1155
287,7.5483
287.2,6.603
287.4,6.603
287.6,6.2249
287.8,6.2249
288,6.2249
288.2,6.9811
288.4,8.6827
288.6,8.6827
288.8,7.7374
289,6.9811
289.2,7.5483
289.4,7.9264
289.6,7.3592
289.8,6.2249
290,5.6577
290.2,6.4139
290.4,6.603
290.6,6.603
290.8,6.4139
291,6.2249
291.2,6.2249
291.4,6.2249
291.6,6.4139
291.8,6.2249
292,5.6577
292.2,4.9014
292.4,4.3342
