DEPT,GR
279.6542,35.52759
279.8066,35.51433
279.959,33.35992
280.1114,30.14141
280.2638,24.99219
280.4162,28.45842
280.5686,29.60429
280.721,34.63182
280.8734,33.04536
281.0258,34.77414
281.1782,33.8554
281.3306,35.76642
281.483,35.12914
281.6354,32.83894
281.7878,32.43779
281.9402,33.47708
282.0926,32.76466
282.245,33.37241
282.3974,31.38282
282.5498,33.38595
282.7022,32.96363
282.8546,33.03833
283.007,31.25137
283.1594,30.29961
283.3118,29.16249
283.4642,31.14094
283.6166,31.90974
283.769,34.85752
283.9214,34.65567
284.0738,34.67474
284.2262,35.93342
284.3786,34.15694
284.531,33.29628
284.6834,31.24287
284.8358,34.82493
284.9882,36.8036
285.1406,35.11162
285.293,34.73758
285.4454,33.9085
285.5978,36.77188
285.7502,36.04156
285.9026,37.03439
286.055,36.99308
286.2074,32.88616
286.3598,30.4551
286.5122,27.97776
286.6646,34.96094
286.817,35.21443
286.9694,32.77776
287.1218,25.04394
287.2742,21.42776
287.4266,22.09075
287.579,22.30703
287.7314,26.24459
287.8838,30.0266
288.0362,34.05281
288.1886,31.41479
288.341,32.00833
288.4934,31.99004
288.6458,35.16087
288.7982,34.99321
288.9506,36.56676
289.103,34.56159
289.2554,32.32927
289.4078,29.78407
289.5602,31.8581
289.7126,29.82006
289.865,29.56409
290.0174,26.5625
290.1698,27.59459
290.3222,29.03428
290.4746,30.51176
290.627,35.22034
290.7794,35.46302
290.9318,36.62471
291.0842,34.35513
291.2366,33.46396
291.389,31.30887
291.5414,32.02694
291.6938,32.34014
291.8462,35.70577
291.9986,35.6311
292.151,35.19397
292.3034,33.1335
292.4558,33.01907
292.6082,34.80034
292.7606,37.16814
292.913,38.85289
293.0654,35.81867
293.2178,33.38606
293.3702,32.63632
293.5226,33.28314
293.675,34.18747
293.8274,32.40548
293.9798,31.27292
294.1322,28.78886
294.2846,26.89916
294.437,24.65115
294.5894,24.83375
294.7418,22.17664
294.8942,22.3947
295.0466,20.61083
295.199,20.76657
295.3514,19.85091
295.5038,18.97856
295.6562,19.31933
295.8086,20.57929
295.961,21.76373
296.1134,22.55672
296.2658,22.54199
296.4182,22.55556
296.5706,21.77582
296.723,19.44818
296.8754,21.66278
297.0278,22.27839
297.1802,23.80339
297.3326,21.33299
297.485,19.97179
297.6374,21.30118
297.7898,21.13579
297.9422,23.1434
298.0946,19.70731
298.247,19.81979
298.3994,18.28449
298.5518,20.09387
298.7042,22.35193
298.8566,22.51982
299.009,23.27207
299.1614,23.52692
299.3138,25.27022
299.4662,25.64276
299.6186,24.03217
299.771,23.58591
299.9234,23.91216
300.0758,25.64388
300.2282,26.55814
300.3806,25.8799
300.533,25.09502
300.6854,23.74099
300.8378,25.11842
300.9902,23.74148
301.1426,24.30613
301.295,23.6174
301.4474,24.41951
301.5998,23.31327
301.7522,22.14845
301.9046,20.94618
302.057,19.14215
302.2094,20.10796
302.3618,21.76398
302.5142,23.77509
302.6666,24.58576
302.819,25.39862
302.9714,23.57605
303.1238,22.77123
303.2762,21.79568
303.4286,24.03996
303.581,25.1005
303.7334,22.76583
303.8858,19.93701
304.0382,18.03366
304.1906,19.53655
304.343,21.182
304.4954,20.83363
304.6478,20.38864
304.8002,17.86607
304.9526,16.21084
305.105,15.9198
305.2574,18.28345
305.4098,21.76255
305.5622,21.21198
305.7146,21.70163
305.867,21.88175
306.0194,25.35464
306.1718,23.79643
306.3242,22.83498
306.4766,21.802
306.629,25.16267
306.7814,27.04612
306.9338,26.3485
307.0862,24.5493
307.2386,24.1024
307.391,23.35089
307.5434,22.20908
307.6958,19.56573
307.8482,20.44261
308.0006,21.63623
308.153,23.05083
308.3054,22.78566
308.4578,22.21465
308.6102,20.6811
308.7626,19.81925
308.915,21.94506
309.0674,23.80838
309.2198,24.67002
309.3722,23.91092
309.5246,24.38232
309.677,24.07264
309.8294,23.04016
309.9818,20.60534
310.1342,21.52888
310.2866,21.4051
310.439,22.20333
310.5914,22.23527
310.7438,23.60596
310.8962,24.38772
311.0486,24.35964
311.201,23.51206
311.3534,22.54508
311.5058,21.80683
311.6582,23.29119
311.8106,25.63308
311.963,25.11119
312.1154,21.92556
312.2678,19.1673
312.4202,20.45803
312.5726,22.67292
312.725,24.85862
312.8774,25.0298
313.0298,25.00767
313.1822,24.79167
313.3346,23.38668
