DEPT,GR
190.5,1.7461
190.6524,1.7432
190.8048,2.4375
190.9572,2.0879
191.1096,2.4336
191.262,3.4746
191.4144,4.1602
191.5668,3.4629
191.7192,2.4199
191.8716,2.7754
192.024,3.125
192.1764,3.4707
192.3288,2.7793
192.4812,2.0859
192.6336,1.7393
192.786,1.7354
192.9384,2.4258
193.0908,2.7754
193.2432,3.4707
193.3956,3.4746
193.548,2.7793
193.7004,1.7373
193.8528,1.0439
194.0052,1.7334
194.1576,2.4316
194.31,3.1211
194.4624,3.8164
194.6148,4.1523
194.7672,3.8086
194.9196,2.7715
195.072,2.082
195.2244,2.4258
195.3768,2.0781
195.5292,1.7324
195.6816,1.7324
195.834,2.082
195.9864,2.4297
196.1388,2.7832
196.2912,3.4863
196.4436,3.4824
196.596,3.1289
196.7484,2.0781
196.9008,2.082
197.0532,2.7793
197.2056,3.4746
197.358,3.4746
197.5104,2.7773
197.6628,3.1172
197.8152,3.1172
197.9676,3.4629
198.12,3.1113
198.2724,4.1523
198.4248,3.1133
198.5772,3.123
198.7296,1.7324
198.882,2.4277
199.0344,2.084
199.1868,3.123
199.3392,2.7695
199.4916,2.7695
199.644,2.4316
199.7964,2.4434
199.9488,2.4414
200.1012,2.7812
200.2536,2.4316
200.406,2.4375
200.5584,1.3975
200.7108,2.4258
200.8632,2.418
201.0156,3.4551
201.168,3.4668
201.3204,3.8184
201.4728,3.8301
201.6252,3.4785
201.7776,4.5039
201.93,4.8125
202.0824,6.543
202.2348,5.4961
202.3872,5.1523
202.5396,5.4453
202.692,6.1367
202.8444,7.1562
202.9968,6.4766
203.1492,6.1328
203.3016,5.4492
203.454,4.7617
203.6064,5.7656
203.7588,5.082
203.9112,4.7305
204.0636,3.7109
204.216,4.3867
204.3684,4.7148
204.5208,5.3789
204.6732,5.0312
204.8256,6.3555
204.978,5.6641
205.1304,5.9648
205.2828,3.9492
205.4352,3.2734
205.5876,3.2305
205.74,3.5078
205.8924,4.7109
206.0448,4.5508
206.1972,5.5391
206.3496,4.9141
206.502,5.9258
206.6544,5.8984
206.8068,8.1016
206.9592,6.8828
207.1116,6.707
207.264,5.1211
207.4164,5.7031
207.5688,6.1172
207.7212,6.0117
207.8736,6.3242
208.026,5.5312
208.1784,4.7969
208.3308,4.3359
208.4832,4.6641
208.6356,4.9883
208.788,4.6484
208.9404,3.6543
209.0928,3.9902
209.2452,4.332
209.3976,5.3203
209.55,5.3203
209.7024,5.3086
209.8548,4.9844
210.0072,6.293
210.1596,7.6172
210.312,6.9492
210.4644,5.9766
210.6168,5.6523
210.7692,6.9688
210.9216,6.6367
211.074,6.6289
211.2264,5.3086
211.3788,6.3125
