DEPT,GR
326.136,4.7
326.2884,4.6
326.4408,5.2
326.5932,5.3
326.7456,6
326.898,6.4
327.0504,5.8
327.2028,4.7
327.3552,4.9
327.5076,5.5
327.66,5.5
327.8124,5.8
327.9648,6.3
328.1172,6.8
328.2696,6.4
328.422,5
328.5744,4.7
328.7268,5.3
328.8792,5.5
329.0316,5.5
329.184,5.2
329.3364,4.4
329.4888,3.8
329.6412,3.8
329.7936,4.3
329.946,5.1
330.0984,5.7
330.2508,5.7
330.4032,5.3
330.5556,5
330.708,4.2
330.8604,3.9
331.0128,4.3
331.1652,4.3
331.3176,4.7
331.47,5.2
331.6224,5.5
331.7748,6.2
331.9272,6.5
332.0796,6.1
332.232,5.6
332.3844,5.6
332.5368,5
332.6892,4.7
332.8416,4.6
332.994,4.7
333.1464,4.2
333.2988,3.1
333.4512,2.7
333.6036,2.6
333.756,3.1
333.9084,3.9
334.0608,4.3
334.2132,4.6
334.3656,4.9
334.518,5.4
334.6704,5
334.8228,5.3
334.9752,5.8
335.1276,5.3
335.28,4.9
335.4324,4.9
335.5848,4.6
335.7372,4.5
335.8896,5.2
336.042,6
336.1944,5.4
336.3468,4.6
336.4992,4.5
336.6516,5.2
336.804,5.3
336.9564,4.5
337.1088,3.9
337.2612,4.2
337.4136,5
337.566,5.6
337.7184,5.8
337.8708,5.3
338.0232,5.2
338.1756,5.2
338.328,5.6
338.4804,6
338.6328,6.4
338.7852,6.6
338.9376,6.7
339.09,6.7
339.2424,6.2
339.3948,5.8
339.5472,5.6
339.6996,5.9
339.852,6.2
340.0044,6
340.1568,6.5
340.3092,6.5
340.4616,6.5
340.614,7.1
340.7664,6.7
340.9188,6
341.0712,6.1
341.2236,6.5
341.376,7.3
341.5284,8
341.6808,9
341.8332,9.7
341.9856,8.9
342.138,8
342.2904,7.4
342.4428,6.6
342.5952,7.2
342.7476,7.2
342.9,6.3
343.0524,5.7
343.2048,5.2
343.3572,5.4
343.5096,5.4
343.662,5.4
343.8144,6.5
343.9668,7.2
344.1192,7.8
344.2716,8.1
344.424,8.1
344.5764,8
344.7288,7.7
344.8812,7.8
345.0336,7.2
345.186,6.6
345.3384,5.3
345.4908,4.2
345.6432,4.6
345.7956,5.1
345.948,5.6
346.1004,6.1
346.2528,6.5
346.4052,6.9
346.5576,7
346.71,7
346.8624,7.6
347.0148,8
347.1672,7.3
347.3196,5.9
347.472,4.8
347.6244,4.4
347.7768,4.6
347.9292,5.5
348.0816,6.7
348.234,7.6
348.3864,8.1
348.5388,8.1
348.6912,7.1
348.8436,6.3
348.996,5.9
349.1484,5.9
349.3008,6.3
349.4532,6.3
349.6056,6.2
349.758,6.6
349.9104,7.2
350.0628,7.6
350.2152,7
350.3676,6.6
350.52,6.5
350.6724,6.6
350.8248,6.3
350.9772,6.4
351.1296,6.2
351.282,6.4
351.4344,6.8
351.5868,6.7
351.7392,6.6
351.8916,7.1
352.044,7.8
352.1964,8.1
352.3488,7.8
352.5012,7
352.6536,7.1
352.806,7.1
352.9584,7.2
353.1108,7.1
353.2632,7.6
353.4156,7.6
353.568,7.3
353.7204,7.1
353.8728,7.6
354.0252,7.6
354.1776,7.5
354.33,7.7
354.4824,8.1
354.6348,8.8
354.7872,9.2
354.9396,9.1
355.092,9
355.2444,9
355.3968,9.3
355.5492,9.7
355.7016,9
355.854,8.1
356.0064,8.1
356.1588,8.1
356.3112,7.4
356.4636,7.5
356.616,7.8
356.7684,7.2
356.9208,6.9
357.0732,6.9
357.2256,7.3
357.378,7.8
357.5304,8
357.6828,8
357.8352,8.3
357.9876,8.4
358.14,8.4
358.2924,8.6
358.4448,8.8
358.5972,9.1
358.7496,9.8
358.902,9.4
359.0544,9.1
359.2068,8.3
359.3592,7.3
359.5116,6.6
359.664,6.5
359.8164,6.4
359.9688,7
360.1212,8.3
360.2736,9.5
360.426,9.9
360.5784,9.4
360.7308,8.3
360.8832,7.3
361.0356,7.1
361.188,7
361.3404,7
361.4928,6.9
361.6452,7.3
361.7976,6.9
361.95,6.6
362.1024,6.7
362.2548,6.1
362.4072,6.1
362.5596,6.3
362.712,6.7
362.8644,6.7
363.0168,6.2
363.1692,6.6
363.3216,7.1
363.474,7
363.6264,6.5
363.7788,6.6
363.9312,7.3
364.0836,8.4
364.236,8.9
364.3884,8
364.5408,6.8
364.6932,6.6
364.8456,6.8
364.998,6.8
365.1504,7.8
365.3028,7.8
365.4552,7.2
365.6076,7.2
365.76,7.3
365.9124,7.1
366.0648,6.7
366.2172,7.1
366.3696,7.6
366.522,7.8
366.6744,7.6
366.8268,7.8
366.9792,7.9
367.1316,7.6
367.284,6.8
367.4364,6.8
367.5888,7.2
367.7412,7.7
367.8936,7.6
368.046,7.9
368.1984,8.7
368.3508,8.8
368.5032,8.6
368.6556,9.4
368.808,10.3
368.9604,10
369.1128,10.5
369.2652,11.2
369.4176,12.3
369.57,13.6
369.7224,13.9
369.8748,13.5
370.0272,13.3
370.1796,13.4
370.332,13
370.4844,11.9
370.6368,10.9
