DEPT,GR
260.6044,10.65428
260.7568,8.37672
260.9092,8.37672
261.0616,8.13056
261.214,10.32176
261.3664,11.30151
261.5188,11.54767
261.6712,10.73517
261.8236,10.4098
261.976,9.18572
262.1284,10.08458
262.2808,11.47135
262.4332,12.1205
262.5856,10.41446
262.738,7.72623
262.8904,9.10833
263.0428,8.21144
263.1952,8.85853
263.3476,8.13056
263.5,7.80641
263.6524,6.99391
263.8048,9.59684
263.9572,9.18983
264.1096,9.59608
264.262,7.64388
264.4144,10.48536
264.5668,10.5699
264.7192,9.02593
264.8716,8.86197
265.024,9.59679
265.1764,10.16465
265.3288,8.86513
265.4812,8.45812
265.6336,10.32396
265.786,12.28005
265.9384,11.46603
266.0908,10.57094
266.2432,8.86489
266.3956,10.65258
266.548,10.73517
266.7004,9.51291
266.8528,7.72522
267.0052,5.69396
267.1576,8.94763
267.31,8.94306
267.4624,11.54782
267.6148,8.70239
267.7672,11.46296
267.9196,10.89631
268.072,12.11126
268.2244,10.49221
268.3768,10.08519
268.5292,10.08398
268.6816,11.3891
268.834,13.0135
268.9864,13.42097
269.1388,12.76658
269.2912,11.1361
269.4436,11.70959
269.596,13.58502
269.7484,13.17877
269.9008,11.55193
270.0532,7.07175
270.2056,7.15628
270.358,6.1814
270.5104,5.85786
270.6628,5.77333
270.8152,6.09747
270.9676,8.85853
271.12,10.5699
271.2724,12.68783
271.4248,11.87532
271.5772,11.22459
271.7296,11.62323
271.882,11.95225
272.0344,10.89694
272.1868,9.35209
272.3392,7.40111
272.4916,8.13105
272.644,7.64464
272.7964,8.94489
272.9488,8.61587
273.1012,8.62043
273.2536,9.27117
273.406,9.27117
273.5584,12.36032
273.7108,12.84381
273.8632,13.17283
274.0156,10.49068
274.168,11.30319
274.3204,10.65246
274.4728,10.64713
274.6252,9.6765
274.7776,14.07444
274.93,14.15897
275.0824,12.28583
275.2348,7.23717
275.3872,9.18389
275.5396,11.05703
275.692,12.84959
275.8444,12.03709
275.9968,13.66392
276.1492,11.62506
276.3016,12.11767
276.454,9.18937
276.6064,10.40812
276.7588,7.88806
276.9112,8.21342
277.0636,7.80717
277.216,8.37504
277.3684,9.10301
277.5208,9.92236
277.6732,10.57309
277.8256,10.97934
277.978,10.89526
278.1304,12.52575
278.2828,11.06227
278.4352,9.92531
278.5876,8.29118
278.74,8.62043
278.8924,9.02745
279.0448,7.72671
279.1972,9.68257
279.3496,11.38861
279.502,11.87684
279.6544,12.84929
279.8068,13.16918
279.9592,12.68387
280.1116,10.08337
280.264,8.45715
280.4164,9.35404
280.5688,10.97296
280.7212,9.67636
280.8736,12.3585
281.026,12.36763
281.1784,13.25919
281.3308,15.21139
281.4832,12.3585
281.6356,13.41913
281.788,10.41284
281.9404,12.60503
282.0928,11.54972
282.2452,10.72885
282.3976,10.73517
282.55,10.73517
282.7024,13.57893
282.8548,13.9043
283.0072,13.98351
283.1596,13.17101
283.312,10.24393
283.4644,12.18883
283.6168,10.57143
283.7692,11.54631
283.9216,8.70437
284.074,8.86401
284.2264,10.72985
284.3788,12.92835
284.5312,14.39677
284.6836,11.55482
284.836,10.98133
284.9884,8.12691
285.1408,9.75375
285.2932,9.35358
285.4456,10.73958
285.598,9.11092
285.7504,8.13239
285.9028,6.34013
286.0552,7.31806
286.2076,8.29659
286.36,9.10788
286.5124,9.76105
286.6648,9.75497
286.8172,9.75983
286.9696,9.35282
287.122,8.05208
287.2744,7.64751
287.4268,7.07598
287.5792,9.18922
287.7316,11.6313
287.884,11.95278
288.0364,10.33233
288.1888,8.94556
288.3412,9.59654
288.4936,11.05886
288.646,12.03862
288.7984,9.43836
288.9508,6.755
289.1032,5.77524
289.2556,9.188
289.408,11.546
289.5604,8.86035
289.7128,8.05394
289.8652,7.72857
290.0176,10.97859
290.17,11.95225
290.3224,12.76111
