DEPT,GR
137.4648,5.61
137.6172,1.8791
137.7696,1.6867
137.922,2.238
138.0744,2.6378
138.2268,2.8401
138.3792,3.0558
138.5316,3.7833
138.684,4.2
138.8364,3.9853
138.9888,3.5585
139.1412,3.1591
139.2936,3.3381
139.446,4.1531
139.5984,5.0769
139.7508,5.756
139.9032,5.8901
140.0556,6.0912
140.208,5.7262
140.3604,4.4732
140.5128,4.005
140.6652,4.3179
140.8176,4.4748
140.97,3.8752
141.1224,3.3484
141.2748,3.7758
141.4272,4.3031
141.5796,4.5779
141.732,4.8474
141.8844,4.8699
142.0368,4.3379
142.1892,3.0589
142.3416,1.9546
142.494,3.0221
142.6464,5.0497
142.7988,6.0997
142.9512,5.7484
143.1036,4.7229
143.256,4.1369
143.4084,3.5559
143.5608,3.7081
143.7132,4.4413
143.8656,4.3846
144.018,3.8338
144.1704,3.4366
144.3228,3.656
144.4752,3.7862
144.6276,3.6619
144.78,3.4754
144.9324,3.1717
145.0848,2.8954
145.2372,2.9562
145.3896,3.4049
145.542,3.9513
145.6944,4.008
145.8468,3.3994
145.9992,2.7264
146.1516,2.0268
146.304,1.9628
146.4564,2.0614
146.6088,2.0889
146.7612,2.7971
146.9136,3.8823
147.066,5.2877
147.2184,5.8981
147.3708,5.4862
147.5232,5.3908
147.6756,5.0624
147.828,4.6936
147.9804,3.8651
148.1328,2.8805
148.2852,2.7802
148.4376,4.043
148.59,5.4341
148.7424,5.5079
148.8948,4.1178
149.0472,3.1784
149.1996,3.6291
149.352,4.0752
149.5044,4.5921
149.6568,4.8145
149.8092,4.6914
149.9616,4.0866
150.114,3.4371
150.2664,3.3675
150.4188,3.7212
150.5712,4.2755
150.7236,4.6201
150.876,4.0913
151.0284,3.1394
151.1808,2.9158
151.3332,3.9297
151.4856,4.5098
151.638,4.086
151.7904,3.248
151.9428,3.8239
152.0952,4.8418
152.2476,5.1195
152.4,4.4878
152.5524,3.2421
152.7048,3.0259
152.8572,3.2676
153.0096,3.592
153.162,3.2548
153.3144,2.7617
153.4668,3.0667
153.6192,4.0724
153.7716,4.352
153.924,4.5254
154.0764,3.988
154.2288,3.5855
154.3812,3.2597
154.5336,3.2221
154.686,4.3529
154.8384,4.9705
154.9908,4.9688
155.1432,5.1965
155.2956,5.6857
155.448,6.3804
155.6004,5.9127
155.7528,4.7751
155.9052,3.8019
156.0576,3.3105
156.21,3.3127
156.3624,2.9729
156.5148,2.6966
156.6672,3.0011
156.8196,3.8958
156.972,4.8769
157.1244,5.3965
157.2768,5.0619
157.4292,4.3802
157.5816,4.4125
157.734,4.6467
157.8864,4.6527
158.0388,4.3727
158.1912,4.2888
158.3436,4.1083
158.496,4.174
158.6484,4.8852
158.8008,5.0516
158.9532,5.1814
159.1056,4.9725
159.258,4.9646
159.4104,4.6515
159.5628,3.8483
159.7152,4.3591
159.8676,4.5959
160.02,4.7367
160.1724,4.9569
160.3248,5.2123
160.4772,5.8328
160.6296,5.7766
160.782,5.2227
160.9344,4.6694
161.0868,4.6822
161.2392,5.1992
161.3916,5.5979
161.544,5.6088
161.6964,5.666
161.8488,5.3358
162.0012,4.0551
162.1536,3.3105
162.306,3.3127
162.4584,4.0761
162.6108,4.2448
162.7632,4.3296
162.9156,5.1521
163.068,5.8246
163.2204,5.6166
163.3728,4.9392
163.5252,4.7129
163.6776,5.0334
163.83,5.1287
163.9824,5.7386
164.1348,6.1895
164.2872,5.7634
164.4396,4.4564
164.592,4.576
164.7444,5.8425
164.8968,6.3691
165.0492,6.2666
165.2016,5.3192
165.354,5.6106
165.5064,6.5098
165.6588,7.6898
165.8112,8.3957
165.9636,7.9456
166.116,7.3807
166.2684,6.5312
166.4208,5.9016
166.5732,5.6365
166.7256,5.6599
166.878,6.2474
167.0304,6.4764
167.1828,6.2055
167.3352,5.624
167.4876,5.0012
167.64,4.949
167.7924,4.4667
167.9448,4.6708
168.0972,5.7041
168.2496,6.5332
168.402,6.3416
168.5544,5.5777
168.7068,5.4849
168.8592,5.7271
169.0116,5.367
169.164,4.2355
169.3164,3.1546
169.4688,3.485
169.6212,5.1452
169.7736,6.6392
169.926,6.5674
170.0784,6.224
170.2308,6.0105
170.3832,7.4061
170.5356,8.6031
170.688,9.0738
170.8404,7.7581
170.9928,7.1836
171.1452,7.75
171.2976,8.2109
171.45,7.659
171.6024,6.2247
171.7548,5.3032
171.9072,4.3316
172.0596,4.7319
172.212,5.4605
172.3644,6.209
172.5168,5.7802
172.6692,4.7754
172.8216,4.2012
172.974,3.9803
173.1264,4.7032
173.2788,6.0977
173.4312,6.7607
173.5836,6.3985
173.736,5.2501
173.8884,5.0424
174.0408,5.9278
174.1932,5.9982
174.3456,6.2008
174.498,6.1153
174.6504,5.4454
174.8028,4.748
174.9552,4.3789
175.1076,4.828
175.26,5.0449
175.4124,4.9219
175.5648,5.0722
175.7172,4.7442
175.8696,4.5297
176.022,5.1075
176.1744,6.0824
176.3268,5.8219
176.4792,4.3041
176.6316,3.4126
176.784,4.789
176.9364,6.7694
177.0888,7.2324
177.2412,6.6582
177.3936,6.433
177.546,7.1523
177.6984,7.0258
177.8508,5.9415
178.0032,5.6256
178.1556,5.7775
178.308,6.0783
178.4604,5.705
178.6128,5.0563
178.7652,5.5226
178.9176,6.0014
179.07,6.4473
179.2224,6.6725
179.3748,7.0101
179.5272,6.7835
179.6796,5.8461
179.832,4.7349
179.9844,4.5719
180.1368,4.3349
180.2892,4.2876
180.4416,5.4042
180.594,6.4685
180.7464,7.141
180.8988,6.3765
181.0512,5.9981
181.2036,5.7571
181.356,5.3674
181.5084,4.8513
181.6608,5.1117
181.8132,6.3342
181.9656,6.8324
182.118,7.1367
182.2704,7.2324
182.4228,8.0116
182.5752,8.75
182.7276,8.75
182.88,8.1527
183.0324,7.3633
183.1848,6.8164
183.3372,7.4683
183.4896,8.3578
183.642,8.7551
183.7944,7.6229
183.9468,6.6682
184.0992,6.823
184.2516,7.4492
184.404,8.2271
184.5564,8.4609
184.7088,9.2044
184.8612,9.0605
185.0136,8.5957
185.166,8.2784
185.3184,7.774
185.4708,8.2578
185.6232,7.9937
185.7756,7.6758
185.928,6.7166
186.0804,7.3868
186.2328,7.9903
186.3852,6.7778
186.5376,6.1387
186.69,6.3164
186.8424,6.917
186.9948,6.5926
187.1472,7.5829
187.2996,10.2439
187.452,11.7355
187.6044,10.9479
187.7568,9.3547
187.9092,8.4535
188.0616,8.3613
188.214,8.1815
188.3664,7.4696
188.5188,7.0834
188.6712,8.4231
188.8236,11.0317
188.976,11.8274
189.1284,10.4333
189.2808,9.1348
189.4332,9.5133
189.5856,9.6824
189.738,7.7691
189.8904,6.2508
190.0428,7.5206
190.1952,10.4322
190.3476,11.0246
190.5,9.6323
190.6524,8.4318
190.8048,8.3904
190.9572,8.7449
191.1096,7.8257
191.262,7.3828
191.4144,7.3346
191.5668,7.8458
191.7192,8.6199
191.8716,8.75
192.024,9.5191
192.1764,10.4492
192.3288,11.6062
192.4812,10.985
192.6336,9.3215
192.786,9.1543
192.9384,10.7405
193.0908,11.6325
193.2432,10.409
193.3956,8.0571
193.548,6.5377
193.7004,6.7459
193.8528,8.3142
194.0052,9.8812
194.1576,9.4529
194.31,7.0588
194.4624,5.8703
194.6148,6.6098
194.7672,7.5609
194.9196,7.6393
195.072,8.0171
195.2244,8.6695
195.3768,8.6344
195.5292,8.323
195.6816,9.057
195.834,9.9316
195.9864,9.6723
196.1388,9.8276
196.2912,10.9586
196.4436,11.3769
196.596,11.3691
196.7484,11.1828
196.9008,11.0672
197.0532,10.415
197.2056,9.6387
197.358,10.2719
197.5104,11.9606
197.6628,12.5395
197.8152,11.6954
197.9676,10.9153
198.12,11.7324
198.2724,12.4305
198.4248,11.2269
198.5772,9.2902
198.7296,8.4391
198.882,8.5992
199.0344,8.7273
199.1868,8.7344
