DEPT,GR
180,40.18212594
180.2,40.32624473
180.4,39.44979022
180.6,38.68177141
180.8,39.43158524
181,40.90029852
181.2,41.23834325
181.4,39.3465685
181.6,37.2851892
181.8,34.74665618
182,34.75099153
182.2,37.4631743
182.4,38.77065166
182.6,40.01833661
182.8,40.15205098
183,39.78218708
183.2,39.7941554
183.4,39.81581315
183.6,39.28174734
183.8,39.05492363
184,40.34829164
184.2,41.62092631
184.4,41.7317127
184.6,40.88708606
184.8,40.12538969
185,40.18986047
185.2,40.28672115
185.4,40.17369018
185.6,39.54007995
185.8,38.96619005
186,38.41345958
186.2,38.33987326
186.4,38.98985043
186.6,39.56829511
186.8,39.44602155
187.2,39.77530598
187.4,39.8277607
187.6,39.4323277
187.8,39.9635545
188,40.53179138
188.2,40.20984754
188.4,39.41678275
188.6,38.6783529
188.8,38.72765024
189,39.38540972
189.2,39.78277284
189.4,40.12392077
189.5997188,42.11721997
189.7991564,43.7720044
189.9997188,42.54958823
190.2,40.7332166
190.4,40.62850407
190.6,40.92286755
190.7994376,43.71181004
190.8618529,44.79178773
191.1256097,46.48792942
191.1994376,45.41726351
191.4,43.08380794
191.6,40.53058281
191.8,40.51964049
192,41.42501901
192.2,41.19621711
192.4,40.2873665
192.6,39.78367816
192.8,40.78326554
192.9991564,44.20903648
193.1991564,43.84571406
193.3991564,43.72099951
193.5994376,43.36758804
193.8,43.50153014
194,44.13198307
194.2,44.92692026
194.4,45.27331167
194.6,45.45014455
194.8,45.63656409
195,44.70913343
195.2,42.32983297
195.4,40.13847021
195.6,40.17945128
195.8,40.80588764
196,40.59646256
196.1994376,43.66660529
196.3991564,45.65038519
196.5988752,46.85040157
196.7988752,46.66766085
197,45.54019284
197.1994376,43.58907812
197.3997188,42.4601236
197.5994376,42.8510213
197.7994376,42.78102557
198,42.68479527
198.198594,44.48949554
198.3994376,43.42226819
198.6,42.34405029
198.8,43.86602108
199,44.55316616
199.2,44.55137276
199.4,44.50390175
199.6,44.12740262
199.8,43.86698907
200,44.5648916
200.2,44.95066317
200.4,44.23249578
200.6,43.42162203
200.8,44.81197672
201,45.55797406
201.2,45.65547578
201.4,44.6012229
201.6,43.09279678
201.8,43.76202171
202,44.1639182
202.2,45.24049555
202.4,45.268357
202.6,44.48811984
202.8,43.82212224
203,43.80564805
203.2,44.98240307
203.4,45.5526689
203.6,46.43051049
203.8,46.85105615
204,46.26580656
204.2,44.90041173
204.4,44.38567362
204.6,46.28937841
204.8,46.76756947
205,47.07010008
205.2,48.94422298
205.3988752,50.11397735
205.5994376,48.43736313
205.8,45.63317838
206,43.31495035
206.2,41.62481599
206.4,40.68746257
206.6,39.82535708
206.8,40.84349851
207,40.84854337
207.2,40.53055943
207.4,40.97622138
207.6,43.22716978
207.7991564,46.15929164
208,47.1896895
208.2,47.02224053
208.4,46.0539323
208.6,43.55257019
208.8,43.04234338
209,43.73398754
209.2,44.08123691
209.4,44.10797247
209.6,43.06299248
209.8,41.77053773
210,43.08404663
210.2,43.67547878
210.4,41.90587931
210.6,40.97908151
210.8,40.93018233
211,41.82376097
211.2,42.5479216
211.4,42.34563037
211.6,43.29266084
211.8,44.02702847
212,46.16013613
212.2,46.72938816
212.4,46.66233175
212.6,44.24066216
212.8,43.47556577
213,44.17598874
213.2,46.02295044
213.4,45.97963852
213.6,44.89479144
213.8,43.43380497
214,42.68060782
214.2,43.56900862
214.4,44.91789942
214.6,45.63685336
214.8,46.92243784
215,46.24547289
215.2,44.60271508
215.4,45.35270869
215.6,46.97967767
215.8,47.11690998
216,46.38906593
216.2,45.97004887
216.4,47.43928386
216.6,48.70847634
216.8,47.81125961
217,45.55862171
217.2,42.30962082
217.4,41.9842444
217.6,41.98904744
217.8,43.25315228
218,45.75184341
218.2,47.12494479
218.4,46.74878258
218.6,46.07598514
218.8,44.86480459
219,44.54575225
219.2,44.65249116
219.4,44.22275854
219.6,42.67032649
219.8,41.63904892
220,41.98912096
220.2,43.44187034
220.4,44.88125991
220.6,46.01550332
220.8,44.31594359
221,42.27285119
221.2,41.9849074
221.4,41.98575885
221.6,41.92732141
221.8,43.93003533
222,45.32438982
222.2,44.42448153
222.4,41.58189615
222.6,41.84984897
222.8,44.09650171
223,44.54125667
223.2,44.60119588
223.4,42.51121608
223.6,41.97856941
223.8,43.11783322
224,43.81285577
224.2,43.5925471
224.4,42.32723122
224.6,41.98546526
224.8,41.56218091
225,40.61468028
225.2,40.52451251
225.4,40.79399719
225.6,40.88913069
225.8,40.92723178
226,40.09704927
226.2,40.52161007
226.4,40.52396846
226.6,40.57244618
226.8,39.92675179
227,39.62936824
227.2,40.78628275
227.4,40.53318979
227.6,40.10810753
227.8,40.53254666
228,40.89594794
228.2,40.51088782
228.4,40.52773407
228.6,40.09954853
228.8,39.04450123
229,39.05340411
229.2,39.77246941
229.4,40.71372675
229.6,41.99939801
229.8,41.97380001
230,40.92616189
230.2,39.32060571
230.4,37.94228358
230.6,38.09265224
230.8,40.13009139
231,41.05563134
231.2,41.25458944
231.4,41.90305663
231.5994376,43.71504875
231.7997188,44.82684921
231.9991564,44.33430287
232.1994376,43.94809569
232.3994376,44.02695579
232.6,41.67663497
232.8,39.67195318
233,39.35701378
233.2,40.62057794
233.4,42.11987997
233.6,42.62018437
233.8,41.996338
234,41.60628974
234.2,43.24223779
234.3994376,46.01287397
234.5991564,46.37829749
234.7994376,45.94111563
235,44.89896605
235.2,45.47603008
235.4,45.99162353
235.6,44.67401264
235.8,44.61110968
236,46.00619129
236.1994376,46.30954498
236.3991564,45.38554951
236.6,43.25971073
236.8,41.06438577
237,41.00368328
237.2,41.22091133
237.4,41.0162767
237.6,40.53029881
237.8,41.27609551
238,42.34699453
238.2,41.46671982
238.4,40.52346492
238.6,40.92777265
238.8,41.99435933
239,41.96939609
239.2,41.91477543
239.4,40.27302576
239.6,39.70743159
239.8,39.39551973
240,39.77996166
240.2,40.12111075
240.4,40.71157604
240.6,41.22984509
240.8,41.40031838
241,43.01778972
241.2,43.7211146
241.4,43.5663552
241.6,43.51398089
241.8,44.89731218
242,47.64542872
242.2,48.1720685
242.4,45.76756975
242.6,41.5965508
242.8,40.31637192
243,40.1728733
243.2,40.73634585
243.4,40.81673457
243.6,39.88773962
243.8,39.85852712
244,41.50919283
244.2,41.93596824
244.4,42.05846576
244.6,41.9999446
244.8,40.87683534
245,40.86849428
245.2,42.34206489
245.4,42.87522241
245.6,41.61775142
245.8,40.26816223
246,40.17587882
246.2,41.72392574
246.4,42.79579886
246.6,42.5163421
246.8,42.36985323
247.0005624,42.09679353
247.2,41.53090557
247.4,41.26347882
247.6,40.76551388
247.8,39.90751087
248,39.65342368
248.2,40.42200672
248.4,42.43300706
248.5994376,45.03551732
248.8,42.01473023
249,39.80259898
249.2,39.62560857
249.4,39.80793767
249.6,41.54920685
249.8,43.36781143
249.9991564,46.29110726
250.2,45.81992851
250.4,45.59354922
250.6,44.41924055
250.8,43.44604135
251,43.87840553
251.2,45.5348713
251.4,45.56054914
251.6,43.828604
251.8,42.54249416
252,44.10717576
252,42.42215215
252.2,41.20698614
252.4,41.55925298
252.6,41.56045115
252.8,42.31792882
253,43.12509839
253.2,44.35973568
253.4,44.2886366
253.6,43.27811917
253.8,42.21408369
254,41.92102362
254.2,43.5548842
254.4,46.72104342
254.6,45.63298589
254.8,44.95811505
255,42.0340041
255.2,41.16759356
255.4,42.12228118
255.6,43.53588976
255.8,44.50151898
256,43.91499548
256.2,41.96649276
256.4,43.86690081
256.6,45.53992057
256.8,46.24104483
257,45.19664075
257.2,44.84452652
257.4,44.14947067
257.6,44.34958289
257.8,46.21664639
258,47.86521721
258.2,47.05157699
258.4,46.67476133
258.6,47.00759899
258.8,48.95604229
259,49.5995402
259.2,47.43436652
259.4,44.91529127
259.6,42.9153962
259.8,41.93062713
260,42.44535385
260.2,44.10032319
260.4,47.40143659
260.6,49.21953678
260.8,48.11187584
261,45.93666497
261.2,43.76583277
261.4,43.39520589
261.6,44.27903274
261.8,45.2269609
262,46.7751527
262.2,47.71613046
262.4,47.58149623
262.6,47.40847421
262.8,48.23375277
263,49.21097282
263.2,49.61872355
263.4,49.22586181
263.6,47.52002665
263.8,45.5198878
264,45.39795217
264.2,47.15084266
264.4,49.26821433
264.6,49.47394018
264.8,47.15417845
265,45.47341023
265.2,45.2105389
265.4,45.29997606
265.6,46.90275133
265.8,47.83871261
266,47.74478764
266.2,48.77078561
266.4,49.85595912
266.6,51.42893264
266.8,50.43158128
267,46.94216066
267.2,46.02933903
267.4,46.60300413
267.6,46.32577887
267.8,45.57782974
268,45.21309618
268.2,45.32873301
268.4,46.98861777
268.6,47.94774353
268.8,47.05600894
269,45.78393086
269.2,44.85122433
269.4,44.47587597
269.6,44.84554559
269.8,45.84727118
270,47.40210932
270.2,47.00023451
270.4,46.65810976
270.6,47.44294683
270.8,48.12489558
271,48.54493971
271.2,49.63800315
271.4,50.13119054
271.6,48.46384411
271.8,48.14027642
272,47.77183191
272.2,47.41349404
272.4,46.20294671
272.6,44.80631299
272.8,44.86410689
273,45.9711633
273.2,46.84468798
273.4,48.23877834
273.6,49.85746619
273.8,48.64941902
274,47.70936226
274.2,47.09065596
274.4,46.27910134
274.6,47.89496713
274.8,49.19067501
275,48.21507976
275.2,46.637574
275.4,46.38131183
275.6,45.11520899
275.8,43.72541937
276,45.0772648
276.2,47.05106556
276.4,46.54482564
276.6,44.54371466
276.8,43.34290554
277,43.40363003
277.2,45.24871978
277.4,44.46937565
277.6,44.17149713
277.8,41.57745162
278,42.02925267
278.2,46.29381577
278.4,48.49472234
278.6,47.76232783
278.8,45.72654019
279,44.8449073
279.2,45.53141518
279.4,45.94082908
279.6,45.909056
279.8,47.04519373
280,47.02369932
280.2,46.69828397
280.4,47.0330954
280.6,47.41795367
280.8,46.8452633
281,43.6382654
281.2,41.72022625
281.4,41.54869632
281.6,41.56562445
281.8,41.5998955
282,41.89948511
282.2,41.19381127
282.4,40.93391819
282.6,41.24290765
282.8,41.80769977
283,42.9034339
283.2,43.58313377
283.4,43.02885573
283.6,42.28531525
283.8,44.87783946
284,46.99771393
284.2,47.08291641
284.4,45.59805864
284.6,44.03110549
284.8,44.78570773
285,46.91083582
285.2,47.78018122
285.4,46.53480002
285.6,45.94211229
285.8,46.10444523
286,45.6054073
286.2,44.40940164
286.4,45.89073904
286.6,47.26857957
286.8,47.03844775
287,45.22404996
287.2,47.00931193
287.4,46.40653137
287.6,47.03497438
287.8,47.664735
288,48.85473532
288.2,51.15299244
288.4,53.97632263
288.6,52.56359642
288.8,49.92520656
289,48.89355527
289.2,49.31439555
289.4,49.27483682
289.6,47.68893094
289.8,47.49147855
290,48.57024414
290.2,49.83785856
290.4,50.7258043
290.6,51.43568903
290.8,51.34857711
291,49.44521566
291.2,48.42834634
