DEPT,GR
416.3,17.00908643
416.5,15.01275998
416.7,15.13381562
416.9,16.57249718
417.1,17.29304144
417.3,16.84124115
417.5,16.68873879
417.7,18.09310288
417.9,20.4039323
418.1,20.2934631
418.3,18.23224848
418.5,17.78215689
418.7,20.83571816
418.9,24.83681105
419.1,25.57079419
419.3,23.59542798
419.5,23.20181991
419.7,22.10091611
419.9,20.5579304
420.1,18.20347264
420.3,15.91402814
420.5,16.13914509
420.7,19.96769617
420.9,25.22430074
421.1,26.86899806
421.3,26.20857653
421.5,25.63551705
421.7,25.58553947
421.9,26.15848664
422.1,26.08466955
422.3,23.07650543
422.5,20.62476093
422.7,22.45883401
422.9,26.25662338
423.1,28.78754647
423.3,29.52391223
423.5,30.70830734
423.7,32.38972602
423.9,32.34570691
424.1,31.00512428
424.3,30.6120208
424.5,31.84079525
424.7,32.01914755
424.9,30.70278393
425.1,28.13016237
425.3,25.61599544
425.5,27.20459797
425.7,29.37982863
425.9,28.98034362
426.1,28.95075317
426.3,26.74446634
426.5,24.26280779
426.7,25.82628463
426.9,26.18786425
427.1,25.75722671
427.3,26.79482798
427.5,25.51356302
427.7,26.29219496
427.9,25.82754037
428.1,21.64032459
428.3,19.45917379
428.5,20.80857824
428.7,21.30341222
428.9,22.08316033
429.1,21.98243979
429.3,21.21355678
429.5,21.15709193
429.7,20.55529601
429.9,19.41336005
430.1,19.32953577
430.3,21.96524607
430.5,23.45635416
430.7,23.79850712
430.9,26.11180974
431.1,28.65660615
431.3,29.53486344
431.5,30.11186272
431.7,30.59972701
431.9,30.06484956
432.1,29.12490297
432.3,28.98689899
432.5,30.37431504
432.7,30.64933061
432.9,30.59368459
433.1,30.09188074
433.3,28.64521451
433.5,26.45003932
433.7,26.06890063
433.9,29.34665387
434.1,30.71127913
434.3,29.16367845
434.5,27.12710293
434.7,25.65783828
434.9,25.77186594
435.1,27.20732854
435.3,27.2367305
435.5,24.58834509
435.7,22.30165398
435.9,23.14000596
436.1,24.96395365
436.3,26.29474158
436.5,27.60888398
436.7,28.18555623
436.9,27.13883374
437.1,23.13196599
437.3,19.86054545
437.5,19.96936527
437.7,22.59483873
437.9,21.14981795
438.1,19.43795919
438.3,20.55481031
438.5,21.88387543
438.7,23.75793206
438.9,24.28979792
439.1,22.12602628
439.3,21.46771195
439.5,24.31891098
439.7,27.47853497
439.9,28.47484754
440.1,27.3895111
440.3,23.54986487
440.5,22.20056264
440.7,22.9675847
440.9,24.45559053
441.1,23.97225312
441.3,24.71164716
441.5,26.92120638
441.7,23.43325453
441.9,20.51013151
442.1,23.14000515
442.3,22.08133464
442.5,20.07147127
442.7,20.00972091
442.9,19.50409821
443.1,18.06141899
443.3,17.25251877
443.5,18.3242731
443.7,19.40499509
443.9,18.5625801
444.1,18.39146181
444.3,18.20441339
444.5,17.23905397
444.7,18.63252457
444.9,18.95498494
445.1,18.98723785
445.3,20.08854397
445.5,19.54008438
445.7,18.19223535
445.9,16.84633973
446.1,15.17478397
446.3,13.83244942
446.5,14.48353796
446.7,14.41288191
446.9,14.50144603
447.1,15.53759612
447.3,19.30817154
447.5,18.6376726
447.7,14.47500517
447.9,16.41372842
448.1,19.72458549
448.3,20.78212173
448.5,19.48449845
448.7,20.35948808
448.9,20.10245552
449.1,19.40353922
449.3,20.93827158
449.5,21.73686715
449.7,20.04527094
449.9,18.33183497
450.1,18.25172983
450.3,16.85159638
450.5,18.37311659
450.7,22.27099249
450.9,22.30988639
451.1,22.82684588
451.3,23.84394438
451.5,22.83721949
451.7,22.84984219
451.9,21.19572022
458.7,15.62286789
458.9,15.61817311
459.1,15.53435521
459.3,16.51945287
459.5,18.08538197
459.7,18.92553736
459.9,19.51731946
460.1,18.545129
460.3,17.16595691
460.5,15.19042127
460.7,14.64297222
460.9,15.46909707
461.1,15.02832571
461.3,12.31442902
461.5,10.55459747
461.7,10.85482221
461.9,13.56866736
462.1,16.66520867
462.3,19.53446833
462.5,22.20081729
462.7,23.41337844
462.9,24.75188497
463.1,26.05652933
463.3,28.38891595
463.5,28.55837659
463.7,27.29207524
463.9,27.29195402
464.1,26.83594441
464.3,25.35210355
464.5,22.92192077
464.7,21.15592628
464.9,21.13441932
465.1,22.4853544
465.3,25.92944722
465.5,29.13978232
465.7,32.78194294
465.9,34.65728084
466.1,33.46426394
466.3,32.27473362
466.5,32.31942577
466.7,32.30859419
466.9,32.03276278
467.1,30.38400277
467.3,28.93442695
467.5,28.94476099
467.7,30.53511393
467.9,32.74760153
468.1,32.59357059
468.3,31.38121186
468.5,30.60242897
468.7,31.23301893
468.9,31.67123543
469.1,31.18492464
469.3,29.80454586
469.5,28.96968257
469.7,29.01827387
469.9,30.19539263
470.1,32.72943447
470.3,35.9687672
470.5,39.22558907
470.7,38.9728354
470.9,35.6452684
471.1,31.94189352
471.3,32.01837937
471.5,32.88694853
471.7,34.00190581
471.9,35.70057772
472.1,34.99431572
472.3,33.52228703
