DEPT,GR
265.176,4.47376
265.2522,4.82279
265.3284,5.17155
265.4046,5.37968
265.4808,5.58811
265.557,5.95061
265.6332,6.31221
265.7094,6.21364
265.7856,6.11562
265.8618,6.30215
265.938,6.48762
266.0142,6.12515
266.0904,5.76458
266.1666,6.37966
266.2428,6.99337
266.319,6.90521
266.3952,6.81764
266.4714,7.03394
266.5476,7.24823
266.6238,6.43232
266.7,5.61783
266.7762,5.52622
266.8524,5.43425
266.9286,5.15963
267.0048,4.88632
267.081,5.28505
267.1572,5.68314
267.2334,5.75287
267.3096,5.82245
267.3858,5.81372
267.462,5.80473
267.5382,5.66142
267.6144,5.51797
267.6906,5.29828
267.7668,5.08004
267.843,5.60017
267.9192,6.11909
267.9954,6.01541
268.0716,5.91282
268.1478,6.3729
268.224,6.83114
268.3002,6.34377
268.3764,5.85787
268.4526,6.13103
268.5288,6.40333
268.605,6.23233
268.6812,6.06191
268.7574,6.1887
268.8336,6.31504
268.9098,6.21083
268.986,6.10648
269.0622,5.92648
269.1384,5.74628
269.2146,5.46131
269.2908,5.17631
269.367,4.88031
269.4432,4.58517
269.5194,4.73334
269.5956,4.8815
269.6718,5.0209
269.748,5.16053
269.8242,5.41494
269.9004,5.66923
269.9766,5.85951
270.0528,6.0502
270.129,6.4508
270.2052,6.85116
270.2814,7.12931
270.3576,7.40653
270.4338,7.20272
270.51,6.99933
270.5862,7.01133
270.6624,7.0229
270.7386,6.8192
270.8148,6.61541
270.891,6.36665
270.9672,6.11794
271.0434,5.88786
271.1196,5.65751
271.1958,5.28384
271.272,4.91194
271.3482,5.44878
271.4244,5.98472
271.5006,6.06521
271.5768,6.14523
271.653,5.98838
271.7292,5.83145
271.8054,5.63599
271.8816,5.4404
271.9578,5.1798
272.034,4.92061
272.1102,5.38749
272.1864,5.85337
272.2626,5.80398
272.3388,5.75405
272.415,5.42484
272.4912,5.09634
272.5674,5.12928
272.6436,5.16125
272.7198,4.69937
272.796,4.23884
272.8722,4.47452
272.9484,4.70948
273.0246,4.58032
273.1008,4.45215
273.177,4.82952
273.2532,5.20632
273.3294,5.29179
273.4056,5.37663
273.4818,5.14307
273.558,4.90994
