DEPT,GR
142.0368,14
142.1892,14.4
142.3416,14
142.494,14.3
142.6464,13.6
142.7988,14
142.9512,14.6
143.1036,15.7
143.256,16.6
143.4084,16.6
143.5608,16.8
143.7132,16.9
143.8656,16.5
144.018,16.9
144.1704,16.2
144.3228,16.9
144.4752,16.4
144.6276,16
144.78,15.7
144.9324,16
145.0848,16.4
145.2372,15.8
145.3896,15.1
145.542,14.6
145.6944,15.3
145.8468,15.4
145.9992,16.1
146.1516,16.5
146.304,16.6
146.4564,17.3
146.6088,18
146.7612,17.8
146.9136,17.7
147.066,16.8
147.2184,16.5
147.3708,16.2
147.5232,16.2
147.6756,17
147.828,16.8
147.9804,16.2
148.1328,15.4
148.2852,15.1
148.4376,16
148.59,17.2
148.7424,17.4
148.8948,17.4
149.0472,16.8
149.1996,15.4
149.352,15.3
149.5044,16.8
149.6568,18
149.8092,17.8
149.9616,18.2
150.114,17.8
150.2664,17.4
150.4188,17.8
150.5712,17.6
150.7236,16.8
150.876,16.9
151.0284,16.7
151.1808,17
151.3332,17.6
151.4856,18.1
151.638,17.5
151.7904,16.8
151.9428,16.9
152.0952,16.5
152.2476,16.9
152.4,16.7
152.5524,16.4
152.7048,16.7
152.8572,17.3
153.0096,16.8
153.162,16.2
153.3144,16.4
153.4668,16
153.6192,15.2
153.7716,14.8
153.924,14.5
154.0764,15.5
154.2288,16
154.3812,16.9
154.5336,17
154.686,17.2
154.8384,17.2
154.9908,17
155.1432,17.2
155.2956,18.2
155.448,18.6
155.6004,18.8
155.7528,18.2
155.9052,17.2
156.0576,16.7
156.21,14.8
156.3624,14.9
156.5148,14.9
156.6672,15.4
156.8196,15
156.972,15.7
157.1244,16.8
157.2768,17.4
157.4292,18
157.5816,17.2
157.734,16
157.8864,15.4
158.0388,14.8
158.1912,14.3
158.3436,14.5
158.496,14.6
158.6484,14.9
158.8008,15.6
158.9532,16.8
159.1056,17.8
159.258,18.6
159.4104,18.8
159.5628,20
159.7152,20.5
159.8676,20.1
160.02,19.3
160.1724,19.8
160.3248,19.3
160.4772,19.2
160.6296,18.4
160.782,18.2
160.9344,18.4
161.0868,18
161.2392,17.5
161.3916,17.2
161.544,16.8
161.6964,17.2
161.8488,18
162.0012,17.6
162.1536,16.8
162.306,16.4
162.4584,16.1
162.6108,16.2
162.7632,16.4
162.9156,16.5
163.068,16.8
163.2204,16.7
163.3728,15.9
