DEPT,GR
399.4,43.919
399.6,44.622
399.8,43.919
400,42.161
400.2,43.919
400.4,44.622
400.6,41.458
400.8,41.458
401,43.919
401.2,46.379
401.4,45.632
401.6,39.491
401.8,39.7
402,40.755
402.2,42.864
402.4,40.052
402.6,39.349
402.8,32.669
403,25.287
403.2,21.772
403.4,21.772
403.6,22.123
403.8,22.475
404,21.772
404.2,23.53
404.4,22.475
404.6,21.772
404.8,21.772
405,19.311
405.2,20.717
405.4,21.42
405.6,21.772
405.8,20.366
406,20.366
406.2,21.069
406.4,21.42
406.6,21.069
406.8,18.608
407,19.663
407.2,20.366
407.4,20.366
407.6,19.663
407.8,21.772
408,20.717
408.2,20.014
408.4,19.663
408.6,21.772
408.8,21.772
409,19.663
409.2,19.663
409.4,20.366
409.6,20.366
409.8,21.069
410,21.42
410.2,23.178
410.4,21.772
410.6,21.772
410.8,21.772
411,21.772
411.2,21.772
411.4,22.475
411.6,20.366
411.8,20.366
412,20.366
412.2,21.069
412.4,20.366
412.6,21.772
412.8,21.772
413,21.42
413.2,20.366
413.4,21.069
413.6,23.53
413.8,26.496
414,25.287
414.2,22.475
414.4,23.881
414.6,23.881
414.8,23.53
415,21.069
415.2,20.366
415.4,20.366
415.6,20.366
415.8,20.366
416,20.366
416.2,21.772
416.4,21.069
416.6,20.717
416.8,20.366
417,20.366
417.2,19.663
417.4,19.663
417.6,20.014
417.8,21.772
418,22.475
418.2,20.717
418.4,21.42
418.6,22.123
418.8,23.53
419,21.069
419.2,20.366
419.4,20.366
419.6,20.366
419.8,20.366
420,20.366
420.2,20.014
420.4,19.311
420.6,18.608
420.8,18.608
421,20.366
421.2,21.772
421.4,23.53
421.6,21.772
421.8,20.366
422,20.366
422.2,21.069
422.4,21.772
422.6,21.772
422.8,22.475
423,22.123
423.2,21.772
423.4,21.069
423.6,20.366
423.8,20.366
424,20.366
424.2,20.366
424.4,20.366
424.6,20.366
424.8,21.772
425,22.123
425.2,22.475
425.4,20.366
425.6,19.663
425.8,22.475
426,23.178
426.2,25.287
426.4,25.99
426.6,28.451
426.8,28.451
427,27.045
427.2,27.045
427.4,26.693
427.6,27.748
427.8,29.857
428,28.803
428.2,24.584
428.4,23.881
428.6,25.287
428.8,26.693
429,28.803
429.2,27.045
429.4,24.584
429.6,24.584
429.8,24.233
430,25.99
430.2,29.506
430.4,27.155
430.6,19.3
430.8,18.608
431,21.069
431.2,23.53
431.4,24.584
431.6,25.639
431.8,25.99
432,28.803
432.2,28.803
432.4,30.209
432.6,30.912
432.8,30.209
433,30.209
433.2,28.099
433.4,27.396
433.6,22.673
433.8,24.584
434,27.385
434.2,39.162
434.4,39.7
434.6,40.403
434.8,37.942
435,36.888
435.2,35.833
435.4,37.239
435.6,37.239
435.8,38.646
436,38.646
436.2,41.458
436.4,43.369
436.6,45.028
436.8,40.052
437,39.349
437.2,40.052
437.4,42.864
437.6,43.567
437.8,41.458
438,41.458
438.2,41.106
438.4,40.755
438.6,40.403
438.8,40.403
439,40.052
439.2,38.646
439.4,40.403
439.6,43.622
439.8,40.403
440,40.403
440.2,41.458
440.4,40.052
440.6,38.646
440.8,38.997
441,40.052
441.2,38.646
441.4,35.482
441.6,35.427
441.8,38.294
442,41.458
442.2,43.919
442.4,45.325
442.6,44.973
442.8,42.864
443,42.864
443.2,38.646
443.4,38.646
443.6,40.755
443.8,42.666
444,45.676
444.2,44.973
444.4,44.27
444.6,43.919
444.8,43.215
445,41.458
445.2,43.215
445.4,43.215
445.6,46.083
445.8,42.864
446,44.622
446.2,47.434
446.4,48.488
446.6,47.785
446.8,45.676
447,46.379
447.2,46.379
447.4,46.379
447.6,43.567
447.8,42.864
448,45.325
448.2,45.676
448.4,45.676
448.6,47.785
448.8,47.082
449,43.919
449.2,42.512
449.4,42.161
449.6,45.676
449.8,48.84
450,48.84
450.2,46.028
450.4,43.919
450.6,42.161
450.8,42.864
451,44.622
451.2,44.973
451.4,47.082
451.6,44.973
451.8,43.215
452,41.809
452.2,39.349
452.4,37.942
452.6,41.458
452.8,41.809
453,42.864
453.2,42.161
453.4,43.919
453.6,43.919
453.8,42.512
454,42.161
454.2,43.919
454.4,47.082
454.6,44.973
454.8,44.622
455,43.919
455.2,47.082
455.4,45.676
455.6,42.161
455.8,42.161
456,41.809
456.2,40.755
456.4,40.403
456.6,41.106
456.8,42.512
457,42.864
457.2,42.864
457.4,42.864
457.6,40.403
457.8,36.679
458,36.69
458.2,37.942
458.4,40.755
458.6,41.106
458.8,37.283
459,35.482
459.2,35.482
459.4,37.239
459.6,39.349
459.8,37.239
460,36.536
460.2,35.482
460.4,34.076
460.6,33.724
460.8,35.482
461,36.185
461.2,36.888
461.4,37.239
461.6,39.7
461.8,40.403
462,39.7
462.2,41.809
462.4,43.018
462.6,40.755
462.8,40.755
463,42.161
463.2,40.755
463.4,40.052
463.6,41.458
463.8,44.973
464,43.919
464.2,42.864
464.4,41.458
464.6,45.676
464.8,44.973
465,42.512
465.2,42.161
465.4,43.567
465.6,43.215
465.8,40.755
466,40.403
466.2,40.403
466.4,40.403
466.6,40.403
466.8,40.755
467,42.161
467.2,42.161
467.4,40.755
467.6,41.106
467.8,42.864
468,44.973
468.2,45.676
468.4,42.161
468.6,39.349
468.8,37.942
469,37.942
469.2,45.028
469.4,45.83
469.6,46.28
469.8,45.676
470,47.082
470.2,46.379
470.4,45.676
470.6,43.567
470.8,43.215
471,44.973
471.2,45.676
471.4,43.215
471.6,42.864
471.8,42.864
472,45.676
472.2,42.864
472.4,40.755
472.6,40.755
472.8,42.161
473,43.919
473.2,46.379
473.4,46.731
473.6,47.082
473.8,47.082
474,43.919
474.2,42.864
474.4,41.458
474.6,44.973
474.8,45.676
475,45.325
475.2,45.325
475.4,43.567
475.6,42.864
475.8,42.161
476,42.864
476.2,42.864
476.4,43.919
476.6,43.567
476.8,44.677
477,40.052
477.2,40.052
477.4,42.864
477.6,48.137
477.8,50.598
478,49.895
478.2,46.731
478.4,46.379
478.6,44.973
478.8,42.161
479,41.106
479.2,40.403
479.4,40.403
479.6,40.403
479.8,41.106
480,42.512
480.2,40.755
480.4,40.755
480.6,40.403
480.8,40.403
481,40.755
481.2,42.161
481.4,43.919
481.6,44.622
481.8,45.676
482,47.082
482.2,46.379
482.4,45.676
482.6,46.731
482.8,46.731
483,46.379
483.2,47.082
483.4,50.246
483.6,49.192
483.8,46.028
484,42.512
484.2,38.997
484.4,39.349
484.6,39.349
484.8,38.646
485,39.7
485.2,42.864
485.4,42.864
485.6,43.919
485.8,43.919
486,42.864
486.2,41.809
486.4,41.809
486.6,43.567
486.8,42.864
487,42.161
487.2,42.161
487.4,42.161
487.6,42.864
487.8,42.161
488,38.997
488.2,40.052
488.4,40.755
488.6,39.349
488.8,38.646
489,36.536
489.2,35.482
489.4,33.724
489.6,33.724
489.8,31.966
490,33.219
490.2,37.942
490.4,38.646
490.6,38.997
490.8,40.755
491,41.458
491.2,42.161
491.4,44.973
491.6,47.082
491.8,46.379
492,44.27
492.2,42.161
492.4,41.458
492.6,42.161
492.8,42.161
493,40.755
493.2,39.349
493.4,38.646
493.6,38.294
493.8,37.942
494,37.942
494.2,40.755
494.4,42.864
494.6,42.864
494.8,42.864
495,42.161
495.2,43.215
495.4,43.567
495.6,45.325
495.8,45.676
496,43.567
496.2,41.458
496.4,40.755
496.6,41.809
496.8,41.809
497,41.458
497.2,40.403
497.4,40.403
497.6,39.7
497.8,39.349
498,38.646
498.2,38.646
498.4,40.755
498.6,41.458
498.8,40.755
499,38.997
499.2,37.239
499.4,38.294
499.6,40.052
499.8,39.349
500,38.777
500.2,37.256
500.4,39.081
500.6,39.689
500.8,43.948
501,42.123
501.2,43.644
501.4,43.035
501.6,41.818
501.8,40.298
502,42.123
502.2,41.21
502.4,41.514
502.6,41.21
502.8,39.993
503,39.689
503.2,40.298
503.4,42.123
503.6,41.21
503.8,39.689
504,40.906
504.2,41.514
504.4,41.21
504.6,39.689
504.8,40.298
505,38.777
505.2,39.385
505.4,39.689
505.6,39.081
505.8,40.298
506,40.906
506.2,44.556
506.4,43.035
506.6,37.864
506.8,37.864
507,38.168
507.2,40.298
507.4,38.777
507.6,37.864
507.8,37.256
508,38.777
508.2,38.472
508.4,37.864
508.6,37.256
508.8,37.256
509,36.951
509.2,36.343
509.4,35.43
509.6,38.777
509.8,40.602
510,41.514
510.2,42.123
510.4,40.602
510.6,39.689
510.8,41.514
511,41.818
511.2,40.298
511.4,39.081
511.6,40.298
511.8,43.035
512,46.381
512.2,50.64
512.4,52.161
512.6,49.423
512.8,48.511
513,46.381
513.2,47.294
513.4,43.948
513.6,40.906
513.8,40.906
514,42.123
514.2,41.21
514.4,40.602
514.6,38.777
514.8,38.777
515,39.689
515.2,41.21
515.4,42.123
515.6,41.818
515.8,41.21
516,36.039
516.2,36.343
516.4,39.689
516.6,39.689
516.8,39.993
517,42.123
517.2,40.602
517.4,39.993
517.6,39.081
517.8,42.123
518,40.602
518.2,40.602
518.4,40.906
518.6,43.948
518.8,43.035
519,43.948
519.2,42.123
519.4,41.21
519.6,40.602
519.8,45.469
520,51.249
520.2,51.553
520.4,49.728
520.6,44.86
520.8,46.689
521,49.41
521.2,53.077
521.4,57.332
521.6,54.899
521.8,50.944
522,48.511
522.2,48.511
522.4,50.64
522.6,47.294
522.8,43.948
523,41.818
523.2,41.21
523.4,36.951
523.6,36.343
523.8,39.081
524,39.081
524.2,36.951
524.4,36.343
524.6,38.777
524.8,40.298
525,40.298
525.2,38.777
525.4,36.343
525.6,33.605
525.8,35.126
526,35.43
526.2,35.43
526.4,36.951
526.6,40.298
526.8,40.298
527,40.298
527.2,39.689
527.4,39.689
527.6,39.689
527.8,38.168
528,37.56
528.2,38.777
528.4,42.123
528.6,40.602
528.8,39.689
529,37.256
529.2,38.777
529.4,40.906
529.6,41.514
529.8,44.556
530,42.123
530.2,42.123
530.4,40.602
530.6,40.298
530.8,39.081
531,37.256
531.2,37.256
531.4,37.256
531.6,39.081
531.8,38.777
532,38.777
532.2,40.906
532.4,42.427
532.6,43.948
532.8,43.948
533,43.948
533.2,43.035
533.4,43.339
533.6,43.339
533.8,41.21
534,39.081
534.2,41.21
534.4,41.514
534.6,40.906
534.8,39.689
535,39.689
535.2,40.298
535.4,40.602
535.6,42.123
535.8,44.86
536,43.948
536.2,44.556
536.4,45.165
536.6,46.381
536.8,43.948
537,44.556
537.2,44.252
537.4,43.948
537.6,43.948
537.8,43.035
538,45.165
538.2,47.598
538.4,48.815
538.6,47.294
538.8,48.207
539,50.336
539.2,50.944
539.4,51.249
539.6,48.815
539.8,50.64
540,52.161
540.2,52.161
540.4,50.64
540.6,49.119
540.8,48.815
541,48.815
541.2,48.207
541.4,45.773
541.6,46.381
541.8,48.511
542,49.119
542.2,50.64
542.4,50.64
542.6,50.64
542.8,50.64
543,50.64
543.2,50.944
543.4,53.074
543.6,52.77
543.8,52.161
544,49.728
544.2,49.728
544.4,46.381
544.6,45.165
544.8,45.165
545,48.207
545.2,48.815
545.4,48.815
545.6,50.944
545.8,51.249
546,49.119
546.2,49.119
546.4,50.944
546.6,51.249
546.8,48.815
547,46.381
547.2,47.294
547.4,50.336
547.6,50.336
547.8,49.423
548,45.469
548.2,42.123
548.4,39.993
548.6,40.602
548.8,41.21
549,42.123
549.2,42.123
549.4,42.123
549.6,45.165
549.8,47.598
550,44.86
550.2,43.948
550.4,43.948
550.6,43.948
550.8,44.86
551,46.381
551.2,44.252
551.4,42.123
551.6,42.123
551.8,41.21
552,39.081
552.2,38.777
552.4,39.081
552.6,40.298
552.8,38.168
553,33.909
553.2,32.693
553.4,32.084
553.6,36.343
553.8,42.427
554,45.469
554.2,52.161
554.4,52.161
554.6,51.553
554.8,47.294
555,46.381
555.2,43.644
555.4,42.123
555.6,40.298
555.8,40.298
556,41.21
556.2,42.123
556.4,42.123
556.6,42.123
556.8,41.21
557,37.56
557.2,33.896
557.4,32.084
557.6,32.693
557.8,33.605
558,32.084
558.2,32.084
558.4,35.43
558.6,39.689
558.8,39.993
559,40.298
559.2,40.298
559.4,40.298
559.6,40.298
559.8,41.21
560,42.731
560.2,43.948
560.4,43.948
560.6,41.21
560.8,40.602
561,40.298
561.2,40.298
561.4,39.081
561.6,40.602
561.8,41.514
562,43.948
562.2,46.381
562.4,45.773
562.6,45.773
562.8,45.773
563,45.773
563.2,45.773
563.4,45.773
563.6,45.165
563.8,45.165
564,46.381
564.2,46.99
564.4,46.686
564.6,46.686
564.8,50.64
565,51.553
565.2,47.598
565.4,45.165
565.6,45.165
565.8,47.294
566,45.773
566.2,48.207
566.4,50.336
566.6,50.336
566.8,49.728
567,47.294
567.2,48.511
567.4,48.815
567.6,48.815
567.8,47.294
568,47.294
568.2,47.294
568.4,47.902
568.6,48.815
568.8,49.119
569,50.64
569.2,49.119
569.4,48.815
569.6,47.294
569.8,47.294
570,49.119
570.2,49.423
570.4,52.465
570.6,53.378
570.8,53.378
571,55.811
571.2,55.203
571.4,54.595
571.6,53.074
571.8,50.64
572,51.249
572.2,50.64
572.4,50.032
572.6,52.465
572.8,50.032
573,50.336
573.2,53.074
573.4,52.465
573.6,51.553
573.8,50.944
574,49.728
574.2,49.119
574.4,51.553
574.6,53.074
574.8,54.595
575,50.944
575.2,50.64
575.4,47.294
575.6,48.815
575.8,48.511
576,48.207
576.2,44.556
576.4,43.948
576.6,43.948
576.8,44.252
577,45.165
577.2,47.294
577.4,48.815
577.6,48.815
577.8,48.815
578,49.119
578.2,50.944
578.4,55.811
578.6,54.899
578.8,53.986
579,48.207
579.2,48.207
579.4,48.207
579.6,43.948
579.8,43.644
580,41.21
580.2,38.777
580.4,37.256
580.6,40.298
580.8,40.906
581,43.948
581.2,47.294
581.4,50.336
581.6,50.64
581.8,50.64
582,48.207
582.2,43.948
582.4,42.427
582.6,42.123
582.8,44.86
583,48.207
583.2,48.815
583.4,47.294
583.6,47.598
583.8,48.207
584,47.294
584.2,47.294
584.4,47.598
584.6,48.207
584.8,47.294
585,47.294
585.2,46.381
585.4,46.077
585.6,43.948
585.8,45.469
586,49.728
586.2,52.161
586.4,52.161
586.6,51.249
586.8,47.294
587,43.948
587.2,41.818
587.4,41.21
587.6,43.035
587.8,43.035
588,39.993
588.2,39.689
588.4,36.343
588.6,36.343
588.8,39.689
589,37.256
589.2,35.735
589.4,37.56
589.6,39.689
589.8,39.081
590,38.472
590.2,38.777
590.4,42.123
590.6,47.294
590.8,48.815
591,48.815
591.2,48.815
591.4,48.207
591.6,48.815
591.8,49.423
592,49.423
592.2,46.381
592.4,45.773
592.6,44.86
592.8,44.86
593,45.469
593.2,45.773
593.4,44.86
593.6,47.294
593.8,46.686
594,45.773
594.2,45.773
594.4,44.86
594.6,42.123
594.8,41.514
595,41.514
595.2,43.948
595.4,48.207
595.6,51.249
595.8,52.161
596,52.465
596.2,52.465
596.4,53.074
596.6,50.64
596.8,49.423
597,47.294
597.2,44.86
597.4,43.035
597.6,40.298
597.8,38.466
598,34.214
598.2,33.605
598.4,38.777
598.6,43.948
598.8,47.915
599,51.553
599.2,52.161
599.4,50.944
599.6,50.64
599.8,51.252
600,52.052
600.2,54.482
600.4,56.305
600.6,56.913
600.8,55.09
601,53.875
601.2,52.964
601.4,52.964
601.6,53.267
601.8,56.913
602,55.394
602.2,53.275
602.4,52.66
602.6,52.964
602.8,56.001
603,56.913
603.2,55.698
603.4,55.698
603.6,56.913
603.8,55.09
604,55.09
604.2,53.875
604.4,53.267
604.6,50.229
604.8,45.976
605,41.116
605.2,39.293
605.4,39.9
605.6,41.727
605.8,43.554
606,45.369
606.2,45.672
606.4,46.28
606.6,47.191
606.8,47.191
607,47.799
607.2,47.191
607.4,46.888
607.6,43.546
607.8,41.723
608,43.242
608.2,44.761
608.4,45.369
608.6,45.369
608.8,45.369
609,45.369
609.2,45.369
609.4,47.191
609.6,48.407
609.8,48.71
610,49.014
610.2,49.318
610.4,49.318
610.6,47.191
610.8,45.369
611,41.723
611.2,39.293
611.4,35.04
611.6,35.647
611.8,37.774
612,38.989
612.2,37.47
612.4,35.951
612.6,38.989
612.8,39.597
613,39.9
613.2,39.293
613.4,36.862
613.6,38.989
613.8,42.027
614,43.546
614.2,44.457
614.4,45.065
614.6,45.672
614.8,45.976
615,44.457
615.2,44.145
615.4,42.634
615.6,42.634
615.8,42.634
616,43.546
616.2,42.634
616.4,43.242
616.6,42.027
616.8,41.723
617,41.723
617.2,45.065
617.4,48.111
617.6,46.584
617.8,44.457
618,40.812
618.2,39.597
618.4,38.078
618.6,36.862
618.8,38.381
619,36.862
619.2,36.862
619.4,35.647
619.6,35.04
619.8,35.04
620,35.04
620.2,35.04
620.4,35.04
620.6,35.04
620.8,35.04
621,35.04
621.2,38.381
621.4,39.293
621.6,39.293
621.8,38.381
622,36.862
622.2,38.381
622.4,38.381
622.6,38.381
622.8,38.381
623,37.774
623.2,37.47
623.4,38.685
623.6,39.9
623.8,39.9
624,39.293
624.2,38.989
624.4,36.862
624.6,36.862
624.8,36.559
625,37.774
625.2,39.293
625.4,39.293
625.6,37.774
625.8,37.166
626,36.559
626.2,38.086
626.4,40.812
626.6,41.723
626.8,40.204
627,40.204
627.2,41.723
627.4,39.9
627.6,40.812
627.8,40.812
628,40.204
628.2,38.381
628.4,36.862
628.6,36.862
628.8,36.862
629,37.774
629.2,39.293
629.4,41.723
629.6,43.242
629.8,45.369
630,46.888
630.2,50.229
630.4,48.71
630.6,47.191
630.8,47.495
631,47.799
631.2,50.229
631.4,52.66
631.6,53.571
631.8,54.482
632,52.052
632.2,50.229
632.4,47.799
632.6,45.672
632.8,41.419
633,38.381
633.2,36.862
633.4,39.9
633.6,41.419
633.8,42.634
634,44.153
634.2,45.065
634.4,45.672
634.6,46.28
634.8,48.407
635,45.668
635.2,42.027
635.4,41.419
635.6,41.723
635.8,41.723
636,41.723
636.2,44.153
636.4,45.065
636.6,46.584
636.8,45.369
637,45.369
637.2,45.369
637.4,45.065
637.6,43.546
637.8,43.546
638,43.546
638.2,42.634
638.4,41.419
638.6,39.293
638.8,38.381
639,36.862
639.2,36.862
639.4,36.862
639.6,38.381
639.8,39.293
640,39.9
640.2,41.116
640.4,43.546
640.6,43.546
640.8,43.546
641,42.027
641.2,42.027
641.4,43.558
641.6,45.976
641.8,43.546
642,41.116
642.2,41.116
642.4,42.634
642.6,43.242
642.8,44.153
643,43.242
643.2,42.634
643.4,41.723
643.6,40.812
643.8,40.812
644,41.723
644.2,43.546
644.4,43.546
644.6,44.153
644.8,42.027
645,42.027
