DEPT,GR
93.1164,12.2078
93.2688,13.0427
93.4212,14.2503
93.5736,12.7271
93.726,11.8344
93.8784,15.1279
94.0308,15.8831
94.1832,14.6709
94.3356,13.4017
94.488,14.3028
94.6404,14.8995
94.7928,15.8876
94.9452,14.6621
95.0976,15.1448
95.25,14.8941
95.4024,16.9852
95.5548,16.2034
95.7072,16.6221
95.8596,13.8879
96.012,12.9678
96.1644,16.4139
96.3168,16.2478
96.4692,13.8311
96.6216,13.2144
96.774,12.6427
96.9264,14.5124
97.0788,14.4563
97.2312,12.8906
97.3836,13.205
97.536,11.2009
97.6884,14.2055
97.8408,13.7457
97.9932,15.1106
98.1456,16.5119
98.298,16.6633
98.4504,15.0276
98.6028,15.4211
98.7552,15.8405
98.9076,12.3516
99.06,16.9231
99.2124,17.8094
99.3648,14.0884
99.5172,17.7678
99.6696,18.1993
99.822,18.7794
99.9744,15.0224
100.1268,18.2418
100.2792,18.3413
100.4316,17.0607
100.584,15.3821
100.7364,16.5759
100.8888,16.3106
101.0412,14.0938
101.1936,15.3933
101.346,14.4137
101.4984,14.0086
101.6508,14.2375
101.8032,13.0989
101.9556,16.9614
102.108,12.5737
102.2604,12.5019
102.4128,19.6092
102.5652,17.1103
102.7176,13.4498
102.87,14.4371
103.0224,12.7802
103.1748,15.676
103.3272,14.3704
103.4796,12.4239
103.632,14.8105
103.7844,13.6908
103.9368,15.7744
104.0892,15.4136
104.2416,17.3339
104.394,15.8949
104.5464,17.2884
104.6988,14.4429
104.8512,11.1837
105.0036,16.5847
105.156,17.6815
105.3084,12.3256
105.4608,16.9279
105.6132,16.6706
105.7656,14.944
105.918,14.3795
106.0704,16.0286
106.2228,14.5341
106.3752,12.579
106.5276,15.4549
106.68,13.4645
106.8324,12.4059
106.9848,13.2488
107.1372,15.1492
107.2896,14.626
107.442,13.5289
107.5944,15.0976
107.7468,15.7404
107.8992,15.271
108.0516,15.1621
108.204,15.3465
108.3564,14.2177
108.5088,15.9981
108.6612,15.7391
108.8136,17.193
108.966,13.9352
109.1184,13.8918
109.2708,14.3925
109.4232,15.2148
109.5756,15.0234
109.728,12.8222
109.8804,16.0523
110.0328,14.7421
110.1852,15.5213
110.3376,15.6052
110.49,17.3834
110.6424,16.6396
110.7948,16.4623
110.9472,16.4529
111.0996,15.1899
111.252,14.3848
111.4044,16.0691
111.5568,17.3852
111.7092,19.2207
111.8616,14.8861
112.014,16.2188
112.1664,15.4192
112.3188,15.828
112.4712,15.6393
112.6236,16.8322
112.776,17.3377
112.9284,17.8265
113.0808,16.6915
113.2332,17.4482
113.3856,15.1063
113.538,13.7506
113.6904,18.9298
113.8428,17.1668
113.9952,17.554
114.1476,17.9477
114.3,13.7495
114.4524,13.0207
114.6048,14.7145
114.7572,12.7342
114.9096,13.3351
115.062,16.1347
115.2144,15.1712
115.3668,13.285
115.5192,17.5297
115.6716,16.0317
115.824,12.5382
115.9764,14.8783
116.1288,14.079
116.2812,16.1543
116.4336,14.5629
116.586,16.9559
116.7384,18.6051
116.8908,15.9647
117.0432,16.2493
117.1956,20.4123
117.348,17.6338
117.5004,16.49
117.6528,15.9359
117.8052,20.1279
117.9576,14.996
118.11,13.2934
118.2624,17.122
118.4148,16.1542
118.5672,15.1405
118.7196,17.4554
118.872,16.3445
119.0244,15.9508
119.1768,16.8564
119.3292,16.25
119.4816,13.7621
119.634,16.6018
119.7864,16.4165
119.9388,16.2559
120.0912,14.2879
120.2436,15.5924
120.396,16.6203
120.5484,14.7306
120.7008,16.8861
120.8532,14.6689
121.0056,15.921
121.158,16.1839
121.3104,15.8944
121.4628,15.2841
121.6152,13.9086
121.7676,17.814
121.92,18.3998
122.0724,17.7022
122.2248,15.6694
122.3772,16.2711
122.5296,15.6413
122.682,15.5891
122.8344,16.5984
122.9868,17.0397
123.1392,15.2752
123.2916,17.3315
123.444,15.7483
123.5964,14.7524
123.7488,16.3255
123.9012,15.8693
124.0536,14.572
124.206,17.1415
124.3584,16.2378
124.5108,16.1265
124.6632,16.251
124.8156,16.1835
124.968,16.5516
125.1204,12.8296
125.2728,12.2443
125.4252,14.2821
125.5776,12.5989
125.73,17.2281
125.8824,17.8483
126.0348,12.5634
126.1872,14.8819
126.3396,16.2026
126.492,13.6275
126.6444,14.5441
126.7968,15.2031
126.9492,17.7742
127.1016,14.9987
127.254,14.1212
127.4064,15.5602
127.5588,15.1191
127.7112,16.5857
127.8636,16.3479
128.016,15.9656
128.1684,17.0441
128.3208,15.8394
128.4732,14.444
128.6256,16.3607
128.778,18.1479
128.9304,15.6766
129.0828,14.9807
129.2352,13.7722
129.3876,14.6005
129.54,14.1689
129.6924,14.3861
129.8448,16.7566
129.9972,16.4504
130.1496,17.8197
130.302,15.5788
130.4544,14.5635
130.6068,14.6928
130.7592,14.5859
130.9116,19.2272
131.064,17.7486
131.2164,16.3844
131.3688,16.1197
131.5212,15.7351
131.6736,17.2761
131.826,17.3911
131.9784,15.5456
132.1308,16.402
132.2832,16.196
132.4356,16.5516
132.588,18.884
132.7404,18.048
132.8928,19.509
133.0452,17.7804
133.1976,18.2587
133.35,19.0109
133.5024,21.0228
133.6548,15.2055
133.8072,18.3888
133.9596,16.6953
134.112,17.5851
134.2644,15.2295
134.4168,16.9977
134.5692,14.5208
134.7216,18.498
134.874,18.7867
135.0264,18.7778
135.1788,16.5899
135.3312,14.6042
135.4836,15.6116
135.636,14.8342
135.7884,13.8754
135.9408,12.2132
136.0932,15.3938
136.2456,16.4136
136.398,15.6251
136.5504,15.404
136.7028,16.4588
136.8552,16.4248
137.0076,16.2925
137.16,15.7274
137.3124,13.2899
137.4648,12.9917
137.6172,16.0209
137.7696,15.2012
137.922,14.7363
138.0744,14.1075
138.2268,14.8311
138.3792,15.1096
138.5316,17.5449
138.684,12.5872
138.8364,15.7786
138.9888,15.4258
139.1412,17.2296
139.2936,14.0801
139.446,17.7934
139.5984,15.5969
139.7508,15.2787
139.9032,14.5388
140.0556,16.1768
140.208,15.8632
140.3604,14.5286
140.5128,12.4994
140.6652,16.8701
140.8176,13.6512
140.97,14.0054
141.1224,14.2249
141.2748,15.411
141.4272,13.2536
141.5796,12.1065
141.732,14.2912
141.8844,15.5291
142.0368,15.6407
142.1892,17.6933
142.3416,17.3024
142.494,18.1356
142.6464,16.2631
142.7988,17.7132
142.9512,18.6077
143.1036,16.459
143.256,14.0403
143.4084,17.4529
143.5608,18.1826
143.7132,10.5253
143.8656,17.3371
144.018,15.3365
144.1704,16.2675
144.3228,15.0227
144.4752,15.4047
144.6276,16.4581
144.78,17.0831
144.9324,17.2051
145.0848,13.9049
145.2372,18.4867
145.3896,17.0942
145.542,16.5231
145.6944,17.4925
145.8468,15.9352
145.9992,16.1092
146.1516,14.3809
146.304,16.8681
146.4564,15.145
146.6088,15.2705
146.7612,17.3109
146.9136,15.6722
147.066,16.2826
147.2184,16.3199
147.3708,15.1904
147.5232,11.7184
147.6756,16.2226
147.828,15.4091
147.9804,19.0398
148.1328,14.0326
148.2852,15.9046
148.4376,15.9742
148.59,17.0795
148.7424,15.9943
148.8948,18.0308
149.0472,15.349
149.1996,14.2111
149.352,16.0042
149.5044,15.1161
149.6568,19.1825
149.8092,14.0482
149.9616,15.9816
150.114,17.024
150.2664,13.8263
150.4188,15.6615
150.5712,16.9317
150.7236,17.0699
150.876,16.5379
151.0284,17.4373
151.1808,15.3832
151.3332,16.3687
151.4856,14.2715
151.638,14.1533
151.7904,14.9398
151.9428,15.0269
152.0952,13.3491
152.2476,15.7047
152.4,17.8826
152.5524,15.8264
152.7048,16.4147
152.8572,14.4693
153.0096,16.3765
153.162,15.4561
153.3144,18.9602
153.4668,19.4677
153.6192,18.5231
153.7716,16.1724
153.924,16.4918
154.0764,15.3109
154.2288,20.1018
154.3812,19.4469
154.5336,18.0528
154.686,17.5866
154.8384,19.3665
154.9908,16.7746
155.1432,16.5255
155.2956,17.9333
155.448,17.6856
155.6004,17.2717
155.7528,17.3719
155.9052,17.7911
156.0576,18.011
156.21,18.5998
156.3624,18.0484
156.5148,20.0335
156.6672,18.6854
156.8196,17.7072
156.972,16.2269
157.1244,16.7292
157.2768,17.0761
157.4292,17.5649
157.5816,17.3709
157.734,17.1755
157.8864,18.9078
158.0388,17.0786
158.1912,17.0645
158.3436,14.7409
158.496,19.866
158.6484,20.1859
158.8008,16.8246
158.9532,16.7344
159.1056,17.5522
159.258,13.8321
159.4104,17.1835
159.5628,15.2476
159.7152,18.699
159.8676,19.0073
160.02,18.5172
160.1724,18.2833
160.3248,17.9291
160.4772,20.2818
160.6296,15.7118
160.782,16.5832
160.9344,16.9728
161.0868,17.3637
161.2392,15.9917
161.3916,17.7423
161.544,17.5009
161.6964,17.7122
161.8488,17.9885
162.0012,21.7494
162.1536,17.8847
162.306,19.9873
162.4584,18.5221
162.6108,18.303
162.7632,17.4265
162.9156,20.7634
163.068,19.829
163.2204,18.2047
163.3728,17.0633
163.5252,18.412
163.6776,16.7792
163.83,17.1719
163.9824,18.0911
164.1348,19.5579
164.2872,20.6863
164.4396,19.0682
164.592,19.8985
164.7444,20.2985
164.8968,19.9385
165.0492,21.0173
165.2016,22.9483
165.354,22.0912
165.5064,21.0941
165.6588,17.6154
165.8112,18.9482
165.9636,18.8449
166.116,17.3625
166.2684,17.7606
166.4208,21.5994
166.5732,22.2613
166.7256,22.2227
166.878,24.7392
167.0304,26.5373
167.1828,25.3904
167.3352,24.9784
167.4876,25.8975
167.64,23.2747
167.7924,21.951
167.9448,22.1126
168.0972,24.3283
168.2496,23.6839
168.402,24.426
168.5544,24.4717
168.7068,21.8777
168.8592,27.1863
169.0116,28.6737
169.164,29.1049
169.3164,29.6903
169.4688,21.4282
169.6212,27.6839
169.7736,26.8219
169.926,26.5924
170.0784,27.1623
170.2308,24.8297
170.3832,24.4569
170.5356,23.506
170.688,24.6655
170.8404,24.3615
170.9928,27.266
171.1452,23.0461
171.2976,20.3548
171.45,22.6731
171.6024,23.1958
171.7548,22.5994
171.9072,21.9566
172.0596,23.7426
172.212,21.1986
172.3644,19.3962
172.5168,23.4657
172.6692,22.1438
172.8216,22.8223
172.974,20.0125
173.1264,18.6128
173.2788,19.2467
173.4312,21.2312
173.5836,21.5472
173.736,21.6681
173.8884,24.4703
174.0408,20.2777
174.1932,21.0845
174.3456,19.499
174.498,16.7828
174.6504,22.473
174.8028,23.5013
174.9552,22.5938
175.1076,21.9351
175.26,22.6103
175.4124,22.8481
175.5648,20.1036
175.7172,19.9861
175.8696,18.514
176.022,18.8495
176.1744,20.8541
176.3268,19.0749
176.4792,21.8189
176.6316,19.1725
176.784,18.7235
176.9364,18.9843
177.0888,19.5621
177.2412,20.1177
177.3936,19.5116
177.546,20.5002
177.6984,18.4174
177.8508,19.8221
178.0032,16.991
178.1556,19.4554
178.308,19.699
178.4604,21.2583
178.6128,20.0687
178.7652,24.7889
178.9176,23.8822
179.07,25.5113
179.2224,24.0814
179.3748,23.8371
179.5272,23.2968
179.6796,20.6486
179.832,22.0746
179.9844,23.6381
180.1368,20.6833
180.2892,18.484
180.4416,20.7001
180.594,22.1519
180.7464,21.8306
180.8988,19.3328
181.0512,19.7863
181.2036,22.3757
181.356,18.0174
181.5084,20.5663
181.6608,20.6582
181.8132,19.9559
181.9656,21.098
182.118,19.5918
182.2704,19.1228
182.4228,18.9653
182.5752,17.7088
182.7276,19.353
182.88,18.2159
183.0324,16.0048
183.1848,19.192
183.3372,17.5928
183.4896,20.7309
183.642,20.6206
183.7944,18.3734
183.9468,20.124
184.0992,18.0267
184.2516,16.9254
184.404,19.2862
184.5564,21.4996
184.7088,17.305
184.8612,21.1358
185.0136,19.1066
185.166,14.9378
185.3184,19.0228
185.4708,18.5741
185.6232,15.8129
185.7756,19.0433
185.928,18.1105
186.0804,16.6738
186.2328,20.2821
186.3852,20.6644
186.5376,19.9817
186.69,20.6187
186.8424,20.3263
186.9948,20.6199
187.1472,18.3582
187.2996,17.7727
187.452,16.4835
187.6044,17.1914
187.7568,17.655
187.9092,19.4862
188.0616,19.1461
188.214,20.8229
188.3664,20.4401
188.5188,20.8453
188.6712,18.675
188.8236,18.3395
188.976,19.8854
189.1284,23.665
189.2808,19.9541
189.4332,18.9041
189.5856,18.6731
189.738,18.9083
189.8904,22.7216
190.0428,22.1953
190.1952,22.1096
190.3476,23.218
190.5,23.1507
190.6524,21.9852
190.8048,23.3
190.9572,21.0418
191.1096,21.3727
191.262,21.153
191.4144,20.739
191.5668,18.3079
191.7192,18.026
191.8716,18.6921
192.024,23.8897
192.1764,24.046
192.3288,23.2724
192.4812,24.0028
192.6336,24.0871
192.786,21.919
192.9384,23.701
193.0908,26.4264
193.2432,27.0625
193.3956,25.2964
193.548,24.235
193.7004,24.2263
193.8528,24.2598
194.0052,20.362
194.1576,19.5031
194.31,21.6758
194.4624,20.6371
194.6148,20.9226
194.7672,22.5696
194.9196,22.8235
195.072,24.8081
195.2244,22.2642
195.3768,21.2623
195.5292,21.6797
195.6816,18.2543
195.834,21.7416
195.9864,23.4784
196.1388,20.9046
196.2912,21.9446
196.4436,20.6179
196.596,19.3121
196.7484,20.8904
196.9008,21.0079
197.0532,22.906
197.2056,24.0345
197.358,26.2001
197.5104,25.4382
197.6628,23.745
197.8152,27.8462
197.9676,21.4785
198.12,23.5835
198.2724,24.4384
198.4248,24.0518
198.5772,22.7727
198.7296,24.6109
198.882,23.2951
199.0344,22.4746
199.1868,22.2393
199.3392,22.1436
199.4916,21.8023
199.644,22.094
199.7964,25.9376
199.9488,21.0002
200.1012,21.7564
200.2536,20.9223
200.406,22.575
200.5584,22.3499
200.7108,22.6654
200.8632,21.2554
201.0156,23.1671
201.168,22.5009
201.3204,22.4654
201.4728,20.5813
201.6252,21.2577
201.7776,20.6208
201.93,21.9698
202.0824,21.678
202.2348,21.1324
202.3872,21.7111
202.5396,21.2491
202.692,22.896
202.8444,19.0993
202.9968,17.8837
203.1492,21.5566
203.3016,21.7037
203.454,19.7916
203.6064,19.3422
203.7588,17.6792
203.9112,19.6257
204.0636,20.3637
204.216,21.5404
204.3684,21.1344
204.5208,19.8103
204.6732,21.0975
204.8256,21.0532
204.978,22.1997
205.1304,24.0951
205.2828,24.7599
205.4352,25.143
205.5876,24.606
205.74,26.5878
205.8924,28.8895
206.0448,22.0277
206.1972,24.5763
206.3496,23.938
206.502,24.2137
206.6544,23.7486
206.8068,22.6095
206.9592,26.8971
207.1116,25.5138
207.264,20.6083
207.4164,23.0763
207.5688,25.7333
207.7212,26.5726
207.8736,27.0907
208.026,28.0113
208.1784,27.8482
208.3308,30.4295
208.4832,30.8662
208.6356,28.4243
208.788,27.9094
208.9404,28.7754
209.0928,29.4217
209.2452,29.3763
209.3976,29.7789
209.55,26.9774
209.7024,31.6646
209.8548,30.25
210.0072,35.524
210.1596,30.8628
210.312,29.8894
210.4644,24.4505
210.6168,27.9688
210.7692,27.7125
210.9216,25.0087
211.074,26.9651
211.2264,28.8561
211.3788,30.4317
211.5312,27.8794
211.6836,27.0257
211.836,27.2516
211.9884,24.9813
212.1408,24.9649
212.2932,26.4539
212.4456,20.7885
212.598,20.9573
212.7504,21.5904
212.9028,22.9019
213.0552,21.1354
213.2076,19.6565
213.36,23.1836
213.5124,21.9712
213.6648,22.2028
213.8172,17.0569
213.9696,20.5835
214.122,18.7137
214.2744,21.2089
214.4268,20.4386
214.5792,19.1632
214.7316,21.5295
214.884,20.6001
215.0364,20.256
215.1888,20.0264
215.3412,20.7987
215.4936,18.9911
215.646,20.8125
215.7984,18.5658
215.9508,19.9628
216.1032,24.0519
216.2556,17.0917
216.408,21.8005
216.5604,20.1267
216.7128,19.5435
216.8652,18.944
217.0176,20.6061
217.17,21.3854
217.3224,17.497
217.4748,21.4619
217.6272,24.0983
217.7796,25.4629
217.932,24.3509
218.0844,25.6615
218.2368,24.0376
218.3892,26.5888
218.5416,27.2783
218.694,26.3722
218.8464,27.3458
218.9988,25.6489
219.1512,20.8876
219.3036,19.3105
219.456,21.4921
219.6084,21.4672
219.7608,23.5422
219.9132,22.5112
220.0656,23.6397
220.218,23.1834
220.3704,20.3663
220.5228,21.5572
220.6752,19.7507
220.8276,20.1937
220.98,21.4862
221.1324,25.1774
221.2848,24.1548
221.4372,23.5557
221.5896,25.3727
221.742,23.6339
221.8944,22.6806
222.0468,27.4543
222.1992,22.2722
222.3516,22.7636
222.504,25.1207
222.6564,24.5291
222.8088,22.6215
222.9612,24.5732
223.1136,26.4414
223.266,26.662
223.4184,26.5054
223.5708,24.3724
223.7232,25.1163
223.8756,23.4174
224.028,27.7196
224.1804,26.5245
224.3328,24.0459
224.4852,24.5912
224.6376,22.3964
224.79,23.3507
224.9424,21.7675
225.0948,23.5732
225.2472,21.9487
225.3996,23.7064
225.552,22.4691
225.7044,26.0653
225.8568,24.5982
226.0092,22.9439
226.1616,21.2997
226.314,23.6364
226.4664,23.1758
226.6188,23.0046
226.7712,24.3912
226.9236,26.3114
227.076,25.3767
227.2284,23.7196
227.3808,23.1225
227.5332,25.3801
227.6856,23.2557
227.838,22.3419
227.9904,22.5105
228.1428,25.4292
228.2952,21.1447
228.4476,22.4185
228.6,25.3863
228.7524,22.3921
228.9048,23.8604
229.0572,23.8187
229.2096,21.0272
229.362,24.4121
229.5144,24.4238
229.6668,25.2871
229.8192,26.9729
229.9716,24.9463
230.124,26.2706
230.2764,28.0957
230.4288,21.7341
230.5812,24.005
230.7336,24.9404
230.886,22.2896
231.0384,23.3485
231.1908,24.616
231.3432,22.4871
231.4956,25.2054
231.648,23.1044
231.8004,20.9413
231.9528,19.495
232.1052,20.8844
232.2576,23.585
232.41,26.0219
232.5624,23.6459
232.7148,22.1579
232.8672,26.0746
233.0196,26.8016
233.172,25.411
233.3244,25.8203
233.4768,27.8375
233.6292,26.508
233.7816,28.2495
233.934,30.2245
234.0864,29.8483
234.2388,31.9869
234.3912,30.5721
234.5436,29.7396
234.696,29.9518
234.8484,29.3866
235.0008,27.2186
235.1532,33.4534
235.3056,32.0073
235.458,25.8199
235.6104,23.8439
235.7628,26.2335
235.9152,23.1721
236.0676,23.9808
236.22,21.5758
236.3724,23.398
236.5248,22.8216
236.6772,20.4606
236.8296,22.9639
