DEPT,GR
154,16.523
154.2,16.295
154.4,14.022
154.6,15.386
154.8,16.068
155,14.476
155.2,15.386
155.4,13.567
155.6,18.342
155.8,16.977
156,18.342
156.2,19.251
156.4,18.342
156.6,15.159
156.8,16.523
157,19.024
157.2,15.841
157.4,17.432
157.6,18.342
157.8,16.977
158,15.386
158.2,16.068
158.4,17.205
158.6,17.432
158.8,19.024
159,19.024
159.2,16.977
159.4,19.024
159.6,15.613
159.8,18.114
160,19.024
160.2,15.841
160.4,15.613
160.6,16.295
160.8,18.796
161,18.796
161.2,16.295
161.4,17.887
161.6,16.75
161.8,19.024
162,18.114
162.2,18.569
162.4,19.478
162.6,19.706
162.8,16.068
163,11.748
163.2,17.887
163.4,20.843
163.6,17.432
163.8,17.205
164,17.887
164.2,14.931
164.6,15.386
164.8,15.386
165,17.66
165.2,16.068
165.4,16.75
165.6,17.205
165.8,20.388
166,22.661
166.2,20.16
166.4,16.977
166.6,19.478
166.8,19.024
167,20.843
167.2,18.114
167.4,16.068
167.6,18.342
167.8,18.796
168,16.295
168.2,18.342
168.4,19.024
168.6,17.887
168.8,19.933
169,20.16
169.2,15.159
169.4,16.523
169.6,17.887
169.8,18.114
170,17.432
170.2,16.977
170.4,14.022
170.6,17.205
170.8,18.796
171,19.024
171.2,18.342
171.4,19.024
171.6,17.887
171.8,17.432
172,16.068
172.2,17.887
172.4,17.66
172.6,19.251
172.8,18.342
173,17.432
173.4,18.569
173.6,20.615
173.8,16.523
174,15.613
174.2,19.251
174.4,18.114
174.6,15.386
174.8,14.249
175,18.196
175.2,18.342
175.4,19.706
175.6,19.706
175.8,23.798
176,21.297
176.2,18.796
176.4,19.933
176.6,16.295
176.8,16.75
177,19.706
177.2,18.569
177.4,16.523
177.6,18.342
177.8,18.796
178,19.478
178.2,21.07
178.4,19.024
178.6,19.024
178.8,19.024
179,20.843
179.2,22.207
179.4,20.843
179.6,22.661
179.8,20.843
180,19.251
180.2,19.251
180.4,20.388
180.6,20.16
180.8,20.16
181.2,19.251
181.4,18.796
181.6,16.523
181.8,14.931
182,20.615
182.2,20.615
182.4,17.66
182.6,15.841
182.8,14.476
183,16.75
183.2,19.706
183.4,20.16
183.6,27.436
183.8,25.162
184,21.07
184.2,20.615
184.4,20.843
184.6,20.388
184.8,19.478
185,21.07
185.2,23.116
185.4,16.977
185.6,18.342
185.8,18.796
186,19.933
186.2,18.796
186.4,20.16
186.6,17.66
186.8,18.342
187,19.251
187.2,21.07
187.4,21.07
187.6,19.933
187.8,18.569
188,19.251
188.2,21.07
188.4,18.342
188.6,20.388
188.8,18.796
189,18.796
189.2,18.114
189.4,23.571
189.6,19.706
189.8,16.523
190,17.887
190.2,20.843
190.4,19.933
190.6,19.706
190.8,22.661
191,18.569
191.2,19.478
191.4,18.796
191.6,19.478
191.8,16.75
192,19.251
192.2,19.933
192.4,17.66
192.6,20.16
192.8,20.388
193,17.205
193.2,15.841
193.4,15.841
193.6,14.022
193.8,16.75
194,14.704
194.2,19.024
194.4,24.026
194.6,22.889
194.8,21.525
195,21.752
195.2,20.16
195.4,21.297
195.6,21.525
195.8,24.48
196,22.207
196.2,21.979
196.4,18.796
196.6,18.796
196.8,19.251
197,20.16
197.2,23.571
197.4,21.752
197.6,21.752
197.8,24.48
198,21.07
198.2,20.843
198.4,24.708
198.6,25.617
198.8,21.525
199,21.297
199.2,25.39
199.4,23.571
199.6,20.615
199.8,21.752
200,19.724
200.2,19.952
200.4,20.635
200.6,23.37
200.8,22.914
201,21.775
201.2,22.686
201.4,24.738
201.6,25.193
201.8,25.421
202,20.407
202.2,23.598
202.4,27.245
202.6,23.826
202.8,17.217
203,20.53
203.2,23.826
203.4,24.054
203.6,25.649
203.8,22.003
204,24.51
204.2,31.575
204.4,32.942
204.6,30.435
204.8,25.877
205,23.966
205.2,24.966
205.4,22.914
205.6,25.421
205.8,24.966
206,24.282
206.2,23.826
206.4,25.649
206.6,21.547
206.8,22.914
207,23.142
207.2,27.928
207.4,22.459
207.6,19.04
207.8,19.04
208,18.584
208.2,25.193
208.4,26.561
208.6,21.319
208.8,19.268
209,20.407
209.2,22.459
209.4,21.775
209.6,23.598
209.8,24.966
210,21.775
210.2,23.37
210.4,23.142
210.6,26.333
210.8,24.282
211,25.193
211.2,27.7
211.4,27.017
211.6,25.649
211.8,23.142
212,20.407
212.2,21.319
212.4,18.812
212.6,24.738
212.8,24.609
213.01,24.077
213.2,24.738
213.4,21.547
213.6,27.473
213.8,27.928
214,22.459
214.2,24.966
214.4,28.156
214.6,26.105
214.8,27.017
215,26.105
215.2,25.649
215.4,27.7
215.6,25.421
215.8,25.421
216,24.51
216.2,24.282
216.4,24.738
216.6,23.37
216.8,25.421
217,27.017
217.2,24.282
217.4,25.877
217.6,26.789
217.8,26.561
218,23.142
218.2,26.333
218.4,30.207
218.6,26.333
218.8,27.245
219,28.384
219.2,26.105
219.4,29.296
219.6,25.877
219.8,24.51
220,26.105
220.2,27.017
220.4,26.561
220.6,30.435
220.8,31.575
221,27.245
221.2,29.296
221.4,28.156
221.6,26.245
221.8,23.142
222,27.245
222.2,28.156
222.4,23.826
222.6,21.547
222.8,27.017
223,24.282
223.2,22.003
223.4,21.091
223.6,22.686
223.8,22.914
224,24.51
224.2,22.686
224.4,25.193
224.6,23.598
224.8,24.054
225,24.51
