DEPT,GR
95.0976,8.26252
95.25,8.967888
95.4024,9.238873
95.5548,9.307211
95.7072,9.940517
95.8596,10.58232
96.012,10.66582
96.1644,10.66117
96.3168,10.29196
96.4692,9.497677
96.6216,9.000467
96.774,8.855213
96.9264,9.136992
97.0788,9.211529
97.2312,9.204453
97.3836,9.193598
97.536,9.468437
97.6884,9.949551
97.8408,9.767252
97.9932,9.663176
98.1456,10.11962
98.298,10.06641
98.4504,9.642525
98.6028,9.413013
98.7552,9.677719
98.9076,10.00364
99.06,10.01678
99.2124,10.75362
99.3648,11.22675
99.5172,11.02349
99.6696,10.87698
99.822,10.51325
99.9744,9.973602
100.1268,9.331366
100.2792,9.076231
100.4316,9.534407
100.584,8.709772
100.7364,8.088192
100.8888,7.926742
101.0412,8.980707
101.1936,9.991505
101.346,10.55472
101.4984,10.35221
101.6508,9.693811
101.8032,9.243622
101.9556,9.558067
102.108,10.07533
102.2604,9.652882
102.4128,9.303455
102.5652,9.477791
102.7176,10.24998
102.87,10.09348
103.0224,9.329773
103.1748,8.797558
103.3272,8.901539
103.4796,9.617308
103.632,9.692282
103.7844,9.213028
103.9368,9.328423
104.0892,10.05712
104.2416,10.2242
104.394,9.879095
104.5464,9.241001
104.6988,8.698971
104.8512,8.590872
105.0036,9.544334
105.156,9.990425
105.3084,9.841578
105.4608,10.2355
105.6132,10.99687
105.7656,11.08961
105.918,10.77232
106.0704,10.29413
106.2228,9.280529
106.3752,8.788073
106.5276,8.793856
106.68,8.527563
106.8324,9.258911
106.9848,9.821165
107.1372,10.02213
107.2896,10.91185
107.442,12.07699
107.5944,11.98144
107.7468,11.05334
107.8992,10.11427
108.0516,9.58672
108.204,8.919458
108.3564,8.424065
108.5088,8.535959
108.6612,9.11709
108.8136,9.282169
108.966,9.462723
109.1184,10.03364
109.2708,9.617432
109.4232,9.026049
109.5756,9.14992
109.728,8.999231
109.8804,8.686493
110.0328,8.564545
110.1852,9.039867
110.3376,8.947906
110.49,8.62294
110.6424,8.868343
110.7948,10.26565
110.9472,11.90895
111.0996,12.33554
111.252,11.46009
111.4044,10.5887
111.5568,10.77859
111.7092,10.96957
111.8616,10.88905
112.014,10.81456
112.1664,10.98638
112.3188,10.87353
112.4712,10.40495
112.6236,8.666424
112.776,8.675705
112.9284,9.400621
113.0808,9.433882
113.2332,8.809738
113.3856,8.624746
113.538,8.897221
113.6904,9.536694
113.8428,10.34879
113.9952,11.0503
114.1476,11.21522
114.3,11.16038
114.4524,10.47159
114.6048,10.35287
114.7572,10.33452
114.9096,10.19438
115.062,10.89116
115.2144,11.55408
115.3668,11.10475
115.5192,9.988125
115.6716,9.422581
115.824,9.407484
115.9764,9.739792
116.1288,9.553272
116.2812,9.229612
116.4336,9.324825
116.586,10.11167
116.7384,10.53663
116.8908,10.64122
117.0432,9.94961
117.1956,10.23551
117.348,10.10446
117.5004,9.35885
117.6528,9.121323
117.8052,9.295813
117.9576,9.866875
118.11,10.18987
118.2624,10.7423
118.4148,10.63848
118.5672,10.12758
118.7196,9.149231
118.872,9.596142
119.0244,9.256878
119.1768,8.96133
119.3292,8.729851
119.4816,9.005867
119.634,8.803457
119.7864,9.052122
119.9388,10.3124
120.0912,10.30885
120.2436,9.494385
120.396,8.672264
120.5484,8.262299
120.7008,8.050425
120.8532,8.622211
121.0056,9.665432
121.158,9.815538
121.3104,9.723709
121.4628,9.202394
121.6152,8.580002
121.7676,8.688646
121.92,9.136591
122.0724,9.539383
122.2248,10.57038
122.3772,11.07797
122.5296,11.25318
122.682,11.24148
122.8344,10.66163
122.9868,10.01476
123.1392,9.513863
123.2916,8.793615
123.444,8.065134
123.5964,8.182692
123.7488,8.780449
123.9012,10.29783
124.0536,10.98851
124.206,11.02666
124.3584,10.7425
124.5108,10.33653
124.6632,9.344423
124.8156,9.295931
124.968,9.443806
125.1204,9.300716
125.2728,9.629185
125.4252,9.981125
125.5776,9.76827
125.73,9.83773
125.8824,10.69492
126.0348,10.89026
126.1872,10.52627
126.3396,10.03641
126.492,9.724054
126.6444,10.37691
126.7968,10.361
126.9492,9.91383
127.1016,10.33499
127.254,10.81173
127.4064,10.22388
127.5588,9.802681
127.7112,9.686157
127.8636,9.641226
128.016,9.405348
128.1684,10.3467
128.3208,11.52364
128.4732,11.44349
128.6256,10.83048
128.778,9.963512
128.9304,9.461613
129.0828,9.562841
129.2352,8.816406
129.3876,8.056757
129.54,8.489555
129.6924,9.295902
129.8448,9.97547
129.9972,10.4077
130.1496,10.296
130.302,9.954952
130.4544,10.49054
130.6068,11.27354
130.7592,10.57391
130.9116,10.0388
131.064,9.576859
131.2164,9.703369
131.3688,11.00851
131.5212,11.42747
131.6736,11.21959
131.826,11.34088
131.9784,11.74945
132.1308,12.24984
132.2832,12.36422
132.4356,12.65569
132.588,12.92641
132.7404,12.79089
132.8928,13.60749
133.0452,13.90915
133.1976,14.49285
133.35,13.95672
133.5024,12.66471
133.6548,11.12693
133.8072,10.51975
133.9596,10.93733
134.112,10.87982
134.2644,10.49794
134.4168,10.52124
134.5692,9.578363
134.7216,8.961969
134.874,9.393738
135.0264,10.52432
135.1788,11.36843
135.3312,11.50384
135.4836,12.15467
135.636,12.24482
135.7884,11.57761
135.9408,10.818
136.0932,10.83908
136.2456,10.68501
136.398,10.04463
136.5504,9.805248
136.7028,10.10114
136.8552,11.80387
137.0076,11.52843
137.16,11.1788
137.3124,10.47152
137.4648,9.917816
137.6172,9.627457
137.7696,9.52445
137.922,9.841537
138.0744,10.52382
138.2268,11.39501
138.3792,12.24113
138.5316,12.92216
138.684,13.44258
138.8364,12.8659
138.9888,12.10075
139.1412,11.42441
139.2936,10.73975
139.446,10.02678
139.5984,9.519753
139.7508,9.750374
139.9032,9.999413
140.0556,10.75341
140.208,10.42505
140.3604,10.62691
140.5128,11.17989
140.6652,12.24023
140.8176,13.42565
140.97,13.44808
141.1224,13.37428
141.2748,13.49169
141.4272,12.72405
141.5796,12.51651
141.732,13.28692
141.8844,13.3198
142.0368,12.43971
142.1892,11.53275
142.3416,11.68886
142.494,11.30867
142.6464,10.80156
142.7988,11.22988
142.9512,11.28469
143.1036,11.09728
143.256,10.9121
143.4084,10.91067
143.5608,11.05624
143.7132,11.23526
143.8656,11.62043
144.018,12.46645
144.1704,13.1972
144.3228,12.79649
144.4752,12.06911
144.6276,11.28707
144.78,10.97067
144.9324,11.3077
145.0848,11.80811
145.2372,11.18751
145.3896,10.43058
145.542,10.3726
145.6944,10.9382
145.8468,11.29601
145.9992,11.26606
146.1516,10.67043
146.304,10.07611
146.4564,10.30325
146.6088,12.34528
146.7612,13.52722
146.9136,13.64327
147.066,12.79442
147.2184,12.3448
147.3708,12.42168
147.5232,12.02996
147.6756,12.16727
147.828,11.87318
147.9804,11.18869
148.1328,10.31233
148.2852,9.602726
148.4376,9.184452
148.59,9.538157
148.7424,10.86412
148.8948,11.47064
149.0472,10.78485
149.1996,10.10587
149.352,9.697615
149.5044,10.28654
149.6568,11.27361
149.8092,12.50346
149.9616,12.86511
150.114,12.36095
150.2664,11.94711
150.4188,11.63925
150.5712,12.11487
150.7236,12.80145
150.876,13.06988
151.0284,12.81806
151.1808,12.03727
151.3332,11.02368
151.4856,10.48965
151.638,10.67225
151.7904,11.50203
151.9428,11.8721
152.0952,12.09179
152.2476,12.38041
152.4,12.1614
152.5524,11.75163
152.7048,11.8933
152.8572,12.09364
153.0096,11.43043
153.162,10.85484
153.3144,11.02579
153.4668,11.69943
153.6192,11.32417
153.7716,10.90446
153.924,11.58272
154.0764,11.36896
154.2288,11.92487
154.3812,12.98719
154.5336,12.61443
154.686,12.60521
154.8384,13.36895
154.9908,15.03342
155.1432,14.19526
155.2956,13.56487
155.448,12.93079
155.6004,12.19545
155.7528,11.70415
155.9052,11.81564
156.0576,12.4933
156.21,13.33794
156.3624,14.99512
156.5148,15.68291
156.6672,15.99036
156.8196,16.29547
156.972,17.1006
157.1244,17.59853
157.2768,18.18849
157.4292,17.59497
157.5816,17.21017
157.734,16.82353
157.8864,17.18829
158.0388,16.53239
158.1912,15.49574
158.3436,14.40803
158.496,13.36614
158.6484,12.44462
158.8008,12.11826
158.9532,13.33768
159.1056,13.49532
159.258,13.30302
159.4104,13.78487
159.5628,14.57643
159.7152,14.73462
159.8676,14.47997
160.02,14.0808
160.1724,13.68513
160.3248,12.67332
160.4772,12.19529
160.6296,11.66065
160.782,11.09528
160.9344,11.73261
161.0868,12.91934
161.2392,12.37697
161.3916,11.97968
161.544,11.79715
161.6964,12.37443
161.8488,11.63909
162.0012,11.96358
162.1536,12.43713
162.306,11.89827
162.4584,11.49454
162.6108,12.6367
162.7632,12.57536
162.9156,12.6394
163.068,12.82994
163.2204,12.70586
163.3728,12.52734
163.5252,12.87643
163.6776,13.90851
163.83,14.35822
163.9824,13.55299
164.1348,12.7523
164.2872,13.23669
164.4396,13.05873
164.592,13.17975
164.7444,14.31455
164.8968,14.9144
165.0492,14.82597
165.2016,14.92934
165.354,14.65142
165.5064,13.62009
165.6588,12.63179
165.8112,12.85024
165.9636,13.48917
166.116,13.08926
166.2684,12.63153
166.4208,12.40248
166.5732,12.43542
166.7256,13.03622
166.878,13.9593
167.0304,13.98372
167.1828,12.31616
167.3352,11.65511
167.4876,12.54622
167.64,13.4135
167.7924,14.26281
167.9448,14.07423
168.0972,13.54389
168.2496,12.77988
168.402,11.94537
168.5544,11.45799
168.7068,11.9664
168.8592,11.86766
169.0116,11.53205
169.164,11.98244
169.3164,12.69849
169.4688,12.88235
169.6212,14.44922
169.7736,14.92062
169.926,14.32154
170.0784,13.80083
170.2308,13.40251
170.3832,13.94595
170.5356,14.81493
170.688,14.10609
170.8404,13.04562
170.9928,12.07542
171.1452,11.72374
171.2976,11.27806
171.45,11.19453
