DEPT,GR
376.8,5.2874
376.9,5.9517
377,7.012
377.1,7.5862
377.2,7.7003
377.3,8.0285
377.4,8.3105
377.5,8.3908
377.6,8.0177
377.7,7.3285
377.8,6.8966
377.9,6.8966
378,6.8966
378.1,6.8966
378.2,11.4943
378.3,11.4943
378.4,11.4943
378.5,11.4943
378.6,9.9329
378.7,7.4413
378.8,6.092
378.9,6.092
379,6.092
379.1,7.436
379.2,9.8851
379.3,9.8851
379.4,9.8851
379.5,9.8851
379.6,9.8851
379.7,9.8851
379.8,9.8851
379.9,9.8851
380,9.8851
380.1,7.5862
380.2,7.5862
380.3,7.5862
380.4,7.5862
380.5,8.5624
380.6,10.3648
380.7,11.4943
380.8,11.4943
380.9,11.4943
381,11.7231
381.1,12.1839
381.2,12.1839
381.3,12.1839
381.4,12.1839
381.5,12.1839
381.6,9.8851
381.7,9.8851
381.8,9.8851
381.9,9.8851
382,9.6247
382.1,9.3212
382.2,9.1954
382.3,9.1954
382.4,9.1954
382.5,10.7313
382.6,11.4943
382.7,11.4943
382.8,11.4943
382.9,13.0223
383,15.4609
383.1,16.7816
383.2,16.7816
383.3,16.7816
383.4,15.3497
383.5,12.9885
383.6,12.9885
383.7,12.9885
383.8,12.9885
383.9,14.3647
384,15.2874
384.1,15.2874
384.2,15.2874
384.3,15.2874
384.4,16.252
384.5,16.7816
384.6,16.7816
384.7,16.7816
384.8,17.7573
384.9,19.5597
385,20.6897
385.1,20.6897
385.2,20.6897
385.3,20.6897
385.4,18.3908
385.5,18.3908
385.6,18.3908
385.7,18.3908
385.8,18.3908
385.9,18.3908
386,18.3908
386.1,18.3908
386.2,18.3908
386.3,17.5061
386.4,16.7816
386.5,16.7816
386.6,16.7816
386.7,16.7816
386.8,19.0265
386.9,20.6897
387,20.6897
387.1,20.4614
387.2,19.8048
387.3,19.2409
387.4,19.0805
387.5,19.0805
387.6,19.0805
387.7,19.0805
387.8,19.0805
387.9,19.0805
388,18.5163
388.1,17.8588
388.2,17.5862
388.3,17.5862
388.4,19.1479
388.5,21.6394
388.6,22.9885
388.7,22.9885
388.8,21.0576
388.9,16.107
389,11.4943
389.1,11.8272
389.2,13.2486
389.3,15.6492
389.4,16.7816
389.5,16.0899
389.6,14.7197
389.7,14.5454
389.8,15.9867
389.9,17.7444
390,16.53
390.1,14.6704
390.2,14.4837
390.3,13.7013
390.4,12.9885
390.8,6.8966
390.9,6.8966
391,6.8966
391.1,6.8966
391.2,7.2983
391.3,7.9888
391.4,8.3908
391.5,8.3908
391.6,8.3908
391.7,7.5694
391.8,6.8966
391.9,6.8966
392,6.8966
392.1,7.19
392.2,7.4797
392.3,7.5862
392.4,7.5862
392.5,10.3538
392.6,13.3242
392.7,14.4828
392.8,14.1567
392.9,13.0632
393,11.8831
393.1,11.4943
393.2,12.3822
393.3,14.6594
393.4,16.7816
393.5,16.3473
393.6,14.4934
393.7,11.3621
393.8,9.9312
393.9,10.1345
394,10.5034
394.1,11.2377
394.2,12.9885
394.3,14.6191
394.4,14.6147
394.5,14.0311
394.6,14.1478
394.7,14.3351
394.8,14.1369
394.9,13.2188
395,12.1364
395.1,10.9256
395.2,9.2034
395.3,8.6786
395.4,8.7366
395.5,9.4217
395.6,9.8851
395.7,9.8851
395.8,10.9146
395.9,12.3237
396,12.9885
396.1,13.1829
396.2,13.7729
396.3,14.3197
396.4,14.4828
396.5,15.4587
396.6,17.2611
396.7,18.3908
396.8,18.1205
396.9,17.4275
397,16.9155
397.1,17.7789
397.2,21.2828
397.3,25.3629
397.4,26.7816
397.5,23.0573
397.6,15.6792
397.7,10.6897
397.8,11.5868
397.9,14.3098
398,16.8337
398.1,16.9341
398.2,15.0584
398.3,13.4472
398.4,12.9885
398.5,13.8232
398.6,15.2573
398.7,16.092
398.8,16.092
398.9,15.0279
399,12.9198
399.1,11.4943
399.2,10.9556
399.3,9.063
399.4,6.8586
399.5,6.092
399.6,6.9264
399.7,8.3606
399.8,9.1954
399.9,9.1954
400,11.5754
400.1,13.7327
400.2,14.4828
400.3,13.6792
400.4,12.2981
400.5,11.636
400.6,11.308
400.7,10.9391
400.8,10.7358
400.9,11.0097
401,11.6881
401.1,12.0898
401.2,12.5564
401.3,13.2942
401.4,13.7008
401.5,13.7931
401.6,12.6215
401.7,11.2559
401.8,10.6897
401.9,10.6897
402,10.6897
402.1,10.994
402.2,11.2755
402.3,12.8685
402.4,14.5748
402.5,16.6507
402.6,18.9775
402.7,18.0614
402.8,13.6615
402.9,10.6439
403,9.8851
403.1,9.8851
403.2,9.8851
403.3,9.7254
403.4,9.4092
403.5,9.2349
403.6,9.468
403.7,10.1255
403.8,10.5763
403.9,10.9205
404,11.548
404.1,12.0477
404.2,12.319
404.3,12.6656
404.4,12.9216
404.5,12.4673
404.6,11.1307
404.7,10.5225
404.8,11.3216
404.9,14.1674
405,15.4345
405.1,14.7712
405.2,13.4679
405.3,12.2966
405.4,10.6276
405.5,9.3505
405.6,8.8133
405.7,8.429
405.8,8.1607
405.9,7.7214
406,7.915
406.1,8.5878
406.2,8.742
406.3,7.7984
406.4,6.5322
406.5,6.9786
406.6,8.3626
406.7,9.5695
406.8,9.8851
406.9,8.7092
407,6.97
407.1,6.092
407.2,6.532
407.3,7.798
407.4,8.8857
407.5,9.4439
407.6,10.3944
407.7,11.6817
407.8,12.1839
407.9,11.1198
408,9.0118
408.1,7.5862
408.2,7.5862
408.3,6.3146
408.4,5.0594
408.5,4.769
408.6,5.5241
408.7,6.8944
408.8,7.8729
408.9,9.9293
409,12.6606
409.1,12.4888
409.2,8.7374
409.3,6.0266
409.4,7.4552
409.5,12.0142
409.6,13.6016
409.7,12.8536
409.8,10.7945
409.9,10.2101
410,11.4533
410.1,13.1366
410.2,13.7931
410.3,13.9189
410.4,14.2224
410.5,14.4828
410.6,14.4828
410.7,13.7366
410.8,12.3583
410.9,11.4943
411,11.4943
411.1,10.8868
411.2,10.1786
411.3,9.8851
411.4,9.8851
411.5,9.8851
411.6,9.8851
411.7,9.8851
411.8,9.8851
411.9,9.8851
412,10.3436
412.1,11.9546
412.2,13.8305
412.3,14.4828
412.4,12.324
412.5,9.5958
412.6,8.3908
412.7,8.3908
412.8,8.3908
412.9,8.9628
413,9.1954
413.1,9.1954
413.2,9.1954
413.3,10.3447
413.4,11.2202
413.5,11.4943
413.6,12.5595
413.7,15.4559
413.8,17.7624
413.9,18.3908
414,19.649
414.1,22.6838
414.2,25.2874
414.3,25.2874
414.4,24.9149
414.5,24.1771
414.6,22.8558
414.7,21.3904
414.8,16.6553
414.9,14.5947
415,14.206
415.1,14.7891
415.2,16.3394
415.3,17.8824
415.4,18.3908
415.5,14.603
415.6,8.5596
415.7,5.2874
415.8,5.2874
415.9,5.5368
416,5.9057
416.1,6.092
416.2,7.0012
416.3,9.0601
416.4,9.9376
416.5,8.8975
416.6,6.7467
416.7,6.7334
416.8,8.5563
416.9,9.7755
417,10.4253
417.1,10.695
417.2,7.5582
417.3,5.3536
417.4,7.7295
417.5,9.1701
417.6,10.3667
417.7,10.775
417.8,11.5866
417.9,13.0179
418,13.6312
418.1,13.6068
418.2,13.2379
418.3,12.8524
418.4,12.5566
418.5,11.4236
418.6,10.7512
418.7,9.4269
418.8,8.852
418.9,8.6983
419,8.6983
419.4,14.4828
419.5,12.131
419.6,11.6223
419.7,10.8321
419.8,8.7854
419.9,8.6261
420,7.8855
420.1,6.0383
420.2,6.2235
420.3,7.3123
420.4,7.735
420.5,9.2699
420.6,9.1366
420.7,7.9583
420.8,6.4086
420.9,6.9049
421,7.6267
421.1,8.1837
421.2,7.7685
421.3,7.0822
421.4,6.9578
421.5,8.1913
421.6,8.0797
421.7,8.0454
421.8,8.0767
421.9,8.9799
422,9.8816
422.1,10.9927
422.2,10.2505
422.3,8.9859
422.4,6.7582
422.5,7.0497
422.6,9.5697
422.7,10.4858
422.8,9.0808
422.9,7.5677
423,7.888
423.1,9.2449
423.2,9.6583
423.3,8.0118
423.4,5.6438
423.5,4.9988
423.6,6.5937
423.7,9.0426
423.8,9.7077
423.9,10.4045
424,10.7542
424.1,11.3256
424.2,11.4323
424.3,10.4617
424.4,7.2809
424.5,5.9407
424.6,5.7495
424.7,6.138
424.8,6.6915
424.9,7.9333
425,8.9965
425.1,10.6857
425.2,10.1324
425.3,9.3787
425.4,8.9146
425.5,7.9587
425.6,8.1921
425.7,10.0179
425.8,11.8234
425.9,11.752
426,9.6273
426.1,8.4747
426.2,6.6843
426.3,5.5969
426.4,6.1244
426.5,7.8987
426.6,8.9725
426.7,9.3869
426.8,9.5348
426.9,10.2843
427,11.2382
427.1,11.6503
427.2,12.1151
427.3,11.7646
427.4,10.753
427.5,10.1704
427.6,10.2034
427.7,10.924
427.8,11.3698
427.9,11.4943
428,11.085
428.1,10.5089
428.2,8.1318
428.3,6.8231
428.4,7.4889
428.5,9.2525
428.6,10.8345
428.7,13.2588
428.8,13.0139
428.9,9.8851
429,7.3081
429.1,7.9482
429.2,13.2184
429.3,14.8707
429.4,12.7988
429.5,9.5974
429.6,7.8105
429.7,6.8135
429.8,8.0362
429.9,11.9923
430,12.6579
430.1,11.0324
430.2,10.2329
430.3,9.8851
430.4,9.8851
430.5,9.8851
430.6,9.8262
430.7,9.6857
430.8,9.2178
430.9,8.9263
431,8.2418
431.1,8.0853
431.2,9.0454
431.3,9.691
431.4,9.94
431.5,10.0143
431.6,10.4574
431.7,10.7164
431.8,11.0985
431.9,11.328
432,11.0718
432.1,11.1474
432.2,12.7294
432.3,14.6925
432.4,14.8802
432.5,12.6454
432.6,11.1687
432.7,8.6489
432.8,9.0862
432.9,11.4143
433,12.1901
433.1,13.4641
433.2,13.4207
433.3,12.8366
433.4,12.5868
433.5,13.9493
433.6,15.0323
433.7,17.8953
433.8,19.2721
433.9,17.0316
434,13.8003
434.1,12.6656
434.2,12.3054
434.3,12.2442
434.4,11.5446
434.5,9.9235
434.6,7.823
434.7,8.4005
434.8,8.7583
434.9,8.3649
435,7.9921
435.1,8.4708
435.2,9.5134
435.3,10.8827
435.4,12.1646
435.5,9.9614
435.6,9.4733
435.7,10.929
435.8,9.492
435.9,8.6902
436,8.0691
436.1,7.916
436.2,8.1585
436.3,8.3898
436.4,8.9223
436.5,10.9254
436.6,11.0856
436.7,10.9814
436.8,10.0796
436.9,12.0961
437,12.6684
437.1,11.0296
437.2,10.0719
437.3,10.4467
437.4,11.3462
437.5,11.4856
437.6,11.4646
437.7,11.2817
437.8,10.7486
437.9,8.8417
438,11.3911
438.1,13.683
438.2,18.0281
438.3,18.3964
438.4,17.7523
438.5,14.0909
438.6,11.2208
438.7,11.575
438.8,12.3323
438.9,13.5193
439,14.9759
439.1,14.7717
439.2,13.3474
439.3,13.7722
439.4,15.3028
439.5,15.8523
439.6,15.5137
439.7,15.7893
439.8,13.896
439.9,13.0295
440,12.553
440.1,12.6504
440.2,12.6522
440.3,12.4769
440.4,12.4043
440.5,13.2423
440.6,13.543
440.7,13.4844
440.8,13.4194
440.9,12.5519
441,12.1839
441.1,12.1839
441.2,12.1839
441.3,12.1839
441.4,12.1839
441.5,12.3444
441.6,12.9082
441.7,13.5648
441.8,13.7931
441.9,11.869
442,9.0231
442.1,7.5862
442.2,8.1182
442.3,9.1721
442.4,9.7532
442.5,9.1933
442.6,7.5244
442.7,6.3798
442.8,5.9139
442.9,5.3449
443,4.7759
443.1,4.8365
443.2,5.8562
443.3,7.5784
443.4,8.3908
443.5,8.3908
443.6,8.3908
443.7,8.3488
443.8,8.1583
443.9,7.7872
444,7.6261
444.1,7.5862
444.2,7.5862
444.3,7.5862
444.4,7.8798
444.5,8.5879
444.6,9.1954
444.7,9.3444
444.8,9.868
444.9,10.4777
445,11.3335
445.1,13.3904
445.2,15.3254
445.3,15.4738
445.4,14.4115
445.5,13.4449
445.6,11.6444
445.7,10.2396
445.8,9.8851
445.9,9.8851
446,8.9794
446.1,6.8132
446.2,5.7779
446.3,6.4587
446.4,7.9738
446.5,8.4394
446.6,9.2628
446.7,10.1241
446.8,11.7233
446.9,12.3239
447,12.6764
447.1,12.5262
447.2,12.7858
447.3,13.7385
447.4,14.0182
447.5,12.9745
447.6,12.1746
447.7,10.6662
447.8,12.1567
447.9,13.6145
448,14.9263
448.1,14.5343
448.2,13.2544
448.3,11.4739
448.4,11.9136
448.5,12.4493
448.6,13.2244
448.7,13.2625
448.8,13.371
448.9,13.7941
449.3,9.1954
449.4,9.1954
449.5,9.1954
449.6,9.1954
449.7,9.1954
