DEPT,GR
250.0884,10.591
250.2408,9.044
250.3932,8.288
250.5456,5.601
250.698,7.024
250.8504,5.043
251.0028,5.963
251.1552,4.687
251.3076,7.322
251.46,5.953
251.6124,6.148
251.7648,6.313
251.9172,7.738
252.0696,5.445
252.222,5.518
252.3744,6.575
252.5268,7.188
252.6792,5.509
252.8316,5.811
252.984,8.031
253.1364,7.296
253.2888,8.591
253.4412,9.284
253.5936,8.052
253.746,8.558
253.8984,9.225
254.0508,10.195
254.2032,8.837
254.3556,10.127
254.508,10.304
254.6604,7.679
254.8128,8.258
254.9652,6.859
255.1176,9.458
255.27,8.144
255.4224,7.553
255.5748,7.977
255.7272,8.292
255.8796,7.308
256.032,8.647
256.1844,9.707
256.3368,6.016
256.4892,7.304
256.6416,8.348
256.794,6.251
256.9464,8.317
257.0988,8.149
257.2512,6.756
257.4036,5.096
257.556,6.287
257.7084,8.521
257.8608,6.772
258.0132,9.117
258.1656,8.024
258.318,7.073
258.4704,7.178
258.6228,6.584
258.7752,8.154
258.9276,5.932
259.08,9.573
259.2324,8.617
259.3848,7.42
259.5372,7.56
259.6896,9.317
259.842,10.814
259.9944,10.824
260.1468,9.837
260.2992,7.934
260.4516,7.097
260.604,9.003
260.7564,6.457
260.9088,7.683
261.0612,8.487
261.2136,8.917
261.366,8.385
261.5184,8.531
261.6708,7.034
261.8232,7.5
261.9756,9.169
262.128,8.19
262.2804,7.85
262.4328,5.882
262.5852,5.126
262.7376,9.643
262.89,9.158
263.0424,8.173
263.1948,10.419
263.3472,10.277
263.4996,10.27
263.652,9.809
263.8044,9.313
263.9568,4.743
264.1092,7.329
264.2616,9.919
264.414,11.716
264.5664,10.829
264.7188,10.707
264.8712,11.191
265.0236,9.33
265.176,9.777
265.3284,9.257
265.4808,9.526
265.6332,8.496
265.7856,10.344
265.938,12.204
266.0904,13.096
266.2428,8.766
266.3952,10.005
266.5476,9.908
266.7,9.534
266.8524,11.732
267.0048,10.735
267.1572,10.354
267.3096,12.173
267.462,10.616
267.6144,8.51
267.7668,10.302
267.9192,13.125
268.0716,13.158
268.224,12.416
268.3764,11.952
268.5288,12.261
268.6812,11.431
268.8336,8.656
268.986,9.584
269.1384,10.499
269.2908,11.618
269.4432,9.936
269.5956,11.978
269.748,9.403
269.9004,6.645
270.0528,7.011
270.2052,11.864
270.3576,8.868
270.51,3.712
270.6624,6.523
270.8148,6.426
270.9672,9.849
271.1196,10.321
271.272,10.943
271.4244,8.637
271.5768,9.517
271.7292,10.357
271.8816,8.564
272.034,10.537
272.1864,11.743
272.3388,10.815
272.4912,8.439
272.6436,10.061
272.796,9.255
272.9484,10.568
273.1008,11.836
273.2532,11.989
273.4056,11.361
273.558,11.288
273.7104,9.586
273.8628,8.606
274.0152,9.476
274.1676,10.292
274.32,8.399
274.4724,8.648
274.6248,9.584
274.7772,13.255
274.9296,10.821
275.082,10.762
275.2344,9.595
275.3868,8.517
275.5392,14.335
275.6916,13.413
275.844,11.358
275.9964,11.43
276.1488,10.03
276.3012,9.145
276.4536,7.678
276.606,11.388
276.7584,13.537
276.9108,13.152
277.0632,11.215
277.2156,10.925
277.368,10.169
277.5204,7.888
277.6728,6.827
277.8252,9.421
277.9776,10.996
278.13,10.285
278.2824,11.377
278.4348,8.526
278.5872,10.38
278.7396,12.961
278.892,11.878
279.0444,13.054
279.1968,5.98
279.3492,12.836
279.5016,11.007
279.654,8.844
279.8064,10.428
279.9588,8.061
280.1112,11.649
280.2636,7.807
280.416,9.183
280.5684,13.108
280.7208,8.964
280.8732,7.678
281.0256,8.741
281.178,9.832
281.3304,11.52
281.4828,9.303
281.6352,10.798
281.7876,9.037
281.94,9.864
282.0924,12.691
282.2448,10.44
282.3972,5.56
282.5496,9.983
282.702,9.426
282.8544,11.44
283.0068,9.917
283.1592,11.905
283.3116,11.275
283.464,12.124
283.6164,11.017
283.7688,9.626
283.9212,9.732
284.0736,10.696
284.226,12.344
284.3784,9.464
284.5308,11.544
284.6832,8.649
284.8356,12.838
284.988,12.388
285.1404,8.733
285.2928,8.531
285.4452,12.228
285.5976,7.945
285.75,12.729
285.9024,10.361
286.0548,11.773
286.2072,9.525
286.3596,8.927
286.512,10.616
286.6644,10.987
286.8168,9.413
286.9692,6.729
287.1216,9.065
287.274,8.505
287.4264,8.912
287.5788,9.165
287.7312,10.224
287.8836,8.938
288.036,9.174
288.1884,10.327
288.3408,11.53
288.4932,7.868
288.6456,9.393
288.798,9.863
288.9504,8.886
289.1028,10.374
289.2552,9.471
289.4076,11.13
289.56,11.923
289.7124,13.066
289.8648,11.124
290.0172,11.733
290.1696,10.6
290.322,9.106
290.4744,12.736
290.6268,11.869
290.7792,13.315
290.9316,8.647
291.084,8.007
291.2364,11.551
291.3888,13.526
291.5412,13.289
291.6936,11.831
291.846,9.997
291.9984,8.372
292.1508,9.829
292.3032,11.157
292.4556,10.944
292.608,11.236
292.7604,11.102
292.9128,9.889
293.0652,11.276
293.2176,11.309
293.37,9.611
293.5224,10.29
293.6748,9.122
293.8272,12.796
293.9796,8.976
294.132,10.486
294.2844,10.779
294.4368,8.839
294.5892,10.142
294.7416,12.208
294.894,11.173
295.0464,10.072
295.1988,10.818
