DEPT,GR
235.1532,6.589844
235.3056,5.503906
235.458,6.589844
235.6104,7.328125
235.7628,6.601563
235.9152,4.773438
236.0676,5.851563
236.22,8.015625
236.3724,8.382813
236.5248,6.558594
236.6772,6.207031
236.8296,5.855469
236.982,6.964844
237.1344,5.515625
237.2868,5.148438
237.4392,3.681641
237.5916,4.046875
237.744,4.78125
237.8964,5.503906
238.0488,5.132813
238.2012,5.117188
238.3536,4.382813
238.506,5.117188
238.6584,5.84375
238.8108,6.949219
238.9632,6.964844
239.1156,5.511719
239.268,5.144531
239.4204,4.394531
239.5728,5.140625
239.7252,4.40625
239.8776,6.238281
240.03,5.492188
240.1824,7.304688
240.3348,6.578125
240.4872,6.203125
240.6396,6.96875
240.792,6.253906
240.9444,7.351563
241.0968,5.886719
241.2492,6.613281
241.4016,5.886719
241.554,5.871094
241.7064,6.226563
241.8588,6.585938
242.0112,6.570313
242.1636,4.742188
242.316,4.746094
242.4684,5.132813
242.6208,5.867188
242.7732,5.140625
242.9256,5.878906
243.078,5.882813
243.2304,6.613281
243.3828,5.496094
243.5352,5.496094
243.6876,5.851563
243.84,4.75
243.9924,5.121094
244.1448,4.761719
244.2972,5.882813
244.4496,5.503906
244.602,4.777344
244.7544,5.15625
244.9068,5.890625
245.0592,7.714844
245.2116,7.332031
245.364,7.703125
245.5164,5.871094
245.6688,5.847656
245.8212,5.859375
245.9736,7.675781
246.126,7.332031
246.2784,6.59375
246.4308,5.140625
246.5832,4.769531
246.7356,5.140625
246.888,4.777344
247.0404,6.214844
247.1928,6.191406
247.3452,6.921875
247.4976,5.476563
247.65,6.585938
247.8024,7.699219
247.9548,8.445313
248.1072,8.445313
248.2596,6.984375
248.412,6.605469
248.5644,5.511719
248.7168,6.609375
248.8692,6.964844
249.0216,6.210938
249.174,5.847656
249.3264,6.570313
249.4788,7.300781
249.6312,6.554688
249.7836,6.253906
249.936,7.390625
250.0884,7.023438
250.2408,7.351563
250.3932,6.59375
250.5456,7.316406
250.698,6.574219
250.8504,5.851563
251.0028,6.222656
251.1552,7.3125
251.3076,8.039063
251.46,8.054688
251.6124,6.976563
251.7648,5.511719
251.9172,5.515625
252.0696,5.863281
252.222,6.234375
252.3744,5.484375
252.5268,4.382813
252.6792,5.855469
252.8316,6.953125
252.984,6.957031
253.1364,5.84375
253.2888,4.753906
253.4412,5.132813
253.5936,5.515625
253.746,4.777344
253.8984,6.257813
254.0508,5.140625
254.2032,5.867188
254.3556,5.476563
254.508,8.046875
254.6604,8.054688
254.8128,6.960938
254.9652,5.847656
255.1176,6.222656
255.27,7.347656
255.4224,6.265625
255.5748,7.355469
255.7272,5.507813
255.8796,6.242188
256.032,4.765625
256.1844,5.121094
256.3368,4.375
256.4892,6.574219
256.6416,6.574219
256.794,7.308594
256.9464,5.855469
257.0988,6.601563
257.2512,5.871094
257.4036,5.140625
257.556,4.398438
257.7084,5.128906
257.8608,6.222656
258.0132,6.21875
258.1656,6.953125
258.318,7.320313
258.4704,7.683594
258.6228,6.949219
258.7752,6.230469
258.9276,5.867188
259.08,5.875
259.2324,5.503906
259.3848,6.242188
259.5372,5.863281
259.6896,6.949219
259.842,6.207031
259.9944,5.847656
260.1468,4.382813
260.2992,5.125
260.4516,5.496094
260.604,6.613281
260.7564,5.515625
260.9088,5.15625
261.0612,5.53125
261.2136,6.25
261.366,7.328125
261.5184,5.839844
261.6708,5.847656
261.8232,5.863281
261.9756,6.59375
262.128,6.605469
262.2804,6.960938
262.4328,5.867188
262.5852,6.234375
262.7376,5.148438
262.89,5.507813
263.0424,5.148438
263.1948,5.125
263.3472,6.214844
263.4996,6.199219
263.652,6.945313
263.8044,7.664063
263.9568,8.023438
264.1092,7.296875
264.2616,6.222656
264.414,5.132813
264.5664,5.132813
264.7188,4.035156
264.8712,5.128906
265.0236,4.753906
265.176,5.847656
265.3284,5.839844
265.4808,6.207031
265.6332,7.667969
265.7856,7.304688
