DEPT,GR
453,23.85099302
453.2,26.90287267
453.4,27.4078309
453.6,28.02461334
453.8,29.41399304
454,27.40027361
454.2,27.55807072
454.4,29.79534225
454.6,31.16527201
454.8,32.80447832
455,32.96430324
455.2,29.45328276
455.4,27.32650567
455.6,25.05297412
455.8,23.8532579
456,25.68612332
456.2,32.21724545
456.4,35.28396893
456.6,39.46168783
456.8,42.43970631
457,41.20432941
457.2,38.21995562
457.4,36.21037586
457.6,32.83182648
457.8,27.64219648
458,31.75768387
458.2,34.98118745
458.4,38.11463234
458.6,44.93103907
458.8,46.54593411
459,44.8577616
459.2,45.28576572
459.4,46.18158256
459.6,50.1115889
459.8,48.84077857
460,46.47548195
460.2,45.70396478
460.4,46.14538617
460.6,48.13837559
460.8,47.96537861
461,48.80757079
461.2,49.40921874
461.4,47.11784731
461.6,45.18104801
461.8,46.1695273
462,46.30171815
462.2,46.22843966
462.4,48.96633552
462.6,49.75204679
462.8,48.89547972
463,47.7628862
463.2,44.66681218
463.4,40.5822297
463.6,42.86774378
463.8,46.39477094
464,49.18623477
464.2,52.92502373
464.4,56.24035689
464.6,64.79530879
464.8,66.73870711
465,69.14158566
465.2,61.91066049
465.4,51.57887863
465.6,49.90664052
465.8,50.17519971
466,52.75707459
466.2,59.28052956
466.4,63.31146404
466.6,60.90759054
466.8,59.21271408
467,54.61570401
467.2,52.77351713
467.4,53.8522393
467.6,54.18290511
467.8,54.66917008
468,50.94965062
468.2,52.08440883
468.4,55.63502139
468.6,57.36983824
468.8,59.84972818
469,60.27493029
469.2,65.88456298
469.4,69.0202661
469.6,71.16149952
469.8,73.57094013
470,73.45648131
470.2,73.40423883
470.4,72.6231885
470.6,71.78449321
470.8,72.50045445
471,74.7137822
471.2,69.22549294
471.4,66.21361619
471.6,61.5080453
471.8,59.46162837
472,61.62809033
472.2,60.44095628
472.4,60.37907697
472.6,62.37338556
472.8,64.63702567
473,59.99085011
473.2,59.08774698
473.4,58.21569627
473.6,59.31979313
473.8,56.22458555
474,56.39577046
474.2,55.18096627
474.4,53.06896853
474.6,51.15898707
474.8,51.32377268
475,52.0843572
475.2,53.15104865
475.4,56.33339474
475.6,60.2424689
475.8,59.83863013
476,59.83695388
476.2,59.84334955
476.4,59.84460611
476.6,59.84984611
476.8,59.81332158
477,59.23664542
477.2,58.11609616
477.4,60.55142454
477.6,64.3017012
477.8,64.6238145
478,64.65656297
478.2,64.24612674
478.4,61.2642924
478.6,61.54149059
478.8,61.51632506
479,61.42449276
479.2,60.90577702
479.4,57.92695707
479.6,57.41817588
479.8,57.69054876
480,58.14432909
480.2,58.15088885
480.4,58.146303
480.6,58.14606511
480.8,58.14705916
481,58.14239903
481.2,58.06819518
481.4,59.01030474
481.6,58.84421461
481.8,58.35976292
482,54.93921707
482.2,50.06902441
482.4,49.79579205
482.6,51.07265966
482.8,52.41070665
483,59.92750083
483.2,65.34187307
483.4,66.21074198
483.6,66.57307317
483.8,66.64055122
484,66.72954349
484.2,65.77408461
484.4,64.77833666
484.6,64.5805755
484.8,66.52806993
485,69.620211
485.2,67.52535773
485.4,65.75589497
485.6,63.96312291
485.8,60.28507209
486,61.38860951
486.2,65.12023571
486.4,66.88644397
486.6,69.10015587
486.8,72.85399044
487,73.4755464
487.2,73.40310236
487.4,73.42314591
487.6,73.42625091
487.8,73.43524306
488,73.41192996
488.2,72.5241632
488.4,71.73730004
488.6,72.00803044
488.8,69.06195037
489,67.0767279
489.2,67.36098702
489.4,68.32538907
489.6,69.38725344
489.8,68.36393805
490,65.8786608
490.2,64.66180003
490.4,63.09938193
490.6,64.0778076
490.8,64.93142884
491,66.04165418
491.2,67.19421908
491.4,72.55209768
491.6,77.45494153
491.8,74.4741809
492,72.90162814
492.2,70.88775513
492.4,68.35221233
492.6,65.61888835
492.8,65.24955343
493,65.41936155
493.2,66.58189032
493.4,68.85777427
493.6,64.92869636
493.8,62.89217482
494,61.16148628
494.2,58.46749266
494.4,52.71197628
494.6,50.04069081
494.8,50.19866698
495,50.53740935
495.2,53.26439912
495.4,53.01129078
495.6,54.33972411
495.8,54.44745003
496,53.93046537
496.2,52.85296652
496.4,53.8954961
496.6,56.11429976
496.8,57.75443149
497,60.52602328
497.2,64.15749248
497.4,68.05278296
497.6,69.84869307
497.8,71.75916616
498,73.40110758
498.2,75.27414553
498.4,75.14475145
498.6,75.69255521
498.8,76.75825482
499,78.36097728
499.2,82.02657918
499.4,82.41877402
499.6,82.86351561
499.8,83.80734376
500,81.7230619
500.2,81.94951895
500.4,83.29183267
500.6,84.62234499
500.8,87.90268149
501,90.95951048
501.2,85.29668993
501.4,82.60752401
501.6,78.38560638
501.8,79.93947407
502,84.75119263
502.2,81.24121211
502.4,78.85529193
502.6,73.72274894
502.8,65.95539054
503,65.0393571
503.2,67.82952202
503.4,70.25766798
503.6,75.07998479
503.8,69.89464686
504,66.3299906
504.2,64.22662809
504.4,61.58102241
504.6,58.05886249
504.8,55.42622394
505,55.72500911
505.2,56.2187716
505.4,58.09641789
505.6,59.96432591
505.8,60.68540365
506,61.25342401
506.2,61.88958023
506.4,64.8159669
506.6,68.77568706
506.8,67.44898306
507,65.30331105
507.2,62.39329394
507.4,57.68736432
507.6,57.96011515
507.8,62.13983516
508,64.66324506
508.2,69.28772943
508.4,70.02452158
508.6,71.74531371
508.8,70.56385865
509,69.61803935
509.2,66.62157405
509.4,64.91405865
509.6,62.59243855
509.8,61.3195445
510,59.84494263
510.2,58.53214964
510.4,62.61570487
510.6,63.07785223
510.8,64.01637661
511,65.640724
511.2,69.29748535
511.4,71.78258973
511.6,72.69099621
511.8,73.12259895
512,71.66627016
512.2,71.91276228
512.4,69.31996246
512.6,68.03610481
512.8,66.65708861
513,66.62584773
513.2,66.67185029
513.4,65.92526032
513.6,65.52175465
513.8,64.95450598
514,63.82039876
514.2,65.83794691
514.4,66.29054801
514.6,66.44980054
514.8,65.81574887
515,64.70704362
515.2,66.5600851
515.4,66.5908152
515.6,66.63274325
515.8,66.64353863
516,66.68795881
516.2,65.84415166
516.4,64.59023256
516.6,62.38103201
516.8,61.34061177
517,62.41372896
517.2,62.96905738
517.4,63.23037099
517.6,63.15585107
517.8,63.956236
518,66.58063534
518.2,67.56414639
518.4,68.52223646
518.6,70.87632394
518.8,72.70830628
519,73.32919942
519.2,74.07411817
519.4,75.11734551
519.6,75.97095798
519.8,76.86861008
520,77.24197352
520.2,76.12152614
520.4,72.07084052
520.6,64.64229681
520.8,59.87004118
521,57.51509071
521.2,55.60175202
521.4,54.56415541
521.6,55.46508016
521.8,58.63090273
522,59.2504538
522.2,59.84258226
522.4,59.96102497
522.6,59.01258754
522.8,57.07634636
523,56.50519814
523.2,56.50133505
523.4,55.57620254
523.6,54.73459599
523.8,55.7976883
524,56.38295015
524.2,56.79800791
524.4,52.76648357
524.6,52.2585583
524.8,51.11739607
525,49.70014076
525.2,49.8605064
525.4,56.63772758
525.6,62.48998369
525.8,65.13532646
526,68.39838341
526.2,69.74100403
526.4,64.85334163
526.6,62.80845682
526.8,61.38589841
527,59.49060655
527.2,62.47050396
527.4,64.74219165
527.6,63.92567303
527.8,63.0715004
528,58.72061031
528.2,57.91536837
528.4,60.36702679
528.6,62.35005805
528.8,65.76287646
529,68.90019438
529.2,65.72473342
529.4,64.12569146
529.6,63.33935376
529.8,62.99584663
530,65.91909844
530.2,67.41460332
530.4,67.8694034
530.6,68.31069398
530.8,68.54505968
531,66.64812276
531.2,63.76939724
531.4,63.04369659
531.6,62.3693381
531.8,63.87173591
532,57.95777182
532.2,55.28067452
532.4,54.23299281
532.6,54.60644922
532.8,56.24519355
533,60.62874625
533.2,63.3782614
533.4,65.67308604
533.6,66.25578822
533.8,61.11598738
534,61.61395548
534.2,62.21807042
534.4,63.24444191
534.6,63.32559547
534.8,62.2861832
535,63.72788786
535.2,64.70652188
535.4,66.5347649
535.6,69.50847622
535.8,69.17834353
536,66.05656913
536.2,63.60397612
536.4,58.76772695
536.6,58.18236247
536.8,55.8588131
537,55.31484749
537.2,54.75342731
537.4,54.57522632
537.6,56.6297106
537.8,55.12320847
538,54.79240705
538.2,54.75592533
538.4,54.92041042
538.6,53.03415599
538.8,52.07237514
539,51.52025347
539.2,52.14693476
539.4,53.01714049
539.6,54.65089639
539.8,55.94112459
540,57.35178656
540.2,59.86421757
540.4,61.57969405
540.6,63.7212362
540.8,66.19069507
541,70.73870079
541.2,76.24061502
541.4,79.52164859
541.6,76.89566385
541.8,74.97256804
542,70.48706226
542.2,62.04722495
542.4,55.98961801
542.6,54.52407136
542.8,53.04717202
543,52.01676242
543.2,53.04551921
543.4,54.44003135
543.6,54.69754225
543.8,54.75669117
544,54.92359506
544.2,52.97752421
544.4,53.08634663
544.6,53.05257908
544.8,53.07503614
545,53.3452328
545.2,49.75255442
545.4,48.01616877
545.6,46.44836091
545.8,47.66079328
546,51.41335135
546.2,55.72658997
546.4,57.58772316
546.6,59.82971943
546.8,61.62190741
547,62.38931781
547.2,64.22964439
547.4,65.23115151
547.6,66.77250342
547.8,65.78261552
548,64.9504315
548.2,64.90432216
548.4,64.75620735
548.6,63.50028312
548.8,59.63931514
549,57.64144088
549.2,57.36670436
549.4,57.29964643
549.6,57.96944116
549.8,51.11076308
550,47.15441855
550.2,46.56459254
550.4,48.37320943
550.6,55.4649706
550.8,64.95802056
551,67.7295358
551.2,69.98849403
551.4,71.31445726
