DEPT,GR
169.0116,20.82082
169.164,22.12212
169.3164,22.82282
169.4688,23.02302
169.6212,22.82282
169.7736,22.92292
169.926,23.32332
170.0784,23.72372
170.2308,24.12412
170.3832,24.42442
170.5356,24.62462
170.688,23.52352
170.8404,21.92192
170.9928,21.52152
171.1452,21.22122
171.2976,21.12112
171.45,20.12012
171.6024,19.81982
171.7548,21.12112
171.9072,21.52152
172.0596,21.42142
172.212,21.12112
172.3644,20.32032
172.5168,19.91992
172.6692,20.02002
172.8216,20.52052
172.974,21.42142
173.1264,21.62162
173.2788,21.32132
173.4312,21.02102
173.5836,21.12112
173.736,23.12312
173.8884,23.72372
174.0408,23.52352
174.1932,24.52452
174.3456,25.12513
174.498,24.72472
174.6504,24.02402
174.8028,22.32232
174.9552,21.32132
175.1076,20.92092
175.26,21.02102
175.4124,21.72172
175.5648,22.92292
175.7172,23.82382
175.8696,24.42442
176.022,25.32533
176.1744,25.52552
176.3268,24.52452
176.4792,22.82282
176.6316,21.82182
176.784,21.92192
176.9364,22.02202
177.0888,21.12112
177.2412,20.22022
177.3936,20.42042
177.546,20.32032
177.6984,20.32032
177.8508,20.72072
178.0032,20.52052
178.1556,20.62062
178.308,20.32032
178.4604,20.82082
178.6128,21.52152
178.7652,21.52152
178.9176,21.32132
179.07,20.92092
179.2224,20.72072
179.3748,20.72072
179.5272,20.32032
179.6796,19.91992
179.832,20.52052
179.9844,21.22122
180.1368,20.62062
180.2892,20.12012
180.4416,19.21922
180.594,20.32032
180.7464,22.72272
180.8988,23.22322
181.0512,23.12312
181.2036,23.22322
181.356,22.92292
181.5084,22.92292
181.6608,22.92292
181.8132,21.92192
181.9656,20.82082
182.118,20.62062
182.2704,20.92092
182.4228,20.92092
182.5752,20.02002
182.7276,19.71972
182.88,20.02002
183.0324,21.12112
183.1848,21.22122
183.3372,21.42142
183.4896,21.92192
183.642,21.42142
183.7944,21.12112
183.9468,20.22022
184.0992,19.51952
184.2516,18.81882
184.404,19.51952
184.5564,19.81982
184.7088,19.71972
184.8612,20.72072
185.0136,22.72272
185.166,24.02402
185.3184,24.42442
185.4708,24.52452
185.6232,25.32533
185.7756,26.42643
185.928,26.92693
186.0804,27.12712
186.2328,26.52653
186.3852,26.12613
186.5376,26.12613
186.69,26.02602
186.8424,25.72572
186.9948,24.32432
187.1472,22.72272
187.2996,20.92092
187.452,19.51952
187.6044,19.01902
187.7568,19.31932
187.9092,20.52052
188.0616,21.52152
188.214,22.12212
188.3664,23.32332
188.5188,25.12513
188.6712,26.12613
188.8236,26.22623
188.976,25.92593
189.1284,25.72572
189.2808,25.92593
189.4332,26.22623
189.5856,26.72673
189.738,26.92693
189.8904,25.72572
190.0428,23.92392
190.1952,22.92292
190.3476,23.02302
190.5,24.12412
190.6524,25.62563
190.8048,27.02703
190.9572,26.62663
191.1096,25.02502
191.262,24.32432
191.4144,23.52352
191.5668,23.62362
191.7192,24.92492
191.8716,26.72673
192.024,26.32632
192.1764,25.82582
192.3288,26.22623
192.4812,25.92593
192.6336,26.12613
192.786,26.32632
192.9384,26.12613
193.0908,27.92793
193.2432,28.12813
193.3956,25.42542
193.548,23.72372
193.7004,22.42242
193.8528,22.42242
194.0052,21.32132
194.1576,20.32032
194.31,20.02002
194.4624,19.51952
194.6148,19.51952
194.7672,19.91992
194.9196,20.92092
195.072,21.52152
195.2244,22.52252
195.3768,23.72372
195.5292,24.42442
195.6816,24.42442
195.834,24.32432
195.9864,24.72472
196.1388,24.52452
196.2912,24.32432
196.4436,23.62362
196.596,23.72372
196.7484,24.32432
196.9008,24.52452
197.0532,23.82382
197.2056,23.32332
197.358,23.42342
197.5104,24.32432
197.6628,24.62462
197.8152,24.12412
197.9676,24.12412
198.12,24.52452
198.2724,25.62563
198.4248,26.42643
198.5772,26.32632
198.7296,26.12613
198.882,25.92593
199.0344,25.92593
199.1868,25.92593
199.3392,24.62462
199.4916,24.12412
199.644,23.92392
199.7964,24.82483
199.9488,25.62563
200.1012,26.42643
200.2536,26.22623
200.406,24.62462
200.5584,24.12412
200.7108,23.82382
200.8632,23.32332
201.0156,24.32432
201.168,25.62563
201.3204,26.12613
201.4728,25.72572
201.6252,25.92593
201.7776,26.42643
201.93,25.12513
202.0824,25.02502
202.2348,25.42542
202.3872,24.72472
202.5396,24.92492
202.692,25.12513
202.8444,24.72472
202.9968,23.82382
203.1492,23.62362
203.3016,24.72472
203.454,24.72472
203.6064,23.82382
203.7588,25.02502
203.9112,25.02502
204.0636,24.92492
204.216,25.72572
204.3684,26.12613
204.5208,25.92593
204.6732,25.92593
204.8256,26.32632
204.978,26.22623
205.1304,26.52653
205.2828,26.72673
205.4352,25.92593
205.5876,24.62462
205.74,23.72372
205.8924,23.12312
206.0448,22.22222
206.1972,21.52152
206.3496,21.82182
206.502,22.92292
206.6544,23.22322
206.8068,22.32232
206.9592,21.22122
207.1116,20.92092
207.264,21.42142
207.4164,22.92292
207.5688,24.72472
207.7212,25.82582
207.8736,25.72572
208.026,25.52552
208.1784,25.52552
208.4832,25.82582
208.6356,26.32632
208.788,26.82682
208.9404,27.32733
209.0928,26.92693
209.2452,26.52653
209.3976,26.12613
209.55,25.02502
209.7024,22.82282
209.8548,22.52252
210.0072,23.62362
210.1596,24.32432
210.312,23.12312
210.4644,22.72272
210.6168,23.82382
210.7692,25.32533
210.9216,24.42442
211.074,24.22422
211.2264,24.22422
211.3788,23.32332
211.5312,22.92292
211.6836,24.32432
211.836,24.82483
211.9884,23.52352
212.1408,23.02302
212.2932,23.22322
212.4456,22.32232
212.598,20.62062
212.7504,19.31932
212.9028,20.32032
213.0552,21.12112
213.2076,22.92292
213.36,24.12412
213.5124,25.72572
213.6648,27.22723
213.8172,27.12712
213.9696,27.22723
214.122,27.52753
214.2744,27.72773
214.4268,27.62763
214.5792,27.32733
214.7316,26.82682
214.884,26.02602
215.0364,25.32533
215.1888,24.12412
215.3412,24.02402
215.4936,24.32432
215.646,24.42442
215.7984,24.02402
215.9508,23.82382
216.1032,24.12412
216.2556,24.72472
216.408,25.82582
216.5604,26.32632
216.7128,25.92593
216.8652,25.32533
217.0176,24.92492
217.17,25.12513
217.3224,25.12513
217.4748,25.62563
217.6272,26.92693
217.7796,28.12813
217.932,28.82883
218.0844,29.62963
218.2368,30.03003
218.3892,30.13013
218.5416,30.83083
218.694,32.13213
218.8464,31.53153
218.9988,29.32933
219.1512,28.12813
219.3036,28.52853
219.456,29.12913
219.6084,29.12913
219.7608,29.32933
219.9132,28.82883
220.0656,27.72773
220.218,27.52753
220.3704,27.82783
220.5228,28.22823
220.6752,29.12913
220.8276,29.52953
220.98,29.72973
221.1324,30.73073
221.2848,30.43043
221.4372,29.22923
221.5896,29.32933
221.742,29.62963
221.8944,30.73073
222.0468,31.33133
222.1992,31.13113
222.3516,31.23123
222.504,32.43243
222.6564,34.93494
222.8088,36.33633
222.9612,37.03703
223.1136,37.53754
223.266,38.33833
223.4184,38.93893
223.5708,36.93694
223.7232,34.83483
223.8756,34.63464
224.028,32.73273
224.1804,29.82983
224.3328,28.42843
224.4852,27.32733
224.6376,26.12613
224.79,25.62563
224.9424,25.62563
225.0948,26.02602
225.2472,26.12613
225.3996,25.32533
225.552,26.32632
225.7044,27.82783
225.8568,28.02803
226.0092,27.62763
226.1616,28.22823
226.314,29.32933
226.4664,29.12913
226.6188,28.42843
226.7712,28.92893
226.9236,29.82983
227.076,30.43043
227.2284,30.63063
227.3808,30.93093
227.5332,30.63063
227.6856,28.92893
227.838,28.42843
227.9904,28.02803
228.1428,27.52753
228.2952,27.32733
228.4476,27.62763
228.6,27.72773
228.7524,28.32833
228.9048,28.82883
229.0572,28.22823
229.2096,27.62763
229.362,27.92793
229.5144,29.42943
229.6668,30.13013
229.8192,30.03003
229.9716,31.03103
230.124,32.33233
230.2764,33.23323
230.4288,33.43343
230.5812,32.63263
230.7336,31.43143
230.886,29.32933
231.0384,29.62963
231.1908,29.72973
231.3432,28.82883
231.4956,28.02803
231.648,27.32733
231.8004,27.32733
231.9528,26.92693
232.1052,27.72773
232.2576,28.12813
232.41,28.12813
232.5624,28.12813
232.7148,29.42943
232.8672,30.33033
233.0196,29.42943
233.172,28.02803
233.3244,26.82682
233.4768,25.82582
233.6292,24.22422
233.7816,22.92292
233.934,22.02202
234.0864,22.72272
234.2388,23.42342
234.3912,24.32432
234.5436,25.92593
234.696,28.02803
234.8484,28.22823
235.0008,27.82783
235.1532,27.92793
235.3056,27.72773
235.458,28.52853
235.6104,29.42943
235.7628,28.92893
235.9152,27.72773
236.0676,27.12712
236.22,26.52653
236.3724,25.32533
236.5248,24.32432
236.6772,24.12412
236.8296,24.82483
236.982,26.92693
237.1344,29.12913
237.2868,29.72973
237.4392,28.92893
237.5916,28.52853
237.744,28.42843
237.8964,28.62863
238.0488,28.62863
238.2012,28.62863
238.3536,28.22823
238.506,28.22823
238.6584,28.32833
238.8108,27.72773
238.9632,28.52853
239.1156,29.92993
239.268,31.43143
239.4204,30.53053
239.5728,30.43043
239.7252,29.92993
239.8776,29.02903
240.03,28.72873
240.1824,30.73073
240.3348,32.53253
240.4872,34.03403
240.6396,34.83483
240.792,36.13613
240.9444,36.93694
241.0968,37.23724
241.2492,36.03603
241.4016,35.33533
241.554,35.43543
241.7064,33.23323
241.8588,31.13113
242.0112,30.53053
242.1636,30.13013
242.316,29.92993
242.4684,29.32933
242.6208,28.92893
242.7732,27.62763
242.9256,27.02703
243.078,26.62663
243.2304,27.92793
243.3828,29.32933
243.5352,30.23023
243.6876,31.93193
243.84,33.33333
243.9924,33.23323
244.1448,31.63163
244.2972,30.13013
244.4496,29.62963
244.602,28.82883
244.7544,28.12813
244.9068,27.12712
245.0592,26.22623
245.2116,26.42643
245.364,26.02602
245.5164,25.62563
245.6688,26.02602
245.8212,27.32733
245.9736,28.42843
246.126,29.02903
246.2784,29.12913
246.4308,29.22923
246.5832,29.32933
246.7356,28.82883
246.888,28.02803
247.0404,26.32632
247.1928,25.42542
247.3452,25.72572
247.4976,27.32733
247.65,29.32933
247.8024,31.83183
247.9548,33.63363
248.1072,32.73273
248.2596,29.52953
248.412,27.52753
248.5644,27.72773
248.7168,28.62863
248.8692,29.12913
249.0216,28.82883
249.174,29.02903
249.3264,29.32933
249.4788,29.32933
249.6312,29.92993
249.7836,31.53153
249.936,32.53253
250.0884,31.83183
250.2408,31.03102
250.3932,30.43042
250.5456,29.82982
250.698,29.52953
250.8504,29.02902
251.0028,28.02802
251.1552,26.92693
251.3076,26.52652
251.46,26.52652
251.6124,27.02702
251.7648,27.12712
251.9172,27.72772
252.0696,28.42842
252.222,28.02802
252.3744,25.72572
252.5268,24.42442
252.6792,24.12411
252.8316,24.52452
252.984,24.42442
253.1364,25.12512
253.2888,25.62563
253.4412,26.32632
253.5936,27.02702
253.746,26.62662
253.8984,24.72472
254.0508,26.02602
254.2032,28.22823
254.3556,29.22922
254.508,30.63063
254.6604,30.93092
254.8128,30.93092
254.9652,30.73073
255.1176,30.83083
255.27,30.93092
255.4224,29.02902
255.5748,28.82883
255.7272,29.22922
255.8796,30.43042
256.032,31.03102
256.1844,32.23221
256.3368,32.33231
256.4892,30.63063
256.6416,30.03003
256.794,31.53152
256.9464,32.93292
257.0988,33.93393
257.2512,34.93494
257.4036,34.23422
257.556,32.33231
257.7084,29.32932
257.8608,27.12712
258.0132,25.72572
258.1656,24.72472
258.318,25.72572
258.4704,27.12712
258.6228,27.32732
258.7752,27.32732
258.9276,26.92693
259.08,25.92592
259.2324,26.02602
259.3848,26.72672
259.5372,27.22722
259.6896,27.62762
259.842,28.32832
259.9944,27.82782
260.1468,26.32632
260.2992,25.82582
260.4516,25.62563
260.604,24.92491
260.7564,24.72472
260.9088,26.32632
261.0612,28.92892
261.2136,31.13112
261.366,32.73273
261.5184,33.43341
261.6708,32.23221
261.8232,30.43042
261.9756,28.42842
262.128,28.22823
262.2804,28.12813
262.4328,29.32932
262.5852,27.72772
262.7376,26.32632
262.89,25.62563
263.0424,26.72672
263.1948,27.72772
263.3472,28.22823
263.4996,30.53052
263.652,32.13211
263.8044,33.13312
263.9568,33.33331
264.1092,33.73373
264.2616,32.63263
264.414,30.83083
264.5664,29.32932
264.7188,27.82782
264.8712,26.32632
265.0236,25.82582
265.176,26.02602
265.3284,25.72572
265.4808,25.12512
265.6332,25.52551
265.7856,26.62662
265.938,27.72772
266.0904,28.02802
266.2428,27.82782
266.3952,26.52652
266.5476,25.22522
266.7,25.42542
266.8524,26.92693
267.0048,28.12813
267.1572,29.42943
267.3096,31.23123
267.462,32.33231
267.6144,31.63162
267.7668,31.93193
267.9192,31.73172
268.0716,30.73073
268.224,29.12912
268.3764,27.82782
268.5288,27.92792
268.6812,28.02802
268.8336,28.82883
268.986,28.62862
269.1384,29.12912
269.2908,29.22922
269.4432,29.12912
269.5956,29.42943
269.748,29.52953
269.9004,29.52953
270.0528,29.32932
270.2052,28.52852
270.3576,28.12813
270.51,28.52852
270.6624,28.92892
270.8148,30.73073
270.9672,30.73073
271.1196,29.02902
271.272,27.92792
271.4244,28.62862
271.5768,29.42943
271.7292,29.62962
271.8816,29.92992
272.034,30.93092
272.1864,30.43042
272.3388,29.12912
272.4912,27.12712
272.6436,25.62563
272.796,25.22522
272.9484,26.52652
273.1008,28.62862
273.2532,29.92992
273.4056,30.33032
273.558,30.23022
273.7104,29.92992
273.8628,30.03003
274.0152,30.33032
274.1676,31.73172
274.32,33.63361
274.4724,35.13513
274.6248,35.73572
274.7772,36.43643
274.9296,36.43643
275.082,36.53653
275.2344,35.53552
275.3868,34.73471
275.5392,32.63263
275.6916,32.13211
275.844,32.03201
275.9964,31.33133
276.1488,30.53052
276.3012,30.83083
276.4536,31.53152
276.606,31.63162
276.7584,31.43143
276.9108,30.73073
277.0632,31.03102
277.2156,31.23123
277.368,31.53152
277.5204,31.03102
277.6728,30.03003
277.8252,29.42943
277.9776,27.52753
278.13,26.72672
278.2824,26.02602
278.4348,26.42642
278.5872,27.32732
278.7396,26.52652
278.892,25.62563
279.0444,24.92491
279.1968,24.32431
279.3492,25.12512
279.5016,26.42642
279.654,27.82782
279.8064,28.52852
279.9588,28.82883
280.1112,28.92892
280.2636,28.32832
280.416,27.22722
280.5684,26.32632
280.7208,26.42642
280.8732,25.72572
281.0256,24.92491
281.178,24.92491
281.3304,26.22623
281.4828,27.72772
281.6352,28.82883
281.7876,28.62862
281.94,27.32732
282.0924,26.92693
282.2448,27.92792
282.3972,27.92792
282.5496,27.72772
282.702,28.62862
282.8544,30.43042
283.0068,31.23123
283.1592,32.33231
283.3116,32.83282
283.464,32.83282
283.6164,31.23123
283.7688,28.22823
283.9212,31.53152
284.0736,32.03201
284.226,31.33133
284.3784,31.53152
284.5308,32.53253
284.6832,33.73373
284.8356,33.83383
284.988,33.63361
285.1404,33.13312
285.2928,32.53253
285.4452,32.03201
285.5976,31.23123
285.75,31.53152
285.9024,31.33133
286.0548,31.23123
286.2072,31.83182
286.3596,32.33231
286.512,32.33231
286.6644,32.33231
286.8168,32.13211
286.9692,31.03102
287.1216,29.92992
287.274,30.53052
287.4264,31.03102
287.5788,32.03201
287.7312,32.53253
287.8836,33.63361
288.036,33.63361
288.1884,32.63263
288.3408,30.73073
288.4932,28.82883
288.6456,29.02902
288.798,30.13013
288.9504,29.92992
289.1028,29.62962
289.2552,29.72972
289.4076,29.92992
289.56,31.43143
289.7124,32.73273
289.8648,34.33432
290.0172,35.93591
290.1696,37.13712
290.322,38.23822
290.4744,39.53952
290.6268,38.73874
290.7792,37.13712
290.9316,35.13513
291.084,34.53452
291.2364,33.53351
291.3888,33.03302
291.5412,32.93292
291.6936,33.63361
291.846,33.93393
291.9984,33.33331
292.1508,32.93292
292.3032,32.93292
292.4556,32.43243
292.608,32.33231
292.7604,33.33331
292.9128,34.93494
293.0652,35.23523
293.2176,34.23422
293.37,33.93393
293.5224,32.43243
293.6748,31.73172
293.8272,30.83083
293.9796,30.73073
294.132,30.43042
294.2844,30.23022
294.4368,30.23022
294.5892,30.43042
294.7416,30.73073
294.894,31.03102
295.0464,30.43042
295.1988,30.33032
295.3512,31.33133
295.5036,32.03201
295.656,32.93292
295.8084,34.73471
295.9608,36.83682
296.1132,37.83783
296.2656,36.23624
296.418,34.83481
296.5704,34.73471
296.7228,32.83282
296.8752,30.53052
297.0276,29.52953
297.18,29.62962
297.3324,31.03102
297.4848,32.43243
297.6372,32.93292
297.7896,32.33231
297.942,31.03102
298.0944,30.13013
298.2468,30.33032
298.3992,31.33133
298.5516,32.23221
298.704,33.53351
298.8564,32.83282
299.0088,30.13013
299.1612,28.02802
299.3136,28.32832
299.466,29.92992
299.6184,31.53152
299.7708,31.53152
299.9232,31.33133
300.0756,33.13312
300.228,34.63461
300.3804,34.23422
300.5328,34.53452
300.6852,33.93393
300.8376,33.93393
300.99,34.33432
301.1424,33.53351
301.2948,33.03302
301.4472,33.33331
301.5996,34.13412
301.752,34.53452
301.9044,34.23422
302.0568,33.93393
302.2092,33.93393
302.3616,34.23422
302.514,35.13513
302.6664,36.03601
302.8188,36.03601
302.9712,34.93494
303.1236,34.03403
303.276,33.23322
303.4284,33.53351
303.5808,34.03403
303.7332,33.93393
303.8856,33.73373
304.038,33.93393
304.1904,33.63361
304.3428,33.13312
304.4952,32.93292
304.6476,32.83282
304.8,32.43243
304.9524,31.63162
305.1048,30.43042
305.2572,28.92892
305.4096,28.12813
305.562,29.22922
305.7144,31.43143
305.8668,34.53452
306.0192,35.93591
306.1716,36.73672
306.324,37.03702
306.4764,36.83682
306.6288,36.93692
306.7812,36.83682
306.9336,36.83682
307.086,36.63663
307.2384,35.73572
307.3908,36.23624
307.5432,37.63763
307.6956,37.63763
307.848,37.73773
308.0004,37.93793
308.1528,36.33633
308.3052,36.43643
308.4576,36.63663
308.61,36.33633
308.7624,34.93494
308.9148,35.13513
309.0672,34.23422
309.2196,33.43341
309.372,31.53152
309.5244,30.13013
309.6768,29.52953
309.8292,28.82883
309.9816,28.22823
310.134,28.42842
310.2864,29.32932
310.4388,31.13112
310.5912,32.73273
310.7436,33.73373
310.896,33.93393
311.0484,34.23422
311.2008,33.13312
311.3532,32.53253
311.5056,31.83182
311.658,31.83182
311.8104,32.73273
311.9628,33.43341
312.1152,33.63361
312.2676,33.83383
312.42,33.83383
312.5724,32.83282
312.7248,31.43143
312.8772,31.13112
313.0296,31.33133
313.182,32.03201
313.3344,32.93292
313.4868,34.03403
313.6392,33.93393
313.7916,34.13412
313.944,33.63361
314.0964,33.23322
314.2488,32.43243
314.4012,32.03201
314.5536,31.13112
314.706,30.33032
314.8584,30.03003
315.0108,29.92992
315.1632,30.33032
315.3156,31.43143
315.468,33.23322
315.6204,33.73373
315.7728,33.93393
315.9252,35.93591
316.0776,38.33832
316.23,37.93793
316.3824,37.33731
316.5348,34.53452
316.6872,32.23221
316.8396,32.03201
316.992,32.03201
317.1444,31.63162
317.2968,31.23123
317.4492,32.13211
317.6016,32.53253
317.754,30.63063
317.9064,29.62962
318.0588,30.53052
318.2112,31.23123
318.3636,32.73273
318.516,33.43341
318.6684,32.83282
318.8208,31.53152
318.9732,29.82982
319.1256,28.42842
319.278,27.32732
319.4304,25.92592
319.5828,26.72672
319.7352,29.32932
319.8876,31.63162
320.04,32.03201
320.1924,32.73273
320.3448,33.63361
320.4972,33.93393
320.6496,33.03302
320.802,33.63361
320.9544,34.83481
321.1068,35.23523
321.2592,36.83682
321.4116,37.93793
321.564,37.33731
321.7164,35.73572
321.8688,34.43442
322.0212,34.73471
322.1736,35.43542
322.326,35.03503
322.4784,33.93393
322.6308,33.93393
322.7832,34.33432
322.9356,35.23523
323.088,35.63562
323.2404,37.03702
323.3928,39.23923
323.5452,38.93893
323.6976,37.73773
323.85,36.93692
324.0024,35.13513
324.1548,33.83383
324.3072,33.33331
324.4596,33.43341
324.612,34.03403
324.7644,34.33432
324.9168,34.83481
325.0692,36.03601
325.2216,36.23624
325.374,35.53552
325.5264,34.63461
325.6788,35.13513
325.8312,37.63763
325.9836,39.13913
326.136,38.93893
326.2884,37.93793
326.4408,38.03802
326.5932,38.53851
326.7456,38.23822
326.898,36.93692
327.0504,34.83481
327.2028,32.83282
327.3552,32.03201
327.5076,31.33133
327.66,31.33133
327.8124,30.43042
327.9648,28.92892
328.1172,29.52953
328.2696,30.93092
328.422,31.73172
328.5744,32.33231
328.7268,32.03201
328.8792,31.13112
329.0316,29.42943
329.184,30.53052
329.3364,31.23123
329.4888,31.23123
329.6412,30.23022
329.7936,28.12813
329.946,27.62762
330.0984,28.32832
330.2508,28.22823
330.4032,27.92792
330.5556,29.92992
330.708,32.13211
330.8604,33.73373
331.0128,34.33432
331.1652,34.43442
331.3176,34.23422
331.47,34.03403
331.6224,32.53253
331.7748,30.83083
331.9272,32.73273
332.0796,30.53052
332.232,28.52852
332.3844,28.52852
332.5368,29.22922
332.6892,31.23123
332.8416,33.33331
332.994,32.13211
333.1464,29.72972
333.2988,29.22922
333.4512,29.52953
333.6036,30.13013
333.756,31.03102
333.9084,31.53152
334.0608,30.53052
334.2132,31.23123
334.3656,32.33231
334.518,33.23322
334.6704,33.93393
334.8228,34.53452
334.9752,34.73471
335.1276,35.83582
335.28,34.93494
335.4324,33.83383
335.5848,33.23322
335.7372,32.63263
335.8896,33.03302
336.042,33.23322
336.1944,31.93193
336.3468,30.13013
336.4992,29.52953
336.6516,30.13013
336.804,31.33133
336.9564,32.43243
337.1088,32.93292
337.2612,32.93292
337.4136,32.33231
337.566,32.43243
337.7184,33.93393
337.8708,34.73471
338.0232,34.33432
338.1756,33.63361
338.328,32.83282
338.4804,33.03302
338.6328,33.33331
338.7852,33.13312
338.9376,33.93393
339.09,35.33533
339.2424,34.53452
339.3948,32.93292
339.5472,33.33331
339.6996,34.43442
339.852,34.93494
340.0044,35.23523
340.1568,35.13513
340.3092,34.73471
340.4616,33.53351
340.614,32.13211
340.7664,31.03102
340.9188,30.03003
341.0712,30.43042
341.2236,31.63162
341.376,32.93292
341.5284,33.53351
341.6808,32.93292
341.8332,31.63162
341.9856,30.63063
342.138,30.23022
342.2904,30.83083
342.4428,31.93193
342.5952,33.03302
342.7476,33.13312
342.9,32.13211
343.0524,32.03201
343.2048,32.33231
343.3572,32.43243
343.5096,30.53052
343.662,29.42943
343.8144,28.02802
343.9668,27.22722
344.1192,27.82782
344.2716,28.52852
344.424,28.22823
344.5764,28.42842
344.7288,29.92992
344.8812,30.43042
345.0336,30.33032
345.186,31.13112
345.3384,32.33231
345.4908,33.73373
345.6432,35.23523
345.7956,34.73471
345.948,33.33331
346.1004,31.83182
346.2528,30.93092
346.4052,30.23022
346.5576,28.92892
346.71,27.02702
346.8624,26.22623
347.0148,27.12712
347.1672,28.52852
347.3196,29.72972
347.472,29.42943
347.6244,29.32932
347.7768,29.92992
347.9292,30.53052
348.0816,30.93092
348.234,30.83083
348.3864,30.43042
348.5388,30.23022
348.6912,30.83083
348.8436,30.63063
348.996,30.73073
349.1484,30.93092
349.3008,30.93092
349.4532,31.03102
349.6056,30.93092
349.758,30.13013
349.9104,29.22922
350.0628,29.62962
350.2152,30.33032
350.3676,29.52953
350.52,28.22823
350.6724,28.12813
350.8248,28.62862
350.9772,29.72972
351.1296,31.63162
351.282,32.33231
351.4344,32.63263
351.5868,33.13312
351.7392,33.23322
351.8916,32.93292
352.044,33.23322
352.1964,33.83383
352.3488,33.93393
352.5012,32.93292
352.6536,33.13312
352.806,33.33331
352.9584,34.43442
353.1108,34.33432
353.2632,32.93292
353.4156,31.33133
353.568,30.33032
353.7204,29.62962
353.8728,29.22922
354.0252,28.92892
354.1776,29.92992
354.33,30.63063
354.4824,31.23123
354.6348,32.03201
354.7872,33.73373
354.9396,35.53552
355.092,36.23624
355.2444,36.33633
355.3968,35.83582
355.5492,34.73471
355.7016,34.73471
355.854,35.63562
356.0064,35.93591
356.1588,35.13513
356.3112,33.93393
356.4636,32.93292
356.616,32.63263
356.7684,33.13312
356.9208,33.23322
357.0732,33.03302
357.2256,32.73273
357.378,32.03201
357.5304,31.63162
357.6828,31.43143
357.8352,30.83083
357.9876,30.23022
358.14,29.62962
358.2924,30.23022
358.4448,30.43042
358.5972,31.33133
358.7496,30.63063
358.902,31.23123
359.0544,32.53253
359.2068,32.73273
359.3592,33.23322
359.5116,34.53452
359.664,35.63562
359.8164,37.43744
359.9688,37.83783
360.1212,37.03702
360.2736,35.53552
360.426,35.93591
360.5784,35.73572
360.7308,33.73373
360.8832,31.63162
