DEPT,GR
152,0.32572
152.1,0.33022
152.21,0.33473
152.31,0.33923
152.41,0.34373
152.52,0.34823
152.62,0.35273
152.73,0.35724
152.83,0.36174
152.93,0.36624
153.04,0.37074
153.14,0.37524
153.24,0.37975
153.35,0.38425
153.45,0.38875
153.5,0.391
153.66,0.39775
153.76,0.72798
153.92,0.73473
154.02,0.73923
154.12,0.74374
154.28,0.75049
154.38,0.75499
154.49,0.75949
154.59,0.76399
154.69,0.7685
154.8,0.44728
154.9,0.45178
155.06,0.45853
155.16,0.46303
155.32,0.46979
155.47,0.47654
155.63,0.80901
155.73,1.465
155.83,2.1209
155.89,2.1232
155.94,2.1254
155.99,3.7563
156.04,5.3871
156.23,19.728
156.29,21.359
156.34,22.99
156.39,24.62
156.49,27.882
156.65,24.632
156.65,23.329
156.7,19.422
156.76,10.304
156.87,2.1659
156.92,1.5167
157.03,0.86979
157.18,0.2251
157.29,0.2296
157.44,0.23636
157.55,0.24086
157.65,0.24536
157.75,0.24986
157.91,0.25662
158.01,0.26112
158.17,0.26787
158.32,0.27462
158.53,0.28363
158.69,0.29038
158.84,0.29713
159.05,0.30614
159.15,0.63636
159.36,0.64537
159.52,0.3264
159.67,0.33315
159.88,0.34215
160.09,0.35116
160.34,0.36241
160.5,0.36917
160.71,0.37817
160.86,0.38492
161.02,0.39168
161.23,0.40068
161.38,0.40743
161.48,0.73766
161.64,0.41869
161.85,0.42769
162,0.43445
162.16,0.76692
162.31,0.77367
162.47,0.78043
162.62,0.78718
162.83,0.79618
162.99,0.47722
163.14,0.15825
163.3,0.165
163.51,0.174
163.66,0.50648
163.82,0.83895
164.02,0.84796
164.23,0.85696
164.39,1.5152
164.59,2.1756
164.75,3.1595
164.96,3.4943
165.16,3.1775
165.37,2.5351
165.58,2.2184
165.79,1.9017
165.99,1.5849
166.2,1.5939
166.41,1.6029
166.62,1.612
166.82,1.621
166.98,1.302
167.19,1.311
167.39,1.32
167.55,1.3267
167.76,1.6615
167.96,2.3219
168.12,3.3058
168.32,3.6406
168.48,3.3216
168.64,2.3512
168.79,1.3808
169,1.0641
169.16,1.0708
169.36,1.0798
169.57,1.0888
169.73,1.0956
169.93,1.1046
170.14,1.4393
170.3,1.7718
170.5,1.7808
170.66,1.4618
170.87,1.1451
171.07,1.1541
171.28,1.1631
171.44,1.8213
171.59,1.1766
171.8,0.85989
172.01,0.86889
172.21,1.8551
172.32,2.8367
172.42,3.8184
172.63,4.1531
172.89,3.8387
173.04,2.8682
173.2,1.5721
173.41,0.92967
173.61,1.2644
173.82,1.9248
174.03,2.5853
174.23,2.2686
174.44,1.9519
174.65,1.3094
174.91,1.3207
175.06,2.3046
175.22,3.6142
175.42,3.949
175.63,4.2837
175.89,4.2949
176.05,3.6502
176.25,3.6593
176.46,4.3197
176.72,4.331
176.96,4.2035
177.19,3.6998
177.29,2.0757
177.45,1.1052
177.65,2.0914
177.76,3.3988
177.91,4.057
178.07,4.0638
178.28,3.4213
178.38,2.1229
178.54,1.804
178.74,1.813
178.95,1.822
179.11,1.8287
179.26,1.5098
179.37,1.1885
179.52,1.1953
179.68,0.5506
179.83,0.88307
180.04,1.2178
180.2,0.57311
180.35,0.90558
180.51,1.2381
180.66,0.91909
180.87,0.60237
181.08,0.61138
181.23,0.94385
181.44,0.95285
181.59,0.95961
181.8,0.64289
181.91,1.6246
182.11,1.6336
182.27,0.98887
182.53,1.0001
182.74,1.0091
182.89,0.69016
183.1,0.37344
183.31,1.0339
183.46,1.6921
183.62,1.0474
183.82,0.40496
183.98,0.41171
184.19,0.74644
184.39,1.0812
184.5,1.0857
184.65,1.4181
184.86,1.1014
185.02,0.78245
185.22,0.46574
185.43,0.47474
185.59,0.48149
185.74,0.81397
185.9,1.1464
186.05,1.4789
186.21,1.8114
186.41,1.8204
186.62,1.8294
186.78,2.4876
186.93,3.4715
187.14,4.4577
187.4,5.2822
187.52,5.2822
187.71,4.8082
187.86,3.8378
187.97,2.8651
188.12,3.849
188.28,4.8329
188.48,5.2822
188.6,5.462
188.72,5.462
188.84,5.462
188.96,5.2822
189.11,4.8689
189.26,4.2243
189.42,3.5796
189.63,3.9143
189.83,3.9233
190.04,3.9323
190.2,4.2648
190.4,4.9227
190.52,5.462
190.64,5.462
190.76,5.462
190.88,5.2822
191.08,5.2802
191.23,5.287
191.39,4.968
191.54,5.3005
191.72,5.462
191.84,5.8216
191.96,6.1812
192.08,6.0014
192.2,4.9227
192.32,4.3571
192.48,4.0381
192.58,4.3683
192.74,5.3522
192.92,5.2822
193.1,5.0423
193.25,4.7233
193.46,4.4066
193.67,4.7413
193.88,5.6418
194,6.361
194.12,7.0802
194.24,7.26
194.36,7.0802
194.48,6.5408
194.6,5.462
194.71,4.7863
194.86,4.7931
195.02,5.1256
195.2,5.462
195.32,6.3272
195.44,6.3272
195.56,5.6418
195.69,5.1548
195.85,4.8359
196,4.8426
196.16,4.8494
196.31,4.8561
196.52,5.2822
196.64,5.462
196.76,5.6418
196.88,6.1812
197,5.462
197.12,5.462
197.24,5.462
197.36,5.2822
197.5,4.5822
197.66,3.9375
197.82,4.27
198.08,5.2822
198.2,5.462
198.32,5.2822
198.44,5.8216
198.56,6.0014
198.68,6.0014
198.8,5.8216
198.92,5.8216
199.04,5.6418
199.16,5.1025
199.32,4.661
199.47,4.342
199.63,4.3487
199.79,4.3555
199.99,4.3645
200.24,5.1025
200.36,5.462
200.48,5.8216
200.6,5.8216
200.72,5.2822
200.82,4.4005
200.98,4.4073
201.18,4.4163
201.39,4.0995
201.55,3.7806
201.7,3.4616
201.91,3.7963
202.12,4.1311
202.27,4.1378
202.48,4.4725
202.69,4.8073
202.88,5.2822
203,5.6418
203.12,6.361
203.24,7.0802
203.36,7.26
203.48,7.0802
203.6,6.7206
203.72,6.0014
203.84,5.8216
203.96,5.8216
204.08,5.1025
204.2,5.1025
204.32,5.6418
204.44,6.0014
204.56,6.361
204.68,6.361
204.8,6.1812
204.92,6.1812
205.04,6.0014
205.16,5.2822
205.28,3.9427
205.52,5.1129
205.64,6.6972
205.76,6.7206
205.88,6.361
206,6.0014
206.12,5.6418
206.24,5.462
