DEPT,GR
403,19.3
403.1,19.31
403.2,19.16
403.3,18.94
403.4,18.38
403.5,18.05
403.6,18.54
403.7,19.55
403.8,20.23
403.9,20.13
404,19.89
404.1,19.27
404.2,18.66
404.3,17.09
404.4,16.11
404.5,16.13
404.6,16.97
404.7,17.56
404.8,17.19
404.9,15.83
405,14.93
405.1,15.54
405.2,16.72
405.3,18.15
405.4,18.86
405.5,20.64
405.6,21.52
405.7,21.37
405.8,19.39
405.9,17.17
406,16.46
406.1,17.58
406.2,19.74
406.3,20.54
406.4,21.7
406.5,22.79
406.6,23.44
406.7,24.05
406.8,24.66
406.9,21.59
407,15.27
407.1,11.59
407.2,13.66
407.3,15.74
407.4,16.81
407.5,14.36
407.6,11.18
407.7,10.62
407.8,13.5
407.9,17.21
408,17.83
408.1,18.33
408.2,17.8
408.3,19.32
408.4,22.09
408.5,23.79
408.6,20.79
408.7,16.71
408.8,15.09
408.9,16.22
409,18.62
409.1,19.11
409.2,18.37
409.3,16.89
409.4,16.33
409.5,15.89
409.6,15.66
409.7,17.7
409.8,21.94
409.9,24.36
410,23.65
410.1,23.87
410.2,24.13
410.3,27.7
410.4,30.43
410.5,29.37
410.6,26.79
410.7,24.24
410.8,28.37
410.9,36.83
411,41.11
411.1,45.59
411.2,51.94
411.3,53.25
411.4,50.71
411.5,48.73
411.6,50.32
411.7,56.23
411.8,61.24
411.9,56.8
412,48.1
412.1,43.48
412.2,42.16
412.3,40.47
412.4,41.05
412.5,44.17
412.6,46.25
412.7,45.36
412.8,41.69
412.9,38.91
413,38.63
413.1,37.4
413.2,37.22
413.3,35.82
413.4,35.39
413.5,36.05
413.6,42.1
413.7,47.1
413.8,46.57
413.9,41.21
414,36.46
414.1,37.6
414.2,39.07
414.3,40.51
414.4,40.02
414.5,39.27
414.6,38.74
414.7,37.87
414.8,39.7
414.9,42.55
415,51.15
415.1,57.5
415.2,54.52
415.3,49.17
415.4,45.44
415.5,49.32
415.6,53.32
415.7,53.6
415.8,51.12
415.9,48.36
416,47.69
416.1,46.74
416.2,46.72
416.3,47.72
416.4,48.42
416.5,49.07
416.6,50.46
416.7,47.03
416.8,39.66
416.9,38.6
417,40.08
417.1,40.39
417.2,41.11
417.3,41.79
417.4,45.44
417.5,48.11
417.6,48.4
417.7,49.45
417.8,45.42
417.9,42.49
418,44.32
418.1,44.75
418.2,43.15
418.3,43.78
418.4,43.63
418.5,42.62
418.6,45.34
418.7,48
418.8,48.6
418.9,49.08
419,48.2
419.1,48.23
419.2,49.99
419.3,50.31
419.4,48.33
419.5,47.63
419.6,48.09
419.7,47.08
419.8,45.4
419.9,44.09
420,43.84
420.1,44.02
420.2,44.02
420.3,44.29
420.4,45.36
420.5,46.78
420.6,47.24
420.7,46.52
420.8,44.85
420.9,42.31
421,40.78
421.1,39.49
421.2,38.05
421.3,36.02
421.4,34.89
421.5,32.41
421.6,28.42
421.7,23.65
421.8,21.33
421.9,21.76
422,24.1
422.1,26.55
422.2,27.39
422.3,27
422.4,25.25
422.5,23.53
422.6,24.41
422.7,28.69
422.8,37.46
422.9,44.45
423,46.48
423.1,43.46
423.2,39.25
423.3,37.13
423.4,36.92
423.5,38.36
423.6,39.47
423.7,39.62
423.8,39.14
423.9,38.25
424,37.26
424.1,35.53
424.2,32.85
424.3,31.79
424.4,32.4
424.5,36.53
424.6,40.82
424.7,42.67
424.8,44.07
424.9,44.78
425,45.55
425.1,46.61
425.2,48.46
425.3,49.82
425.4,49.97
425.5,49.36
425.6,48.26
425.7,46.99
425.8,44.73
425.9,41.32
426,40.05
426.1,41.05
426.2,46.14
426.3,50.91
426.4,53.48
426.5,57.15
426.6,60.51
426.7,61.98
426.8,61.67
426.9,59.71
427,58.39
427.1,58.39
427.2,59.36
427.3,60.86
427.4,61.28
427.5,60.85
427.6,59.65
427.7,58.41
427.8,57.44
427.9,55.68
428,53.92
428.1,51.8
428.2,47.82
428.3,42.89
428.4,40.72
428.5,41.44
428.6,45.17
428.7,48.05
428.8,48.6
428.9,47.38
429,44.98
429.1,43.76
429.2,43.59
429.3,44.13
429.4,45.83
429.5,47.87
429.6,53.77
429.7,60.29
429.8,62.52
429.9,62.49
430,60.26
430.1,57.77
430.2,55.62
430.3,51.07
430.4,46.26
430.5,46.15
430.6,49.93
430.7,57.07
430.8,61.03
430.9,61.52
431,58.62
431.1,55.89
431.2,55.1
431.3,54.87
431.4,55.27
431.5,54.96
431.6,53.47
431.7,50.42
431.8,47.45
431.9,45.86
432,44.07
432.1,41.85
432.2,40.98
432.3,41.12
432.4,42.17
432.5,42.79
432.6,42.89
432.7,42.17
432.8,41.36
432.9,40.21
433,37.95
433.1,34.53
433.2,32.13
433.3,31.07
433.4,30.69
433.5,30.36
433.6,30.13
433.7,29.74
433.8,29.34
433.9,29.98
434,31.93
434.1,35.8
434.2,38.47
434.3,38.46
434.4,37.71
434.5,36.61
434.6,36.58
434.7,36.95
434.8,37.47
434.9,37.49
435,37.32
435.1,36.87
435.2,36.54
435.3,35.69
435.4,34.99
435.5,34.79
435.6,34.38
435.7,33.45
435.8,32.27
435.9,30.19
436,28.6
436.1,31.73
436.2,35.95
436.3,36.81
436.4,35.6
436.5,33.75
436.6,33.66
436.7,34.49
436.8,37.94
436.9,42.79
437,45.73
437.1,47.52
437.2,47.68
437.3,46.6
437.4,45.65
437.5,44.08
437.6,42.85
437.7,42.49
437.8,42.19
437.9,42.42
438,42.76
438.1,43.95
438.2,44.67
438.3,44.53
438.4,42.96
438.5,40.72
438.6,39.82
438.7,37.98
438.8,36.51
438.9,36.09
439,35.77
439.1,35.8
439.2,35.8
439.3,35.81
439.4,35.7
439.5,35.62
439.6,35.2
439.7,35.19
439.8,35.48
439.9,37.42
440,39.5
440.1,40.11
440.2,39.59
440.3,38.43
440.4,38.07
440.5,37.87
440.6,38.49
440.7,38.81
440.8,40.64
440.9,42.71
441,43.45
441.1,42.87
441.2,40.37
441.3,39.25
441.4,35.4
441.5,31.71
441.6,29.73
441.7,33.97
