DEPT,GR
485,69.58549811
485.2,73.74079869
485.4,74.85518349
485.6,70.87487112
485.8,65.39087005
486,58.39781106
486.2,56.92843037
486.4,55.90886288
486.6,54.88113712
486.8,53.99480911
487,52.59074248
487.2,53.00956827
487.4,55.65754715
487.6,59.87788479
487.8,63.82986178
488,63.79479829
488.2,56.96209508
488.4,50.56816629
488.6,47.66815133
488.8,50.50060196
489,55.75300365
489.2,60.58841794
489.4,63.20047197
489.6,61.86342366
489.8,56.74408758
490,49.73294738
490.2,41.1372233
490.4,33.36785898
490.6,29.38557248
490.8,29.85895737
491,33.61133427
491.2,40.56525102
491.4,46.98116589
491.6,51.16704082
491.8,52.47897842
492,50.12313735
492.2,46.09978402
492.4,43.42315171
492.6,43.23602342
492.8,45.49238528
493,48.25937335
493.2,51.26036381
493.4,53.46428675
493.6,51.74894537
493.8,50.53505565
494,50.44533023
494.2,51.06822598
494.4,50.42138299
494.6,49.08437219
494.8,48.16952169
495,46.80040147
495.2,44.57136179
495.4,42.30094889
495.6,45.45017336
495.8,52.27504301
496,59.14157429
496.2,66.97420824
496.4,73.68065779
496.6,78.64191128
496.8,80.2349746
497,77.27657237
497.2,71.91428233
497.4,65.11599123
497.6,57.58707321
497.8,52.12063812
498,48.31558525
498.2,48.27013697
498.4,50.01340002
498.6,52.00637369
498.8,53.62634082
499,54.95636199
499.2,56.12585671
499.4,55.4720328
499.6,54.10526808
499.8,53.19717702
500,52.95369911
500.2,53.2280363
500.4,52.78734744
500.6,52.57262462
500.8,52.76216201
501,54.45739057
501.2,56.82702459
501.4,57.40248067
501.6,56.54541421
501.8,54.55794268
502,51.43960852
502.2,48.80515142
502.4,46.43619134
502.6,45.05172598
502.8,45.35699416
503,48.04751199
503.2,50.85330695
503.4,50.32858956
503.6,46.37470848
503.8,40.18442626
504,35.29625853
504.2,34.16232246
504.4,36.66262583
504.6,40.0487419
504.8,43.35336516
505,46.55398654
505.2,47.53600389
505.4,46.80834696
505.6,45.19324989
505.8,44.50125412
506,47.77105191
506.2,53.12776806
506.4,58.96217592
506.6,64.17303897
506.8,66.42756658
507,64.75430792
507.2,61.98219971
507.4,58.57810958
507.6,59.02275126
507.8,63.81428564
508,68.23594262
508.2,69.77056056
508.4,66.58993882
508.6,60.44936898
508.8,53.75192358
509,50.45540031
509.2,53.55087779
509.4,58.0997816
509.6,59.00098878
509.8,56.29741574
510,52.95141659
510.2,50.94960524
510.4,50.70536544
510.6,50.67245149
510.8,51.21612093
511,52.86622409
511.2,53.46286682
511.4,49.47147993
511.6,45.01945981
511.8,47.86642289
512,53.55908238
512.2,56.76056658
512.4,53.58891656
512.6,50.32836363
512.8,50.26327156
513,55.97572849
513.2,61.60988344
513.4,60.85919335
513.6,58.61552167
513.8,55.87405354
514,52.73993203
514.2,53.28610635
514.4,56.86096245
514.6,53.46279526
514.8,45.12369106
515,38.03395766
515.2,38.80218264
515.4,41.55081751
515.6,44.59378732
515.8,48.74717159
516,52.23793779
516.2,52.93746416
516.4,54.00073254
516.6,55.72103074
516.8,52.59331317
517,47.94158711
517.2,42.63755032
517.4,36.84784529
517.6,33.39630961
517.8,34.14079207
518,37.74355849
518.2,39.80398762
518.4,38.33665051
518.6,38.03806027
518.8,41.56048859
519,47.58113618
519.2,51.38477271
519.4,49.7478987
519.6,45.07547511
519.8,40.51222408
520,39.45462515
520.2,42.69119836
520.4,48.5037533
520.6,54.54125963
