DEPT,GR
230,2.4679
230.35,3.0075
230.6,3.4815
230.8,3.4815
230.99,3.0075
231.19,2.6734
231.44,2.6734
231.69,2.6734
231.94,2.3392
232.19,1.6708
232.44,2.005
232.74,2.3392
232.84,3.6759
232.94,4.8454
233.03,8.5213
233.25,50.459
233.7,179.28
233.83,148.71
233.97,18.379
234.08,11.028
234.18,6.1821
234.34,2.1721
234.54,2.1721
234.78,2.1721
235.03,2.5063
235.33,2.6734
235.53,2.1721
235.73,2.3392
235.93,2.3392
236.18,2.3392
236.6,3.114
236.8,3.114
237.08,2.8404
237.4,3.114
237.6,3.1529
237.78,2.6734
237.98,2.3392
238.22,2.1721
238.37,2.8404
238.52,3.5088
238.77,3.6759
238.97,3.3417
239.15,2.1504
239.47,2.8404
239.8,3.7823
240,4.4785
240.2,3.76
240.4,3.2755
240.6,3.114
240.8,3.437
241,4.4061
241.2,4.7291
241.4,5.0521
241.6,5.2136
241.8,4.4061
242,3.437
242.2,3.114
242.4,3.437
242.6,3.437
242.8,3.114
243.2,2.7909
243.4,3.2755
243.6,2.9524
243.91,2.8404
244.16,2.6734
244.41,2.3392
244.71,2.3392
245,2.9747
245.2,2.9859
245.4,3.114
245.6,3.437
245.8,3.76
246,3.9215
246.2,3.437
246.4,3.437
246.6,3.5985
246.8,4.083
247,4.4061
247.2,4.7291
247.4,4.4061
247.6,3.5985
247.8,3.2755
248,4.083
248.2,4.7291
248.4,5.0521
248.6,5.5367
248.8,5.3752
249,4.7291
249.2,5.0521
249.4,5.0521
249.6,4.5676
249.8,3.76
250,3.437
250.2,2.9524
250.4,2.9524
250.6,3.437
250.8,3.437
251,3.437
251.2,4.2446
251.4,5.0633
251.6,4.2557
251.8,3.437
252,3.114
252.23,2.8404
252.48,2.8404
252.8,3.114
253,3.114
253.28,3.0075
253.48,3.0075
253.78,3.0075
254,3.114
254.2,3.437
254.4,3.437
254.6,3.76
254.8,4.4061
255,3.437
255.2,3.5985
255.4,3.114
255.6,3.114
255.8,3.437
256,3.437
256.2,3.9215
256.4,4.4061
256.6,3.76
256.8,3.76
257,3.76
257.2,3.76
257.4,3.76
257.6,3.76
257.8,3.76
258,3.5985
258.2,3.9215
258.4,4.4061
258.6,3.9215
258.8,3.437
259,2.7909
259.2,3.437
259.4,3.9215
259.6,3.5985
259.8,2.9524
260,4.083
260.4,2.9524
260.6,3.5985
260.8,4.4061
261,4.2446
261.2,3.437
261.8,3.437
262,3.76
262.2,4.2446
262.4,4.2446
262.6,4.2446
262.8,4.4061
263,4.4061
263.2,3.76
263.4,3.437
263.6,3.5985
263.8,4.083
264,4.2446
264.2,3.437
264.4,3.5985
264.6,3.437
264.8,3.114
265,3.9215
265.25,3.0075
265.6,3.114
265.8,3.437
266,3.76
266.2,3.437
266.4,3.114
266.6,3.437
266.8,3.76
267,3.76
267.2,4.4284
267.4,2.7909
267.64,2.5063
267.89,2.6734
268.19,2.6734
268.6,3.2755
268.8,3.9215
269,4.4061
269.2,4.7291
269.4,4.2446
269.6,3.5985
270,2.9524
270.2,3.5985
270.4,3.76
270.6,3.437
270.8,3.2755
271,3.76
271.2,3.76
271.4,3.76
271.6,3.437
271.78,2.6734
272.03,2.6734
272.33,2.6734
272.58,3.0075
272.88,2.8404
273.22,2.5063
273.6,3.114
273.8,3.5985
274,4.083
274.2,3.437
274.4,3.2755
274.6,3.437
274.8,3.76
275,3.437
275.2,3.2755
275.4,3.76
275.6,4.4061
275.8,4.2446
276,4.2446
276.2,3.76
276.4,2.7909
276.71,2.6734
277.2,3.114
277.4,3.76
277.6,4.4061
277.8,3.437
278.01,2.3392
278.16,1.3367
278.4,2.6294
278.6,3.76
278.8,4.5676
279,4.7291
279.2,4.2446
279.4,3.2755
279.71,2.6734
280,2.9524
280.2,3.5985
280.4,2.6734
280.7,2.6734
281,2.4679
281.25,1.5038
281.4,2.3392
281.6,3.0075
281.85,2.8404
282.2,3.114
282.4,3.437
282.6,4.083
282.8,3.76
283,3.76
283.2,4.083
283.4,4.083
283.6,4.4061
283.8,4.8906
284,4.7291
284.2,5.559
284.4,6.5225
284.6,7.4971
284.8,7.1518
285,6.3498
285.2,5.6982
285.4,6.3665
285.6,7.4971
285.8,8.4439
286,8.767
286.2,7.6364
286.4,6.5058
286.6,6.6673
286.8,6.9903
287,6.9903
287.2,6.5058
287.4,6.5058
287.6,6.9903
287.8,7.3133
288,6.4946
288.2,5.2136
288.4,5.2136
288.6,6.3442
288.8,7.3133
289,7.6364
289.2,7.6364
289.4,7.9594
289.6,8.2824
289.8,8.9285
290,9.2515
290.2,10.221
290.4,9.8976
290.6,9.09
290.8,8.6054
291,8.2824
291.2,8.6054
291.4,9.413
291.6,10.221
291.8,10.382
292,9.8976
292.2,9.5745
292.4,8.9285
292.6,8.6054
292.8,9.09
293,9.8976
293.2,10.705
293.4,10.867
293.6,10.544
293.8,9.8976
294,9.8976
294.2,10.382
294.4,10.705
294.6,10.544
294.8,9.5745
295,7.1518
295,8.5108
295.2,7.9594
295.4,8.9285
295.6,9.413
295.8,8.767
296,7.4748
296.2,6.8288
296.4,8.2824
