DEPT,GR
152.6,5.978296242
152.8,6.418688336
153,6.40580701
153.2,7.124131165
153.4,7.765636423
153.6,9.380537794
153.8,7.788742137
154,7.074357838
154.2,7.130777673
154.4,6.404308269
154.6,6.745546533
154.8,7.100539379
155,6.039739309
155.2,5.853950671
155.4123541,6.356742735
155.6100009,8.540227392
157.0035297,8.467168985
157.2,9.052301912
157.4,8.917102916
157.6,8.872014611
157.8,7.12710727
158,7.099603592
158.2,8.075496631
158.4,8.187425544
158.6,7.099905576
158.8,6.386962094
159,7.605892505
159.2,9.170597364
159.4,8.290554324
159.6,7.116013934
159.8,8.879231818
160,8.870413263
160.2,7.308192909
160.4,7.090871285
160.6,7.053529613
160.7976468,7.263252854
160.9976468,5.830136367
161.1982351,6.50709385
161.3976468,8.694358678
161.595882,9.759942602
161.8,8.833597811
162,7.090211633
162.2,6.458466786
162.4,6.540110836
162.6,7.752267153
162.8,7.916788746
163,7.106805576
163.2,7.682974957
163.4,8.878586705
163.6,8.191256726
163.8,7.04575363
164,7.750707604
164.2,7.809302654
164.4,7.809817652
164.6,7.809830151
164.8,7.809681986
165,7.57585647
165.2,8.553115592
165.4,7.755081982
165.6,7.805915646
165.8,8.686012562
166,10.69379783
166.2,10.35161656
166.4,8.858712544
166.6,7.809792507
166.8,7.697265796
167,8.879373761
167.2,8.874695139
167.4,8.875567309
167.6,8.803020982
167.8,9.046980377
168,7.468153039
168.2,6.996967704
168.4,7.802168063
168.6,8.851200361
168.8,8.416911717
169,7.794466694
169.2,7.857760295
169.4,7.146423645
169.6,7.783829964
169.8,7.809875508
170,7.811316709
170.2,7.425611054
170.4,7.726602413
170.6,10.83012631
170.8,12.02276237
170.9952937,12.2158734
171.2,8.938931861
171.4,8.891137442
171.6,9.947670613
171.8,9.911096136
172,8.886722562
172.2,8.877495922
172.4,8.518320098
172.6,7.671695486
172.8,7.154039999
173,7.804248443
173.2,7.809832392
173.4,7.809057846
173.6,8.97570154
173.8,8.869721568
174,7.665537443
174.2,8.87052249
174.4,8.85057985
