DEPT,GR
241,2.202426946
241.2,2.20628986
241.4,2.164574293
241.6,1.406777464
241.8,1.464726422
242,1.46635695
242.2,1.450322553
242.4,1.733283635
242.6,1.173783493
242.8,2.514107234
243,2.261545483
243.2,2.676674854
243.4,2.160820797
243.6,2.202786313
243.8,2.203171768
244,2.20244401
244.2,2.202414257
244.4,2.202426171
244.6,2.20242873
244.8,2.202435766
245,2.202350678
245.2,2.201786413
245.4,2.205759591
245.6,2.244680622
245.8,1.773488214
246,2.262056381
246.2,2.201377213
246.4,2.201336801
246.6,2.202403622
246.8,2.202898875
247,2.203696547
247.2,2.178681744
247.4,2.07974809
247.6,1.18904049
247.8,2.08211563
248,1.586165452
248.2,3.707668871
248.4,3.511602068
248.6,3.520307307
248.8,3.523983379
249,3.524114533
249.2,3.523948072
249.4,3.51460187
249.6,3.502409748
249.8,2.771650896
250,2.691299995
250.2,3.43948892
250.4,3.568469934
250.6,4.438463987
250.8,3.575940936
251,3.599529704
251.2,3.569163131
251.4,3.125068897
251.6,2.578314599
251.8,3.08135769
252,3.54910345
252.2,3.513465379
252.4,4.065677318
252.6,4.352781095
252.8,3.612932467
253,3.45012747
253.2,3.070374549
253.4,3.194705576
253.6,3.539824957
253.8,3.528205036
254,3.521650085
254.2,3.472348449
254.4,3.963857134
254.6,3.468691967
254.8,3.522690581
255,3.525365753
255.2,3.525682627
255.4,3.495804909
255.6,3.366551537
255.8,4.032742026
256,4.362915785
256.2,4.399392166
256.4,4.262073337
256.6,3.960839852
256.8,4.132279893
257,4.416357568
257.2,3.70361465
257.4,3.523873017
257.6,3.721600856
257.8,4.397706054
258,3.620820464
258.2,3.482180166
258.4,2.734296175
258.6,2.724073196
258.8,3.463411058
259,3.491704999
259.2,3.889407601
259.4,4.439926896
259.6,4.403540765
259.8,4.392269094
260,4.401310516
260.2,3.9484894
260.4,4.019009723
260.6,4.882692038
260.8,5.379628778
261,5.743696861
261.2,5.710713671
261.4,6.050921856
261.6,6.76370306
261.8,7.057346101
262,7.024747623
262.2,7.441435903
262.4,7.923810057
262.6,8.366448389
262.8,8.121776288
263,7.933114737
263.2,7.916762215
263.4,7.892517622
263.6,7.156663554
263.8,7.119645661
264,7.815311433
264.2,8.418030617
264.4,8.057869509
264.6,6.971137128
264.8,7.036014249
265,7.756249851
265.2,7.502727923
265.4,6.780582049
265.6,6.59580742
265.8,6.12316716
266,6.156892395
266.2,6.423200184
266.4,7.083674557
266.6,6.966495755
266.8,8.120177871
267,8.377026818
267.2,8.363774064
267.4,8.390783269
267.6,7.743393791
267.8,7.058977785
268,7.057429524
268.2,7.047900628
268.4,7.045928114
268.6,7.043417706
268.8,7.250493185
269,8.460590247
269.2,9.47757287
269.4,9.65096309
269.6,10.02328257
269.8,10.70372059
270,11.42107049
270.2,11.54721962
270.4,10.56400533
270.6,12.06590996
270.8,11.89601353
271,12.37063505
271.2,12.33130934
271.4,12.42544918
271.6,11.37719903
271.8,11.7398431
272,12.35916932
272.2,12.37284873
272.4,11.86971372
272.6,11.5363434
272.8,10.82552217
273,10.55641502
273.2,11.44731758
273.4,11.89425882
273.6,11.82843883
273.8,12.83872697
274,13.9940623
274.2,14.13517936
274.4,14.59577842
274.6,13.9373924
274.8,12.53721127
275,11.96635557
275.2,12.65260615
275.4,13.66430371
275.6,14.80242678
275.8,17.74007506
276,19.80776703
276.2,20.50791016
276.4,20.68797693
276.6,20.19852134
276.8,20.78992084
277,22.15109427
277.2,23.43187289
277.4,22.7403356
277.6,21.41246769
277.8,21.15342612
278,20.41990774
278.2,19.3744236
278.4,20.98491127
278.6,23.26883683
278.8,25.64116573
279,26.43108499
279.2,25.29929507
279.4,23.2291919
279.6,22.43831676
279.8,22.56535201
280,23.90118038
280.2,26.37078112
280.4,30.21149422
280.6,33.15931921
280.8,35.17333025
281,34.99352063
281.2,32.75633984
281.4,28.92772231
281.6,27.74769287
281.8,26.78977296
282,26.86816552
282.2,26.83906219
282.4,26.7370138
282.6,24.85295746
282.8,24.06683836
283,22.64687193
283.2,22.02566303
283.4,21.64303606
283.6,21.5972026
283.8,21.58287978
284,21.57429944
284.2,21.58718841
284.4,20.93498912
284.6,19.75909697
284.8,18.87599901
285,18.91217811
285.2,19.58614093
285.4,19.22137176
285.6,19.31556518
285.8,18.90887287
286,18.57124714
286.2,18.51425951
286.4,18.49964965
286.6,18.50009438
286.8,18.50041356
287,18.50197396
287.2,18.50195188
287.4,18.32877699
287.6,17.11763002
287.8,17.73479465
288,18.47788866
288.2,17.44023449
288.4,16.13042518
288.6,15.84578097
288.8,15.84681504
289,15.88619866
289.2,15.37726911
289.4,15.40814808
289.6,16.11410711
289.8,16.2965045
290,16.34420463
290.2,15.82951866
290.4,16.10722834
290.6,16.76441867
290.8,16.729962
291,16.71813018
291.2,17.0767205
291.4,17.88834668
291.6,18.86592931
291.8,20.19777695
292,21.48425647
292.2,23.88730255
292.4,24.66764996
292.6,24.605093
292.8,21.4195169
293,17.92873597
293.2,16.20774684
293.4,16.10033533
293.6,17.53584305
293.8,19.71752467
294,19.7653866
294.2,18.2728426
294.4,16.83777304
294.6,15.89620646
294.8,14.20983374
295,14.53307642
295.2,13.76501457
295.4,14.08585082
295.6,14.31760193
295.8,14.98613068
296,15.27646906
296.2,15.41131718
296.4,15.37413432
296.6,15.89201696
296.8,15.90612582
297,14.59099656
297.2,14.0890836
297.4,14.29131714
297.6,14.12881907
297.8,13.02228574
298,11.88688196
298.2,12.35856715
298.4,12.83792274
298.6,13.23836998
298.8,13.21730015
