DEPT,GR
144.0181,4.4613
144.1705,5.2534
144.3229,5.5975
144.4753,5.1973
144.6277,5.1832
144.7801,5.7562
144.9325,6.118
145.0849,5.5205
145.2373,5.0957
145.3897,5.8497
145.5421,5.9473
145.6945,5.8368
145.8469,6.217
145.9993,6.7637
146.1517,7.5532
146.3041,8.5343
146.4565,8.9349
146.6089,9.6805
146.7613,11.1835
146.9137,12.3289
147.0661,12.2694
147.2185,12.2387
147.3709,11.2321
147.5233,10.7921
147.6757,11.0903
147.8281,12.3473
147.9805,12.9232
148.1329,12.7751
148.2853,12.2679
148.4377,12.3723
148.5901,13.367
148.7425,13.9639
148.8949,12.9315
149.0473,11.4617
149.1997,11.0729
149.3521,11.0848
149.5045,11.1244
149.6569,11.0266
149.8093,10.3177
149.9617,9.4958
150.1141,8.4897
150.2665,7.4245
150.4189,6.8174
150.5713,6.8485
150.7237,7.8023
150.8761,8.4524
151.0285,8.1589
151.1809,9.0189
151.3333,8.8019
151.4857,7.3682
151.6381,6.9632
151.7905,6.8155
151.9429,7.105
152.0953,7.5788
152.2477,7.8535
152.4001,7.9651
152.5525,7.5336
152.7049,7.0223
152.8573,6.4569
153.0097,6.1981
153.1621,6.3086
153.3145,6.4402
153.4669,7.3515
153.6193,8.1647
153.7717,8.4539
153.9241,9.1674
154.0765,9.3704
154.2289,8.3194
154.3813,7.3301
154.5337,6.7032
154.6861,6.3561
154.8385,6.5924
154.9909,7.0824
155.1433,6.5092
155.2957,5.7869
155.4481,5.2387
155.6005,4.9993
155.7529,5.0932
155.9053,6.0967
156.0577,7.1751
156.2101,7.4094
156.3625,7.121
156.5149,7.1516
156.6673,7.5861
156.8197,7.7757
156.9721,7.4938
157.1245,7.8837
157.2769,7.4043
157.4293,7.9346
157.5817,7.7103
157.7341,6.9787
157.8865,6.0892
158.0389,6.2177
158.1913,6.2389
158.3437,6.5665
158.4961,7.3408
158.6485,8.4191
158.8009,9.0948
158.9533,8.6328
159.1057,8.265
159.2581,8.5659
159.4105,8.7644
159.5629,7.9858
159.7153,8.1294
159.8677,8.6735
160.0201,8.3276
160.1725,7.2707
160.3249,6.2656
160.4773,5.8527
160.6297,6.8512
160.7821,7.8776
160.9345,8.6472
161.0869,8.6425
161.2393,7.6455
161.3917,7.4935
161.5441,8.7212
161.6965,9.433
161.8489,9.6988
162.0013,9.4531
162.1537,9.0794
162.3061,8.9808
162.4585,9.0067
162.6109,8.4074
162.7633,6.7167
162.9157,5.453
163.0681,5.6872
163.2205,5.309
163.3729,5.7054
163.5253,6.0857
163.6777,6.0741
163.8301,6.2224
163.9825,6.9577
164.1349,6.258
164.2873,5.192
164.4397,4.8701
164.5921,5.5465
164.7445,5.3588
164.8969,5.3808
165.0493,5.8873
165.2017,5.8021
165.3541,6.3655
165.5065,7.4709
165.6589,6.9271
165.8113,6.3515
165.9637,6.1884
166.1161,6.3998
166.2685,6.8036
166.4209,7.2406
166.5733,8.0402
166.7257,7.9308
166.8781,7.2337
167.0305,6.7128
167.1829,7.3151
167.3353,6.8784
167.4877,7.5503
167.6401,7.4218
167.7925,7.0042
167.9449,7.6573
168.0973,7.2358
168.2497,5.7142
168.4021,5.5562
168.5545,5.8044
168.7069,6.347
168.8593,6.688
169.0117,6.5934
169.1641,7.5881
169.3165,7.7545
169.4689,6.6875
169.6213,7.0683
169.7737,7.635
169.9261,7.7318
170.0785,7.3945
170.2309,6.6659
170.3833,6.607
170.5357,7.1548
170.6881,8.0739
170.8405,8.9711
170.9929,9.6243
171.1453,9.5684
171.2977,9.1151
171.4501,9.6827
171.6025,9.7906
171.7549,8.8982
171.9073,8.2184
172.0597,8.582
172.2121,9.0312
172.3645,8.9556
172.5169,7.9851
172.6693,8.2979
172.8217,9.451
172.9741,10.3291
173.1265,9.9149
173.2789,8.5549
173.4313,8.6108
173.5837,8.3467
173.7361,7.9039
173.8885,7.3641
174.0409,6.8819
174.1933,6.8492
174.3457,7.6481
174.4981,8.4227
174.6505,8.265
174.8029,8.0427
174.9553,8.1444
175.1077,8.3385
175.2601,8.5799
175.4125,8.8905
175.5649,9.5314
175.7173,10.5172
175.8697,11.5195
176.0221,11.8126
176.1745,12.4145
176.3269,12.6831
176.4793,12.5542
176.6317,10.953
176.7841,9.9459
176.9365,10.9287
177.0889,12.1395
177.2413,12.0491
177.3937,11.2295
177.5461,10.4885
177.6985,9.6391
177.8509,10.2165
178.0033,10.2009
178.1557,10.2724
178.3081,11.559
178.4605,10.7543
178.6129,9.9354
178.7653,9.5429
178.9177,9.7863
179.0701,9.3352
179.2225,8.6499
179.3749,8.4632
179.5273,8.4327
179.6797,8.0397
179.8321,7.6716
179.9845,6.8728
180.1369,6.7908
180.2893,7.2085
180.4417,6.3938
180.5941,6.0943
180.7465,7.0054
180.8989,6.6713
181.0513,5.8237
181.2037,6.552
181.3561,7.8061
181.5085,7.3666
181.6609,6.6849
181.8133,6.5009
181.9657,7.0214
182.1181,7.9351
182.2705,7.6603
182.4229,7.388
182.5753,7.2532
182.7277,7.5778
182.8801,8.382
183.0325,8.5371
183.1849,8.269
183.3373,8.7529
183.4897,8.6489
183.6421,6.6115
183.7945,5.6381
183.9469,5.8966
184.0993,7.1149
184.2517,8.1149
184.4041,7.7962
184.5565,7.9862
184.7089,7.6728
184.8613,7.5786
185.0137,7.9337
185.1661,9.0837
185.3185,9.4692
185.4709,9.1836
185.6233,9.0718
185.7757,7.7381
185.9281,6.9564
186.0805,6.5617
186.2329,6.6307
186.3853,7.059
186.5377,7.6567
186.6901,7.6782
186.8425,7.6987
186.9949,7.5581
187.1473,6.7686
187.2997,6.8893
187.4521,7.2699
187.6045,8.1557
187.7569,8.1259
187.9093,7.6526
188.0617,7.3109
188.2141,7.0034
188.3665,6.5082
188.5189,6.342
188.6713,6.3566
188.8237,6.7741
188.9761,7.9162
189.1285,7.7596
189.2809,6.3366
189.4333,5.6041
189.5857,5.5563
189.7381,5.7291
189.8905,6.139
190.0429,6.5156
190.1953,6.8925
190.3477,7.4404
190.5001,7.6273
190.6525,7.6982
190.8049,7.9412
190.9573,8.2145
191.1097,8.3359
191.2621,8.231
191.4145,7.903
191.5669,8.4257
191.7193,8.7552
191.8717,8.6885
192.0241,8.4058
192.1765,8.5813
192.3289,8.9575
192.4813,9.3308
192.6337,9.679
192.7861,9.3408
192.9385,8.0299
193.0909,6.3528
193.2433,6.3573
193.3957,7.0525
193.5481,7.6356
193.7005,8.1781
193.8529,8.5659
194.0053,8.8369
194.1577,8.8319
194.3101,6.9042
194.4625,4.5214
194.6149,4.6379
194.7673,5.4497
194.9197,5.4258
195.0721,5.0005
195.2245,5.8525
195.3769,6.5988
195.5293,6.5612
195.6817,5.8233
195.8341,5.121
195.9865,4.5558
196.1389,4.1293
196.2913,3.8701
196.4437,4.4305
196.5961,5.6659
196.7485,6.5329
196.9009,6.8341
197.0533,6.5407
197.2057,6.0302
197.3581,5.7353
197.5105,5.8563
197.6629,5.7704
197.8153,5.2733
197.9677,4.7908
198.1201,4.3181
198.2725,4.0427
198.4249,3.3856
198.5773,3.7275
198.7297,5.3235
198.8821,6.4932
199.0345,6.8894
199.1869,5.3828
199.3393,4.6383
199.4917,5.3983
199.6441,6.0103
199.7965,5.6885
199.9489,5.8469
200.1013,6.2232
200.2537,6.4519
200.4061,6.4052
200.5585,5.6884
200.7109,5.4828
200.8633,5.6356
201.0157,5.1736
201.1681,5.0044
201.3205,4.233
201.4729,3.4183
201.6253,3.1786
201.7777,4.6245
201.9301,5.8023
202.0825,6.1431
202.2349,6.097
202.3873,6.2283
202.5397,5.4904
202.6921,5.2751
202.8445,5.4812
202.9969,6.3684
203.1493,7.0245
203.3017,6.3707
203.4541,5.3426
203.6065,6.1392
203.7589,6.9918
203.9113,6.6965
204.0637,5.6674
204.2161,5.7795
204.3685,6.7025
204.5209,7.2022
204.6733,8.3206
204.8257,9.5019
204.9781,8.4968
205.1305,7.4386
205.2829,7.5452
205.4353,8.1182
205.5877,8.7198
205.7401,9.1771
205.8925,9.4282
206.0449,9.471
206.1973,8.9896
206.3497,7.6065
206.5021,7.0627
206.6545,6.8189
206.8069,5.4877
206.9593,5.1952
207.1117,6.2286
207.2641,6.5575
207.4165,5.9503
207.5689,6.8747
207.7213,7.8701
207.8737,7.9012
208.0261,7.3763
208.1785,7.0526
208.3309,6.6757
208.4833,8.679
208.6357,8.7031
208.7881,8.0125
208.9405,7.2777
209.0929,6.688
209.2453,6.3373
209.3977,6.084
209.5501,5.8318
209.7025,5.6728
209.8549,6.0161
210.0073,6.9124
210.1597,7.2285
210.3121,6.1021
210.4645,5.9897
210.6169,6.9515
210.7693,7.9628
210.9217,8.8218
211.0741,8.8266
211.2265,7.3255
211.3789,6.3808
211.5313,6.1045
211.6837,5.8246
211.8361,6.0024
211.9885,6.5822
