DEPT,GR
146.1515,5.5682
146.3039,5.2191
146.4563,5.6778
146.6087,5.6885
146.7611,4.8219
146.9135,5.1926
147.0659,6.5351
147.2183,6.6146
147.3707,6.6731
147.5231,5.3798
147.6755,5.428
147.8279,6.4078
147.9803,7.2844
148.1327,7.1467
148.2851,6.8296
148.4375,6.9398
148.5899,6.1626
148.7423,5.8895
148.8947,5.2991
149.0471,4.2835
149.1995,3.5743
149.3519,3.9146
149.5043,4.9981
149.6567,6.1526
149.8091,5.5494
149.9615,5.7003
150.1139,4.8125
150.2663,4.3389
150.4187,3.9379
150.5711,3.3477
150.7235,2.8799
150.8759,3.7539
151.0283,4.4708
151.1807,4.9237
151.3331,5.3866
151.4855,5.8332
151.6379,6.0789
151.7903,5.2195
151.9427,5.2908
152.0951,5.9797
152.2475,5.7077
152.3999,5.0461
152.5523,5.3652
152.7047,5.4749
152.8571,4.8507
153.0095,4.9653
153.1619,5.4315
153.3143,4.6445
153.4667,3.7982
153.6191,4.3396
153.7715,5.1898
153.9239,6.5298
154.0763,6.0004
154.2287,4.0574
154.3811,3.3238
154.5335,4.3419
154.6859,4.1862
154.8383,5.3817
154.9907,6.164
155.1431,6.7237
155.2955,6.9311
155.4479,6.7209
155.6003,5.7893
155.7527,5.6059
155.9051,5.9981
156.0575,6.6304
156.2099,7.0961
156.3623,6.7255
156.5147,5.3085
156.6671,4.4849
156.8195,4.0294
156.9719,4.6387
157.1243,5.4702
157.2767,5.0186
157.4291,4.3652
157.5815,4.6337
157.7339,5.7623
157.8863,6.6193
158.0387,6.9415
158.1911,5.5357
158.3435,5.2814
158.4959,5.4305
158.6483,5.1698
158.8007,4.9957
158.9531,4.6924
159.1055,3.5771
159.2579,3.1811
159.4103,4.265
159.5627,4.7539
159.7151,4.9412
159.8675,4.8512
160.0199,3.6359
160.1723,4.3538
160.3247,6.91
160.4771,7.6038
160.6295,8.0248
160.7819,6.3939
160.9343,5.413
161.0867,5.5809
161.2391,6.2274
161.3915,6.3489
161.5439,5.3987
161.6963,5.3984
161.8487,5.6083
162.0011,5.5104
162.1535,4.8671
162.3059,5.0148
162.4583,4.6217
162.6107,5.3157
162.7631,6.4767
162.9155,5.5988
163.0679,5.8068
163.2203,6.0073
163.3727,6.3475
163.5251,7.0488
163.6775,7.0815
163.8299,6.5125
163.9823,6.4601
164.1347,5.1313
164.2871,5.5649
164.4395,6.8569
164.5919,7.8792
164.7443,6.6707
164.8967,6.2994
165.0491,6.4141
165.2015,4.8992
165.3539,4.0098
165.5063,4.3923
165.6587,4.0039
165.8111,3.7851
165.9635,3.8287
166.1159,4.8354
166.2683,5.6988
166.4207,5.2682
166.5731,4.864
166.7255,4.2419
166.8779,4.5075
167.0303,4.8186
167.1827,4.6993
167.3351,4.5964
167.4875,5.2884
167.6399,5.3958
167.7923,5.2775
167.9447,6.7765
168.0971,7.8594
168.2495,7.569
168.4019,8.055
168.5543,9.1879
168.7067,8.2792
168.8591,7.9886
169.0115,8.6153
169.1639,9.0977
169.3163,10.0231
169.4687,9.996
169.6211,9.4505
169.7735,9.9049
169.9259,9.1068
170.0783,7.5836
170.2307,7.0802
170.3831,7.2466
170.5355,7.462
170.6879,8.4772
170.8403,9.2535
170.9927,10.0657
171.1451,8.7464
171.2975,7.9522
171.4499,8.1557
171.6023,7.7987
171.7547,7.2063
171.9071,6.9818
172.0595,6.3656
172.2119,6.3259
172.3643,6.8091
172.5167,7.1253
172.6691,7.0243
172.8215,5.9015
172.9739,5.2579
173.1263,6.2425
173.2787,7.2845
173.4311,7.2708
173.5835,6.2128
173.7359,5.815
173.8883,6.4676
174.0407,7.4781
174.1931,7.077
174.3455,7.7973
174.4979,7.6641
174.6503,7.8655
174.8027,9.0684
174.9551,9.0781
175.1075,7.6479
175.2599,6.7619
175.4123,6.8815
175.5647,8.2662
175.7171,7.7661
175.8695,8.7002
176.0219,8.0288
176.1743,8.3849
176.3267,8.419
176.4791,6.4213
176.6315,6.7193
176.7839,5.1999
176.9363,5.4347
177.0887,6.2693
177.2411,6.0582
177.3935,5.707
177.5459,5.6596
177.6983,6.4079
177.8507,7.1858
178.0031,6.9017
178.1555,5.6639
178.3079,5.023
178.4603,5.0885
178.6127,6.1613
178.7651,6.2416
178.9175,6.5646
179.0699,6.6789
179.2223,5.1372
179.3747,5.5907
179.5271,6.4001
179.6795,6.8801
179.8319,7.5292
179.9843,7.637
180.1367,6.9439
180.2891,6.5816
180.4415,7.1687
180.5939,7.7593
180.7463,7.5649
180.8987,7.2052
181.0511,6.1595
181.2035,6.4961
181.3559,7.1348
181.5083,7.232
181.6607,7.985
181.8131,7.8055
181.9655,7.0182
182.1179,7.2741
182.2703,7.3168
182.4227,6.394
182.5751,5.2504
182.7275,5.7266
182.8799,7.2476
183.0323,7.1459
183.1847,6.4702
183.3371,7.1161
183.4895,7.2142
183.6419,7.1696
183.7943,6.9912
183.9467,6.0971
184.0991,6.0168
184.2515,6.578
184.4039,6.5814
184.5563,7.1336
184.7087,6.0389
184.8611,5.3319
185.0135,4.8477
185.1659,4.6872
185.3183,5.5352
185.4707,6.2088
185.6231,6.2535
185.7755,5.5404
185.9279,5.8284
186.0803,6.3455
186.2327,6.6766
186.3851,6.4015
186.5375,6.1244
186.6899,6.4688
186.8423,7.1821
186.9947,7.286
187.1471,7.4558
187.2995,6.9461
187.4519,4.9684
187.6043,3.7346
187.7567,4.0798
187.9091,5.8137
188.0615,6.7271
188.2139,6.7774
188.3663,6.5201
188.5187,6.3936
188.6711,6.7695
188.8235,6.2777
188.9759,6.2282
189.1283,5.4123
189.2807,6.5608
189.4331,8.1904
189.5855,8.6597
189.7379,7.2513
189.8903,6.6566
190.0427,7.0666
190.1951,6.4349
190.3475,6.099
190.4999,7.3383
190.6523,8.2659
190.8047,7.8246
190.9571,6.5909
191.1095,5.6868
191.2619,6.4126
191.4143,6.9101
191.5667,6.4678
191.7191,6.3543
191.8715,6.4726
192.0239,7.048
192.1763,7.3567
192.3287,6.6662
192.4811,6.2957
192.6335,6.4809
192.7859,6.9881
192.9383,6.767
193.0907,7.2023
193.2431,7.7032
193.3955,8.6157
193.5479,8.8148
193.7003,8.2719
193.8527,7.5567
194.0051,6.6113
194.1575,5.1733
194.3099,4.6376
194.4623,5.2463
194.6147,5.3402
194.7671,4.6123
194.9195,4.1344
195.0719,4.8775
195.2243,5.9185
195.3767,6.7289
195.5291,7.1524
195.6815,6.9652
195.8339,6.5722
195.9863,6.2163
196.1387,6.1947
196.2911,6.9195
196.4435,7.3689
196.5959,7.2636
196.7483,6.8517
196.9007,7.5844
197.0531,7.0834
197.2055,6.6881
197.3579,7.3228
197.5103,8.0111
197.6627,9.3121
197.8151,10.034
197.9675,9.1636
198.1199,7.299
198.2723,7.0869
198.4247,7.0297
198.5771,6.437
198.7295,7.8388
198.8819,9.3059
199.0343,9.655
199.1867,8.5063
199.3391,8.7665
199.4915,9.3705
199.6439,9.7908
199.7963,10.1746
199.9487,11.5266
200.1011,13.0019
200.2535,11.2911
200.4059,11.8316
200.5583,10.6996
200.7107,10.5391
200.8631,11.3726
201.0155,10.8256
201.1679,10.6392
201.3203,11.6306
201.4727,11
201.6251,11.0198
201.7775,11.4421
201.9299,11.1908
202.0823,11.2085
202.2347,11.0184
202.3871,10.2006
202.5395,9.5796
202.6919,9.171
202.8443,8.4743
202.9967,8.4346
203.1491,9.1347
203.3015,9.6561
203.4539,9.4123
203.6063,9.025
203.7587,9.4999
203.9111,9.8291
204.0635,9.5857
204.2159,8.7005
204.3683,7.9736
204.5207,7.5579
204.6731,8.2268
204.8255,9.1209
204.9779,9.2204
205.1303,9.2342
205.2827,9.1917
205.4351,9.4943
205.5875,10.6362
205.7399,11.3646
205.8923,11.4232
206.0447,11.7146
206.1971,9.369
206.3495,8.0222
206.5019,8.4022
206.6543,9.2381
206.8067,9.7459
206.9591,10.7461
207.1115,11.401
207.2639,10.5211
207.4163,9.9103
207.5687,10.8829
207.7211,11.3237
207.8735,10.9916
208.0259,10.7643
208.1783,11.0034
208.3307,11.34
208.4831,11.4221
208.6355,11.3358
208.7879,11.3856
208.9403,10.4762
209.0927,8.9807
209.2451,7.9904
209.3975,8.4035
209.5499,9.2741
209.7023,9.7388
209.8547,10.0666
210.0071,10.7963
210.1595,10.4674
210.3119,9.4167
210.4643,8.7237
210.6167,8.9034
210.7691,8.8376
210.9215,7.8188
211.0739,7.3308
211.2263,8.3596
211.3787,9.0806
211.5311,8.8611
211.6835,8.8525
211.8359,9.8962
211.9883,9.8707
212.1407,8.6476
212.2931,8.217
212.4455,8.2299
212.5979,8.1504
212.7503,9.1559
212.9027,10.4761
213.0551,11.7321
213.2075,11.8223
213.3599,10.6915
213.5123,11.2231
213.6647,11.0665
213.8171,10.47
213.9695,10.0989
214.1219,9.9178
214.2743,10.1391
214.4267,9.9591
214.5791,9.5947
214.7315,10.6914
214.8839,10.7789
215.0363,9.6298
215.1887,9.947
215.3411,9.9048
215.4935,9.9494
215.6459,9.5136
215.7983,9.9246
215.9507,11.4007
216.1031,12.3181
216.2555,10.9619
216.4079,9.745
216.5603,9.6489
216.7127,9.0816
216.8651,8.7175
217.0175,7.8946
217.1699,8.5226
217.3223,8.9985
217.4747,8.6202
217.6271,9.1472
217.7795,9.0525
217.9319,8.5143
218.0843,9.16
218.2367,8.616
218.3891,8.1089
218.5415,7.9371
218.6939,8.4162
218.8463,9.2976
218.9987,9.6455
219.1511,8.8461
219.3035,8.9694
219.4559,9.5729
219.6083,9.4965
219.7607,10.109
219.9131,11.6745
220.0655,12.0056
220.2179,11.5901
220.3703,13.116
220.5227,14.4519
220.6751,14.2335
220.8275,14.6164
220.9799,15.36
221.1323,14.843
221.2847,13.5214
221.4371,12.1998
221.5895,12.4514
221.7419,13.8593
221.8943,12.1902
222.0467,10.2501
222.1991,9.0563
222.3515,9.9058
222.5039,11.3849
222.6563,12.4741
222.8087,12.8872
222.9611,12.7013
223.1135,11.1611
223.2659,11.0609
223.4183,11.5467
223.5707,11.268
223.7231,10.9042
223.8755,10.3163
224.0279,10.0777
224.1803,11.164
224.3327,12.2037
224.4851,12.7692
224.6375,13.9065
224.7899,15.4451
224.9423,16.5978
225.0947,16.7407
225.2471,15.2052
225.3995,14.684
225.5519,15.5158
225.7043,16.5056
225.8567,16.4257
226.0091,17.169
226.1615,16.257
226.3139,16.2186
226.4663,15.2167
226.6187,12.9706
226.7711,12.8063
226.9235,10.0516
227.0759,9.4601
227.2283,10.1688
227.3807,10.4564
227.5331,11.1451
227.6855,11.212
227.8379,9.9855
227.9903,9.0542
228.1427,9.0983
228.2951,9.7486
228.4475,8.8524
228.5999,8.1796
228.7523,8.9724
228.9047,9.5269
229.0571,9.3125
229.2095,10.2274
229.3619,11.8666
229.5143,12.5732
229.6667,12.01
229.8191,11.5935
229.9715,11.8446
230.1239,11.1545
230.2763,10.3311
230.4287,10.4727
230.5811,11.3152
230.7335,11.3238
230.8859,10.6349
231.0383,10.0365
231.1907,10.535
231.3431,9.4233
231.4955,9.0185
231.6479,9.4542
231.8003,9.9647
231.9527,10.1829
232.1051,10.6534
232.2575,11.7858
232.4099,11.9738
232.5623,11.0511
232.7147,11.2768
232.8671,10.6534
233.0195,11.0024
233.1719,12.1737
233.3243,11.732
233.4767,10.6284
233.6291,10.2546
233.7815,11.3588
233.9339,10.8664
234.0863,10.5549
234.2387,11.2446
234.3911,10.7765
234.5435,10.6922
234.6959,11.0055
234.8483,11.3502
235.0007,12.2179
235.1531,12.3174
235.3055,11.3315
235.4579,11.1823
235.6103,11.6209
235.7627,12.1956
235.9151,12.4804
236.0675,11.697
236.2199,11.2086
236.3723,11.595
236.5247,10.5948
236.6771,10.3281
236.8295,10.0609
236.9819,9.3376
237.1343,9.8567
237.2867,11.0947
237.4391,11.7036
237.5915,11.5356
237.7439,10.6115
237.8963,10.0002
238.0487,10.0384
238.2011,10.0029
238.3535,9.882
238.5059,9.403
238.6583,9.2504
238.8107,8.8819
238.9631,8.9295
239.1155,9.9684
239.2679,10.4425
239.4203,9.0886
239.5727,7.9441
239.7251,7.7314
239.8775,7.2368
240.0299,7.4877
240.1823,8.2817
240.3347,9.235
240.4871,10.7004
240.6395,10.1189
240.7919,10.5624
240.9443,10.6523
241.0967,9.6843
