DEPT,GR
95.0493,7.453
95.2017,6.8824
95.3541,5.1603
95.5065,5.711
95.6589,6.0044
95.8113,8.0153
95.9637,6.8866
96.1161,6.3044
96.2685,5.4217
96.4209,4.5627
96.5733,5.4102
96.7257,5.7033
96.8781,6.5507
97.0305,6.0041
97.1829,6.8596
97.3353,7.7264
97.4877,6.8632
97.6401,6.5856
97.7925,5.1444
97.9449,4.5663
98.0973,3.9944
98.2497,5.1408
98.4021,6.0038
98.5545,5.4217
98.7069,4.8401
98.8593,5.973
99.0117,7.1138
99.1641,9.1016
99.3165,9.3834
99.4689,11.664
99.6213,11.3905
99.7737,11.1008
99.9261,7.9642
100.0785,5.6793
100.2309,4.25
100.3833,4.2502
100.5357,4.8241
100.6881,4.2657
100.8405,4.5547
100.9929,4.8246
101.1453,6.246
101.2977,5.9568
101.4501,5.117
101.6025,4.2696
101.7549,4.5664
101.9073,4.5667
102.0597,5.7187
102.2121,5.711
102.3645,5.9919
102.5169,5.1014
102.6693,4.2503
102.8217,5.3946
102.9741,5.6993
103.1265,5.9842
103.2789,5.4023
103.4313,5.3986
103.5837,5.9609
103.7361,5.6837
103.8885,6.2383
104.0409,6.2345
104.1933,6.8203
104.3457,6.8556
104.4981,7.4373
104.6505,6.867
104.8029,6.0038
104.9553,5.4414
105.1077,5.4492
105.2601,5.453
105.4125,4.8833
105.5649,6.8908
105.7173,7.4648
105.8697,7.4683
106.0221,5.457
106.1745,5.1603
106.3269,5.7307
106.4793,6.5899
106.6317,6.8867
106.7841,6.8906
106.9365,6.879
107.0889,7.1522
107.2413,6.2809
107.3937,5.1446
107.5461,5.4105
107.6985,6.5545
107.8509,5.9803
108.0033,5.4103
108.1557,6.266
108.3081,7.9804
108.4605,7.7029
108.6129,6.8477
108.7653,6.8477
108.9177,7.1408
109.0701,7.9998
109.2225,7.1525
109.3749,7.7069
109.5273,7.1369
109.6797,7.9881
109.8321,7.1404
109.9845,6.2852
110.1369,6.2892
110.2893,6.8636
110.4417,7.9998
110.5941,7.1329
110.7465,7.41
110.8989,6.8282
111.0513,7.1054
111.2037,6.832
111.3561,6.8438
111.5085,6.8592
111.6609,5.9924
111.8133,6.8361
111.9657,7.6917
112.1181,8.8436
112.2705,7.9998
112.4229,7.4336
112.5753,7.445
112.7277,6.3009
112.8801,6.5934
113.0325,4.8676
113.1849,6.2889
113.3373,5.7036
113.4897,7.6994
113.6421,8.5707
113.7945,10.2657
113.9469,10.5466
114.0993,9.3827
114.2517,8.8199
114.4041,7.1134
114.5565,7.6908
114.7089,5.4181
114.8613,5.9959
115.0137,5.4222
115.1661,7.1211
115.3185,7.1094
115.4709,7.1094
115.6233,7.1175
115.7757,8.258
115.9281,8.8439
116.0805,9.4371
116.2329,7.742
116.3853,6.8748
116.5377,6.2894
116.6901,7.422
116.8425,7.9998
116.9949,7.1406
117.1473,7.1408
117.2997,8.0081
117.4521,9.1483
117.6045,8.5624
117.7569,8.2344
117.9093,8.4841
118.0617,7.3516
118.2141,7.3514
118.3665,6.801
118.5189,7.668
118.6713,7.6678
118.8237,7.09
118.9761,7.6444
119.1285,7.0898
119.2809,7.0939
119.4333,7.668
119.5857,7.668
119.7381,7.6795
119.8905,7.1171
120.0429,6.8283
120.1953,7.6636
120.3477,5.672
120.5001,5.9528
120.6525,4.8207
120.8049,6.5313
120.9573,6.5353
121.1097,7.1017
121.2621,7.6559
121.4145,6.2307
121.5669,7.074
121.7193,6.2268
121.8717,7.3474
122.0241,6.2228
122.1765,7.0781
122.3289,6.8084
122.4813,6.2379
122.6337,4.8204
122.7861,5.1053
122.9385,4.5394
123.0909,5.9611
123.2433,6.5474
123.3957,8.5312
123.5481,8.5313
123.7005,8.8043
123.8529,7.1014
124.0053,6.5309
124.1577,5.106
124.3101,7.0898
124.4625,6.8203
124.6149,6.5465
124.7673,5.1406
124.9197,5.129
125.0721,5.4105
125.2245,6.5392
125.3769,7.1019
125.5293,8.2499
125.6817,7.9843
125.8341,7.4258
125.9865,7.6914
126.1389,7.6877
126.2913,8.5387
126.4437,7.1288
126.5961,6.8358
126.7485,6.2618
126.9009,6.5547
127.0533,6.5744
127.2057,7.4455
127.3581,8.2888
127.5105,7.414
127.6629,7.1131
127.8153,6.52
127.9677,8.4999
128.1201,8.2188
128.2725,8.2183
128.4249,6.2417
128.5773,4.2504
128.7297,5.6646
128.8821,7.6335
129.0345,10.1719
129.1869,10.1874
129.3393,9.6405
129.4917,9.0934
129.6441,7.3788
129.7965,6.8011
129.9489,8.5003
130.1013,9.6484
130.2537,9.6477
130.4061,7.1092
130.5585,6.2501
130.7109,6.5312
130.8633,6.5312
131.0157,6.527
131.1681,5.391
131.3205,7.0858
131.4729,6.5235
131.6253,6.8196
131.7777,4.2699
131.9301,5.676
132.0825,6.7814
132.2349,7.6291
132.3873,8.1949
132.5397,6.7972
132.6921,8.2103
132.8445,5.9455
132.9969,6.7927
133.1493,5.6644
133.3017,6.7931
133.4541,7.3597
133.6065,9.0624
133.7589,8.7813
133.9113,8.8044
134.0637,7.6955
134.2161,8.5621
134.3685,7.1405
134.5209,6.5587
134.6733,6.836
134.8257,7.1209
134.9781,6.5584
135.1305,5.7151
135.2829,6.8478
135.4353,7.4179
135.5877,7.1249
135.7401,6.8439
135.8925,7.6877
136.0449,8.5316
136.1973,9.9688
136.3497,9.984
136.5021,8.2811
136.6545,7.6877
136.8069,8.5314
136.9593,9.0936
137.1117,8.2651
137.2641,6.2697
137.4165,6.8283
137.5689,7.6639
137.7213,7.1014
137.8737,6.5428
138.0261,5.9808
138.1785,7.3871
138.3309,8.7968
138.4833,8.2189
138.6357,8.8044
138.7881,7.6761
138.9405,9.0935
139.0929,7.9299
139.2453,9.0231
139.3977,7.6016
139.5501,7.8906
139.7025,7.637
139.8549,8.7658
140.0073,9.6172
140.1597,9.9216
140.3121,8.7966
140.4645,7.6446
140.6169,7.9064
140.7693,8.7502
140.9217,9.6248
141.0741,8.5234
141.2265,8.5236
141.3789,9.0782
141.5313,9.6406
141.6837,9.6401
141.8361,7.6641
141.9885,7.6522
142.1409,7.086
142.2933,7.363
142.4457,6.2459
