DEPT,GR
275,10.98526201
275.2,9.801941033
275.4,9.690792772
275.6,9.199563958
275.8,9.554762169
276,11.08474257
276.2,10.85941904
276.4,10.55948479
276.6,11.38472719
276.8,11.41813299
277,11.45782052
277.2,11.443082
277.4,11.00231748
277.6,9.759209461
277.8,9.08880339
278,9.989320655
278.2,10.53970292
278.4,10.47733525
278.6,10.973768
278.8,10.16640916
279,9.849971342
279.2,10.06323033
279.4,10.07007727
279.6,8.91418272
279.8,8.180467951
280,7.454911038
280.2,6.847181721
280.4,6.612085725
280.6,7.560661877
280.8,9.676694205
281,9.214640131
281.2,9.328178669
281.4,10.666892
281.6,11.90157073
281.8,11.43815897
282,10.72900631
282.2,11.08357343
282.4,11.87151821
282.6,11.62717135
282.8,10.8013212
283,10.56327322
283.2,11.0021265
283.4,11.00105804
283.6,11.09608969
283.8,11.44283971
284,11.44490165
284.2,11.44328759
284.4,11.44333033
284.6,11.44141137
284.8,11.39399994
285,11.95278635
285.2,11.91121901
285.4,11.49807252
285.6,11.18106788
285.8,10.8319394
286,9.153502282
286.2,9.096591826
286.4,10.56648601
286.6,10.9021106
286.8,10.52058035
287,10.52550545
287.2,10.52990708
287.4,10.53580766
287.6,10.13603498
287.8,10.08130674
288,10.07033395
288.2,10.069783
288.4,10.10305985
288.6,9.353849139
288.8,9.136103735
289,9.966989156
289.2,11.02306452
289.4,10.82291747
289.6,10.50119797
289.8,10.07255825
290,10.59730641
290.2,11.14152578
290.4,12.81914898
290.6,13.89332475
290.8,11.88406352
291,10.39888307
291.2,10.04993432
291.4,10.87296902
291.6,11.07640099
291.8,11.8503846
292,11.0093444
292.2,9.670908466
292.4,10.0999304
292.6,10.52953909
292.8,11.30864885
293,11.94560878
293.2,11.94787206
293.4,12.82337926
293.6,10.99769107
293.8,9.401221518
294,9.203684095
294.2,10.90952803
294.4,11.52866006
294.6,11.37851792
294.8,11.44416018
295,11.86979395
295.2,12.20171549
295.4,11.90495283
295.6,11.93996937
295.8,10.69689115
296,9.378294958
296.2,9.21297638
296.4,10.4940524
296.6,10.50094016
296.8,11.26454084
297,11.90181173
297.2,12.02473825
297.4,11.69867679
297.6,11.38326249
297.8,10.98349008
298,11.30766654
298.2,11.6660979
298.4,10.95004813
298.6,10.19032398
298.8,11.05004952
299,11.84413344
299.2,10.98454243
299.4,10.68944918
299.6,10.08900755
299.8,9.632105442
300,10.47202927
300.2,11.81591819
300.4,11.93309348
300.6,11.42845615
300.8,11.04478273
301,10.73784692
301.2,10.51414399
301.4,10.98702164
301.6,10.91855574
301.8,11.26195639
302,10.87424785
302.2,9.63413902
302.4,8.501673373
302.6,8.139802893
302.8,10.24199132
303,12.56502559
303.2,13.3533677
303.4,11.67004098
303.6,10.06788203
303.8,9.455121446
304,7.923081226
304.2,8.308359508
304.4,9.952482723
304.6,11.27538989
304.8,11.81812298
305,10.96799736
305.2,11.00967586
305.4,11.53248169
305.6,12.15834786
305.8,11.89639333
306,11.59549922
306.2,10.62567803
306.4,9.103771087
306.6,9.125764084
306.8,10.72487706
307,10.63988586
307.2,10.05685286
307.4,9.214082856
307.6,9.576551523
307.8,11.02587065
308,11.44503378
308.2,11.47381453
308.4,10.79792326
308.6,9.436755927
308.8,10.00916781
309,10.00048297
309.2,10.57520431
309.4,10.53040155
309.6,10.50820693
309.8,11.50389554
310,12.46962321
310.2,13.27566134
310.4,13.03135691
310.6,10.92418229
310.8,9.955711047
311,10.03629023
311.2,10.05789957
311.4,10.06430863
311.6,10.05523477
311.8,10.81103165
312,11.20470966
312.2,10.99531291
312.4,10.9840887
312.6,11.68783878
312.8,11.86338234
313,11.82834042
313.2,11.43591603
313.4,11.44435182
313.6,11.48280159
313.8,10.97290802
314,10.55189684
314.2,10.90104624
314.4,12.55835327
314.6,13.73543204
314.8,12.24876224
315,10.55940233
315.2,9.652652406
315.4,10.46993422
315.6,11.71434209
315.8,12.9059061
316,12.81183215
316.2,11.16826186
316.4,11.26348584
316.6,11.33497967
316.8,10.52163948
317,10.78287948
317.2,11.44183189
317.4,10.75907133
317.6,9.640572378
317.8,10.34859372
318,13.07730204
318.2,13.68296614
318.4,12.84838701
318.6,11.7478326
318.8,12.28724624
319,11.90287592
319.2,11.22322992
319.4,10.24852751
319.6,10.55482671
319.8,10.96455999
320,11.50612032
320.2,13.07702456
320.4,12.76088044
320.6,11.98442403
320.8,11.24875166
321,9.994080942
321.2,10.07237339
321.4,10.53873948
321.6,10.27540421
321.8,10.56331111
322,10.9358109
322.2,11.46745506
322.4,11.44274006
322.6,11.4337128
322.8,11.84318897
323,11.99241721
323.2,10.9429277
323.4,10.06208737
323.6,10.78923948
323.8,10.94457889
324,10.87748742
324.2,9.191079852
324.4,9.089892742
324.6,10.42727865
324.8,11.96939801
325,12.70022173
325.2,14.06821825
325.4,14.2009112
325.6,13.72448752
325.8,11.78289706
326,11.40527695
326.2,11.97156689
326.4,11.92689832
326.6,11.38680159
326.8,9.875193722
327,9.137449878
327.2,9.105284078
327.4,10.67332235
327.6,10.96126601
327.8,10.98270426
328,10.16715954
328.2,10.42205222
328.4,12.02160574
328.6,12.75465414
328.8,13.81420043
329,12.86199228
329.2,9.881010876
329.4,8.996215438
329.6,10.41070177
329.8,10.64667694
330,10.98930944
330.2,12.66058328
330.4,12.78922675
330.6,12.76183822
330.8,11.91693037
331,11.68276161
331.2,10.23596366
331.4,8.197648894
331.6,9.423184596
331.8,11.55224631
332,12.26626073
332.2,11.8985
332.4,11.36925987
332.6,11.93608303
332.8,11.85012642
333,11.00031217
333.2,10.73605876
333.4,10.06634934
333.6,9.568640821
333.8,10.39278547
334,11.55251346
334.2,12.11453237
334.4,12.81690146
334.6,11.78769267
334.8,10.7190009
335,11.01984671
335.2,11.0395847
335.4,9.289508574
335.6,8.064158756
335.8,9.184655071
336,9.902398322
336.2,10.54470308
336.4,10.52112951
336.6,10.52361002
336.8,10.06824876
337,10.48608239
337.2,10.94426614
337.4,9.236241051
337.6,9.817402942
337.8,10.30537753
338,11.96500292
338.2,12.7262946
338.4,13.18223618
338.6,11.23203685
338.8,10.52530993
339,10.14943239
339.2,9.581981689
339.4,10.23081803
339.6,10.93655559
339.8,11.13674609
340,10.70487325
340.2,9.574337458
340.4,8.753306495
340.6,8.959630474
340.8,9.089848211
341,10.07966291
341.2,11.21062389
341.4,12.01830424
341.6,10.94219776
341.8,10.13827388
342,9.299323064
342.2,9.307217663
342.4,10.14276964
342.6,11.78253286
342.8,12.67983767
343,12.18315762
343.2,11.90080937
343.4,11.99093835
343.6,10.90749567
343.8,11.0893974
344,12.77966418
344.2,12.80287184
344.4,12.8167103
344.6,12.82299178
344.8,12.45505507
345,11.87168148
345.2,11.91345656
345.4,11.9093835
345.6,12.86755256
345.8,12.831453
346,12.8705723
346.2,13.71717759
346.4,13.86191617
346.6,12.07785766
346.8,11.39940939
347,10.74506893
347.2,13.29920412
347.4,12.50041459
347.6,10.51703017
347.8,10.20585065
348,10.38741804
348.2,12.51998916
348.4,12.85713773
348.6,12.02392168
348.8,11.87925313
349,12.20218461
349.2,11.97302209
349.4,11.86615949
349.6,12.11213019
349.8,13.28163118
350,13.41256429
350.2,12.26969796
350.4,12.90929631
350.6,12.82949052
350.8,10.58991393
351,10.1390054
351.2,12.48638804
351.4,12.8875183
351.6,10.41895225
351.8,10.02923524
352,8.254881926
352.2,9.217230197
352.4,9.0592326
352.6,9.694233761
352.8,10.12416845
353,9.222180299
353.2,8.564442845
353.4,10.5987186
353.6,10.62103049
353.8,9.706101397
354,10.10413587
354.2,11.45205472
354.4,12.59374195
354.6,12.17305455
354.8,10.8221574
355,10.07396652
355.2,9.491135403
355.4,10.84472033
355.6,12.90218191
355.8,12.01143098
356,11.94853958
356.2,12.15006489
356.4,12.8212423
356.6,14.46698144
356.8,14.05955878
357,12.1967917
357.2,10.57092654
357.4,9.329998439
357.6,10.19073825
357.8,10.06663049
358,10.44123283
358.2,11.27853006
358.4,11.43220459
358.6,11.44248238
358.8,11.49404604
359,11.02197716
359.2,9.959601184
359.4,10.90450861
359.6,11.98112762
359.8,11.13453609
360,9.539076879
360.2,9.098633263
360.4,10.84953903
360.6,12.47970322
360.8,13.73889344
361,14.1256184
361.2,13.7363909
361.4,12.59135315
361.6,11.49501128
361.8,10.47443914
362,10.64922246
362.2,11.46284044
362.4,11.42514557
362.6,12.49505699
362.8,13.03584681
363,13.73159645
363.2,13.02005452
363.4,12.82036477
363.6,12.67967887
363.8,11.47594806
364,9.526308693
364.2,9.157990301
364.4,9.669635059
364.6,10.44295433
364.8,10.99001549
365,10.73315773
365.2,10.06043776
365.4,9.402215058
365.6,11.21467504
365.8,12.45697075
366,12.78459532
366.2,13.78301501
366.4,13.48462426
366.6,11.87112856
366.8,11.52794613
367,10.5011541
367.2,8.858462201
367.4,8.251573539
367.6,9.519906718
367.8,10.24211065
368,11.55178946
368.2,12.77220128
368.4,12.77215029
368.6,12.47419428
368.8,11.88459444
369,11.05681659
369.2,10.40257602
369.4,11.59823219
369.6,12.82804146
369.8,12.44518066
370,12.3561871
370.2,12.27523499
370.4,11.92131484
370.6,10.29713485
370.8,10.18659182
371,11.51435578
371.2,12.3438143
371.4,11.87588678
371.6,12.14018767
371.8,12.81647752
372,12.0876548
372.2,11.64744191
372.4,11.82766006
372.6,10.14038645
372.8,9.34102815
373,10.98139918
373.2,13.28731384
373.4,11.13994491
373.6,10.12037954
373.8,11.76758698
374,10.96848382
374.2,10.21194736
374.4,9.750724015
374.6,10.58176474
374.8,11.8959249
375,10.89349472
375,10.98220224
375.2,11.24861846
375.4,12.64917922
375.6,12.84236629
375.8,11.9552639
376,11.92074095
376.2,11.94360396
376.4,11.44277437
376.6,12.27373737
376.8,14.21706453
377,13.57199051
377.2,11.88779453
377.4,11.92738199
377.6,12.08203702
377.8,12.93150221
378,12.85218788
378.2,11.74634527
378.4,10.78646338
378.6,10.51050654
378.8,9.28517833
379,8.618516367
379.2,9.159213101
379.4,10.09816708
379.6,12.14017518
379.8,13.54409476
380,13.58341545
380.2,12.36566214
380.4,12.39637293
380.6,11.69328186
380.8,10.86814828
381,10.40740388
381.2,10.89859286
381.4,11.8914615
381.6,10.96673228
381.8,10.4709792
382,11.21584223
382.2,12.01085887
382.4,12.36849152
382.6,11.54118679
382.8,11.40805396
383,11.91853061
383.2,12.27592965
383.4,12.94619999
383.6,11.86562028
383.8,10.95483803
384,11.04017718
384.2,10.52685802
384.4,10.02190286
384.6,10.06682906
384.8,9.997266017
385,11.44699889
385.2,11.88428109
385.4,11.90313181
385.6,12.00357061
385.8,10.95322284
386,10.04116062
386.2,9.656220085
386.4,10.03300267
386.6,11.07520123
386.8,10.97925996
387,10.69388514
387.2,10.02079693
387.4,10.01255121
387.6,9.575713859
387.8,10.30545726
388,11.66673175
388.2,11.88291746
388.4,10.70000416
388.6,10.05638964
388.8,10.16916848
389,10.52352716
389.2,11.66671879
389.4,11.48184927
389.6,10.99019073
389.8,11.36784002
390,11.42526228
390.2,9.905997875
390.4,8.62491799
390.6,8.592672061
390.8,9.632426153
391,10.5501859
391.2,10.52397157
391.4,10.15323475
391.6,9.663244981
391.8,9.098780677
392,9.064673097
392.2,10.09957777
392.4,9.757624884
392.6,9.152247716
392.8,9.857218566
393,11.04552466
393.2,10.99345899
393.4,10.98350452
393.6,11.72427994
393.8,12.88157607
394,12.71227389
394.2,11.02023335
394.4,10.9555364
394.6,11.60728428
394.8,12.34631701
395,11.52461386
395.2,9.66477205
395.4,9.186014518
395.6,9.153714347
395.8,8.563364611
396,6.56305338
396.2,6.603187876
396.4,8.653687567
396.6,9.49062323
396.8,9.628959617
397,9.095010053
397.2,8.287457916
397.4,8.428415753
397.6,9.815515984
397.8,10.06591793
398,10.0679308
398.2,10.06715949
398.4,10.06710706
398.6,10.06679521
398.8,10.05716575
399,9.928591012
399.2,9.116417603
399.4,9.87330889
399.6,11.7144178
399.8,12.89512223
400,12.80050862
400.2,12.3963869
400.4,10.92091525
400.6,9.933049034
400.8,10.04819289
401,10.01875827
401.2,10.72343105
401.4,11.51336401
401.6,11.90571149
401.8,11.86914092
402,12.58823516
402.2,11.84169512
402.4,10.29999441
402.6,9.289914975
402.8,10.26433045
403,11.41902592
403.2,11.25125056
403.4,10.84431755
403.6,9.938024957
403.8,9.129680205
404,9.100929664
404.2,9.689561972
404.4,9.134016113
404.6,9.462264006
404.8,10.80817508
405,11.57692335
405.2,11.89705113
405.4,11.55896601
405.6,11.40805326
405.8,11.91557174
406,12.32678743
406.2,11.27340275
406.4,11.09823799
406.6,11.8646376
406.8,10.91788416
407,11.89793417
407.2,13.54321798
407.4,14.18780908
407.6,12.69780664
407.8,11.48132803
408,10.9651349
408.2,11.84670387
408.4,11.08554374
408.6,10.98996129
408.8,10.98255419
409,10.98001194
409.2,10.94469391
409.4,11.57512663
409.6,12.35421206
409.8,12.79310705
410,12.11174662
410.2,9.450014555
410.4,9.583026816
410.6,9.926267853
410.8,10.34339966
411,11.48441228
411.2,11.88524215
411.4,12.65745529
411.6,12.79932517
411.8,12.81081294
412,13.54617351
412.2,12.85523417
412.4,11.32518192
412.6,10.54062953
