DEPT,GR
345.2,10.40811996
345.4,10.36324801
345.6,10.27907763
345.8,10.34163671
346,11.08466804
346.2,11.37976574
346.4,11.3125504
346.6,11.65260608
346.8,11.31898641
347,12.02230515
347.2,14.78894832
347.4,16.96767645
347.6,14.08585813
347.8,12.03662213
348,13.25775331
348.2,15.82698989
348.4,17.06157031
348.6,15.86269389
348.8,14.12803547
349,12.92731283
349.2,13.34419109
349.4,13.80817449
351,16.14300735
351.2,15.05095878
351.4,13.58541169
351.6,11.83408943
351.8,11.09202583
352,10.98043107
352.2,11.18378287
352.4,13.28600085
352.6,13.33204872
352.8,11.86368013
353,9.793131545
353.2,9.36239352
353.4,10.15185985
353.6,10.34424493
353.8,9.930211812
354,9.547890724
354.2,9.575984921
354.4,12.11012222
354.6,13.79420488
354.8,14.85949364
355,15.15637149
355.2,13.46899468
355.4,11.17327642
355.6,11.31525449
355.8,13.1623283
356,15.48810907
356.2,16.03777773
356.4,14.46429377
356.6,13.16792336
356.8,13.11752647
357,12.74413881
357.2,11.46662786
357.4,9.368844835
357.6,7.678205418
357.8,8.786896484
358,9.897975404
358.2,10.63607326
358.4,11.02986352
358.6,11.45349209
358.8,13.07752915
359,13.36950709
359.2,13.54714314
359.4,13.76441348
359.6,14.05885814
359.8,16.31279799
360,17.96417462
360.2,15.49404318
360.4,13.83698202
360.6,13.19109499
360.8,13.1826319
361,13.11547945
361.2,13.12998019
361.4,13.83271866
361.6,13.84109833
361.8,13.21606297
362,13.02936446
362.2,13.43575133
362.4,15.04312555
362.6,17.60948044
362.8,17.30765873
363,14.0496416
363.2,12.35709813
363.4,13.65918616
363.6,14.54965766
363.8,15.06025834
364,15.27099927
364.2,15.76796972
364.4,17.04950277
364.6,15.35976164
364.8,12.88480315
365,11.36313632
365.2,12.86298761
365.4,14.59719921
365.6,16.08476087
365.8,14.33109112
366,11.7788147
366.2,11.33658657
366.4,11.81479889
366.6,13.59280577
366.8,15.09864417
367,14.3656295
367.2,13.51799561
367.4,12.2666248
367.6,12.22510477
367.8,12.27622775
368,12.12015315
368.2,12.83723689
368.4,14.74017767
368.6,15.10763411
368.8,14.81393025
369,14.00793492
369.2,13.50100011
369.4,12.7522189
369.6,12.2830859
369.8,11.72830499
370,11.28017152
370.2,10.9398622
370.4,9.447406952
370.6,9.922292496
370.8,10.90902013
371,13.12049159
371.2,14.3845374
371.4,14.30231441
371.6,12.14590861
371.8,11.92340004
372,12.65154162
372.2,13.83141991
372.4,14.1537754
372.6,14.91753849
372.8,15.39695004
373,15.08223544
373.2,13.39998634
373.4,13.19042991
373.6,13.03119749
373.8,12.80808001
374,12.57282133
374.2,12.37716532
374.4,12.27285583
374.6,13.41279275
374.8,12.13983217
375,10.51372486
375.2,10.55320529
375.4,11.38804621
