DEPT,GR
978.9,22.92562138
979.1,20.65821147
979.3,18.78688438
979.5,18.18394978
979.7,18.55875427
979.9,19.64966707
980.1,18.18427732
980.3,15.26230966
980.5,16.40273445
980.7,17.23657271
980.9,18.16523128
981.1,19.45755616
981.3,19.79750997
981.5,18.05845944
981.7,18.36044518
981.9,19.47207111
982.1,19.67988689
982.3,19.48378805
982.5,19.37113292
982.7,19.66275642
982.9,19.15274569
983.1,18.06594989
983.3,18.79179159
983.5,19.67970751
983.7,19.22661692
983.9,19.73495804
984.1,19.68890314
984.3,19.94332842
984.5,19.77055589
984.7,19.08686126
984.9,18.323317
985.1,17.75131254
985.3,18.32249286
985.5,19.416509
985.7,18.92042717
985.9,19.04303476
986.1,19.76053345
986.3,19.70274761
986.5,20.18701321
986.7,20.08572206
986.9,18.94929984
987.1,18.57723277
987.3,18.74271029
987.5,19.16250883
987.7,17.75339088
987.9,15.98023849
988.1,16.02674329
988.3,17.705801
988.5,18.60654665
988.7,19.13570922
988.9,17.70952803
989.1,16.99533777
989.3,17.7816643
989.5,17.56162938
989.7,18.07679358
989.9,19.51460361
990.1,19.39152483
990.3,18.55074013
990.5,18.35069
990.7,18.63764757
990.9,18.39529702
991.1,18.32025486
991.3,18.63131671
991.5,18.881485
991.7,19.08554266
991.9,19.4684926
992.1,18.81945244
992.3,19.14211894
992.5,21.62853995
992.7,23.2869175
992.9,22.90051878
993.1,19.95658702
993.3,19.54587171
993.5,18.87413851
993.7,18.43006065
993.9,19.40196187
994.1,20.04401362
994.3,20.19893283
994.5,19.94439819
994.7,19.03105201
994.9,18.32316681
995.1,18.97792783
995.3,18.57418162
995.5,19.18837222
995.7,20.26817748
995.9,19.71664811
996.1,19.13499946
996.3,19.65365864
996.5,20.21067647
996.7,19.49927437
996.9,18.55238678
997.1,20.30399937
997.3,22.65625891
997.5,22.48773989
997.7,20.87143328
997.9,19.16364297
998.1,18.56861108
998.3,19.62866317
998.5,19.162439
998.7,20.11901751
998.9,20.20881219
999.1,20.27548031
999.3,20.43808396
999.5,20.44723953
999.7,19.68966858
999.9,19.1336905
1000.1,20.09758571
1000.3,20.72639676
1000.5,21.26322549
1000.7,20.76475902
1000.9,20.96255698
1001.1,21.57948566
1001.3,21.20390798
1001.5,21.56374237
1001.7,21.85861259
1001.9,21.80427672
1002.1,21.82318565
1002.3,21.1782428
1002.5,20.50182659
1002.7,19.96766427
1002.9,19.22899637
1003.1,19.63050504
1003.3,20.85798894
1003.5,22.05475994
1003.7,21.24336704
1003.9,19.54728031
1004.1,18.30959885
1004.3,18.53449088
1004.5,19.1637509
1004.7,19.23254921
1004.9,18.68070083
1005.1,19.26439537
1005.3,19.03830537
1005.5,20.36409601
1005.7,20.99041919
1005.9,20.99762935
1006.1,20.91831911
1006.3,19.2887448
1006.5,18.9012072
1006.7,19.07776946
1006.9,19.69892134
1007.1,18.55018452
1007.3,18.57397181
1007.5,18.92841655
1007.7,19.65091715
1007.9,20.20459689
1008.1,21.77309936
1008.3,22.44728311
1008.5,21.67036045
1008.7,20.49771172
1008.9,19.41210709
1009.1,19.23125342
1009.3,19.28500978
1009.5,18.83973777
1009.7,18.65643953
1009.9,18.62038539
1010.1,19.11012053
1010.3,19.71735436
1010.5,20.28846956
1010.7,19.41311078
1010.9,18.60760074
1011.1,20.44324402
1011.3,21.06563977
1011.5,20.21952165
1011.7,19.78385881
1011.9,20.49478633
1012.1,20.07431397
1012.3,19.74798522
1012.5,19.48618466
1012.7,18.26718941
1012.9,18.61377992
1013.1,19.68798955
1013.3,20.902513
1013.5,21.68682808
1013.7,20.30973465
1013.9,19.70260529
1014.1,20.18794093
1014.3,20.64886604
1014.5,17.83751887
1014.7,18.53072787
1014.9,20.0819595
1015.1,21.20743889
1015.3,21.24965438
1015.5,21.87848475
1015.7,21.87146236
1015.9,22.35455067
1016.1,22.21394707
1016.3,23.58241612
1016.5,24.75104512
1016.7,22.8330735
1016.9,20.36068872
1017.1,18.92122694
1017.3,18.873924
1017.5,19.77666179
1017.7,20.47254614
1017.9,19.81858219
1018.1,18.57010464
1018.3,19.13702652
1018.5,19.53274049
1018.7,20.51585234
1018.9,18.39955341
1019.1,17.04889488
1019.3,20.40744468
1019.5,20.86138254
1019.7,21.19809855
1019.9,21.379941
1020.1,20.22417633
1020.3,21.31140831
1020.5,19.40230351
1020.7,18.18817225
1020.9,19.33819823
1021.1,20.87988113
1021.3,20.75347356
1021.5,22.49085985
1021.7,22.63987406
1021.9,22.12824023
1022.1,20.88220214
1022.3,21.26077845
1022.5,20.69153813
1022.7,20.92000914
1022.9,21.37099752
1023.1,22.07325178
1023.3,21.54599261
1023.5,21.37814964
1023.7,20.74262538
1023.9,21.04201855
1024.1,20.89676054
1024.3,20.47931464
1024.5,20.5824116
1024.7,21.18398851
1024.9,21.85109491
1025.1,22.10286809
1025.3,21.7501372
1025.5,21.60913154
1025.7,21.46454937
1025.9,19.83286591
1026.1,19.71783688
1026.3,19.94477908
1026.5,20.84936939
1026.7,21.54178277
1026.9,20.69467956
1027.1,20.15725965
1027.3,20.21428774
1027.5,20.71668059
1027.7,21.46954164
1027.9,21.56686687
1028.1,21.60823849
1028.3,23.92931755
1028.5,20.43106242
1028.7,19.95404201
1028.9,20.36403332
1029.1,20.35420757
1029.3,20.21640376
1029.5,20.01798574
1029.7,19.63322598
1029.9,19.46824349
1030.1,19.84292569
1030.3,20.72884597
1030.5,21.21906739
1030.7,20.98394562
1030.9,19.5819709
1031.1,19.62667194
1031.3,19.09707003
