DEPT,GR
387,15.89540413
387.2,14.79064705
387.4,17.76313499
387.6,16.95922991
387.8,17.15718585
388,17.16723715
388.2,18.19921411
388.4,18.75513547
388.6,19.10979081
388.8,19.59065935
389,18.74539367
389.2,17.66276751
389.4,17.64239784
389.6108325,18.83440411
389.8128021,20.0454428
390.0128021,21.17493708
391.2049239,20.99556036
391.4,19.95637432
391.6,19.56196344
391.8,19.58717046
392,20.03120456
392.2,20.13181767
392.4,19.99384054
392.6,19.42763288
392.8,19.10204325
393,20.01546138
393.2,19.6478024
393.4,18.77057026
393.6,18.57963759
393.8,19.62311481
394,20.03276722
394.2,20.91197982
394.4,22.32624291
394.6,21.45113326
394.8,20.34014281
395,19.04345565
395.2,18.66785876
395.4,19.13558688
395.6,19.157931
395.8,18.85170832
396,19.67809562
396.2,20.94062666
396.4,20.96990633
396.6,20.22231763
396.8,19.57672355
397,19.60329097
397.2,19.0208944
397.4,20.36078394
397.6,21.40417852
397.8,21.83459456
398,21.68269902
398.2,21.31324051
398.4,20.9291323
398.6,20.48379209
398.8,20.43095356
399,20.87683917
399.2,21.40428713
399.4,20.9495546
399.6,20.47196553
399.8,20.47623324
400,20.73394141
400.2,20.93740818
400.4,20.93906925
400.6,21.38954027
400.8,21.862607
401,21.8472494
401.2,21.63304988
401.4,20.80467498
401.6,20.02099593
401.8,20.48765868
402,20.48027244
402.2,20.31195901
402.4,20.25205283
402.6,19.98809269
402.8,19.5701205
403,20.00351032
403.2,20.4720953
403.4,20.27629819
403.6,19.42753878
403.8,19.57846383
404,19.62420235
404.2,20.03417929
404.4,19.76426823
404.6,20.00369584
404.8,20.96240489
405,21.37954306
405.2,20.89374107
405.4,19.94822382
405.6,20.02555164
405.8,20.03017519
406,20.49418581
406.2,20.47981048
406.4,20.47895782
406.6,20.4789323
406.8,20.48142973
407,20.42583908
407.2,19.59186621
407.4,17.82946943
407.6,19.14099754
407.8,19.57764204
408,20.0117712
408.2,20.02402695
408.4,20.02999906
408.6,20.83134064
408.8,20.98523798
409,20.36315908
409.2,20.02165085
409.4,20.02388442
409.6,20.02391624
409.8,20.02365865
410,20.03423569
410.2,20.51998827
410.4,20.47817433
410.6,20.07836357
410.8,20.02160468
411,20.0207633
411.2,20.1456317
411.4,20.47895351
411.6,20.06439038
411.8,19.21810952
412,19.06004931
412.2,19.64389148
412.3970457,19.77736461
412.6,19.11333464
412.8019696,16.3958402
413,18.62459421
413.2,19.55643537
413.4,20.12551643
413.6,20.48082844
413.8,20.47760794
414,18.99002654
414.2029543,15.16186596
414.4009848,16.90364738
414.6,18.69527972
414.8,19.56873298
415,19.95533463
415.2,20.27790777
415.4,20.91227449
415.6,20.46193635
415.8,20.00133707
416,19.5705191
416.2,19.81591337
416.4,21.16178047
416.6,21.39580486
416.8,21.32219044
417,20.48257239
417.2,20.48015353
417.4,20.19939609
417.6,20.52073668
417.8,20.57935675
418,20.93555314
418.2,20.94155927
418.4,21.37391566
418.6,21.63951006
418.8,21.85084983
419,20.37837632
419.2,19.56658146
419.4,19.9433109
419.6,20.26314287
419.8,20.92466439
420,20.92917559
420.2,20.93806059
420.4,21.18792011
420.6,21.51627441
420.8,21.86224563
421,22.16495592
421.2,22.27189485
421.4,21.87444123
421.6,20.47050626
421.8,20.20123725
422,20.01975419
422.2,20.04791218
422.4,19.9999482
422.6,20.00651695
422.8,19.73803888
423,18.61826332
423.2,18.79414618
423.4,19.65195449
423.6,20.89980877
423.8,20.93740399
424,20.93773204
424.2,20.75046955
424.4,19.99472928
424.6,19.11010538
424.8,18.6288262
425,20.05916262
425.2,21.46833592
425.4,21.38778471
425.6,21.38639342
425.8,20.95552057
426,20.94483784
426.2,21.39334761
426.4,22.05303079
426.6,21.92386528
426.8,21.39294103
427,20.90630092
427.2,20.94478219
427.4,20.79476358
427.6,20.93664558
427.8,20.93545389
428,20.97744378
428.2,19.33710034
428.4,19.12992843
428.6,20.26185415
428.8,21.95439855
428.9980304,25.60929838
429.1980304,26.18574073
429.3990152,24.02987699
429.6,21.58429413
429.8,20.97133329
430,20.48676958
430.2,20.90259323
430.4,20.93602146
430.6,20.93493907
430.8,20.89923335
431,21.37763916
431.2,21.38434402
431.4,21.88981959
431.6,22.25137128
431.8,21.46173568
432,21.49496261
432.2,24.11189963
432.4,22.72004775
432.6,22.09329546
432.8,22.05710795
433,21.39875318
433.2,21.40378842
433.4,20.9318535
433.6,21.01727512
433.8,19.79401321
434,18.62619254
434.2,19.28839713
434.4,22.3333417
434.6,24.1390573
434.8,22.58306525
435,19.8697856
435.2,19.05937977
435.4,19.15392937
435.6,20.44899654
