"AGE","GR"
440.031110375641,23.15
440.419990071157,21.59
440.808869766672,20.5
441.197749462188,21.1
441.586629157703,21.26
441.975508853219,22.02
442.364388548734,24.36
442.753268244249,27.29
443.142147939765,26.98
443.53102763528,24.44
443.919907330796,21.86
444.308787026311,22.03
444.503226874069,24.78
444.697666721827,27.41
445.086546417342,27.12
445.475426112858,24.59
445.864305808374,22.33
446.058745656131,21.17
446.253185503889,20.29
446.642065199404,19.6
447.419824590435,20.43
447.808704285951,20.92
448.197583981466,20.46
448.586463676982,19.96
448.780903524739,19.05
448.975343372497,18
449.364223068013,18.98
449.55866291577,20.31
449.753102763528,20.88
449.947542611286,21.35
450.141982459044,21.39
450.336422306801,21.22
450.530862154559,20.38
450.725302002317,21.02
450.919741850074,21.73
451.114181697832,22.03
451.30862154559,21.42
451.697501241105,21.07
452.086380936621,20.85
452.475260632136,20.36
452.864140327652,19.63
453.253020023167,19.35
453.641899718683,20.12
454.030779414198,20.62
454.419659109714,22.17
454.808538805229,25.55
455.197418500745,29.06
455.58629819626,30.55
455.975177891776,32.11
456.364057587291,33.58
456.752937282806,31.66
457.141816978322,29.37
457.530696673838,27.6
457.919576369353,25.63
458.308456064868,22.83
458.697335760384,21.45
459.475095151415,19.8
461.030613933477,18.15
462.586132715539,16.95
464.141651497601,16.27
465.308290584147,15.56
466.086049975178,15.46
466.863809366209,15.43
467.64156875724,15.6
468.419328148271,16.88
469.197087539302,17.71
469.974846930333,18.72
470.752606321364,19.78
471.530365712395,20.79
471.91924540791,21.23
472.502564951183,21.98
472.891444646699,21.93
473.280324342214,21.18
473.863643885487,20.39
474.641403276518,19.82
475.419162667549,18.73
476.19692205858,18.12
476.780241601854,20.24
477.169121297369,22.36
477.558000992884,21.89
477.9468806884,20.76
478.141320536158,20.09
478.335760383915,21.47
478.530200231673,23
478.724640079431,22.5
478.919079927189,21.8
479.113519774946,21.74
479.307959622704,22.2
479.69683931822,22.44
480.085719013735,21.8
480.47459870925,21.2
480.863478404766,21.3
481.252358100281,21.6
481.641237795797,21.97
482.030117491312,23.82
482.418997186828,26.8
482.807876882343,27.89
483.585636273374,26.95
484.363395664405,26.41
485.141155055436,27.5
485.918914446467,26.93
486.696673837498,24.81
487.474433228529,21.74
488.25219261956,20.38
489.029952010591,19.27
489.807711401622,19.08
490.585470792653,19.56
490.974350488168,21.46
491.363230183683,22.55
492.140989574715,22.83
492.918748965746,23.25
493.696508356776,23.06
494.474267747808,22.69
495.252027138838,21.44
495.640906834354,20.45
496.418666225385,20.4
497.196425616416,20.6
497.974185007446,21.07
498.751944398478,21.03
499.529703789509,20.05
500.113023332782,19.39
500.501903028297,19.39
500.696342876055,19.47
500.890782723813,19.84
501.08522257157,20.24
501.182442495449,21.15
501.279662419328,21.82
501.474102267086,22.89
501.571322190965,23.63
501.668542114844,24.51
501.765762038722,24.96
501.862981962601,24.05
501.96020188648,23.23
502.057421810359,23.24
502.154641734238,23.39
502.251861658117,24.51
502.349081581996,26.05
502.446301505875,26.38
502.543521429754,26.41
502.640741353632,26.83
502.737961277511,26.92
502.83518120139,26.15
502.932401125269,24.49
503.029621049148,23.52
503.224060896906,23.22
503.418500744663,24.09
503.612940592421,27.31
503.807380440179,29.26
504.001820287937,29.42
504.196260135694,28.96
504.390699983452,27.27
504.58513983121,24.64
504.779579678967,23.08
504.974019526725,22.53
505.168459374483,22.37
505.362899222241,23.49
505.557339069998,25.31
505.751778917756,26.37
505.946218765514,27.3
506.335098461029,28.94
506.723978156545,29.98
507.11285785206,30.08
507.501737547576,30.78
507.890617243091,33.84
508.279496938607,32.48
508.668376634122,30.15
509.057256329638,29.31
509.446136025153,28.77
509.835015720669,28.82
510.223895416184,28.8
510.6127751117,28.47
510.807214959457,28.41
511.001654807215,30.17
511.196094654973,30.82
511.293314578852,29.84
511.39053450273,28.09
511.487754426609,25.94
511.584974350488,25.48
511.682194274367,24.83
511.779414198246,22.22
511.973854046004,20.89
512.168293893762,20.48
512.362733741519,20.77
512.557173589277,21.92
512.751613437035,23.24
512.946053284792,21.75
513.14049313255,21.02
513.334932980308,20.8
513.529372828065,20.84
513.723812675823,23.95
513.918252523581,26.81
514.112692371339,27.88
514.307132219097,28.3
514.501572066854,27.02
514.598791990733,26.46
514.696011914612,26.76
514.89045176237,27.6
515.084891610127,28.58
515.473771305643,29.94
515.668211153401,31.38
515.862651001158,29.84
515.959870925037,28.44
516.057090848916,27.4
516.251530696674,25.37
516.445970544432,22.85
516.834850239947,21.37
517.223729935463,20.35
517.612609630978,20.91
518.001489326494,21.64
518.390369022009,21.91
518.779248717525,22.79
519.16812841304,24.29
519.362568260798,25.92
519.557008108555,27.78
519.751447956313,28.87
519.945887804071,29.94
520.140327651829,28.55
520.334767499586,26.87
520.529207347344,25.35
520.723647195102,23.96
520.918087042859,23.81
521.112526890617,24.08
521.306966738375,24.51
521.501406586133,25.18
521.890286281648,24.81
522.279165977164,24.35
522.668045672679,24.62
523.056925368195,25.47
523.44580506371,26.01
523.834684759226,24.78
524.223564454741,25.57
525.001323845772,25.32
525.779083236803,24.7
526.556842627834,25.3
526.945722323349,25.94
527.72348171438,26.24
528.112361409896,24.42
528.501241105411,22.54
528.890120800927,22.89
529.279000496442,23.15
529.4734403442,24.33
529.862320039715,25.78
530.251199735231,26.07
530.640079430746,25.75
531.028959126262,26.2
531.417838821777,26.78
531.806718517293,27.2
532.195598212808,24.26
532.584477908324,22.58
532.778917756081,21.62
532.973357603839,22.21
533.167797451597,22.41
533.362237299355,23.32
533.75111699487,25.06
534.139996690386,25.42
534.917756081417,25.17
535.695515472447,26.78
537.251034254509,28.89
538.417673341056,28.19
538.806553036571,26.31
539.000992884329,24.53
539.195432732087,21.85
539.389872579844,20.12
539.584312427602,20.92
539.973192123118,22.12
540.362071818633,24.35
540.750951514149,26.09
541.139831209664,28.1
541.52871090518,29.3
541.917590600695,30.88
542.30647029621,29.92
542.695349991726,28.92
544.250868773788,26.48
545.80638755585,25.05
547.361906337912,25.64
548.917425119974,26.14
550.472943902035,26.38
552.028462684097,27.1
553.195101770644,27.84
554.36174085719,28.44
555.917259639252,28.22
556.695019030283,25.93
557.472778421314,22.06
558.250537812345,20.27
559.028297203376,19.15
559.806056594407,17.2
560.583815985438,16.22
561.361575376469,16.52
562.1393347675,17.48
562.917094158531,18.62
563.694853549561,19.3
564.472612940593,18.78
565.250372331623,18.4
566.028131722654,17.74
566.805891113685,16.39
567.583650504716,17.19
568.361409895747,19.38
569.139169286778,20.59
569.916928677809,22.84
570.305808373325,26.44
570.69468806884,26.88
571.083567764355,24.79
571.472447459871,28.4
571.861327155386,32.44
572.250206850902,28.75
572.639086546417,26.48
573.027966241933,25.59
573.416845937448,25.53
573.805725632964,25.02
574.194605328479,24.91
574.97236471951,23.76
575.750124110541,21.94
576.527883501572,20.05
577.305642892603,18.66
578.861161674665,18.68
580.416680456727,21.12
581.972199238789,23.75
583.527718020851,25.35
585.083236802912,23.96
586.638755584974,23.22
588.194274367036,22.68
589.749793149098,21.98
591.30531193116,22.09
592.860830713222,22.01
594.416349495284,22.09
595.971868277346,22.51
597.527387059407,22.26
599.082905841469,21.56
600.638424623531,21.03
602.193943405593,20.64
603.749462187655,19.56
605.304980969717,19.4
606.860499751779,20.37
607.63825914281,19.98
608.027138838325,19.38
608.416018533841,20.26
608.804898229356,22.98
609.193777924872,25.79
