DEPT,GR
368.8,8.303406841
369,8.432382462
369.2,6.940190901
369.4,7.820349476
369.6,7.395870607
369.8,6.689912669
370,8.520252776
370.2,8.876236742
370.4,9.070251359
370.6,8.709243554
370.8,9.57283476
371,9.417899252
371.2,9.501343483
371.4311594,8.743169399
371.6,8.804668331
371.8,8.2654708
372,9.122866746
372.2,9.978618909
372.4,10.07570176
372.6,10.95328609
372.8,11.61049488
373,10.42508449
373.2,10.2812971
373.4,10.14171209
373.6,9.069475654
373.8,8.915264493
374,10.39440987
374.2,10.41278929
374.4,8.712517803
374.6,6.937540826
374.8,6.879301905
375,8.043348328
375.2,8.956397097
375.4,8.783843221
375.6,9.151754629
375.8,8.921821294
376,9.791403737
376.2,9.922315962
376.4,10.59340152
376.6,10.554715
376.8,9.548382797
377,8.92797855
377.2,11.09666574
377.4,11.57275805
377.6,10.81028417
377.8,10.56851655
378,11.23992598
378.2,11.17200291
378.4,11.37355013
378.6,11.14012105
378.6594203,9.836065574
378.8,10.43757383
379,10.38957396
379.2,10.20399671
379.4,10.08393437
379.6,10.50199712
379.8,10.36679345
380,10.46378698
380.2,10.50866106
380.4,10.96584208
380.6,9.786304403
380.8,10.25004114
381,11.35922562
381.2,10.96854093
381.4,9.156945818
381.6,8.843295374
381.7572464,9.836065574
381.9293478,10.92896175
382.2,10.79873617
382.4,10.65083254
382.6,11.07103241
382.8,11.37715693
383,10.68573477
383.2,10.03707362
383.3061594,8.743169399
383.4,9.803414983
383.6,9.672296361
383.8,9.742719736
384,10.04702544
384.2,9.767340704
384.4,8.066914422
384.6,8.684331377
384.8,9.290543224
385,10.11883136
385.2,11.26015517
385.3713768,13.1147541
385.4,10.94814483
385.6,10.27122513
385.8,11.17287677
386,10.55461691
386.2,10.50118806
386.4,10.52030783
386.6,10.02930566
386.8,8.688678354
387,9.621999849
387.2,11.10463966
387.4,12.21730181
387.6,13.23736746
387.8,13.14058558
388,12.0969055
388.2,11.61099719
388.4,10.74350323
388.6,8.678157601
388.8,8.771163219
389,8.479851603
389.2,8.837290164
389.4,10.25251814
389.6,9.616220469
389.8,7.84013539
390,9.585027597
390.2,10.12605721
390.4,12.16497006
390.6,11.26872741
390.8,9.126216211
390.8786232,7.650273224
391,9.070832601
391.2,10.47811661
391.4,11.3857131
391.6,11.39483651
391.8,11.07378161
392,10.74671813
