DEPT,GR
450.2,33.05306124
450.4,33.05283318
450.6,33.50305157
450.8,32.06311176
451,29.67575454
451.2,27.51440774
451.4,28.40495475
451.6,31.43662034
451.8,34.06488526
452,34.10987818
452.2,31.52070375
452.4,31.78808721
452.6,32.74308337
452.8,33.55547154
453,33.13952799
453.2,32.67929068
453.4,32.18154889
453.6,32.23043651
453.8,32.23189081
454,32.19781059
454.2,32.85558749
454.4,30.32153699
454.6,27.67900873
454.8,25.63795817
455,24.88179315
455.2,24.22149495
455.4,24.87578698
455.6,24.27161675
455.8,22.22670006
456,21.82606155
456.2,22.5420865
456.4,22.46731783
456.6,22.07008623
456.8,21.98722998
457,23.06048817
457.2,23.10555452
457.4,25.73814421
457.6,26.15333997
457.8,24.61845961
458,23.52332966
458.2,23.86020746
458.4,22.94417912
458.6,21.7272289
458.8,21.38971668
459,22.22889839
459.2,22.98602681
459.4,22.95960766
459.6,22.97193984
459.8,23.19321561
460,23.41723273
460.2,22.93396122
460.4,23.32162685
460.6,24.92710015
460.8,24.79955761
461,23.79701394
461.2,24.28638435
461.4,23.17174942
461.6,21.02097455
461.8,21.03229429
462,22.68454235
462.2,23.40750977
462.4,23.36911585
462.6,24.06926348
462.8,24.708673
463,22.82156692
463.2,20.85247737
463.4,19.45673674
463.6,19.83052667
463.8,21.59236366
464,25.22102783
464.2,27.72458318
464.4,27.5867937
464.6,25.8650685
464.8,23.2588637
465,23.37837659
465.2,24.20821092
465.4,24.41891542
465.6,25.68477699
465.8,25.59436034
466,24.38187874
466.2,24.10023459
466.4,24.9480774
466.6,25.08229453
466.8,24.26886586
467,24.14382569
467.2,25.52932168
467.4,24.81707948
467.6,23.77708337
467.8,22.97239816
468,23.50482695
468.2,26.23046698
468.4,26.44281566
468.6,24.66016854
468.8,24.72983145
469,24.49757191
469.2,23.1186034
469.4,22.94828435
469.6,23.41997758
469.8,24.17051904
470,25.49868664
470.2,25.44785512
470.4,25.24338509
470.6,26.00442498
470.8,29.37748603
471,28.76515483
471.2,25.67880857
471.4,24.69208836
471.6,25.52717832
471.8,26.43237514
472,26.07665709
472.2,25.05455791
472.4,25.6198322
472.6,25.29732441
472.8,24.24048359
473,24.55130753
473.2,26.17993409
473.4,26.07346616
473.6,24.47911058
473.8,23.98118806
474,25.37520149
474.2,25.58357727
474.4,24.37754244
474.6,22.92880996
474.8,24.93325596
475,27.15244701
475.2,26.8987466
475.4,25.61781807
475.6,26.37761907
475.8,26.52395131
476,26.02787959
476.2,25.6217605
476.4,24.76751621
476.6,25.43033069
476.8,26.2270982
477,26.49790719
477.2,28.15608792
477.4,28.78010081
477.6,27.36198437
477.8,26.5537346
478,26.89878177
478.2,26.05810259
478.4,25.60410763
478.6,24.94938633
478.8,24.77406427
479,26.03427327
479.2,26.14699041
479.4,26.00802894
479.6,26.43533539
479.8,25.59106613
480,25.61228796
480.2,25.65256447
480.4,25.07877559
480.6,25.64544003
480.8,25.59793193
481,24.7737281
481.2,24.97129222
481.4,25.63451344
481.6,25.53938298
481.8,25.16664146
482,25.13927811
482.2,26.02405207
482.4,28.07774817
482.6,28.25861026
482.8,28.2439061
483,29.0464481
483.2,29.0036274
483.4,27.71875514
483.6,28.28591891
483.8,29.0881483
484,28.79972637
484.2,29.22215624
484.4,28.5357905
484.6,27.37671646
484.8,29.13637984
485,32.0249107
485.2,30.70175887
485.4,29.13719779
485.6,29.15347676
485.8,28.102349
486,26.68558099
486.2,25.9552385
486.4,27.48433371
486.6,30.69870797
486.8,30.69953742
487,26.16456843
487.2,23.33222412
487.4,26.03964665
487.6,30.01400922
487.8,31.7251849
488,29.55849415
488.2,27.25682389
488.4,26.92869059
488.6,26.66290058
488.8,26.24127059
489,26.50611615
489.2,26.03608134
489.4,26.00178401
489.6,27.31134756
489.8,27.57173488
490,27.94439653
490.2,29.14190197
490.4,29.12232605
490.6,30.16026525
490.8,29.62625807
491,26.71045776
491.2,26.8672082
491.4,27.38643629
491.6,27.38179932
491.8,27.41785059
492,26.41435685
492.2,25.21239072
492.4,25.86337401
492.6,29.4475768
492.8,29.94375546
493,29.14068541
493.2,29.17974411
493.4,28.48746312
493.6,27.19377159
493.8,25.90710325
494,24.71711535
494.2,26.58553886
494.4,28.06301056
494.6,28.80459208
494.8,30.0821722
495,30.51727647
495.2,28.95746597
495.4,28.07274364
495.6,27.26833673
495.8,26.93866813
496,28.8708393
496.2,29.86646344
496.4,28.10468779
496.6,25.47588055
496.8,25.58817677
497,27.33123671
497.2,28.93560783
497.4,29.72146589
497.6,30.52355748
497.8,32.14748756
498,31.41610506
498.2,28.83788979
498.4,26.40559535
498.6,26.49116025
498.8,26.82257575
499,27.37013406
499.2,28.02957915
499.4,28.29362348
499.6,29.1299217
499.8,29.13779589
500,29.15313694
500.2,29.26022705
500.4,29.56898821
500.6,27.96978092
500.8,27.86484155
501,30.19511073
501.2,31.84998014
501.4,34.49046053
501.6,38.12210156
501.8,39.28808046
502,40.81887985
502.2,46.37188773
502.4,45.2021478
502.6,39.65854102
502.8,39.72539874
503,40.34383614
503.2,37.83999656
503.4,34.19361756
503.6,33.8177661
503.8,34.45031804
504,35.06856539
504.2,36.66706574
504.4,36.77622815
504.6,34.89553183
504.8,31.02857412
505,29.99686457
505.2,31.28582773
505.4,33.56867614
505.6,32.64037975
505.8,31.68531481
506,30.36329597
506.2,29.53542582
506.4,31.40778122
506.6,32.27438408
506.8,31.6177728
507,29.53997681
507.2,27.78537382
507.4,29.23107403
507.6,30.53631282
507.8,30.4255973
508,29.58976077
508.2,29.2756061
508.4,28.44164951
508.6,28.3723687
508.8,29.18522021
509,29.99660692
509.2,30.01822707
509.4,30.02130912
509.6,29.99508941
509.8,28.22406956
510,28.01320429
510.2,32.19931582
510.4,32.27784524
510.6,29.35651028
510.8,28.26460839
511,29.98695777
511.2,33.2599074
511.4,35.25144831
511.6,34.18841242
511.8,29.35269631
512,26.79702922
512.2,27.41741393
512.4,31.56441468
512.6,33.99021422
512.8,32.4007993
513,30.05112588
513.2,28.39860411
513.4,29.26856742
513.6,30.01962877
513.8,28.57005599
514,28.26010648
514.2,29.32065452
514.4,29.08092382
514.6,28.2919206
514.8,28.73542038
515,31.45771881
515.2,32.44282903
515.4,33.57326732
515.6,34.39403199
515.8,35.98726584
516,37.01138301
516.2,32.12646923
516.4,28.72374482
516.6,28.95873939
516.8,30.93450071
517,32.79852744
517.2,32.6746548
517.4,32.71117253
517.6,31.37967316
517.8,32.05251389
518,32.2251611
518.2,29.47058763
518.4,26.98786302
518.6,27.89402072
518.8,29.18762435
519,29.69767553
519.2,32.20854835
519.4,33.01029952
519.6,34.09006219
519.8,34.49356403
520,35.8253147
520.2,34.99930239
520.4,31.76978855
520.6,30.76876457
520.8,29.45524245
521,30.4930148
521.2,30.45082136
521.4,30.18653752
521.6,30.15765393
521.8,31.56903039
522,32.22827852
522.2,31.9853959
522.4,31.80911324
522.6,31.70500959
522.8,30.34943649
523,28.76326069
523.2,28.24055635
523.4,28.23203574
523.6,28.91927893
523.8,30.52636917
524,31.37895738
524.2,30.02994484
524.4,29.9129228
524.6,31.52574706
524.8,33.10830987
525,33.25316283
525.2,31.22058694
525.4,29.26063888
525.6,28.77877661
525.8,30.78907702
526,32.34644858
526.2,30.48317692
526.4,28.61726645
526.6,29.66444873
526.8,31.71954854
527,31.73516017
527.2,32.32366412
527.4,31.79285656
527.6,30.91094991
527.8,31.21798648
528,32.76395937
528.2,33.51774323
528.4,31.5858281
528.6,29.64860417
528.8,28.36658143
529,27.69840036
529.2,28.86112335
529.4,29.56609434
529.6,27.8931759
529.8,28.07455512
530,28.71131463
530.2,29.29826273
530.4,30.90814038
530.6,29.82863405
530.8,28.10546234
531,28.6970616
531.2,29.13183132
531.4,28.30323454
531.6,27.01531343
531.8,27.32222379
532,29.01712584
532.2,29.10044342
532.4,28.26042547
532.6,30.05973872
532.8,30.9326007
533,30.17850386
533.2,26.92811969
533.4,26.51663926
533.6,25.73628573
533.8,26.51340684
534,28.43240023
534.2,30.4191159
534.4,30.37559059
534.6,28.22868435
534.8,26.81421613
535,27.89043423
535.2,29.51885434
535.4,29.88274245
535.6,30.22058127
535.8,29.82135532
536,28.69607087
536.2,27.97117943
536.4,25.86481222
536.6,25.73650459
536.8,26.47950614
537,27.74478043
537.2,28.01841339
537.4,26.87900506
537.6,27.12827257
537.8,28.23839308
538,28.13472143
538.2,30.45287018
538.4,32.61917393
538.6,30.91620886
538.8,28.69096836
539,28.26481912
539.2,28.7609902
539.4,29.84937908
539.6,31.42325046
539.8,30.51533856
540,28.57293091
540.2,27.75920726
540.4,28.30693415
540.6,28.2720028
540.8,29.8330188
541,31.53883531
541.2,29.50485336
541.4,29.15093077
541.6,29.13726364
541.8,28.34955867
542,27.80848813
542.2,28.09457798
542.4,29.15845037
542.6,29.13822251
542.8,28.81247993
543,28.93333008
543.2,29.96696615
543.4,31.38903313
543.6,31.45992634
543.8,29.07331584
544,28.35263739
544.2,29.64497375
544.4,29.57195085
544.6,28.02065844
544.8,26.16039241
545,25.43999669
545.2,24.68914789
545.4,25.13956334
545.6,27.00959062
545.8,29.20346529
546,30.79356627
546.2,31.34012602
546.4,31.34728328
546.6,31.12943922
546.8,29.83820927
547,28.69159206
547.2,29.58900248
547.4,29.29690523
547.6,27.21171266
547.8,26.4354931
548,27.03702311
548.2,26.96875957
548.4,26.00823343
548.6,27.39795353
548.8,29.277482
549,30.01003521
549.2,29.57283933
549.4,29.74137141
549.6,32.54888774
549.8,32.93719647
550,31.84569338
550.2,29.88600543
550.4,29.18667547
550.6,29.27531714
550.8,30.60039772
551,29.30688926
551.2,27.47739778
551.4,27.52173971
551.6,29.38682528
551.8,30.05468618
552,28.77892007
552.2,29.05053693
552.4,29.22598701
552.6,28.75985717
552.8,29.63504677
553,27.7391987
553.2,25.9492762
553.4,27.56603705
553.6,30.24528943
553.8,32.65401433
554,33.17583922
554.2,33.02437901
554.4,31.58238153
554.6,30.52574273
554.8,31.32828651
555,31.61468368
555.2,30.7146763
555.4,31.04424788
555.6,32.28435501
555.8,32.6557462
556,31.72555988
556.2,31.40419821
556.4,31.94176978
556.6,31.47863594
556.8,30.91429563
557,31.64098544
557.2,31.63775274
557.4,30.48191763
557.6,28.88643303
557.8,27.50957975
558,27.28144989
558.2,26.44073593
558.4,26.09210231
558.6,26.8538507
558.8,28.41603316
559,28.44319567
559.2,27.85061324
559.4,29.07238184
559.6,30.40372139
559.8,31.31009218
560,33.43470276
560.2,34.94418917
560.4,34.84553999
560.6,35.77237152
560.8,34.58969833
561,31.79607913
561.2,27.45333485
561.4,25.96408064
561.6,28.41608365
561.8,30.83120062
562,32.33095626
562.2,32.299715
562.4,31.47564314
562.6,31.0662449
562.8,29.47882335
563,29.22144018
563.2,30.49298355
563.4,30.56035948
563.6,30.01124086
563.8,30.69723325
564,31.40238927
564.2,30.41705427
564.4,28.88190525
564.6,28.61146963
564.8,28.88691029
565,30.90060137
565.2,31.45343401
565.4,30.66708736
565.6,31.02698701
565.8,30.48228989
566,29.22937425
566.2,29.4063098
566.4,30.90434888
566.6,31.8568683
566.8,32.27051146
567,33.91937966
567.2,32.69158203
567.4,30.16826919
567.6,29.70706552
567.8,31.30966223
568,32.33769023
568.2,32.3162608
568.4,31.62876383
568.6,30.5129782
568.8,30.51184658
569,30.24116649
569.2,30.11728451
569.4,29.53421594
569.6,29.18597326
569.8,30.31119785
570,32.36559189
570.2,34.31537591
570.4,35.89926111
570.6,36.30836451
570.8,34.54296885
571,31.74824901
571.2,31.60992122
571.4,32.28125547
571.6,32.350194
571.8,31.0291866
572,31.7880967
572.2,32.25468835
572.4,32.72116127
572.6,32.75597758
572.8,32.01084083
573,31.93115021
573.2,33.25025549
573.4,33.63370547
573.6,32.58296305
573.8,30.85013999
574,28.63288348
574.2,29.20955346
574.4,29.67293095
574.6,28.87495369
574.8,28.69949209
575,29.7988467
575.2,31.38639374
575.4,31.45995314
575.6,30.01090671
575.8,29.26602841
576,30.11401549
576.2,31.2870605
576.4,32.32457999
576.6,32.11441801
576.8,31.20244712
577,30.06254321
577.2,29.64911366
577.4,28.93011522
577.6,28.3442709
577.8,30.31466006
578,32.67895079
578.2,33.67720644
578.4,32.85907515
578.6,33.29424983
578.8,31.67802325
579,28.47333544
579.2,27.09491865
579.4,27.29117753
579.6,29.55459056
579.8,30.97207349
580,31.39114787
580.2,32.14292389
580.4,32.09329994
580.6,32.39972962
580.8,32.32267527
581,30.72133832
581.2,30.04929618
581.4,30.05643177
581.6,30.58655967
581.8,32.22953502
582,32.34472975
582.2,30.92807521
582.4,30.62342077
582.6,30.95823756
582.8,31.30524648
583,32.09935346
583.2,32.80140582
583.4,32.24072413
583.6,30.56931972
583.8,29.64897114
584,30.71376908
584.2,28.66204874
584.4,26.05503247
584.6,28.06241573
584.8,30.75527172
585,31.73900285
585.2,33.22100954
585.4,30.92952301
585.6,28.87878706
585.8,29.44917335
586,31.80674592
586.2,32.18580898
586.4,30.56740421
586.6,29.24291611
586.8,28.96364033
587,28.71620865
587.2,29.718239
587.4,31.3226321
587.6,30.87335201
587.8,29.49884324
588,30.72852206
588.2,32.29665781
588.4,33.4127769
588.6,34.81903085
588.8,33.77119551
589,28.5987237
589.2,30.41315375
589.4,33.80273483
589.6,34.39109575
589.8,32.22244845
590,29.59855127
590.2,29.24487891
590.4,29.36661093
590.6,31.20170594
590.8,32.39240073
591,31.84560052
591.2,32.64230411
591.4,33.24270091
591.6,32.56708826
591.8,31.81297934
592,32.24118931
592.2,33.50647433
592.4,34.07210304
592.6,33.82735329
592.8,30.35461146
593,29.8882372
593.2,32.07511229
593.4,32.23528617
593.6,32.81020948
593.8,34.06014554
594,34.04898834
594.2,34.07586838
594.4,33.24825895
594.6,32.63939809
594.8,31.85111583
595,31.39333039
595.2,30.4673915
595.4,30.11221371
595.6,32.39384234
595.8,33.93009156
596,35.59921779
596.2,35.95823357
596.4,33.83104372
596.6,33.17166041
596.8,32.67997787
597,33.27341979
597.2,31.81982306
597.4,30.02830255
597.6,30.46895623
597.8,31.81048817
598,31.02058782
598.2,28.85635542
598.4,28.32370224
598.6,29.54770998
598.8,29.63745837
599,29.92728883
599.2,31.52426588
599.4,32.28680868
599.6,33.03222416
599.8,34.2018039
600,32.8313624
600.2,31.20510947
600.4,30.45071541
600.6,32.06750496
600.8,31.58183654
601,27.81944173
601.2,27.04611377
601.4,28.71935753
601.6,28.15829293
601.8,29.00496958
602,31.63346805
602.2,32.28961746
602.4,31.11555215
602.6,29.66216795
602.8,26.79520034
603,28.032839
603.2,30.03433551
603.4,31.20201733
603.6,31.66099066
603.8,34.41631663
604,34.9097956
604.2,32.96701789
604.4,30.005847
604.6,30.11445169
604.8,32.62779349
605,34.94254438
605.2,33.03825707
605.4,30.85381178
605.6,30.09310544
605.8,29.67260962
606,31.34514369
606.2,31.83897462
606.4,31.41823361
606.6,30.97891341
606.8,31.46925379
607,33.10446333
607.2,34.61845727
607.4,36.08001037
607.6,36.27092529
607.8,35.83944861
608,34.966785
608.2,33.50041378
608.4,32.5131005
608.6,30.41282552
608.8,29.68765815
609,29.67331036
609.2,31.48043473
609.4,31.99989821
609.6,32.28163711
609.8,32.65946558
610,33.77603679
610.2,34.09984911
610.4,33.0173091
610.6,32.73771544
610.8,31.14346239
611,30.71761686
611.2,31.68701486
611.4,32.78637433
611.6,33.17194146
611.8,32.66060724
612,30.6357491
612.2,31.36306117
612.4,33.61971368
612.6,32.41597829
612.8,31.76588597
613,32.16905238
613.2,31.90987053
613.4,32.72484652
613.6,32.6996061
613.8,33.60310622
614,34.90753888
614.2,34.02602695
614.4,34.8303706
614.6,37.28191034
614.8,37.28938637
615,34.48437957
615.2,31.35985555
615.4,32.14408574
615.6,32.59012391
615.8,30.54410312
616,29.6968621
616.2,29.64114081
616.4,30.97842353
616.6,34.48226315
616.8,35.43183159
617,34.88336438
617.2,34.13244954
617.4,33.17165624
617.6,32.8062031
617.8,34.19557423
618,34.93766875
618.2,34.51681526
618.4,34.04959606
618.6,34.49189628
618.8,36.3775374
619,36.71246501
619.2,36.6941637
619.4,36.30164528
619.6,34.66739936
619.8,33.10738121
620,32.30725046
620.2,31.75291804
620.4,30.35294059
620.6,32.2122767
620.8,34.07303126
621,33.70530858
621.2,33.09930253
621.4,33.68736017
621.6,33.07672825
621.8,32.7255939
622,32.38141444
622.2,32.28480656
622.4,32.12615208
622.6,29.4339236
622.8,29.03199791
623,30.90004153
623.2,30.92889256
623.4,31.57308714
623.6,33.6511494
623.8,35.27178387
624,35.19313411
624.2,32.9229233
624.4,30.33822106
624.6,29.19373937
624.8,30.3111786
625,31.02464653
625.2,30.42178682
625.4,31.48292919
625.6,31.84257265
625.8,31.51256447
626,31.02528955
626.2,30.60587563
626.4,31.88276664
626.6,33.55210641
626.8,34.04550821
627,34.56504426
627.2,33.88954889
627.4,31.43827057
627.6,32.02112476
627.8,33.30367339
628,31.94524042
628.2,31.39241833
628.4,32.55354526
628.6,35.17619232
628.8,37.83062806
629,36.70556682
629.2,37.60150784
629.4,37.21646864
629.6,37.11539238
629.8,37.64260122
630,37.5889342
630.2,37.62381196
630.4,35.21214146
630.6,34.43903922
630.8,35.01216322
631,34.46354443
631.2,33.26242623
631.4,33.97499656
631.6,36.11619739
631.8,36.19323634
632,35.37540778
632.2,34.58889035
632.4,33.95091847
632.6,35.28158824
632.8,36.79038637
633,35.86969776
633.2,35.34754683
633.4,36.28022393
633.6,37.1298158
633.8,35.27386626
634,34.13379659
634.2,32.81091122
634.4,32.7498498
634.6,32.83293169
634.8,32.72002591
635,32.29219806
635.2,32.74869092
635.4,34.4288758
635.6,34.88154884
635.8,34.0906464
636,32.23692069
636.2,30.18742551
636.4,31.00379001
636.6,33.25196657
636.8,33.71505599
637,31.82077765
637.2,30.94707133
637.4,30.96428748
637.6,30.96351793
637.8,31.79648828
638,32.02881876
638.2,33.51813158
638.4,34.47853296
638.6,33.63010564
638.8,33.87484156
639,35.15307469
639.2,32.55525009
639.4,30.95212313
639.6,31.32861252
639.8,31.85797696
640,32.86691946
640.2,34.10844324
640.4,32.71537413
640.6,30.9012106
640.8,30.98452253
641,30.29805251
641.2,30.63014935
641.4,32.63067001
641.6,34.1610109
641.8,33.53592691
642,34.12216994
642.2,33.57918431
642.4,32.77903532
642.6,33.21517686
642.8,35.43554194
643,35.8486371
643.2,34.93912327
643.4,34.15176518
643.6,33.18860536
643.8,31.06283377
644,29.62613739
644.2,30.47486849
644.4,31.75815515
644.6,32.70197913
644.8,34.32719145
645,35.40300563
645.2,34.65878891
645.4,33.6115718
645.6,33.11329994
645.8,33.11504517
646,32.28796947
646.2,33.04809469
