DEPT,GR
198.882,2.7812
199.0344,2.4668
199.1868,2.8457
199.3392,3.3535
199.4916,3.1621
199.644,3.9277
199.7964,3.6074
199.9488,3.6113
200.1012,3.291
200.2536,4.625
200.406,5.3828
200.5584,6.0117
200.7108,6.3828
200.8632,5.8164
201.0156,4.7422
201.168,3.9902
201.3204,4.6211
201.4728,4.2422
201.6252,3.6035
201.7776,3.1602
201.93,3.543
202.0824,4.4961
202.2348,4.4961
202.3872,5.6406
202.5396,5.0078
202.692,5.3828
202.8444,4.3633
202.9968,2.7832
203.1492,5.4492
203.3016,5.7656
203.454,6.9023
203.6064,3.9883
203.7588,4.3086
203.9112,5.4609
204.0636,5.7734
204.216,6.1562
204.3684,5.7656
204.5208,6.4531
204.6732,4.5469
204.8256,3.5996
204.978,2.8535
205.1304,4.6953
205.2828,5.2578
205.4352,6.3945
205.5876,6.0742
205.74,5.6914
205.8924,4.2969
206.0448,3.5352
206.1972,4.293
206.3496,4.9297
206.502,5.3086
206.6544,4.3672
206.8068,3.6055
206.9592,5.5039
207.1116,5.8203
207.264,5.4414
207.4164,2.0273
207.5688,2.3418
207.7212,2.3398
207.8736,3.293
208.026,2.4688
208.1784,2.4707
208.3308,2.791
208.4832,3.5508
208.6356,4.0586
208.788,3.5449
208.9404,3.166
209.0928,2.8457
209.2452,2.4688
209.3976,2.2812
209.55,2.8535
209.7024,3.9961
209.8548,3.998
210.0072,3.6133
210.1596,2.7266
210.312,2.1523
210.4644,2.1523
210.6168,2.1504
210.7692,2.9121
210.9216,3.041
211.074,3.9258
211.2264,3.5449
211.3788,3.2266
211.5312,2.0879
211.6836,2.2715
211.836,2.082
211.9884,2.082
212.1408,2.7168
212.2932,3.4766
212.4456,5.3711
212.598,5.0586
212.7504,4.6758
213.6648,4.4258
213.8172,4.0547
213.9696,4.4336
214.122,2.2188
214.2744,2.9727
214.4268,3.7305
214.5792,4.3633
214.7316,4.7422
214.884,3.9219
215.0364,4.4883
215.1888,2.4688
215.3412,3.6738
215.4936,4.0586
215.646,4.375
215.7984,4.3711
215.9508,3.2324
216.1032,3.2305
216.2556,3.9961
216.408,3.5508
216.5604,5.2578
216.7128,5.25
216.8652,4.9336
217.0176,3.7988
217.17,2.1543
217.3224,3.2969
217.4748,1.7744
217.6272,1.7764
217.7796,1.3936
217.932,3.293
218.0844,3.7969
218.2368,5.3203
218.3892,4.3711
218.5416,4.75
218.694,3.7363
218.8464,4.3086
218.9988,3.5547
219.1512,3.2344
219.3036,2.4727
219.456,3.293
219.6084,3.4844
219.7608,3.8613
219.9132,3.2305
220.0656,2.8457
220.218,2.6602
220.3704,3.2324
220.5228,4.375
220.6752,4.1836
220.8276,3.4258
220.98,3.7363
221.1324,4.8789
221.2848,4.4961
221.4372,4.1836
221.5896,4.1797
221.742,5.6992
221.8944,5.3125
222.0468,4.9336
222.1992,4.3008
222.3516,4.3047
222.504,4.375
222.6564,4.6289
222.8088,5.7695
222.9612,5.4531
223.1136,5.8242
223.266,5.3828
223.4184,6.0195
223.5708,6.0234
223.7232,5.7031
223.8756,5.7031
224.028,5.7031
224.1804,4.5625
224.3328,4.5586
224.4852,5.1797
224.6376,6.3242
224.79,4.4297
224.9424,3.8047
225.0948,3.0449
225.2472,4.625
225.3996,3.8652
225.552,3.8613
225.7044,4.8047
225.8568,4.8047
226.0092,6.5117
226.1616,5.8867
226.314,7.4023
226.4664,8.0391
226.6188,8.4219
226.7712,6.4062
226.9236,5.2109
227.076,4.4453
227.2284,5.3945
227.3808,5.3711
227.5332,7.6484
227.6856,7.5859
227.838,6.8359
227.9904,4.3047
228.1428,5.8242
228.2952,7.4609
228.4476,6.9531
228.6,6.207
228.7524,5.2695
228.9048,7.5625
229.0572,7.4883
229.2096,6.0273
229.362,4.875
229.5144,3.9297
229.6668,5.0664
229.8192,4.3047
229.9716,5.5703
230.124,5.1953
230.2764,5.0039
230.4288,4.3672
230.5812,4.3555
230.7336,4.9844
230.886,3.8457
231.0384,4.2305
231.1908,3.7891
231.3432,3.4141
231.4956,2.4707
231.648,4.375
231.8004,6.8516
231.9528,6.6602
232.1052,4.375
232.2576,3.7344
232.41,4.8711
232.5624,5.6953
232.7148,5
232.8672,5.0039
233.0196,5.3164
233.172,4.9375
233.3244,3.7969
233.4768,3.4824
233.6292,5.3789
233.7816,6.5234
233.934,6.8398
234.0864,6.6602
234.2388,6.6602
234.3912,5.8984
234.5436,3.9961
234.696,4
234.8484,4.7617
235.0008,6.3398
235.1532,4.8125
235.3056,6.0781
235.458,5.0664
235.6104,6.5859
235.7628,5.957
235.9152,6.7109
236.0676,6.0781
236.22,4.6836
236.3724,3.9258
236.5248,5.1914
236.6772,4.8164
236.8296,4.2461
236.982,3.6133
237.1344,5.8789
237.2868,8.0859
237.4392,8.4609
237.5916,7.0195
237.744,4.6211
237.8964,3.4863
238.0488,4.1133
238.2012,4.4961
238.3536,5.2578
238.506,5.332
238.6584,5.7109
238.8108,4.7578
238.9632,4.3711
239.1156,5.1289
239.268,4.8086
239.4204,7.082
239.5728,8.5938
239.7252,9.1016
239.8776,7.5859
240.03,6.6445
240.1824,7.4023
240.3348,7.4062
240.4872,4.875
240.6396,5.2617
240.792,6.082
240.9444,8.8125
241.0968,7.8008
241.2492,7.3633
241.4016,5.0703
241.554,5.0703
241.7064,5.0703
241.8588,8.4688
242.0112,8.1484
242.1636,5.8633
242.316,2.3359
242.4684,2.9102
242.6208,6.3359
242.7732,7.6055
242.9256,8.3672
243.078,7.0391
243.2304,6.2773
243.3828,5.1328
243.5352,4.4961
243.6876,5.6289
243.84,6.0078
243.9924,5.6875
244.1448,3.7969
244.2972,3.8613
244.4496,3.8652
244.602,6.1484
244.7544,8.0469
244.9068,8.7969
245.0592,8.0312
245.2116,5.6953
245.364,5.3242
245.5164,5.3242
245.6688,7.2188
245.8212,8.4141
245.9736,9.5625
246.126,11.4609
246.2784,9.8828
246.4308,8.7344
246.5832,4.4375
246.7356,4.4297
246.888,4.8047
247.0404,7.9727
247.1928,9.8672
247.3452,9.8672
247.4976,8.2812
247.65,6.0078
247.8024,4.9961
247.9548,7.7266
248.1072,8.1094
248.2596,10.9688
248.412,9.8203
248.5644,10.5781
248.7168,10.2656
248.8692,10.2656
249.0216,9.8125
249.174,8.6484
249.3264,8.2578
249.4788,8.2656
249.6312,7.1367
249.7836,6.5859
249.936,6.6562
250.0884,8.9297
250.2408,8.9219
250.3932,10.0547
250.5456,7.7773
250.698,6.8281
250.8504,7.9648
251.0028,8.9766
251.1552,10.4922
251.3076,9.3594
251.46,9.3672
251.6124,8.6172
251.7648,8.375
251.9172,10.0156
252.0696,11.9219
252.222,11.9219
252.3744,13.0547
252.5268,11.3438
252.6792,9.3047
252.8316,7.0391
252.984,6.7188
253.1364,7.8594
253.2888,7.3477
253.4412,8.6016
253.5936,8.9766
253.746,10.875
253.8984,10.1328
254.0508,10.5156
254.2032,9.8828
254.3556,11.0156
254.508,11.1328
254.6604,9.2344
254.8128,6.9609
254.9652,6.957
255.1176,8.0781
255.27,9.6641
255.4224,9.1641
255.5748,9.1719
255.7272,8.5469
255.8796,9.3047
256.032,8.4922
256.1844,9.0469
256.3368,11.3438
256.4892,11.6562
256.6416,11.6406
256.794,9.1016
256.9464,9.9922
257.0988,9.6094
257.2512,10.25
257.4036,9.1016
257.556,7.2148
257.7084,7.2148
257.8608,7.2148
258.0132,7.9727
258.1656,6.0781
258.318,5.3164
258.4704,8.1797
258.6228,9.6953
258.7752,11.9766
258.9276,7.6016
259.08,7.9688
259.2324,6.3906
259.3848,9.8125
259.5372,9.8125
259.6896,9.5
259.842,8.3594
259.9944,7.0977
260.1468,8.2344
260.2992,9.75
260.4516,8.4844
260.604,7.7148
260.7564,6.3828
260.9088,8.1641
261.0612,9.2969
261.2136,8.3594
261.366,7.2109
261.5184,5.6953
261.6708,4.9297
261.8232,7.9688
261.9756,8.5938
262.128,9.7266
262.2804,7.0703
262.4328,7.7031
262.5852,9.6094
262.7376,8.9062
262.89,7.6523
263.0424,5.7578
263.1948,8.6094
263.3472,10.875
263.4996,12.7734
263.652,10.2422
263.8044,11.3828
263.9568,9.4297
264.1092,12.4844
264.2616,11.7344
264.414,13.3203
264.5664,12.5469
264.7188,12.1016
264.8712,12.4844
265.0236,9.8906
265.176,6.9141
265.3284,5.7695
265.4808,6.7188
265.6332,8.2344
265.7856,7.7344
265.938,10.1484
266.0904,11.2734
266.2428,11.5859
266.3952,9.3047
266.5476,7.0312
266.7,6.3945
266.8524,4.8711
267.0048,5.2578
267.1572,5.3164
267.3096,8.3594
267.462,9.625
267.6144,11.9141
267.7668,10.2656
267.9192,10.5234
268.0716,9.7422
268.224,10.3828
268.3764,11.9062
268.5288,11.9141
268.6812,11.3984
268.8336,9.5
268.986,8.5469
269.1384,9.6797
269.2908,11.7031
269.4432,11.8828
269.5956,9.6094
269.748,7.7031
269.9004,8.1016
270.0528,11.6562
270.2052,10.3984
270.3576,10.7656
270.51,7.5938
270.6624,9.1328
270.8148,8.3906
270.9672,9.6562
271.1196,7.7461
271.272,6.5898
271.4244,6.4531
271.5768,10.2422
271.7292,9.9297
271.8816,9.9375
272.034,8.1016
272.1864,11.4688
272.3388,12.2188
272.4912,11.8984
272.6436,9.5938
272.796,9.5938
272.9484,9.2812
273.1008,11.2031
273.2532,11.2031
273.4056,12.5469
273.558,12.5469
273.7104,12.5547
273.8628,14.0625
274.0152,13.625
274.1676,13.2266
274.32,10.1953
274.4724,8.6016
274.6248,11.2578
274.7772,10.1797
274.9296,10.6875
275.082,8.3984
275.2344,9.0312
275.3868,7.8945
275.5392,7.9023
275.6916,8.2109
275.844,9.3516
275.9964,7.7734
276.1488,7.9023
276.3012,7.1523
276.4536,6.8398
276.606,4.9414
276.7584,5.2031
276.9108,5.9609
277.0632,8.2344
277.2156,9.4922
277.368,8.3516
277.5204,8.3594
277.6728,7.7266
277.8252,7.7344
277.9776,7.2266
278.13,4.0625
278.2824,6.7109
278.4348,6.7031
278.5872,9.7578
278.7396,8.1172
278.892,7.0977
279.0444,8.4766
279.1968,10.1172
279.3492,13.5391
279.5016,11.9453
279.654,12.7109
279.8064,11.5703
279.9588,12.8438
280.1112,11.3281
280.2636,10.7031
280.416,8.4844
280.5684,6.9609
280.7208,8.2188
280.8732,8.9766
281.0256,9.7266
281.178,8.4688
281.3304,10.375
281.4828,10.2656
281.6352,8.6172
281.7876,7.0859
281.94,9.9297
282.0924,9.9297
282.2448,11
282.3972,9.0234
282.5496,10.9141
282.702,9.6484
282.8544,9.6719
283.0068,8.1641
283.1592,9.875
283.3116,8.7344
283.464,10.6328
283.6164,10.25
283.7688,11.0078
283.9212,10.3828
284.0736,9.6328
284.226,9.4453
284.3784,8.5469
284.5308,8.9141
284.6832,11.1328
284.8356,13.4219
284.988,11.8438
285.1404,10.5703
285.2928,9.7969
285.4452,10.75
285.5976,11.4922
285.75,11.875
285.9024,12.1797
286.0548,13.3359
286.2072,14.8594
286.3596,13.2812
286.512,10.625
286.6644,8.7266
286.8168,11.375
286.9692,11.1875
287.1216,10.0469
287.274,8.9219
287.4264,7.6602
287.5788,8.4219
287.7312,7.668
287.8836,9.2422
288.036,11.5312
288.1884,11.4062
288.3408,10.5312
288.4932,8.9844
288.6456,8.3438
288.798,9.0859
288.9504,7.2031
289.1028,8.4609
289.2552,8.8516
289.4076,8.4688
289.56,7.2109
289.7124,7.9688
289.8648,8.9141
