DEPT,GR
153,50.99309128
153.2,52.53178411
153.4,54.42510884
153.6,54.19727731
153.8,54.19360132
154,51.81420368
154.2,49.46947791
154.4,48.07219617
154.6,47.4161904
154.8,46.89337518
155,46.1589502
155.2,46.05143544
155.4,47.40509655
155.6,48.81950116
155.8,48.36949409
156,46.3591269
156.2,42.01699034
156.4,34.80127962
156.6,30.73659768
156.8,29.80155567
157,30.61024213
157.2,31.35099409
157.4,30.18287151
157.6,30.73196715
157.8,31.78309458
158,32.21296115
158.2,32.86498177
158.4,34.11247432
158.6,32.91866155
158.8,31.12248606
159,30.57474029
159.2,32.48417144
159.4,35.13348225
159.6,34.56444318
159.8,32.24977868
160,31.29665722
160.2,32.49202693
160.4,32.8139762
160.6,31.96429733
160.8,31.04770256
161,31.03282529
161.2,32.25514278
161.4,33.83836427
161.6,33.49173882
161.8,32.82575593
162,33.51936167
162.2,36.02477715
162.4,38.79337524
162.6,39.3886759
162.8,38.54408955
163,36.50759339
163.200772,33.05074014
163.4,34.46012225
163.6,34.9929942
163.8,36.65700785
164,38.22608975
164.2,37.74184318
164.4,34.63343253
164.6,33.32229917
164.8,35.45480286
165,35.85055104
165.2,34.50892697
165.4,34.89232584
165.6,37.01622677
165.8,38.92623167
166,37.89115629
166.2,37.41671255
166.4,38.12747274
166.6,38.17272998
166.8,36.69425582
167,36.2324774
167.2,34.15028354
167.4,33.48875958
167.6,35.04291708
167.8,37.22718077
168,37.44217848
168.2,37.38164858
168.3994853,39.54719718
168.6,38.12271074
168.8,36.33960745
169,34.27990941
169.2,33.96419235
169.400772,30.73682751
169.6,31.94295219
169.8,34.47563546
170,37.67686928
170.2,36.72456099
170.4,34.85195628
170.6,34.02024845
170.8,33.27780544
171,33.05571533
171.2,33.05576903
171.4,32.76962684
171.6,32.33427421
171.8,33.32195217
172,35.6842928
172.2,36.45739106
172.4,35.32695956
172.6,35.5025326
172.8,36.6746391
173,35.78354677
173.200772,32.85299237
173.4,34.55335631
173.6,36.74988279
173.8,37.43892441
174,36.41191934
174.2,36.19423994
174.4,35.37720492
174.6,34.64462515
174.8,37.66475495
175,41.70246139
175.199614,43.30905809
175.4,40.41131403
175.6,38.58567017
175.8,38.36397256
176,36.49082802
176.2,34.50434883
176.4,34.5419011
176.6,36.39333921
176.8,36.31705148
177,35.27589997
177.2,34.99638793
177.4,35.01786437
177.6,34.04090459
177.8,34.75264927
178,35.98692174
178.2,35.60950985
178.4,34.02596314
178.6,31.62683438
178.8,29.36452338
179,30.32013731
179.2,34.14778059
179.4,37.50154919
179.599228,38.84826743
179.800772,33.69939786
180,35.96945784
180.2,37.88532841
180.4,37.42614133
180.6,36.17817369
180.8,37.35760942
181,38.3263266
181.2,41.07123412
181.4,41.65266562
181.6,38.95721043
181.8,37.74195815
182,34.52977356
182.2,33.28974975
182.4,34.6517294
182.6,36.08242824
182.8,36.44309002
183,35.90250869
183.2,34.18476172
183.4,33.05219104
183.6,34.29466562
183.8,35.7732589
184,37.16591222
184.2,36.72103117
184.4,35.9465015
184.6,35.71448793
184.8,36.53115327
185,38.13390379
