DEPT,GR
465.2,59.11164403
465.4,61.4932485
465.6,61.48203629
465.8,60.69132861
466,59.74602717
466.2,61.46502418
466.4,62.76664216
466.6,63.11473579
466.8,65.0759361
467,64.41947279
467.2,61.94747139
467.4,58.7255806
467.6,54.63583676
467.8,51.69628247
468,50.03001335
468.2,53.84510159
468.4,57.24396063
468.6,58.96926964
468.8,60.77692341
469,63.34341223
469.2,67.05817033
469.4,70.82172157
469.6,74.01156792
469.8,78.17947258
470,80.75013973
470.2,82.50435911
470.4,84.5058627
470.6,87.67233846
470.8,89.60764623
471,70.79899827
471.2,43.64709093
471.6,41.51428777
471.6,33.96226415
471.8,40.69954964
472,40.82010522
472.2,40.67345013
472.4,41.75181629
472.6,42.11211701
472.8,41.68832883
473,40.78993575
473.2,42.28915821
473.4,45.39068704
473.6,49.09238688
473.8,52.44995403
474,54.64224144
474.2,57.94841991
474.4,60.45005113
474.6,64.32428025
474.8,67.47325171
475,63.33964208
475.2,62.86734157
475.4,60.13895632
475.6,62.15379386
475.8,68.67111418
476,75.52139892
476.2,78.6302596
476.4,75.63755633
476.6,70.18369516
476.8,65.8280623
477,60.80538546
477.2,53.76587031
477.4,47.719294
477.6,49.33857752
477.8,56.64274694
478,65.01822199
478.2,70.56925182
478.4,71.80614383
478.6,72.57709805
478.8,75.57726331
479,78.32404263
479.2,78.42042257
479.4,77.19205594
479.6,72.16965927
479.8,65.63859109
480,60.22267695
480.2,55.54829976
480.4,53.24292453
480.6,55.55501932
480.8,57.77314374
481,60.16088045
481.2,60.65866514
481.4,60.95696736
481.6,59.44667876
481.8,58.58459498
482,59.00182735
482.2,61.21725844
482.4,65.49492462
482.6,69.36863236
482.8,72.22088906
483,70.01988346
483.2,68.05160287
483.4,71.61679548
483.6,77.36210461
483.8,80.72784375
484,77.5012296
484.2,71.9733568
484.4,69.03776141
484.6,68.18079959
484.8,66.93553965
485,65.5808279
485.2,66.42291369
485.4,64.42252605
485.6,63.94633622
485.8,64.39724855
486,63.62604014
486.2,62.03908887
486.4,61.04516593
486.6,62.12179118
486.8,64.22483214
487,66.69728309
487.2,68.86233424
487.4,69.3855922
487.6,70.92871546
487.8,73.00536661
488,75.68175544
488.2,76.80667149
488.4,75.12648127
488.6,70.40263559
488.8,63.76696664
489,59.27029744
489.2,57.29116454
489.4,55.07446686
489.6,51.92077329
489.8,49.26987794
490,47.36936722
490.2,49.70806385
490.4,51.69389397
490.6,54.21582024
490.8,54.38651768
491,52.83910107
491.2,54.36764342
491.4,55.32052354
491.6,56.05301089
491.8,54.76164818
492,51.17283593
492.2,49.51362681
492.4,49.56125027
492.6,48.66721352
492.8,46.91707063
493,45.34367322
493.2,44.54158963
493.4,44.59359956
493.6,45.60000553
493.8,47.51760672
494,49.6034209
494.2,50.34326166
494.4,48.65256514
494.6,46.62898097
494.8,45.46268027
495,45.81624428
495.2,47.67027478
495.4,50.78069527
495.6,52.25085042
495.8,52.83018868
496,52.27441869
496.2,49.54554226
496.4,45.13287612
496.6,41.72089605
496.8,40.56537335
497,43.27790146
497.2,47.04910667
497.4,49.47482854
497.6,52.39095575
497.8,54.03201712
498,55.23506144
498.2,52.11997069
498.4,48.2241281
498.6,44.69844946
498.8,42.93508801
499,42.69615555
499.2,41.97794622
499.4,41.59678911
499.6,43.56879384
499.8,48.45867773
500,52.62788934
500.2,55.63164645
500.4,54.27243523
500.6,52.85464776
500.8,52.87893583
501,55.1773597
501.2,56.63777802
501.4,54.28503094
501.6,51.17304588
501.8,48.44882493
502,47.25046099
502.2,48.42091865
502.4,51.6129105
502.6,55.45269912
502.8,57.14738271
503,53.99135623
503.2,50.34418267
503.4,47.6778331
503.6,45.64795341
503.8,42.37507167
504,39.07016666
504.2,38.09837644
504.4,40.35041947
504.6,42.98774485
504.8,44.55280171
505,42.48758012
505.2,39.37054024
505.4,37.23361234
505.6,37.64217868
505.8,38.89122273
506,41.7814717
506.2,43.99919006
506.4,44.07144044
506.6,42.41030977
506.8,42.73691821
507,45.48487402
507.2,46.54858979
507.4,46.07039673
507.6,47.57251061
507.8,48.75815059
508,47.83714479
508.2,47.01515946
508.4,46.59372804
508.6,46.46618005
508.8,48.38440636
509,52.76523421
509.2,57.05713814
509.4,59.02976788
509.6,56.86824082
509.8,52.25398092
510,48.65209616
510.2,50.02603127
510.4,52.02434859
510.6,50.91902686
510.8,48.26838165
511,44.98177992
511.2,42.0990566
511.4,41.17611029
511.6,43.31798446
511.8,47.58785681
512,52.37832345
512.2,54.24787966
512.4,55.29977935
512.6,55.95743577
512.8,56.51904532
513,57.66215956
513.2,60.20582654
513.4,61.89446744
513.6,61.52306166
513.8,59.73668036
514,57.40366333
514.2,58.9427558
514.4,61.00190253
514.6,63.82526418
514.8,66.39794074
515,64.27315762
515.2,57.37959708
515.4,48.82098421
515.6,42.33047058
515.8,42.38616812
516,44.59185139
516.2,44.05875685
516.4,42.34144757
516.6,39.63211507
516.8,38.31558802
517,39.92804832
517.2,43.12247722
517.4,45.18839044
517.6,44.42109922
517.8,41.23341454
518,38.91820764
518.2,39.81374988
518.4,42.24757761
518.6,44.7684185
518.8,44.43396387
519,41.27912047
519.2,38.83076461
519.4,39.77943227
519.6,41.83390705
519.8,44.25597525
520,45.77555116
520.2,46.77458665
520.4,48.03378579
520.6,50.60582426
520.8,53.92249352
521,57.1755818
521.2,57.77796479
521.4,53.35126668
521.6,47.16225086
521.8,40.02032237
522,35.03001646
522.2,32.55609601
522.4,32.84251213
522.6,34.44620761
522.8,38.14267395
523,42.24816504
523.2,46.54717802
523.4,46.91931823
523.6,43.24094097
523.8,40.46064921
524,42.19170139
524.2,42.46150226
524.4,42.48952818
524.6,44.19676649
524.8,44.82749509
525,46.91376813
525.2,44.47399568
525.4,45.42308043
525.6,48.23061731
525.8,53.28717064
526,58.0061273
526.2,55.69779458
526.4,50.92423941
526.6,47.05188679
526.8,45.60319539
527,44.16853551
527.2,44.51836175
527.4,45.80071588
527.6,46.29287
527.8,45.01452141
528,44.74002054
528.2,45.4392509
528.4,42.9219322
528.6,40.87300353
528.8,44.0210823
529,48.93614787
529.2,53.71972201
529.4,56.21955471
529.6,52.2372743
529.8,46.85459154
530,42.72517459
530.2,39.67551575
530.4,39.61697838
530.6,39.61092923
530.8,40.88842108
531,42.4204567
531.2,43.64722076
531.4,44.21200536
531.6,42.74947142
531.8,43.23172572
532,44.32408017
532.2,45.7698876
532.4,46.5427064
532.6,44.74133176
532.8,43.18750754
533,43.99921805
533.2,46.32957242
533.4,49.72840834
533.6,53.15594573
533.8,54.77430781
534,53.98422773
534.2,51.96149875
534.4,48.84386936
534.6,46.47293481
534.8,44.45989894
535,45.71212105
535.2,45.91873124
535.4,49.55689827
535.6,52.18883784
535.8,54.0703167
536,55.90280318
536.2,56.59938961
536.4,54.77908057
536.6,51.80117291
536.8,49.82288759
537,50.03547832
537.2,47.69052474
537.4,43.88264012
537.6,41.78907043
537.8,45.45495918
538,49.72649708
538.2,49.68115514
538.4,46.94026811
538.6,46.22874744
538.8,47.51081482
539,48.57227173
539.2,48.70157937
539.4,49.8115798
539.6,51.64804594
539.8,52.15827533
540,52.00279111
540.2,51.81356022
540.4,51.18078059
540.6,50.97559283
540.8,49.49628494
541,46.79870248
541.2,43.71226151
541.4,43.35123628
541.6,45.4167032
541.8,46.67394272
542,44.98820755
542.2,46.7028746
542.4,49.10480533
542.6,48.2855606
542.8,47.06003197
543,46.04292418
543.2,45.39855986
543.4,45.42247148
543.6,44.20069034
543.8,43.76438035
544,44.13231026
544.2,45.13029729
544.4,46.94873379
544.6,49.38217699
544.8,50.83140016
545,48.12673885
545.2,43.94832027
545.4,40.16551815
545.6,41.9654939
545.8,45.94531244
546,48.55986343
546.2,51.87599009
546.4,54.07059698
546.6,50.14003979
546.8,44.84963596
547,41.03510245
547.2,40.43543091
547.4,40.38185669
547.6,38.91319322
547.8,36.72892851
548,39.35778234
548.2,43.43747564
548.4,46.81788518
548.6,48.15133945
548.8,46.07185194
549,42.40478137
549.2,38.74065851
549.4,36.24118254
549.6,35.18380752
549.8,34.20830729
550,34.97640224
550.2,36.0754176
550.4,38.46248365
550.6,40.13231144
550.8,40.16382456
551,39.21505409
551.2,38.12664913
551.4,35.30383221
551.6,34.44569394
551.8,37.80354102
552,41.6070545
552.2,44.76069892
552.4,49.01788211
552.6,53.55157078
552.8,56.28322207
553,57.37326059
553.2,54.50347344
553.4,49.2949393
553.6,45.762657
553.8,45.41109479
554,45.63688081
554.2,47.13335559
554.4,49.57076655
554.6,52.88886905
554.8,53.41732984
555,52.37416582
555.2,54.29456114
555.4,60.01068108
555.6,65.05998391
555.8,60.96493448
556,54.7095784
556.2,50.30763569
556.4,47.58334279
556.6,45.38016895
556.8,46.23110908
557,49.13281285
557.2,50.85623838
557.4,49.52830189
557.6,49.6251789
557.8,52.4031732
558,56.79034471
558.2,61.44811562
558.4,64.99790108
558.6,67.25753953
558.8,69.18442788
559,67.38226522
559.2,59.22436276
559.4,48.99623372
559.6,41.99113059
559.8,41.94235613
560,45.16843575
560.2,46.75906881
560.4,44.39733656
560.6,44.09959909
560.8,47.15182836
561,51.03568396
561.2,53.51078406
561.4,53.67382117
561.6,51.84967037
561.8,48.14648196
562,43.18782144
562.2,37.78473696
562.4,36.04822199
562.6,38.58070676
562.8,42.20762706
563,47.06151993
563.2,52.5250538
563.4,55.69776145
563.6,55.26396954
563.8,55.30051277
564,54.65183661
564.2,52.73115758
564.4,50.2457111
564.6,49.09010288
564.8,46.39403939
565,42.18888853
565.2,39.22867379
565.4,42.42087138
565.6,49.90155356
565.8,58.80219122
566,63.43469204
566.2,56.73938551
566.4,46.69198231
566.6,41.56880947
566.8,45.34259597
567,51.29405069
567.2,57.40266024
567.4,62.50581907
567.6,65.62738493
567.8,63.56696432
568,62.41950865
568.2,64.74720876
568.4,69.58070363
568.6,69.77824981
568.8,78.97522058
569,89.63622086
569.2,93.34552173
569.4,90.21922998
569.6,83.51214525
569.8,76.96500219
570,68.81022887
570.2,62.67391021
570.4,68.7107879
570.6,80.90605642
570.8,92.66870489
571,99.78597685
571.2,101.1639355
571.4,97.15258115
571.6,91.52173016
571.8,82.7636029
572,72.87876833
572.2,61.90503217
572.4,54.8675048
