DEPT,GR
205.1304,6.4429
205.2828,8.0386
205.4352,8.72
205.5876,7.9769
205.74,7.9087
205.8924,8.8837
206.0448,9.0608
206.1972,8.3279
206.3496,7.1395
206.502,6.3947
206.6544,6.0695
206.8068,6.2634
206.9592,6.925
207.1116,7.8265
207.264,8.8891
207.4164,9.1002
207.5688,8.0098
207.7212,6.8757
207.8736,6.4852
208.026,7.9322
208.1784,9.6585
208.3308,9.8883
208.4832,8.6911
208.6356,7.6282
208.788,6.9082
208.9404,6.6928
209.0928,6.6689
209.2452,7.2102
209.3976,8.092
209.55,9.2615
209.7024,9.5202
209.8548,7.7371
210.0072,6.6543
210.1596,6.5212
210.312,7.6303
210.4644,8.0856
210.6168,7.4625
210.7692,6.5294
210.9216,6.5812
211.074,8.2778
211.2264,9.4237
211.3788,9.5766
211.5312,8.7728
211.6836,7.2572
211.836,5.9534
211.9884,5.5009
212.1408,5.5956
212.2932,6.1777
212.4456,7.3715
212.598,8.5115
212.7504,9.3898
212.9028,8.0319
213.0552,6.5942
213.2076,6.2445
213.36,7.0075
213.5124,7.4869
213.6648,6.6324
213.8172,6.0209
213.9696,6.4822
214.122,7.492
214.2744,7.7178
214.4268,6.6986
214.5792,5.4085
214.7316,5.277
214.884,6.1975
215.0364,6.7606
215.1888,6.562
215.3412,5.5081
215.4936,5.842
215.646,7.2182
215.7984,8.0316
215.9508,7.7845
216.1032,6.4552
216.2556,5.6065
216.408,6.5925
216.5604,7.2567
216.7128,7.9409
216.8652,8.6451
217.0176,9.3221
217.17,9.3109
217.3224,8.8506
217.4748,8.0815
217.6272,7.4981
217.7796,6.7875
217.932,7.0757
218.0844,8.2114
218.2368,8.7971
218.3892,8.0635
218.5416,7.1504
218.694,7.443
218.8464,7.9529
218.9988,8.3455
219.1512,8.6722
219.3036,8.5953
219.456,7.6276
219.6084,6.0984
219.7608,6.2649
219.9132,7.2919
220.0656,8.5014
220.218,9.382
220.3704,8.1116
220.5228,7.7935
220.6752,8.819
220.8276,9.0485
220.98,8.5499
221.1324,7.2988
221.2848,6.5226
221.4372,6.9558
221.5896,8.0684
221.742,9.0415
221.8944,9.546
222.0468,9.053
222.1992,7.9817
222.3516,7.8096
222.504,8.5119
222.6564,9.4423
222.8088,9.8018
222.9612,8.8707
223.1136,7.5974
223.266,6.8409
223.4184,6.8124
223.5708,7.0029
223.7232,7.6971
223.8756,8.5039
224.028,9.2292
224.1804,9.2398
224.3328,7.469
224.4852,5.9903
224.6376,4.9317
224.79,4.9535
224.9424,6.22
225.0948,7.2759
225.2472,7.9631
225.3996,8.0114
225.552,6.4244
225.7044,5.8076
225.8568,7.0981
226.0092,8.4324
226.1616,9.362
226.314,9.2154
226.4664,7.1821
226.6188,6.0049
226.7712,6.1443
226.9236,6.2842
227.076,6.4407
227.2284,6.7621
227.3808,8.7514
227.5332,9.6707
227.6856,8.5603
227.838,8.3348
227.9904,9.3357
228.1428,10.8404
228.2952,11.7681
228.4476,10.2944
228.6,8.8879
228.7524,9.3349
228.9048,8.9942
229.0572,7.7964
229.2096,6.5496
229.362,6.3583
229.5144,7.0653
229.6668,8.1938
229.8192,9.26
229.9716,10.3084
230.124,10.5959
230.2764,9.6364
230.4288,8.889
230.5812,8.3083
230.7336,8.2745
230.886,8.0167
231.0384,8.7783
231.1908,10.1954
231.3432,11.6265
231.4956,11.3871
231.648,9.9968
231.8004,9.983
231.9528,10.7817
232.1052,11.3676
232.2576,11.3315
232.41,10.1058
232.5624,10.4546
232.7148,11.3169
232.8672,11.7687
233.0196,11.4436
233.172,9.8706
233.3244,8.8657
233.4768,9.3603
233.6292,10.0365
233.7816,10.1775
233.934,9.8958
234.0864,9.2579
234.2388,8.8484
234.3912,9.1175
234.5436,9.4859
234.696,10.4334
234.8484,10.841
235.0008,10.6897
235.1532,11.0776
235.3056,12.5406
235.458,13.4355
235.6104,13.6304
235.7628,13.3961
235.9152,12.7995
236.0676,11.7739
236.22,11.1793
236.3724,11.3481
236.5248,11.9216
236.6772,12.1059
236.8296,11.3773
236.982,11.2561
237.1344,12.3671
237.2868,12.9784
237.4392,12.6973
237.5916,11.1856
237.744,10.2866
237.8964,10.0498
238.0488,10.2628
238.2012,10.8423
238.3536,11.8248
238.506,13.6838
238.6584,14.3938
238.8108,14.4533
238.9632,14.41
239.1156,13.7606
239.268,12.8155
239.4204,11.4501
239.5728,9.2962
239.7252,8.7886
239.8776,7.4769
240.03,7.8587
240.1824,9.2318
240.3348,10.4473
240.4872,10.7321
240.6396,9.6557
240.792,8.3068
240.9444,8.9316
241.0968,9.6573
241.2492,9.8456
241.4016,9.1469
241.554,8.7747
241.7064,9.8128
241.8588,11.4694
242.0112,12.487
242.1636,12.1011
242.316,10.4086
242.4684,9.106
242.6208,8.9188
242.7732,10.4771
242.9256,11.9535
243.078,12.6473
243.2304,12.1929
243.3828,11.1895
243.5352,9.8889
243.6876,8.8174
243.84,8.8031
243.9924,10.2211
244.1448,11.6803
244.2972,12.5031
244.4496,12.0115
244.602,11.4988
244.7544,12.5978
244.9068,13.113
245.0592,12.6184
245.2116,11.7092
245.364,11.1831
245.5164,11.3643
245.6688,12.2329
245.8212,12.8423
245.9736,13.2783
246.126,13.2307
246.2784,12.9616
246.4308,11.9791
246.5832,11.7938
246.7356,12.5388
246.888,13.588
247.0404,14.1155
247.1928,14.3643
247.3452,13.2058
247.4976,11.6734
247.65,11.9327
247.8024,13.0123
247.9548,14.2154
248.1072,14.6774
248.2596,14.0158
248.412,12.7957
248.5644,11.3152
248.7168,10.1579
248.8692,10.0718
249.0216,10.1176
249.174,9.9418
249.3264,10.2815
249.4788,10.725
249.6312,10.4447
249.7836,9.5025
249.936,9.2174
250.0884,10.2746
250.2408,11.6347
250.3932,12.7231
250.5456,12.769
250.698,11.3178
250.8504,11.4553
251.0028,11.9786
251.1552,11.5573
251.3076,10.2649
251.46,9.0438
251.6124,8.974
251.7648,10.3016
251.9172,11.549
252.0696,12.4112
252.222,11.4563
252.3744,11.0234
252.5268,12.5372
252.6792,12.8063
252.8316,12.0163
252.984,9.9873
253.1364,8.91
253.2888,9.8444
253.4412,11.4312
253.5936,12.9351
253.746,13.424
253.8984,12.6253
254.0508,10.6763
254.2032,9.1453
254.3556,9.1994
254.508,10.6829
254.6604,12.4454
254.8128,12.5685
254.9652,12.173
255.1176,11.8194
255.27,11.4775
255.4224,11.2104
255.5748,10.9419
255.7272,10.9678
255.8796,11.8679
256.032,14.1966
256.1844,15.8807
256.3368,16.933
256.4892,16.6244
256.6416,13.9572
256.794,14.0782
256.9464,14.2681
257.0988,13.104
257.2512,11.4912
257.4036,10.4426
257.556,9.931
257.7084,10.227
257.8608,10.8485
258.0132,11.2263
258.1656,10.8738
258.318,11.1901
258.4704,12.1992
258.6228,12.402
258.7752,11.5595
258.9276,9.876
259.08,8.9123
259.2324,9.3597
259.3848,11.2068
259.5372,12.2147
259.6896,11.7412
259.842,11.0609
259.9944,11.5937
260.1468,12.5715
260.2992,12.4513
260.4516,11.2711
260.604,10.1085
260.7564,9.5403
260.9088,9.7526
261.0612,10.5315
261.2136,11.4692
261.366,12.2006
261.5184,12.9825
261.6708,13.2928
261.8232,13.1477
261.9756,12.1964
262.128,11.5028
262.2804,11.9188
262.4328,12.525
262.5852,12.6958
262.7376,11.4576
262.89,10.6719
263.0424,11.5448
263.1948,13.3183
263.3472,14.797
263.4996,15.0099
263.652,13.8333
263.8044,12.938
263.9568,12.5308
264.1092,12.5418
264.2616,12.5737
264.414,12.6342
264.5664,12.5322
264.7188,12.446
264.8712,13.1939
265.0236,13.3131
265.176,12.5363
265.3284,11.6561
265.4808,10.9576
265.6332,10.2542
265.7856,9.7331
265.938,9.6037
266.0904,10.5142
266.2428,11.9656
266.3952,12.7041
266.5476,12.5647
266.7,11.3561
266.8524,10.6909
267.0048,10.7481
267.1572,12.0052
267.3096,12.6705
267.462,12.7284
267.6144,11.758
267.7668,10.3755
267.9192,10.5328
268.0716,10.6958
268.224,11.2766
268.3764,11.4987
268.5288,10.8505
268.6812,10.8965
268.8336,11.7833
268.986,12.3638
269.1384,11.7954
269.2908,10.4613
269.4432,10.7343
269.5956,11.7868
269.748,12.4435
269.9004,11.3937
270.0528,10.3698
270.2052,12.0958
270.3576,13.281
270.51,13.2648
270.6624,10.9785
270.8148,9.8931
270.9672,9.8178
271.1196,10.5026
271.272,11.5646
271.4244,12.421
271.5768,12.4771
271.7292,10.895
271.8816,10.6052
272.034,11.3101
272.1864,11.7044
272.3388,10.7501
272.4912,9.8851
272.6436,9.6076
272.796,10.552
272.9484,11.6694
273.1008,11.8849
273.2532,10.7081
273.4056,10.0915
273.558,10.8563
273.7104,11.5348
273.8628,12.3358
274.0152,11.9679
274.1676,11.1959
274.32,11.2071
274.4724,11.7867
274.6248,12.4199
274.7772,12.363
274.9296,11.5343
275.082,10.0082
275.2344,9.3396
275.3868,10.5471
275.5392,12.2496
275.6916,13.5318
275.844,14.4386
275.9964,15.341
276.1488,15.4958
276.3012,15.0718
276.4536,14.2966
276.606,13.0215
276.7584,12.3518
276.9108,11.8778
277.0632,11.6445
277.2156,11.6717
277.368,11.981
277.5204,11.8545
277.6728,11.1019
277.8252,10.6294
277.9776,10.4477
278.13,10.9474
278.2824,11.3421
278.4348,11.2349
278.5872,10.4868
278.7396,10.9647
278.892,11.2776
279.0444,10.7007
279.1968,9.9696
279.3492,9.6299
279.5016,11.0806
279.654,12.5634
279.8064,13.3218
279.9588,13.0996
280.1112,11.6983
280.2636,10.899
280.416,10.8959
280.5684,11.1889
280.7208,11.4702
