DEPT,GR
150,3.267849376
150.2,5.911928311
150.4,6.955814334
150.6,7.236134194
150.8,6.947277653
151,6.943171595
151.2,6.886684003
151.4,6.44360346
151.6,6.903241992
151.8,7.436836931
152,6.649450422
152.2,6.217103906
152.4,6.693239254
152.6,8.041407599
152.8,9.360056749
153,9.627968845
153.2,8.907452637
153.4,8.668988703
153.6,8.192172978
153.8,7.681310471
154,7.437702337
154.2,7.735920361
154.4,8.465741996
154.6,7.943189364
154.8,6.857248662
155,6.415043079
155.2,6.407288031
155.4,6.209541763
155.6,6.482445501
155.8,6.956086664
156,6.944746806
156.2,6.941268339
156.4,6.923252276
156.6,7.450825016
156.8,7.206449159
157,7.428524844
157.2,7.437894905
157.4,7.387844675
157.6,7.93472145
158.6,9.025212432
158.8,10.76077458
159,10.45627767
159.2,9.724637523
159.4,7.925646383
159.6,6.638454818
159.8,5.926780342
160,6.63251199
160.2,7.255597041
160.4,7.458195045
160.6,7.178047921
160.8,7.429170627
161,7.829524011
161.2,8.425538255
161.4,9.270613508
161.6,9.934018851
161.8,9.912050826
162,9.405994153
162.2,9.437610816
162.4,8.903549423
162.6,8.891639496
162.8,9.447327891
163,8.684509628
163.2,7.662438054
163.4,8.524242997
163.6,11.34189069
163.8,11.91481871
164,11.03140369
164.2,9.736219128
164.4,8.977305672
164.6,8.368986276
164.8,8.4168417
165,9.464507422
165.2,10.70027166
165.4,10.42689159
165.6,8.791066409
165.8,8.447194126
166,8.9677214
166.2,8.507371449
166.4,7.585855099
166.6,6.935868533
166.8,7.037342172
167,8.715368002
167.2,10.79378744
167.4,10.86373022
167.6,9.594860203
167.8,8.061944586
168,6.963444667
168.2,7.009756121
168.4,7.662766685
168.6,7.919852695
168.8,7.685868283
169,7.931374322
169.2,8.219491762
169.4,8.080283573
169.6,8.150753768
169.8,7.932462113
170,7.589218497
170.2,6.739767053
170.4,6.449781573
170.6,6.445742871
170.8,6.969645116
171,7.47761486
171.2,7.923743837
171.4,7.931495111
171.6,7.75913935
171.8,7.294211304
172,6.944183982
172.2,7.022368638
172.4,8.666871289
172.6,9.424564604
172.8,8.894140829
173,7.565119801
173.2,6.924088821
173.4,6.942161608
173.6,6.89147226
173.8,6.630671621
174,7.658088113
174.2,8.180187678
174.4,7.923166705
174.6,8.437057728
174.8,8.458914953
175,8.15005223
175.2,7.936523497
175.4,7.963722951
175.6,7.412047437
175.8,6.873205123
176,7.427167465
176.2,8.345728
176.4,8.163765072
176.6,7.936375347
176.8,7.953066131
177,9.062567544
177.2,9.983767634
177.4,8.978168801
177.6,8.931720273
177.8,9.388370414
178,10.1792878
178.2,10.40792137
178.4,9.63890439
178.6,8.401137316
178.8,8.409504861
179,8.916032663
179.2,9.441685326
179.4,9.420069698
179.6,9.422598866
179.8,9.193719242
180,8.923579537
180.2,9.034768337
180.4,8.408636982
180.6,7.883376688
180.8,8.743411834
181,9.453286188
181.2,9.985708174
181.4,9.473768508
181.6,7.742613033
181.8,5.949932388
182,6.049956773
182.2,7.515106532
182.4,9.796245883
182.6,11.95172254
182.8,12.25893677
183,9.995736162
183.2,6.284719522
183.4,5.441467761
183.6,5.696008469
183.8,7.608256674
184,9.228167062
184.2,10.43763895
184.4,10.40659601
184.6,10.02300147
184.8,9.966372261
185,10.60557072
185.2,10.95832902
185.4,9.926928209
185.6,9.647868542
185.8,9.927093711
186,10.03215597
186.2,11.30944342
186.4,12.65366521
186.6,12.31789267
186.8,11.65851488
187,11.90260219
187.2,11.18133812
187.4,9.381048676
187.6,8.687841345
187.8,9.456711586
188,10.71955761
188.2,10.76430813
188.4,9.469756633
188.6,8.466225418
188.8,8.835125432
189,9.669495505
189.2,8.971536766
189.4,7.180229412
189.6,7.236949057
189.8,8.498956734
190,9.10752157
190.2,9.961145815
190.4,9.95769417
190.6,9.033379732
190.8,7.968612863
191,7.449398705
191.2,7.438713795
191.4,8.437377573
191.6,9.648190987
191.8,9.097869111
192,8.401506311
192.2,9.041379991
192.4,10.78376683
192.6,11.37713385
192.8,11.99151756
193,11.90179505
193.2,11.12011881
193.4,9.857913142
193.6,9.268230678
193.8,9.851093143
194,11.58313816
194.2,12.0264898
194.4,9.846694837
194.6,7.537141668
194.8,7.679384979
195,8.712067714
195.2,10.46338413
195.4,10.9471907
195.6,10.39758311
195.8,10.43188891
196,9.81148226
196.2,8.462187405
196.4,8.45104234
196.6,9.154186779
196.8,9.398912589
197,9.923289803
197.2,9.916830934
197.4,9.9350508
197.6,10.95359081
197.8,13.26868126
198,13.73276373
198.2,11.53983665
198.4,10.41347522
198.6,11.50130489
198.8,13.15212184
199,13.92200841
199.2,13.88825525
199.4,13.3419323
199.6,11.19365673
199.8,9.990145392
200,9.878939689
200.2,9.476214791
200.4,8.903965974
200.6,9.183725834
200.8,10.55227417
201,12.71599368
201.2,13.68615679
201.4,13.00303404
201.6,11.27368008
201.8,9.750279285
202,8.457446488
202.2,8.52810512
202.4,9.674301893
202.6,11.46703439
202.8,11.90876585
203,11.36834645
203.2,11.40519684
203.4,11.40545131
203.6,11.35015934
203.8,10.93534703
204,10.32023419
204.2,10.16248616
204.4,10.13520102
204.6,10.1601708
204.8,10.40973696
205,10.9720297
205.2,10.6716403
205.4,10.95604458
205.6,11.61410091
205.8,11.88284246
206,11.41449963
206.2,11.3972438
206.4,11.12194447
206.6,10.26569845
206.8,9.949918965
207,10.58189424
207.2,10.65859839
207.4,9.964200516
207.6,9.051551354
207.8,8.432082129
208,8.997372321
208.2,10.17270615
208.4,10.85992243
208.6,10.91528385
208.8,10.46494892
209,10.72959558
209.2,11.18262855
209.4,10.95583865
209.6,10.40891466
209.8,9.947831034
210,8.662259354
210.2,7.72023153
210.4,8.231498406
210.6,9.823093411
210.8,9.921456088
211,10.09887534
211.2,11.53609252
211.4,11.90621078
211.6,10.13346663
211.8,8.164133994
212,7.6878343
212.2,9.054937158
212.4,11.08846355
212.6,11.59171335
212.8,11.55141018
213,13.14164367
213.2,13.89659333
