DEPT,GR
152.2,35.289
152.4,34.228
152.6,33.521
152.8,33.168
153,33.875
153.2,33.168
153.4,32.815
153.6,33.521
153.8,33.832
154,34.142
154.2,34.099
154.4,34.935
154.6,35.202
154.8,35.556
155,34.935
155.2,32.771
155.4,33.168
155.6,37.987
155.8,40.728
156,35.642
156.2,32.461
156.4,34.849
156.6,34.849
156.8,34.495
157,35.866
157.2,35.556
157.4,34.849
157.6,34.495
157.8,33.168
158,30.694
158.2,30.694
158.4,33.168
158.6,35.866
158.8,36.573
159,36.573
159.2,36.219
159.4,36.219
159.6,36.263
159.8,35.202
160,35.909
160.2,37.28
160.4,35.556
160.6,33.168
160.8,32.461
161,34.539
161.2,36.573
161.4,36.219
161.6,35.866
161.8,35.513
162,35.349
162.2,34.582
162.4,38.65
162.6,37.633
162.8,36.219
163,34.72
163.2,33.392
163.4,30.341
163.6,30.694
163.8,32.815
164,35.642
164.2,35.064
164.4,31.401
164.6,31.754
164.8,33.168
165,33.168
165.2,33.168
165.4,33.168
165.6,32.461
165.8,33.875
166,35.289
166.2,34.228
166.4,33.875
166.6,32.815
166.8,34.228
167,33.875
167.2,35.151
167.4,33.168
167.6,33.521
167.8,33.521
168,33.875
168.2,34.797
168.4,37.056
168.6,40.107
168.8,37.056
169,33.875
169.2,30.341
169.4,29.987
169.6,32.108
169.8,32.108
170,33.875
170.2,34.228
170.4,34.228
170.6,33.875
170.8,32.461
171,29.987
171.2,29.28
171.4,31.401
171.6,33.875
171.8,34.228
172,33.521
172.2,31.401
172.4,31.754
172.6,33.521
172.8,34.582
173,35.289
173.2,34.582
173.4,33.875
173.6,33.521
173.8,32.815
174,32.108
174.2,33.168
174.4,34.228
174.6,34.228
174.8,33.875
175,32.461
175.2,31.754
175.4,33.168
175.6,33.521
175.8,32.815
176,32.806
176.2,33.823
176.4,33.521
176.6,33.168
176.8,32.815
177,35.995
177.2,38.469
177.4,39.004
177.6,37.633
177.8,36.219
178,35.754
178.2,33.168
178.4,32.461
178.6,30.341
178.8,29.987
179,30.341
179.2,31.754
179.4,33.168
179.6,33.875
179.8,32.815
180,33.168
180.2,31.401
180.4,33.875
180.6,33.521
180.8,32.815
181,33.168
181.2,34.228
181.4,36.219
181.6,37.59
181.8,38.607
182,37.987
182.2,36.616
182.4,34.228
182.6,31.401
182.8,29.28
183,31.125
183.2,31.401
183.4,27.867
183.6,28.927
183.8,31.401
184,33.142
184.2,33.435
184.4,34.228
184.6,33.168
184.8,32.461
185,31.134
185.2,33.521
185.4,36.573
185.6,38.297
185.8,38.297
186,37.633
186.2,33.875
186.4,32.461
186.6,36.306
186.8,36.573
187,33.125
187.2,29.987
187.4,32.728
187.6,35.995
187.8,36.702
188,34.228
188.2,34.935
188.4,38.65
188.6,38.65
188.8,36.263
189,29.987
189.2,29.28
189.4,32.108
189.6,33.875
189.8,29.987
190,24.91
190.2,28.22
190.4,33.125
190.6,37.28
190.8,35.866
191,33.97
191.2,34.056
191.4,35.866
191.6,35.202
191.8,34.142
192,33.168
192.2,38.03
192.4,38.65
192.6,40.685
192.8,38.34
193,36.263
193.2,34.849
193.4,35.556
193.6,35.599
193.8,34.935
194,32.815
194.2,32.815
194.4,32.461
194.6,33.168
194.8,34.935
195,34.09
195.2,34.228
195.4,35.995
195.6,36.573
195.8,36.926
196,39.314
196.2,39.314
196.4,40.374
196.6,37.013
196.8,33.875
197,34.228
197.2,33.168
197.4,32.461
197.6,32.815
197.8,33.521
198,34.228
198.2,36.219
198.4,37.59
198.6,39.667
198.8,41.081
199,37.762
199.2,33.521
199.4,36.926
199.6,36.926
199.8,33.875
200,30.343
200.2,33.528
200.4,34.943
200.6,33.528
200.8,34.589
201,36.005
201.2,36.005
201.4,36.005
201.6,36.359
201.8,34.943
202,37.066
202.2,37.066
202.4,34.943
202.6,34.235
202.8,35.651
203,36.713
203.2,37.42
203.4,33.882
203.6,33.528
203.8,37.282
204,38.575
204.2,35.297
204.4,40.452
204.6,40.452
204.8,38.575
205,39.514
205.2,39.391
205.4,37.282
205.6,35.867
205.8,34.697
206,31.758
206.2,32.466
206.4,35.774
206.6,40.929
206.8,37.759
207,37.051
207.2,39.16
207.4,40.221
207.6,38.344
207.8,34.127
208,38.452
208.2,35.051
208.4,31.05
208.6,35.99
208.8,38.452
209,37.159
209.2,35.051
209.4,35.282
209.6,34.343
209.8,31.404
210,33.528
210.2,37.99
210.4,38.806
210.6,38.221
210.8,40.806
211,41.622
211.2,40.221
211.4,40.806
211.6,43.976
211.8,44.561
212,41.052
212.2,36.005
212.4,33.528
212.6,32.82
212.8,33.174
213,33.882
213.2,36.713
213.4,38.452
213.6,37.867
213.8,36.575
214,35.051
214.2,35.159
214.4,35.513
214.6,35.282
