DEPTH,GR
600,47.505
600.1,45.6777
600.2,39.7984
600.3,35.2124
600.4,35.2914
600.5,36.1783
600.6,38.1943
600.7,38.7391
600.8,38.6998
600.9,38.6252
601,35.8893
601.1,31.5601
601.2,29.1703
601.3,32.9992
601.4,38.4121
601.5,40.6149
601.6,40.0295
601.7,37.5481
601.8,36.6211
601.9,34.7674
602,33.5991
602.1,33.2323
602.2,31.8385
602.3,31.335
602.4,32.2351
602.5,30.6623
602.6,29.9299
602.7,30.8587
602.8,32.2669
602.9,33.7706
603,35.029
603.1,36.6888
603.2,37.8604
603.3,40.5779
603.4,44.9184
603.5,46.3416
603.6,45.8288
603.7,44.7202
603.8,43.8843
603.9,46.7116
604,50.8761
604.1,53.3599
604.2,49.985
604.3,44.4505
604.4,41.9745
604.5,37.0224
604.6,34.8966
604.7,33.2657
604.8,31.1964
604.9,31.4473
605,34.1841
605.1,36.2583
605.2,37.4616
605.3,39.4063
605.4,39.9085
605.5,38.3404
605.6,37.1616
605.7,37.1394
605.8,40.734
605.9,45.3025
606,46.6797
606.1,48.6119
606.2,49.3211
606.3,49.5718
606.4,49.4278
606.5,48.7089
606.6,48.3603
606.7,47.1969
606.8,46.1143
606.9,45.9502
607,46.0472
607.1,46.3706
607.2,46.5829
607.3,47.0615
607.4,47.4581
607.5,47.6436
607.6,49.9732
607.7,54.6583
607.8,60.6284
607.9,63.0318
608,63.1015
608.1,60.0493
608.2,55.01
608.3,52.9256
608.4,48.8103
608.5,46.839
608.6,46.3791
608.7,45.186
608.8,44.416
608.9,44.2361
609,43.1704
609.1,43.1121
609.2,42.9708
609.3,42.6742
609.4,42.944
609.5,43.8537
609.6,45.4162
609.7,47.7055
609.8,48.8054
609.9,48.9974
610,50.63
610.1,55.8832
610.2,60.6177
610.3,67.1541
610.4,67.2547
610.5,65.6056
610.6,59.7562
610.7,54.9721
610.8,53.6028
610.9,57.5704
611,59.7579
611.1,58.241
611.2,56.6908
611.3,53.5089
611.4,46.6798
611.5,44.8561
611.6,43.4719
611.7,43.7395
611.8,44.0247
611.9,44.197
612,44.197
612.1,42.7004
612.2,40.2624
612.3,38.0155
612.4,36.8027
612.5,36.8027
612.6,39.8516
612.7,44.5946
612.8,48.7374
612.9,50.8884
613,50.8884
613.1,49.5125
613.2,47.0917
613.3,44.6378
613.4,43.213
613.5,43.213
613.6,44
613.7,45.3838
613.8,46.7855
613.9,47.599
614,47.599
614.1,49.9253
614.2,53.5823
614.3,56.8149
614.4,58.5076
614.5,58.5076
614.6,54.2799
614.7,47.4548
614.8,41.2318
614.9,37.8992
615,37.8992
615.1,38.1659
615.2,38.5463
615.3,38.8486
615.4,38.9957
615.5,39.4695
615.6,40.5332
615.7,42.0769
615.8,42.9664
615.9,43.3255
616,44.6433
616.1,47.1772
616.2,50.0718
616.3,51.9287
616.4,51.6978
616.5,51.1029
616.6,49.9859
616.7,49.1461
616.8,48.7517
616.9,48.6171
617,48.3229
617.1,47.9144
617.2,47.599
617.3,47.599
617.4,48.7312
617.5,51.0859
617.6,54.105
617.7,56.2584
617.8,56.2584
617.9,56.2584
618,56.2584
618.1,56.2584
618.2,56.2584
618.3,56.2509
618.4,56.2327
618.5,56.2025
618.6,56.1827
618.7,56.1741
618.8,55.1361
618.9,52.7957
619,49.375
619.1,46.5868
619.2,46.5868
619.3,47.5199
619.4,49.2025
619.5,50.9637
619.6,52.013
619.7,52.013
619.8,52.5997
619.9,53.3572
620,53.9014
620.1,54.1498
620.2,54.1524
620.3,54.1586
620.4,54.1687
620.5,54.1751
620.6,54.1779
620.7,53.692
620.8,52.7357
620.9,51.6064
621,50.8603
621.1,50.8603
621.2,52.316
621.3,54.5177
621.4,56.3807
621.5,57.3268
621.6,57.3268
621.7,57.582
621.8,57.9585
621.9,58.2687
622,58.4233
622.1,58.314
622.2,58.0598
622.3,57.667
622.4,57.4268
622.5,57.3268
622.6,55.2804
622.7,51.6067
622.8,47.7846
622.9,45.5184
623,45.5184
623.1,48.0019
623.2,51.6988
623.3,54.7725
623.4,56.3147
623.5,54.9846
623.6,51.9154
623.7,47.2461
623.8,44.432
623.9,43.2692
624,42.7957
624.1,41.8807
624.2,40.828
624.3,40.1484
624.4,40.1484
624.5,43.912
624.6,49.4207
624.7,53.9176
624.8,56.146
624.9,56.1375
625,56.1211
625.1,56.1021
625.2,56.0931
625.3,56.0897
625.4,55.0923
625.5,53.6836
625.6,52.5763
625.7,52.0412
625.8,52.3401
625.9,53.0459
626,54.1643
626.1,54.8658
626.2,55.1619
626.3,54.1257
626.4,52.195
626.5,50.084
626.6,48.7798
626.7,48.7798
626.8,48.3355
626.9,47.6184
627,46.9648
627.1,46.6149
627.2,46.5308
627.3,46.3174
627.4,45.9293
627.5,45.6478
627.6,45.5184
627.7,45.5184
627.8,49.4367
627.9,53.6867
628,57.383
628.1,57.383
628.2,57.0961
628.3,56.4996
628.4,55.7351
628.5,55.3408
628.6,55.1901
628.7,52.9563
628.8,48.959
628.9,44.8172
629,42.3695
629.1,43.7459
629.2,47.3103
629.3,54.0736
629.4,59.2205
629.5,61.6565
629.6,62.2784
629.7,63.6603
629.8,65.6308
629.9,67.1952
630,67.1952
630.1,64.996
630.2,60.3506
630.3,54.2483
630.4,49.7919
630.5,49.7919
630.6,49.7919
630.7,49.7919
630.8,49.7919
630.9,49.7919
631,49.7919
631.1,49.5273
631.2,49.1474
631.3,48.8438
631.4,48.6955
631.5,49.9415
631.6,52.7793
631.7,56.9993
631.8,59.4875
631.9,60.5038
632,59.2555
632.1,56.6578
632.2,53.3243
632.3,50.9447
632.4,50.9447
632.5,51.6367
632.6,52.7085
632.7,53.6399
632.8,54.1217
632.9,54.3455
633,54.8568
633.1,55.6207
633.2,56.0732
633.3,56.2584
633.4,55.5708
633.5,54.1167
633.6,52.2035
633.7,50.8041
633.8,50.8041
633.9,49.7437
634,48.0061
634.1,46.3934
634.2,45.5184
634.3,45.5184
634.4,46.8166
634.5,48.949
634.6,50.9338
634.7,52.013
634.8,52.013
634.9,52.013
635,58.6452
635.1,65.5941
635.2,71.4406
635.3,71.4406
635.4,69.4321
635.5,65.0223
635.6,58.8582
635.7,55.4265
635.8,54.0655
635.9,54.8347
636,56.1847
636.1,57.5489
636.2,58.339
636.3,58.339
636.4,58.7639
636.5,59.1696
636.6,59.3944
636.7,59.4833
636.8,58.8444
636.9,59.7269
637,61.0559
637.1,61.7205
637.2,60.7995
637.3,58.8582
637.4,57.1239
637.5,54.9129
637.6,50.8201
637.7,49.8995
637.8,48.3676
637.9,47.3724
638,49.2682
638.1,49.9213
638.2,51.1328
638.3,53.7011
638.4,54.1498
638.5,54.3478
638.6,54.8229
638.7,55.5983
638.8,56.0995
638.9,56.3147
639,55.275
639.1,53.5197
639.2,51.8304
639.3,50.8884
639.4,51.243
639.5,52.0329
639.6,53.1638
639.7,53.8074
639.8,53.9198
639.9,53.5354
640,52.7754
640.1,52.1687
640.2,51.8725
640.3,52.4397
640.4,53.639
640.5,55.2168
640.6,56.3709
640.7,55.5447
640.8,53.3359
640.9,48.8488
641,45.1458
641.1,43.2973
641.2,41.811
641.3,38.9362
641.4,35.6249
641.5,33.4852
641.6,33.0364
641.7,31.931
641.8,30.0342
641.9,28.7426
642,28.1714
642.1,29.8005
642.2,32.9622
642.3,36.6212
642.4,38.9957
642.5,40.4411
642.6,44.0075
642.7,50.1476
642.8,54.343
642.9,56.2022
