DEPT,GR
284.6832,8.3764
284.8356,8.5512
284.988,8.2894
285.1404,8.8602
285.2928,9.0026
285.4452,7.8653
285.5976,6.4455
285.75,6.4527
285.9024,6.7364
286.0548,7.2054
286.2072,6.4571
286.3596,5.5088
286.512,5.3861
286.6644,6.598
286.8168,7.5411
286.9692,7.153
287.1216,6.8314
287.274,7.6623
287.4264,8.8211
287.5788,9.1908
287.7312,8.1533
287.8836,7.1684
288.036,6.6075
288.1884,6.889
288.3408,7.1659
288.4932,7.0902
288.6456,6.4373
288.798,7.5828
288.9504,8.6122
289.1028,8.4675
289.2552,7.1656
289.4076,6.2029
289.56,6.2757
289.7124,6.785
289.8648,8.0782
290.0172,8.8149
290.1696,8.5489
290.322,7.9027
290.4744,7.3649
290.6268,6.7839
290.7792,6.3286
290.9316,6.1387
291.084,6.3025
291.2364,6.7366
291.3888,7.5181
291.5412,8.0159
291.6936,8.0066
291.846,7.8534
291.9984,7.0601
292.1508,5.5191
292.3032,4.7783
292.4556,4.8105
292.608,4.966
292.7604,4.8692
292.9128,4.5882
293.0652,4.3263
293.2176,5.0025
293.37,6.1888
293.5224,7.3266
293.6748,8.1558
293.8272,8.4073
293.9796,7.2766
294.132,7.0345
294.2844,7.5044
294.4368,7.567
294.5892,7.2613
294.7416,6.2764
294.894,5.0297
295.0464,5.0795
295.1988,5.4265
295.3512,5.2101
295.5036,5.0334
295.656,6.0191
295.8084,7.2106
295.9608,8.0158
296.1132,8.3438
296.2656,7.8389
296.418,6.286
296.5704,5.5975
296.7228,5.3592
296.8752,4.7283
297.0276,5.1143
297.18,7.499
297.3324,8.4531
297.4848,7.1695
297.6372,6.041
297.7896,5.8259
297.942,5.9395
298.0944,7.2504
298.2468,8.0308
298.3992,7.3949
298.5516,6.9492
298.704,6.7037
298.8564,7.1286
299.0088,7.6818
299.1612,8.2663
299.3136,8.7787
299.466,8.7985
299.6184,7.4804
299.7708,6.011
299.9232,5.7594
300.0756,6.719
300.228,7.4649
300.3804,7.0527
300.5328,6.1905
300.6852,6.2024
300.8376,7.6628
300.99,8.5083
301.1424,8.1609
301.2948,6.7626
301.4472,5.918
301.5996,5.6188
301.752,6.0304
301.9044,6.5491
302.0568,6.9755
302.2092,6.384
302.3616,5.9199
302.514,6.3594
302.6664,6.7766
302.8188,6.3457
302.9712,5.3702
303.1236,4.8866
303.276,6.4169
303.4284,6.845
303.5808,6.3075
303.7332,6.1023
303.8856,6.5018
304.038,7.0838
304.1904,7.1138
304.3428,6.5076
304.4952,4.6201
304.6476,4.1769
304.8,4.7593
304.9524,5.5587
305.1048,5.5322
305.2572,6.799
305.4096,8.0252
305.562,8.6787
305.7144,8.7019
305.8668,8.3835
306.0192,7.6736
306.1716,5.5565
306.324,4.1605
306.4764,4.3391
306.6288,5.1366
306.7812,5.8224
306.9336,6.7274
307.086,7.5762
307.2384,7.925
307.3908,7.3781
307.5432,6.8648
307.6956,6.467
307.848,6.5755
308.0004,7.0059
308.1528,7.57
308.3052,7.9074
308.4576,7.3569
308.61,6.5752
308.7624,5.8891
308.9148,5.6463
309.0672,5.4647
309.2196,5.3716
309.372,5.6152
309.5244,6.458
309.6768,8.1957
309.8292,8.8364
309.9816,9.1568
310.134,9.1876
310.2864,8.9143
310.4388,8.1561
310.5912,6.9506
310.7436,6.8135
310.896,7.8443
311.0484,8.6149
311.2008,7.4125
311.3532,6.289
311.5056,5.7888
311.658,6.4431
311.8104,7.6705
311.9628,9.4869
312.1152,10.0522
312.2676,10.1594
312.42,8.7623
312.5724,7.0544
312.7248,7.4644
312.8772,7.7871
313.0296,7.0377
313.182,6.0848
313.3344,5.9758
313.4868,6.7605
313.6392,8.4067
313.7916,8.8532
