DEPT,GR
506.7,6.6145
506.9,7.3164
507.1,8.3693
507.3,8.7203
507.5,9.0713
507.7,9.7732
507.9,10.124
508.1,10.124
508.3,10.475
508.5,11.177
508.7,10.475
508.9,9.7732
509.1,9.4222
509.3,8.7203
509.5,9.4222
509.7,11.177
509.9,11.879
510.1,11.879
510.3,11.177
510.5,10.475
510.7,9.4222
510.9,8.7203
511.1,7.6674
511.3,7.6674
511.5,9.0713
511.7,10.124
511.9,10.124
512.1,10.124
512.3,9.4222
512.5,9.4222
512.7,10.475
512.9,10.475
513.1,10.124
513.3,9.7732
513.5,9.0713
513.7,8.7203
513.9,9.7732
514.1,9.7732
514.3,10.475
514.5,9.0713
514.7,6.6145
514.9,5.2106
515.1,5.5616
515.3,6.9654
515.5,7.3164
515.7,7.3164
515.9,7.6674
516.1,7.6674
516.3,6.9654
516.5,7.3164
516.7,7.3164
516.9,6.6145
517.1,5.9125
517.3,5.9125
517.5,5.2106
517.7,5.2106
517.9,5.2106
518.1,5.9125
518.3,6.2635
518.5,5.5616
518.7,5.2106
518.9,5.2106
519.1,5.2106
519.3,5.9125
519.5,5.9125
519.7,6.9654
519.9,7.3164
520.1,6.6145
520.3,5.9125
520.5,6.2635
520.7,6.2635
520.9,5.9125
521.1,6.6145
521.3,6.6145
521.5,6.2635
521.7,5.5616
521.9,5.2106
522.1,5.5616
522.3,5.9125
522.5,6.9654
522.7,8.3693
522.91,10.367
523.3,9.0713
523.5,8.0184
523.7,7.6674
523.9,7.6674
524.1,6.2635
524.3,6.2635
524.5,6.9654
524.7,8.0184
524.9,9.7732
525.1,9.7732
525.3,8.7203
525.5,7.3164
525.7,7.6674
525.9,7.6674
526.1,7.3164
526.3,7.3164
526.5,8.0184
526.7,8.7203
526.9,7.6674
527.1,6.9654
527.3,5.9125
527.5,6.2635
527.7,6.9654
527.9,7.3164
528.1,7.3164
528.3,6.9654
528.5,5.9125
528.7,5.2106
528.9,5.5616
529.1,6.6145
529.3,6.2635
529.5,6.9654
529.7,7.3164
529.9,7.6674
530.1,6.9654
530.3,7.3164
530.5,6.9654
530.7,7.6674
530.9,7.6674
531.1,6.6145
531.3,5.9125
531.5,6.9654
531.7,7.3164
531.9,6.9654
532.1,6.6145
532.3,7.3164
532.5,6.6145
532.7,5.9125
532.9,5.5616
533.1,6.9654
533.3,7.3164
533.5,7.3164
533.7,7.3164
533.9,7.3164
534.1,6.2635
534.3,6.2635
534.5,7.6674
534.7,8.3693
534.9,7.6674
535.1,6.6145
535.3,6.9654
535.5,7.3164
535.7,7.6674
535.9,7.3164
536.1,6.2635
536.3,6.9654
536.5,7.3164
536.7,7.3164
536.9,7.3164
537.1,6.9654
537.3,6.6145
537.5,6.9654
537.7,7.3164
537.9,7.6674
538.1,6.9654
538.3,6.6145
538.5,6.9654
538.7,7.6674
538.9,8.0184
539.1,6.9654
539.3,6.9654
539.5,7.3164
539.7,7.3164
539.9,7.6674
540.1,8.7203
540.3,9.4222
540.5,8.3693
540.7,7.6674
540.9,7.6674
541.1,8.3693
541.3,8.0184
541.5,7.6674
541.7,6.2635
541.9,5.9125
542.1,6.9654
542.3,8.3693
542.5,9.4222
542.7,9.4222
542.9,9.4222
543.1,9.0713
543.3,9.0713
543.5,9.0713
543.7,9.4222
543.9,9.4222
544.1,9.4222
544.3,8.3693
544.5,7.6674
544.7,7.3164
544.9,8.0184
545.1,7.6674
545.3,6.6145
545.5,5.5616
545.7,5.5616
545.9,6.6145
546.1,7.3164
546.3,6.2635
546.5,5.9125
546.7,6.9654
546.9,8.3693
547.1,7.6674
547.3,7.3164
547.5,6.9654
547.7,5.9125
547.9,5.9125
548.1,6.6145
548.3,7.6674
548.5,8.0184
548.7,7.6674
548.9,6.2635
549.1,5.9125
549.3,5.9125
549.5,5.9125
549.7,6.2635
549.9,7.6674
550.1,9.0713
550.3,8.0184
550.5,6.9654
550.7,5.9125
550.9,6.2635
551.1,7.3164
551.3,6.9654
551.5,6.9654
551.7,6.2635
551.9,7.6674
552.1,8.0184
552.3,7.6674
552.5,6.9654
552.7,6.9654
552.9,7.3164
553.1,6.6145
553.3,6.2635
553.5,8.3693
553.7,11.177
553.9,10.124
554.1,7.6674
554.3,7.3164
554.5,8.3693
554.7,9.4222
554.9,9.4222
555.1,8.7203
555.3,7.6674
555.5,6.9654
555.7,8.0184
555.9,9.0713
556.1,9.4222
556.3,9.4222
556.5,9.0713
556.7,8.0184
556.9,8.3693
557.1,9.7732
557.3,10.826
557.5,11.528
557.7,12.23
557.9,11.879
558.1,10.475
558.3,10.475
558.5,11.879
558.7,12.23
558.9,10.124
559.1,9.0713
559.3,9.0713
559.5,9.4222
559.7,10.124
559.9,11.177
560.1,12.23
560.3,12.23
560.5,12.581
