DEPT,GR
222.4,14.26838643
222.6,14.28399413
222.8,15.53123158
223,17.26957661
223.2,18.81056539
223.4,18.93622427
223.6,18.84932793
223.8,18.44267458
224,17.82380853
224.2,18.04645635
224.4,18.33039569
224.6,18.74289139
224.8,19.77643693
225,18.90263788
225.2,17.84709823
225.4,17.82193622
225.6,17.94198745
225.8,18.13459816
226,18.32711461
226.2,18.37505072
226.4,18.37540671
226.6,18.22831311
226.8,18.82071045
227,18.00765468
227.2,16.96411035
227.4,15.95701011
227.6,15.2532866
227.8,15.11079325
228,15.52404444
228.2,16.29122629
228.4,17.22305319
228.6,18.13023951
228.8,18.82349962
229,18.51946446
229.2,18.92462429
229.4,18.97386845
229.6,19.2161126
229.8,19.5067751
230,19.78436833
230.2,20.08166613
230.4,20.36642995
230.6,20.60642125
230.8,20.7694015
231,20.82313214
231.2,20.70299448
231.4,18.10816719
231.6,17.91794713
231.8,18.19135462
232,18.64397584
232.2,19.15902434
232.4,19.61971366
232.6,19.56385546
232.8,18.96312269
233,18.80885432
233.2,19.0552606
233.4,19.65057125
233.6,19.53962585
233.8,19.82652437
234,19.65647214
234.2,19.4025222
234.4,19.08178783
234.6,18.73449384
234.8,18.40086506
235,18.12112628
235.2,17.93550233
235.4,18.61272021
235.6,19.78198037
235.8,17.94526918
236,18.22932612
236.2,18.69905127
236.4,19.22543938
236.6,19.67948521
236.8,19.8080338
237,18.64930133
237.2,18.16452566
237.4,17.65778051
237.6,17.16079789
237.8,16.70530985
238,16.32304842
238.2,16.04574561
238.4,16.43904029
238.6,18.70148733
238.8,16.38122334
239,17.41488155
239.2,17.89974985
239.4,17.5318629
239.6,17.05799126
239.8,16.99545052
240,17.30987115
240.2,17.79906192
240.4,18.31911426
240.6,18.7261196
240.8,18.81677536
241,18.06073028
241.2,17.93516307
241.4,18.10055368
241.6,18.35461712
241.8,18.61707039
242,18.80763051
242.2,18.84129898
242.4,18.59951147
242.6,18.13197249
242.8,17.53626389
243,16.90996684
243.2,16.34965446
243.4,15.9488828
243.6,15.80064586
243.8,15.99793763
244,18.43971879
244.2,18.90000912
244.4,18.91484829
244.6,18.88459679
244.8,18.81746881
245,18.72167856
245.2,18.60544022
245.4,18.47696799
245.6,18.34447605
245.8,18.2161786
246,18.10028984
246.2,18.00502395
246.4,17.93859514
246.6,17.92172477
246.8,18.52849979
247,19.63266362
247.2,21.04018273
247.4,20.2796086
247.6,19.33818414
247.8,18.35558292
248,17.62283466
248.2,17.41085682
248.4,17.46243127
248.6,17.63548796
248.8,17.89659511
249,18.21232092
249.2,18.54923362
249.4,18.87390142
249.6,19.15289254
249.8,19.37622268
250,19.46643521
250.2,19.30742559
250.4,19.0525995
250.6,18.85536264
250.8,18.92058827
251,18.84499737
251.2,18.78968467
251.4,18.72333015
251.6,18.64750944
251.8,18.56379816
252,18.47377197
252.2,18.37900648
252.4,18.28107733
252.6,18.18156015
252.8,18.08203058
253,17.98406424
253.2,17.88923678
253.4,17.79912382
253.6,17.715301
253.8,17.63934394
254,17.57282829
254.2,17.51732967
254.4,17.47442371
254.6,17.44568606
254.8,17.72318726
255,18.82218233
255.2,19.64603224
255.4,19.03991143
255.6,18.3735118
255.8,17.9434325
256,18.77200815
256.2,19.31915115
256.4,19.31266269
256.6,19.2660662
256.8,19.20455096
257,19.13368734
257.2,19.05904571
257.4,18.98619642
257.6,18.92070985
257.8,18.86815636
258,18.82670939
258.2,18.81268271
258.4,18.82043908
258.6,18.83782609
258.8,18.85269134
259,18.84860724
259.2,18.72953039
259.4,18.35565016
259.6,16.46685296
259.8,18.49159579
260,21.01672628
260.2,22.57892144
260.4,21.77230669
260.6,19.37716269
260.8,17.21176384
261,16.99266941
261.2,18.72240083
261.4,20.72452883
261.6,21.98835887
261.8,23.4008133
262,23.50922378
262.2,23.27899136
262.4,22.93950504
262.6,22.51973317
262.8,22.04864411
263,21.55520621
263.2,21.06838783
263.4,20.61715731
263.6,20.22410808
263.8,19.88267144
264,19.65227704
264.2,19.52223348
264.4,19.48184934
264.6,19.52043323
264.8,19.62729374
265,19.79173945
265.2,20.68002327
265.4,20.44332292
265.6,20.11879507
265.8,19.73112885
266,19.30501337
266.2,18.86513777
266.4,18.43619117
266.6,18.04286269
266.8,17.62818426
