DEPT,GR
466,16.9682243
466.2,17.28946632
466.4,16.63928682
466.6,16.62317179
466.8,16.68604743
467,15.67497569
467.2,15.85767146
467.4,17.85509843
467.6,18.81800776
467.8,19.69884462
468,23.99924114
468.2,30.8386675
468.4,37.12459432
468.6,41.29054067
468.8,47.07006945
469,58.92355996
469.2,72.44761681
469.4,81.02214861
469.6,85.55721905
469.8,78.10886554
470,68.95768494
470.2,61.76462449
470.4,62.0688241
470.6,62.41311107
470.8,66.31813823
471,67.53631198
471.2,63.31499426
471.4,56.99011878
471.6,56.53698493
471.8,53.58765241
472,56.42312313
472.2,58.46299648
472.4,56.31104502
472.6,54.94796841
472.8,55.82240891
473,57.79161547
473.2,58.47534227
473.4,54.55857953
473.6,57.84263166
473.8,62.74373727
474,64.41157445
474.2,62.43352433
474.4,54.86716945
474.6,53.03280768
474.8,47.86421273
475,49.706065
475.2,51.58125971
475.4,47.71131252
475.6,42.14966541
475.8,39.58283036
476,39.26323685
476.2,42.55482755
476.4,49.4560893
476.6,54.21911318
476.8,51.78155958
477,45.97736022
477.2,48.45559014
477.4,46.29425124
477.6,43.47538928
477.8,41.39179057
478,40.0604668
478.2,39.00594655
478.4,38.39987666
478.6,39.01646559
478.8,41.48678808
479,45.73759414
479.2,49.31628797
479.4,50.53757078
479.6,50.31865106
479.8,49.9543585
480,48.62657676
480.2,48.77230659
480.4,51.58387695
480.6,52.06845227
480.8,51.8867085
481,56.72118507
481.2,61.99517451
481.4,55.23305183
481.6,49.72522563
481.8,47.41947387
482,49.4252293
482.2,51.98817181
482.4,53.09488592
482.6,51.71080245
482.8,49.3807107
483,46.32126592
483.2,47.26455727
483.4,49.94036034
483.6,51.97769809
483.8,51.97392835
484,52.21933315
484.2,50.34254155
484.4,48.46582037
484.6,47.76952928
484.8,45.21233773
485,42.46878182
485.2,43.23591338
485.4,42.54298456
485.6,41.56020531
485.8,40.58481937
486,39.24675603
486.2,38.81618563
486.4,38.93030315
486.6,37.95959675
486.8,36.65796593
487,34.04016993
487.2,31.3572691
487.4,31.56382932
487.6,32.16941603
487.8,34.49811825
488,35.4136081
488.2,36.09523244
488.4,33.8636255
488.6,34.46481986
488.8,32.22526694
489,30.76190297
489.2,32.3022325
489.4,37.18404313
489.6,41.62501471
489.8,41.55898177
490,42.78955104
490.2,43.20352114
490.4,45.99090894
490.6,50.18803489
490.8,53.81677077
491,55.29882102
491.2,55.01734641
491.4,55.88701174
491.6,54.5144858
491.8,49.18601386
492,45.24894104
492.2,40.08013063
492.4,36.97166661
492.6,37.85583437
492.8,41.43989471
493,43.14742263
493.2,42.34540753
493.4,38.26426459
493.6,34.83297037
493.8,37.67784594
494,45.5160892
494.2,54.25784158
494.4,61.8407512
494.6,68.38647785
494.8,70.07525474
495,68.37658373
495.2,65.36660755
495.4,62.70914112
495.6,61.69865173
495.8,58.48534372
496,55.41927817
