DEPT,GR
102.108,5.5361
102.2604,6.4137
102.4128,7.7803
102.5652,8.5125
102.7176,8.7025
102.87,8.1796
103.0224,7.2425
103.1748,5.9794
103.3272,5.3155
103.4796,5.7262
103.632,5.9755
103.7844,5.7054
103.9368,5.0073
104.0892,4.6629
104.2416,5.2669
104.394,6.3179
104.5464,7.0125
104.6988,6.6134
104.8512,5.6834
105.0036,5.8019
105.156,6.4961
105.3084,7.165
105.4608,7.4098
105.6132,7.162
105.7656,6.0433
105.918,5.0549
106.0704,5.7034
106.2228,6.7328
106.3752,7.1
106.5276,6.8077
106.68,6.2247
106.8324,6.4358
106.9848,7.1741
107.1372,7.7476
107.2896,7.4038
107.442,6.6329
107.5944,5.9886
107.7468,5.4938
107.8992,5.7857
108.0516,5.9307
108.204,5.0109
108.3564,4.1809
108.5088,3.8588
108.6612,4.368
108.8136,5.3111
108.966,6.0219
109.1184,6.1982
109.2708,5.9186
109.4232,5.6432
109.5756,6.0489
109.728,6.5989
109.8804,6.9121
110.0328,6.6866
110.1852,6.5733
110.3376,6.7913
110.49,7.1477
110.6424,7.4723
110.7948,7.7786
110.9472,6.9885
111.0996,5.7898
111.252,4.6376
111.4044,4.3482
111.5568,4.591
111.7092,4.7217
111.8616,5.0501
112.014,5.2268
112.1664,5.964
112.3188,6.4856
112.4712,5.8297
112.6236,4.9523
112.776,4.2143
112.9284,3.7613
113.0808,3.839
113.2332,4.0831
113.3856,4.6083
113.538,5.2179
113.6904,5.5383
113.8428,5.6971
113.9952,5.8393
114.1476,6.1197
114.3,6.3434
114.4524,5.9947
114.6048,5.8914
114.7572,6.5133
114.9096,7.3831
115.062,7.4617
115.2144,7.3511
115.3668,6.9349
115.5192,6.7374
115.6716,6.8788
115.824,6.3695
115.9764,5.9799
116.1288,6.0196
116.2812,6.4306
116.4336,6.6792
116.586,6.5687
116.7384,6.576
116.8908,6.3881
117.0432,5.5514
117.1956,4.5602
117.348,3.8558
117.5004,3.9922
117.6528,4.9647
117.8052,6.1601
117.9576,6.4448
118.11,6.4205
118.2624,6.7941
118.4148,7.0075
118.5672,7.5091
118.7196,7.7984
118.872,8.7863
119.0244,10.2598
119.1768,10.5934
119.3292,10.0349
119.4816,8.9175
119.634,7.6405
119.7864,6.2344
119.9388,5.4794
120.0912,5.8637
120.2436,6.2706
120.396,6.2496
120.5484,5.9797
120.7008,5.7976
120.8532,6.4486
121.0056,7.2001
121.158,7.2499
121.3104,6.331
121.4628,5.4805
121.6152,5.3701
121.7676,5.4828
121.92,5.775
122.0724,6.6749
122.2248,7.4926
122.3772,7.547
122.5296,7.668
122.682,8.6829
122.8344,9.2627
122.9868,8.6945
123.1392,7.5495
123.2916,7.4357
123.444,8.256
123.5964,8.1196
123.7488,6.8694
123.9012,5.6924
124.0536,6.2887
124.206,7.2428
124.3584,7.052
124.5108,6.7462
124.6632,6.5905
124.8156,6.5326
124.968,6.4218
125.1204,5.804
125.2728,5.816
125.4252,6.627
125.5776,6.8912
125.73,6.3401
125.8824,5.566
126.0348,5.1546
126.1872,5.4465
126.3396,6.2272
126.492,6.309
126.6444,5.6847
126.7968,5.1382
126.9492,4.9623
127.1016,5.5578
127.254,5.413
127.4064,5.2903
127.5588,5.1949
127.7112,5.1156
127.8636,5.7308
128.016,6.8407
128.1684,7.1843
128.3208,7.0306
128.4732,7.2666
128.6256,8.0998
128.778,8.3452
128.9304,8.4168
129.0828,8.7805
129.2352,8.9523
129.3876,9.158
129.54,9.1978
129.6924,8.2468
129.8448,7.0911
129.9972,5.9637
130.1496,6.3358
130.302,6.673
130.4544,5.8812
130.6068,5.1339
130.7592,5.3414
130.9116,6.4631
131.064,7.4038
131.2164,7.0126
131.3688,5.6323
131.5212,4.4607
131.6736,4.8941
131.826,6.0256
131.9784,5.7676
132.1308,5.2252
132.2832,5.647
132.4356,7.4208
132.588,8.4244
132.7404,8.3194
132.8928,7.7879
133.0452,6.9579
133.1976,6.5682
133.35,6.9704
133.5024,7.5102
133.6548,8.3262
133.8072,8.6969
133.9596,8.7787
134.112,9.6171
134.2644,9.9508
134.4168,9.4074
134.5692,7.8974
134.7216,5.2856
134.874,4.1141
135.0264,4.4847
135.1788,5.3852
135.3312,6.1407
135.4836,6.4461
135.636,6.1474
135.7884,6.1777
135.9408,6.7623
136.0932,7.2554
136.2456,7.557
136.398,7.1031
136.5504,6.4098
136.7028,6.1978
136.8552,6.3223
137.0076,6.914
137.16,7.2364
137.3124,7.6443
137.4648,7.699
137.6172,7.4139
137.7696,6.6437
137.922,6.1372
138.0744,6.1973
138.2268,6.6946
138.3792,7.0707
138.5316,6.9622
138.684,6.5147
138.8364,5.7825
138.9888,5.651
139.1412,6.0915
139.2936,6.3551
139.446,6.4509
139.5984,6.4516
139.7508,6.6817
139.9032,7.8472
140.0556,7.7034
140.208,7.5783
140.3604,9.0521
140.5128,9.641
140.6652,9.2833
140.8176,8.7647
140.97,8.262
141.1224,7.6505
141.2748,7.1422
141.4272,7.3903
141.5796,8.5417
141.732,8.7597
141.8844,8.5829
142.0368,8.2433
142.1892,7.8542
142.3416,6.9876
142.494,6.2346
142.6464,6.3899
142.7988,6.7199
142.9512,6.6965
143.1036,6.1838
143.256,5.6518
143.4084,5.5221
143.5608,5.8843
143.7132,6.8085
143.8656,7.6172
144.018,6.5586
144.1704,5.0245
144.3228,3.9971
144.4752,4.9545
144.6276,6.1617
144.78,6.7658
144.9324,6.9706
145.0848,8.3258
145.2372,8.5675
145.3896,7.8936
145.542,7.2724
145.6944,7.7472
145.8468,7.7575
145.9992,7.5779
146.1516,7.3928
146.304,7.6606
146.4564,8.6302
146.6088,8.4449
146.7612,7.7744
146.9136,6.5741
147.066,6.3536
147.2184,5.9011
147.3708,5.3342
